日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-11,6.61,6.64,6.38,6.4,13440728.0,90893340.0,1356921309.0,0.0099
2021-01-12,6.48,6.58,6.46,6.54,9996982.0,68536325.0,1356921309.0,0.0074
2021-01-13,6.57,6.87,6.45,6.79,16770762.0,117987763.0,1356921309.0,0.0124
2021-01-14,6.73,6.91,6.72,6.77,11692582.0,83699601.0,1356921309.0,0.0086
2021-01-15,6.84,6.84,6.67,6.71,7742847.0,54682103.0,1356921309.0,0.0057
2021-01-18,6.74,6.89,6.7,6.81,9696207.0,69064877.0,1356921309.0,0.0071
2021-01-19,6.77,6.77,6.63,6.68,9365515.0,65725224.0,1356921309.0,0.0069
2021-01-20,6.68,6.69,6.58,6.59,5807413.0,40296712.0,1356921309.0,0.0043
2021-01-21,6.58,6.65,6.51,6.59,5619483.0,38820613.0,1356921309.0,0.0041
2021-01-22,6.58,6.74,6.5,6.61,10555306.0,73482728.0,1356921309.0,0.0078
2021-01-25,6.58,6.59,6.45,6.45,9414932.0,64147036.0,1356921309.0,0.0069
2021-01-26,6.44,6.52,6.41,6.47,5029415.0,34135511.0,1356921309.0,0.0037
2021-01-27,6.43,6.51,6.43,6.48,5127038.0,34884035.0,1356921309.0,0.0038
2021-01-28,6.48,6.5,6.39,6.43,6440817.0,43570925.0,1356921309.0,0.0047
2021-01-29,6.43,6.43,6.01,6.1,14018842.0,90962249.0,1356921309.0,0.0103
2021-02-01,6.11,6.15,5.87,5.94,9695797.0,60667092.0,1356921309.0,0.0071
2021-02-02,5.95,6.02,5.84,5.96,5511975.0,34319662.0,1356921309.0,0.0041
2021-02-03,5.99,5.99,5.86,5.88,4960380.0,30661184.0,1356921309.0,0.0037
2021-02-04,5.88,5.95,5.83,5.91,5338189.0,33041216.0,1356921309.0,0.0039
2021-02-05,5.88,5.95,5.86,5.88,3798600.0,23528897.0,1356921309.0,0.0028
2021-02-08,5.88,5.94,5.87,5.89,4109584.0,25474153.0,1356921309.0,0.003
2021-02-09,5.91,5.94,5.87,5.92,4809102.0,29801466.0,1356921309.0,0.0035
2021-02-10,5.91,5.98,5.9,5.94,4532300.0,28278413.0,1356921309.0,0.0033
2021-02-18,5.99,6.12,5.99,6.05,7442468.0,47325585.0,1356921309.0,0.0055
2021-02-19,6.05,6.22,6.01,6.2,6515629.0,42072955.0,1356921309.0,0.0048
2021-02-22,6.27,6.35,6.21,6.21,9279593.0,61363531.0,1356921309.0,0.0068
2021-02-23,6.19,6.3,6.13,6.17,6417370.0,41711754.0,1356921309.0,0.0047
2021-02-24,6.22,6.23,6.12,6.21,6068088.0,39375147.0,1356921309.0,0.0045
2021-02-25,6.19,6.22,6.08,6.1,5919448.0,38114112.0,1356921309.0,0.0044
2021-02-26,6.05,6.1,6.02,6.06,5095637.0,32416972.0,1356921309.0,0.0038
2021-03-01,6.07,6.17,6.07,6.11,4988192.0,32055867.0,1356921309.0,0.0037
2021-03-02,6.17,6.67,6.17,6.48,25199403.0,170773724.0,1356921309.0,0.0186
2021-03-03,6.39,6.5,6.3,6.45,13018004.0,87468134.0,1356921309.0,0.0096
2021-03-04,6.41,6.47,6.34,6.35,8956460.0,60106796.0,1356921309.0,0.0066
2021-03-05,6.33,6.45,6.31,6.39,7610879.0,51082044.0,1356921309.0,0.0056
2021-03-08,6.41,6.55,6.4,6.44,10426870.0,70875131.0,1356921309.0,0.0077
2021-03-09,6.4,6.43,6.16,6.27,8748526.0,57851316.0,1356921309.0,0.0064
2021-03-10,6.31,6.42,6.2,6.26,5230474.0,34632710.0,1356921309.0,0.0039
2021-03-11,6.21,6.33,6.16,6.33,6892955.0,45456406.0,1356921309.0,0.0051
2021-03-12,6.33,6.61,6.24,6.51,14598907.0,98787093.0,1356921309.0,0.0108
2021-03-15,6.48,6.6,6.44,6.49,9569539.0,65335131.0,1356921309.0,0.0071
2021-03-16,6.49,6.86,6.45,6.76,28818181.0,204283893.0,1356921309.0,0.0212
2021-03-17,6.73,6.73,6.61,6.64,15743253.0,109911639.0,1356921309.0,0.0116
2021-03-18,6.6,6.74,6.53,6.71,13333537.0,93179046.0,1356921309.0,0.0098
2021-03-19,6.76,6.93,6.71,6.77,23588992.0,168863858.0,1356921309.0,0.0174
2021-03-22,6.74,6.91,6.7,6.9,21185378.0,152064409.0,1356921309.0,0.0156
2021-03-23,6.91,6.91,6.64,6.68,14337018.0,101384808.0,1356921309.0,0.0106
2021-03-24,6.65,6.83,6.64,6.73,10412397.0,73849142.0,1356921309.0,0.0077
2021-03-25,6.71,6.76,6.54,6.57,9256333.0,64164919.0,1356921309.0,0.0068
2021-03-26,6.57,6.7,6.53,6.65,11243099.0,78423852.0,1356921309.0,0.0083
2021-03-29,6.67,6.71,6.56,6.64,9275444.0,64549904.0,1356921309.0,0.0068
2021-03-30,6.61,6.61,6.42,6.47,9770492.0,66413230.0,1356921309.0,0.0072
2021-03-31,6.44,6.56,6.43,6.5,6782607.0,46174283.0,1356921309.0,0.005
2021-04-01,6.51,6.56,6.47,6.48,5095273.0,34787575.0,1356921309.0,0.0038
2021-04-02,6.51,6.51,6.35,6.41,6508960.0,43757802.0,1356921309.0,0.0048
2021-04-06,6.41,6.46,6.38,6.43,3648900.0,24604918.0,1356921309.0,0.0027
2021-04-07,6.45,6.45,6.36,6.39,6507016.0,43622719.0,1356921309.0,0.0048
2021-04-08,6.39,6.4,6.31,6.31,6872970.0,45767441.0,1356921309.0,0.0051
2021-04-09,6.31,6.35,6.27,6.33,5013652.0,33234825.0,1356921309.0,0.0037
2021-04-12,6.33,6.42,6.29,6.34,6668384.0,44466652.0,1356921309.0,0.0049
2021-04-13,6.34,6.36,6.21,6.24,5559926.0,36525104.0,1356921309.0,0.0041
2021-04-14,6.23,6.26,6.19,6.23,4295796.0,28063638.0,1356921309.0,0.0032
2021-04-15,6.24,6.25,6.11,6.14,4774434.0,30786295.0,1356921309.0,0.0035
2021-04-16,6.15,6.31,6.14,6.31,5952789.0,38940373.0,1356921309.0,0.0044
2021-04-19,6.3,6.36,6.26,6.32,5755860.0,38218472.0,1356921309.0,0.0042
2021-04-20,6.31,6.36,6.29,6.31,3578900.0,23784797.0,1356921309.0,0.0026
2021-04-21,6.29,6.31,6.19,6.21,4314778.0,28227543.0,1356921309.0,0.0032
2021-04-22,6.21,6.27,6.17,6.18,3878080.0,25241198.0,1356921309.0,0.0029
2021-04-23,6.1,6.1,5.76,5.79,24877727.0,153570409.0,1356921309.0,0.0183
2021-04-26,5.79,5.83,5.73,5.77,6381419.0,38796274.0,1356921309.0,0.0047
2021-04-27,5.79,5.81,5.69,5.71,6761018.0,40684755.0,1356921309.0,0.005
2021-04-28,5.71,5.75,5.68,5.71,4356624.0,26162342.0,1356921309.0,0.0032
2021-04-29,5.73,5.77,5.7,5.71,4476679.0,26938723.0,1356921309.0,0.0033
