证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,12350.0,12350.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,定期报告,,7471.75,600312,2000-12-31,0.0,4878.25,,0.0,0.0,0.0,0.0,12350.0,,0.0,0.0,,0.0,0.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,12350.0,12350.0,,,0.0,,0.0,0.0,,0.0,6000.0,,0.0,,,A股上市,,7471.75,600312,2001-02-21,0.0,4878.25,,0.0,0.0,0.0,0.0,18350.0,,0.0,0.0,,0.0,6000.0,,,015001
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,12350.0,12350.0,,,0.0,,0.0,0.0,,0.0,6000.0,,0.0,,,定期报告,,7471.75,600312,2001-06-30,0.0,4878.25,,0.0,0.0,0.0,0.0,18350.0,,0.0,0.0,,0.0,6000.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,4878.25,0.0,12350.0,12350.0,,,0.0,,0.0,0.0,,0.0,6000.0,,0.0,,,定期报告,,7471.75,600312,2001-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,18350.0,,0.0,0.0,,0.0,6000.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,4878.25,0.0,12350.0,12350.0,,,0.0,,0.0,0.0,,0.0,6000.0,,0.0,,,定期报告,,7471.75,600312,2002-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,18350.0,,0.0,0.0,,0.0,6000.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,12350.0,12350.0,,,0.0,,0.0,0.0,,0.0,6000.0,,0.0,,,定期报告,2003-03-11,7471.75,600312,2002-12-31,0.0,4878.25,,0.0,0.0,0.0,0.0,18350.0,,0.0,0.0,,0.0,6000.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,8293.025,0.0,20995.0,20995.0,,,0.0,,0.0,0.0,,,10200.0,,0.0,,,"送股,转增",2003-05-24,12701.975,600312,2003-05-30,0.0,0.0,,0.0,0.0,0.0,0.0,31195.0,,0.0,0.0,,0.0,10200.0,,,"015010,015011"
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,20995.0,20995.0,,,0.0,,0.0,0.0,,0.0,10200.0,,0.0,,,定期报告,2003-08-28,12701.975,600312,2003-06-30,0.0,8293.025,,0.0,0.0,0.0,0.0,31195.0,,0.0,0.0,,0.0,10200.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,20995.0,20995.0,,,0.0,,0.0,0.0,,0.0,10200.0,,0.0,,,定期报告,2004-04-17,12701.975,600312,2003-12-31,0.0,8293.025,,0.0,0.0,0.0,0.0,31195.0,,0.0,0.0,,0.0,10200.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,8293.025,0.0,20995.0,20995.0,,,0.0,,0.0,0.0,,0.0,10200.0,,0.0,,,定期报告,2004-08-18,12701.975,600312,2004-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,31195.0,,0.0,0.0,,0.0,10200.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,20995.0,20995.0,,,0.0,,0.0,0.0,,0.0,10200.0,,0.0,,,定期报告,2005-03-26,12701.975,600312,2004-12-31,0.0,8293.025,,0.0,0.0,0.0,0.0,31195.0,,0.0,0.0,,0.0,10200.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,20995.0,20995.0,,,0.0,,0.0,0.0,,0.0,10200.0,,0.0,,,定期报告,2005-08-25,12701.975,600312,2005-06-30,0.0,8293.025,,0.0,0.0,0.0,0.0,31195.0,,0.0,0.0,,0.0,10200.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,20995.0,20995.0,,,0.0,,0.0,0.0,,0.0,10200.0,,0.0,,,定期报告,2006-02-28,12701.975,600312,2005-12-31,0.0,8293.025,,0.0,0.0,0.0,0.0,31195.0,,0.0,0.0,,0.0,10200.0,,,015019
平高电气,河南平高电气股份有限公司,0.0,0.0,,0.0,0.0,0.0,0.0,,20995.0,0.0,,0.0,0.0,,0.0,15522.3697,,0.0,,,股权分置,2006-05-17,0.0,600312,2006-05-22,0.0,0.0,,0.0,20995.0,0.0,0.0,36517.3697,,0.0,0.0,,0.0,15522.3697,,,015020
平高电气,河南平高电气股份有限公司,,,,,0.0,0.0,0.0,,20995.0,,0.0,,,12701.975,,15522.3697,8293.025,,,,定期报告,2006-08-16,,600312,2006-06-30,,,,,20995.0,,,36517.3697,,,,,,15522.3697,0.0,12701.975,015019
平高电气,河南平高电气股份有限公司,,,,,0.0,0.0,0.0,,20995.0,,0.0,,,12701.975,,15522.3697,8293.025,,,,定期报告,2007-04-19,,600312,2006-12-31,,,,,20995.0,,,36517.3697,,,,,,15522.3697,,12701.975,015019
