SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,ACCEPT_DEPOSIT_INTERBANK,ACCOUNTS_PAYABLE,ACCOUNTS_RECE,ACCRUED_EXPENSE,ADVANCE_RECEIVABLES,AGENT_TRADE_SECURITY,AGENT_UNDERWRITE_SECURITY,AMORTIZE_COST_FINASSET,AMORTIZE_COST_FINLIAB,AMORTIZE_COST_NCFINASSET,AMORTIZE_COST_NCFINLIAB,APPOINT_FVTPL_FINASSET,APPOINT_FVTPL_FINLIAB,ASSET_BALANCE,ASSET_OTHER,ASSIGN_CASH_DIVIDEND,AVAILABLE_SALE_FINASSET,BOND_PAYABLE,BORROW_FUND,BUY_RESALE_FINASSET,CAPITAL_RESERVE,CIP,CONSUMPTIVE_BIOLOGICAL_ASSET,CONTRACT_ASSET,CONTRACT_LIAB,CONVERT_DIFF,CREDITOR_INVEST,CURRENT_ASSET_BALANCE,CURRENT_ASSET_OTHER,CURRENT_LIAB_BALANCE,CURRENT_LIAB_OTHER,DEFER_INCOME,DEFER_INCOME_1YEAR,DEFER_TAX_ASSET,DEFER_TAX_LIAB,DERIVE_FINASSET,DERIVE_FINLIAB,DEVELOP_EXPENSE,DIV_HOLDSALE_ASSET,DIV_HOLDSALE_LIAB,DIVIDEND_PAYABLE,DIVIDEND_RECE,EQUITY_BALANCE,EQUITY_OTHER,EXPORT_REFUND_RECE,FEE_COMMISSION_PAYABLE,FIN_FUND,FINANCE_RECE,FIXED_ASSET,FIXED_ASSET_DISPOSAL,FVTOCI_FINASSET,FVTOCI_NCFINASSET,FVTPL_FINASSET,FVTPL_FINLIAB,GENERAL_RISK_RESERVE,GOODWILL,HOLD_MATURITY_INVEST,HOLDSALE_ASSET,HOLDSALE_LIAB,INSURANCE_CONTRACT_RESERVE,INTANGIBLE_ASSET,INTEREST_PAYABLE,INTEREST_RECE,INTERNAL_PAYABLE,INTERNAL_RECE,INVENTORY,INVEST_REALESTATE,LEASE_LIAB,LEND_FUND,LIAB_BALANCE,LIAB_EQUITY_BALANCE,LIAB_EQUITY_OTHER,LIAB_OTHER,LOAN_ADVANCE,LOAN_PBC,LONG_EQUITY_INVEST,LONG_LOAN,LONG_PAYABLE,LONG_PREPAID_EXPENSE,LONG_RECE,LONG_STAFFSALARY_PAYABLE,MINORITY_EQUITY,MONETARYFUNDS,NONCURRENT_ASSET_1YEAR,NONCURRENT_ASSET_BALANCE,NONCURRENT_ASSET_OTHER,NONCURRENT_LIAB_1YEAR,NONCURRENT_LIAB_BALANCE,NONCURRENT_LIAB_OTHER,NOTE_ACCOUNTS_PAYABLE,NOTE_ACCOUNTS_RECE,NOTE_PAYABLE,NOTE_RECE,OIL_GAS_ASSET,OTHER_COMPRE_INCOME,OTHER_CREDITOR_INVEST,OTHER_CURRENT_ASSET,OTHER_CURRENT_LIAB,OTHER_EQUITY_INVEST,OTHER_EQUITY_OTHER,OTHER_EQUITY_TOOL,OTHER_NONCURRENT_ASSET,OTHER_NONCURRENT_FINASSET,OTHER_NONCURRENT_LIAB,OTHER_PAYABLE,OTHER_RECE,PARENT_EQUITY_BALANCE,PARENT_EQUITY_OTHER,PERPETUAL_BOND,PERPETUAL_BOND_PAYBALE,PREDICT_CURRENT_LIAB,PREDICT_LIAB,PREFERRED_SHARES,PREFERRED_SHARES_PAYBALE,PREMIUM_RECE,PREPAYMENT,PRODUCTIVE_BIOLOGY_ASSET,PROJECT_MATERIAL,RC_RESERVE_RECE,REINSURE_PAYABLE,REINSURE_RECE,SELL_REPO_FINASSET,SETTLE_EXCESS_RESERVE,SHARE_CAPITAL,SHORT_BOND_PAYABLE,SHORT_FIN_PAYABLE,SHORT_LOAN,SPECIAL_PAYABLE,SPECIAL_RESERVE,STAFF_SALARY_PAYABLE,SUBSIDY_RECE,SURPLUS_RESERVE,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIAB_EQUITY,TOTAL_LIABILITIES,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_OTHER_PAYABLE,TOTAL_OTHER_RECE,TOTAL_PARENT_EQUITY,TRADE_FINASSET,TRADE_FINASSET_NOTFVTPL,TRADE_FINLIAB,TRADE_FINLIAB_NOTFVTPL,TREASURY_SHARES,UNASSIGN_RPOFIT,UNCONFIRM_INVEST_LOSS,USERIGHT_ASSET,ACCEPT_DEPOSIT_INTERBANK_YOY,ACCOUNTS_PAYABLE_YOY,ACCOUNTS_RECE_YOY,ACCRUED_EXPENSE_YOY,ADVANCE_RECEIVABLES_YOY,AGENT_TRADE_SECURITY_YOY,AGENT_UNDERWRITE_SECURITY_YOY,AMORTIZE_COST_FINASSET_YOY,AMORTIZE_COST_FINLIAB_YOY,AMORTIZE_COST_NCFINASSET_YOY,AMORTIZE_COST_NCFINLIAB_YOY,APPOINT_FVTPL_FINASSET_YOY,APPOINT_FVTPL_FINLIAB_YOY,ASSET_BALANCE_YOY,ASSET_OTHER_YOY,ASSIGN_CASH_DIVIDEND_YOY,AVAILABLE_SALE_FINASSET_YOY,BOND_PAYABLE_YOY,BORROW_FUND_YOY,BUY_RESALE_FINASSET_YOY,CAPITAL_RESERVE_YOY,CIP_YOY,CONSUMPTIVE_BIOLOGICAL_ASSET_YOY,CONTRACT_ASSET_YOY,CONTRACT_LIAB_YOY,CONVERT_DIFF_YOY,CREDITOR_INVEST_YOY,CURRENT_ASSET_BALANCE_YOY,CURRENT_ASSET_OTHER_YOY,CURRENT_LIAB_BALANCE_YOY,CURRENT_LIAB_OTHER_YOY,DEFER_INCOME_1YEAR_YOY,DEFER_INCOME_YOY,DEFER_TAX_ASSET_YOY,DEFER_TAX_LIAB_YOY,DERIVE_FINASSET_YOY,DERIVE_FINLIAB_YOY,DEVELOP_EXPENSE_YOY,DIV_HOLDSALE_ASSET_YOY,DIV_HOLDSALE_LIAB_YOY,DIVIDEND_PAYABLE_YOY,DIVIDEND_RECE_YOY,EQUITY_BALANCE_YOY,EQUITY_OTHER_YOY,EXPORT_REFUND_RECE_YOY,FEE_COMMISSION_PAYABLE_YOY,FIN_FUND_YOY,FINANCE_RECE_YOY,FIXED_ASSET_DISPOSAL_YOY,FIXED_ASSET_YOY,FVTOCI_FINASSET_YOY,FVTOCI_NCFINASSET_YOY,FVTPL_FINASSET_YOY,FVTPL_FINLIAB_YOY,GENERAL_RISK_RESERVE_YOY,GOODWILL_YOY,HOLD_MATURITY_INVEST_YOY,HOLDSALE_ASSET_YOY,HOLDSALE_LIAB_YOY,INSURANCE_CONTRACT_RESERVE_YOY,INTANGIBLE_ASSET_YOY,INTEREST_PAYABLE_YOY,INTEREST_RECE_YOY,INTERNAL_PAYABLE_YOY,INTERNAL_RECE_YOY,INVENTORY_YOY,INVEST_REALESTATE_YOY,LEASE_LIAB_YOY,LEND_FUND_YOY,LIAB_BALANCE_YOY,LIAB_EQUITY_BALANCE_YOY,LIAB_EQUITY_OTHER_YOY,LIAB_OTHER_YOY,LOAN_ADVANCE_YOY,LOAN_PBC_YOY,LONG_EQUITY_INVEST_YOY,LONG_LOAN_YOY,LONG_PAYABLE_YOY,LONG_PREPAID_EXPENSE_YOY,LONG_RECE_YOY,LONG_STAFFSALARY_PAYABLE_YOY,MINORITY_EQUITY_YOY,MONETARYFUNDS_YOY,NONCURRENT_ASSET_1YEAR_YOY,NONCURRENT_ASSET_BALANCE_YOY,NONCURRENT_ASSET_OTHER_YOY,NONCURRENT_LIAB_1YEAR_YOY,NONCURRENT_LIAB_BALANCE_YOY,NONCURRENT_LIAB_OTHER_YOY,NOTE_ACCOUNTS_PAYABLE_YOY,NOTE_ACCOUNTS_RECE_YOY,NOTE_PAYABLE_YOY,NOTE_RECE_YOY,OIL_GAS_ASSET_YOY,OTHER_COMPRE_INCOME_YOY,OTHER_CREDITOR_INVEST_YOY,OTHER_CURRENT_ASSET_YOY,OTHER_CURRENT_LIAB_YOY,OTHER_EQUITY_INVEST_YOY,OTHER_EQUITY_OTHER_YOY,OTHER_EQUITY_TOOL_YOY,OTHER_NONCURRENT_ASSET_YOY,OTHER_NONCURRENT_FINASSET_YOY,OTHER_NONCURRENT_LIAB_YOY,OTHER_PAYABLE_YOY,OTHER_RECE_YOY,PARENT_EQUITY_BALANCE_YOY,PARENT_EQUITY_OTHER_YOY,PERPETUAL_BOND_PAYBALE_YOY,PERPETUAL_BOND_YOY,PREDICT_CURRENT_LIAB_YOY,PREDICT_LIAB_YOY,PREFERRED_SHARES_PAYBALE_YOY,PREFERRED_SHARES_YOY,PREMIUM_RECE_YOY,PREPAYMENT_YOY,PRODUCTIVE_BIOLOGY_ASSET_YOY,PROJECT_MATERIAL_YOY,RC_RESERVE_RECE_YOY,REINSURE_PAYABLE_YOY,REINSURE_RECE_YOY,SELL_REPO_FINASSET_YOY,SETTLE_EXCESS_RESERVE_YOY,SHARE_CAPITAL_YOY,SHORT_BOND_PAYABLE_YOY,SHORT_FIN_PAYABLE_YOY,SHORT_LOAN_YOY,SPECIAL_PAYABLE_YOY,SPECIAL_RESERVE_YOY,STAFF_SALARY_PAYABLE_YOY,SUBSIDY_RECE_YOY,SURPLUS_RESERVE_YOY,TAX_PAYABLE_YOY,TOTAL_ASSETS_YOY,TOTAL_CURRENT_ASSETS_YOY,TOTAL_CURRENT_LIAB_YOY,TOTAL_EQUITY_YOY,TOTAL_LIAB_EQUITY_YOY,TOTAL_LIABILITIES_YOY,TOTAL_NONCURRENT_ASSETS_YOY,TOTAL_NONCURRENT_LIAB_YOY,TOTAL_OTHER_PAYABLE_YOY,TOTAL_OTHER_RECE_YOY,TOTAL_PARENT_EQUITY_YOY,TRADE_FINASSET_NOTFVTPL_YOY,TRADE_FINASSET_YOY,TRADE_FINLIAB_NOTFVTPL_YOY,TRADE_FINLIAB_YOY,TREASURY_SHARES_YOY,UNASSIGN_RPOFIT_YOY,UNCONFIRM_INVEST_LOSS_YOY,USERIGHT_ASSET_YOY,OPINION_TYPE,OSOPINION_TYPE,LISTING_STATE
603598.SH,603598,引力传媒,10297388,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,,288934048.9,1047166642.69,,,,,,,,,,,0,,,,,,,16206145.21,,,,601727034.8,,,0,,0,,,,59048442.06,5198553.79,,,,,,,,0,,,,,,2982155.59,,,,,,,,,,,,2870831.03,,,,,,,4105957.06,,0,,,,,,14073252.62,110000000.0,,678384.08,,,-150724.55,145955856.84,,0,,129716489.84,0.0,,288934048.9,1047166642.69,,,,5477562.17,,55510164.65,46853679.79,15755391.26,,,,,,,,0,,,,,,,,,289371335.05,,,,,,,,268462900.0,,,256622203.79,,,29963434.21,,16418070.33,5554268.89,1711127553.77,1605386385.3,1383546561.64,208276481.28,1711127553.77,1502851072.49,105741168.47,119304510.85,24175401.42,67382386.07,208427205.83,,,,,3738000.0,-94399471.88,,10332711.83,,-20.0841804359,20.040611772,,,,,,,,,,,,,,,,,,89.2612161663,,,,42.4268482471,,,,,,,,,3.2778616061,-31.0183091397,,,,,,,,,,,,,,,-28.989275897,,,,,,,,,,,-26.356061776,,,,,,,-55.2544537241,,,,,,,,0.4354980012,265.6653192491,,-45.2394426045,,,0.0,-43.4386739087,,,,41.4380769174,,,-20.0841804359,19.9001127522,,,,0.026260727,,20.884043345,30.5659947286,0.0,,,,,,,,,,,,,,,,,15.6322295971,,,,,,,,4.05643e-05,,,-23.60321708,,,10.7154590636,,0.0,-75.4631621789,8.4515907795,9.7947725002,5.3646928083,-4.4089726413,8.4515907795,10.5121117092,-8.5362302604,154.9539963572,52.3478036998,103.4247968994,-4.4059247605,,,,,0.0,-22.3611658258,,-46.54922401,,,0
603598.SH,603598,引力传媒,10297388,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-28 00:00:00,2025-08-28 00:00:00,CNY,,416738845.54,1008811353.37,,,,,,,,,,,0,,,,,,,14992270.27,,,,659910107.66,,,0,,0,,,,60319633.68,5636708.72,,,,,,,,0,,,,,18603.26,3362760.52,,,,,,,,,,,,3127687.88,,,,,,,3895660.48,,0,,,,,,13917986.04,,,856034.24,,,-150724.55,269469475.26,,0,,132408900.07,0.0,,416738845.54,1011101425.77,,2290072.4,,5482205.61,,55403785.35,56459392.36,15755391.26,,,,,,,,0,,,,,,,,,284975791.78,,,,,,,,268462900.0,,,243569563.24,,,30504777.5,,16418070.33,9768672.57,1777474036.52,1668137154.65,1565302941.55,202638725.77,1777474036.52,1574835310.75,109336881.87,9532369.2,15942682.61,47168073.23,202789450.32,,,,,3738000.0,-98827995.89,,11997388.25,,12.0373488777,17.9662188975,,,,,,,,,,,,,,,,,,275.1776827316,,,,32.3904709342,,,,,,,,,5.914304183,-27.782662462,,,,,,,,,,,,,-98.8240290932,,-26.2710860088,,,,,,,,,,,-24.7268085424,,,,,,,-64.9033535111,,,,,,,,1.04501127,,,-38.754001284,,,0.0,85.5515039684,,,,45.2229191621,,,12.0373488777,17.9586426005,,14.7132033167,,0.1412629328,,-1.5876348918,39.5279254383,0.0,,,,,,,,,,,,,,,,,-16.8356669012,,,,,,,,0.2239951856,,,7.1378736324,,,9.3219725937,,0.0,-44.9194822479,14.5639302992,16.2790156164,21.5538962438,-5.6614860023,14.5639302992,17.8139997445,-6.4810718465,-80.5339788038,25.5290186177,48.9788106492,-5.6575161314,,,,,,-25.4143448735,,-40.9565334033,,,0
603598.SH,603598,引力传媒,10297388,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,,354896790.44,980895081.31,,,,,,,,,,,0,,,,,,,12849145.33,,,,745351019.13,,,0,,0,,,,63081150.28,6078579.19,,,,,,,,0,,,,,1324201.05,3537955.03,,,,,,,,,,,,3531116.81,,,,,,,1652336.14,,0,,,,,,15777748.19,,,1033684.4,,,-150724.55,135031182.88,,0,,178579661.12,0.0,,354896790.44,981896987.04,,1001905.73,,5482794.15,,49529727.89,56975773.06,15755391.26,,,,,,,,0,,,,,,,,,626706172.84,,,,,,,,268462900.0,,,349977954.19,,,29482280.74,,16418070.33,21245653.66,1952261739.21,1835955709.53,1752423400.93,192107422.95,1952261739.21,1760154316.26,116306029.68,7730915.33,15914268.59,41467437.83,192258147.5,,,,,3738000.0,-107216762.31,,13588983.71,,36.6004754518,81.342062606,,,,,,,,,,,,,,,,,,221.5465358597,,,,36.5773324164,,,,,,,,,18.3540910544,-26.4173759547,,,,,,,,,,,,,-74.6345934297,,-27.5553213835,,,,,,,,,,,-19.9651152375,,,,,,,-86.4024636094,,,,,,,,13.5093007133,,,-37.7641574936,,,0.0,164.3508651002,,,,84.5764724113,,,36.6004754518,77.5850339757,,-91.6561881389,,0.1342550709,,-21.3012425587,30.4910662544,0.0,,,,,,,,,,,,,,,,,8.3022997684,,,,,,,,0.2239951856,,,154.8636478785,,,6.7765785369,,0.0,39.2798031303,40.0283492587,43.6331746773,53.892335695,-6.2852093789,40.0283492587,48.0117826045,0.2941117739,-84.6807604814,26.3737663422,51.2942526793,-6.2805914362,,,,,,-20.9982695449,,-38.3842365582,,,0
603598.SH,603598,引力传媒,10297388,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2025-10-31 00:00:00,CNY,,284551883.59,768624289.25,,,,,,,,,,,0,,,,,,,10705945.33,,,,364819177.13,,,0,,0,,,,58928005.53,6763555.6,,,,,,,,0,,,,,4846000.0,3909211.13,,,,,,,,,,,,3641401.58,,,,,,,4671795.4,,0,,,,,,15249834.9,,,1079939.37,,,-150724.55,252182314.12,,0,,178804365.22,0.0,,284551883.59,770351014.36,,1726725.11,,5482151.71,,51337580.08,34302099.18,15755391.26,,,,,,,,0,,,,,,,,,189344470.71,,,,,,,,268462900.0,,,280172152.41,,,41738624.88,,16418070.33,17257122.06,1412438417.31,1297545744.25,1218582415.77,182420650.54,1412438417.31,1230017766.77,114892673.06,11435351.0,16936991.3,29484364.98,182571375.09,,,,,3738000.0,-114759692.28,,16328889.29,,-23.9033101588,42.2875595273,,,,,,,,,,,,,,,,,,167.9135106308,,,,40.0455980267,,,,,,,,,11.4454131239,-14.760517373,,,,,,,,,,,,,-5.2590420332,,-25.9627455793,,,,,,,,,,,-22.006104837,,,,,,,-54.6312391773,,,,,,,,6.2609063107,,,-44.0685169923,,,0.0,-21.914087304,,,,83.0769059628,,,-23.9033101588,39.2824721118,,-86.6089380515,,0.1225219565,,-2.0394523581,32.9745105894,0.0,,,,,,,,,,,,,,,,,27.069037603,,,,,,,,0.2239951856,,,84.0284175625,,,3.4830539617,,0.0,31.9433467795,15.5783305252,17.2618363744,24.7469492817,-7.3758212056,15.5783305252,19.9883296227,-0.5469215724,-76.3101214835,37.1954755733,23.0244611047,-7.3701807718,,,,,,-18.7317239239,,-20.9712770819,标准无保留意见,,0
603598.SH,603598,引力传媒,10297388,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2024-10-31 00:00:00,CNY,,361548001.98,872343640.4,,,,,,,,,,,0,,,,,,,8562845.33,,,,422481464.84,,,0,,0,,,,57174346.12,7536135.64,,,,,,,,0,,,,,1459826.2,4199584.82,,,,,,,,,,,,3898258.43,,,,,,,9176236.3,,0,,,,,,14012229.64,30082152.78,,1238818.8,,,-150724.55,258048859.4,,0,,91712566.14,0.0,,361548001.98,873365853.17,,1022212.77,,5476124.1,,45920175.33,35885055.59,15755391.26,,,,,,,,0,,,,,,,,,250251453.3,,,,,,,,268462791.1,,,335907081.4,,,27063460.21,,16418070.33,22636449.45,1577780041.28,1462170145.94,1313102638.81,217882877.75,1577780041.28,1359897163.53,115609895.34,46794524.72,15868559.2,33123978.54,218033602.3,,,,,3738000.0,-77148228.56,,19331266.27,,-18.313049912,27.0790386427,,,,,,,,,,,,,,,,,,114.2829878759,,,,76.2749005213,,,,,,,,,4.9090663309,375.2546880357,,,,,,,,,,,,,,,-8.6933569933,,,,,,,,,,,-22.8384235392,,,,,,,34.6747911144,,,,,,,,-1.9605916794,-14.1356638358,,174.2030789608,,,0.0,249.8811972161,,,,-5.7158412849,,,-21.8446803778,26.5460874693,,-72.3637213375,,193.6574485199,,79.9501862558,32.8865104263,44.0032104926,,,,,,,,,,,,,,,,,-27.1193715082,,,,,,,,0.2239545305,,,107.0811429324,,,-7.5720901002,,0.0,112.8887719125,24.4780625905,25.7214125801,25.8460340256,20.6019984284,24.4780625905,25.1223630272,10.639322434,7.7374693689,15.0554836278,9.6427686601,20.5848247798,,,,,,29.4343786673,,31.8919275688,,,0
603598.SH,603598,引力传媒,10297388,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-28 00:00:00,2024-08-28 00:00:00,CNY,,371964215.25,855169694.17,,,,,,,,,,,0,,,,,,,3996045.33,,,,498457406.34,,,0,,0,,,,56951357.18,7805201.51,,,,,,,,0,,,,,1581949.0,4560979.32,,,,,,,,,,,,4155115.28,,,,,,,11099808.3,,0,,,,,,13774045.71,30064263.9,,1397698.23,,,-150724.55,145226241.5,,0,,91176310.76,0.0,,371964215.25,857166040.13,,1996345.96,,5474472.21,,56297585.46,40464582.4,15755391.26,,,,,,,,0,,,,,,,,,342665877.5,,,,,,,,267862900.0,,,227342166.67,,,27903610.57,,16418070.33,17735259.16,1551512794.54,1434598621.09,1287743947.27,214799573.56,1551512794.54,1336713220.98,116914173.45,48969273.71,12700396.12,31660927.5,214950298.11,,,,,,-78801189.76,,20319586.47,,-12.4223507477,24.3561059933,,,,,,,,,,,,,,,,,,0.0,,,,78.3503417812,,,,,,,,,9.2427928105,385.2943631316,,,,,,,,,,,,,,,-8.3258016169,,,,,,,,,,,-21.8427123956,,,,,,,323.0800180941,,,,,,,,-1.9741177886,-24.9041365281,,102.3804251185,,,0.0,238.2033700034,,,,-3.6021673755,,,-12.4223507477,23.3529613929,,-72.3145515917,,193.5688658301,,78.8283957565,18.1703051322,44.0032104926,,,,,,,,,,,,,,,,,-3.3513302647,,,,,,,,0.0,,,56.4248161293,,,-6.2993295548,,0.0,114.3677622981,23.7665386859,24.5525244501,24.8018691994,21.0253740158,23.7665386859,24.2186450822,14.8716930951,10.6239519725,-12.1444559586,13.3586331936,21.0075337187,,,,,,29.9594793041,,48.6370841303,,,0
603598.SH,603598,引力传媒,10297388,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2024-04-30 00:00:00,CNY,,259806409.36,540908748.48,,,,,,,,,,,0,,,,,,,3996045.33,,,,545735522.83,,,0,,0,,,,53298664.81,8260889.4,,,,,,,,0,,,,,5220500.0,4883664.47,,,,,,,,,,,,4411972.13,,,,,,,12151731.7,,0,,,,,,13899960.7,30052777.79,,1660914.93,,,-150724.55,51080287.87,,0,,96751042.42,0.0,,259806409.36,552916518.39,,12007769.91,,5475443.09,,62935844.86,43662585.26,15755391.26,,,,,,,,0,,,,,,,,,578663771.85,,,,,,,,267862900.0,,,137319683.33,,,27611186.97,,16418070.33,15253937.17,1394190354.7,1278225391.63,1138733383.32,204991572.49,1394190354.7,1189198782.21,115964963.07,50465398.89,12593015.98,27408468.66,205142297.04,,,,,,-88610161.71,,22054394.77,,-33.3818822506,-6.2860857685,,,,,,,,,,,,,,,,,,4.6305850546,,,,32.5186271834,,,,,,,,,5.8566392194,406.2941088064,,,,,,,,,,,,,-36.4593682636,,-7.9531846684,,,,,,,,,,,-21.062639383,,,,,,,368.799050394,,,,,,,,-2.030077852,-24.9501413079,,47.3871080274,,,-969.280523675,-36.4988397421,,,,0.3858291977,,,-33.3818822506,-4.699413577,,301.5771740739,,193.6209293222,,399.8458576602,34.2976705517,44.0032104926,,,,,,,,,,,,,,,,,6.7709623298,,,,,,,,0.0,,,-19.3293190904,,,-6.8866030722,,0.0,270.2023195074,3.4671081894,2.3727104035,-0.9004258787,33.0038351504,3.4671081894,-0.3476524212,17.2876090925,14.0010484196,-6.2024837938,8.8061004162,33.1166047446,,,,,,34.7772473099,,93.9407481257,,,0
603598.SH,603598,引力传媒,10297388,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-30 00:00:00,2025-06-28 00:00:00,CNY,,373934640.5,540190788.15,,,,,,,,,,,0,,,,,,,3996045.33,,,,260500281.53,,,0,,0,,,,52876115.65,7934768.48,,,,,,,,0,,,,,5115000.0,5280059.56,,,,,,,,,,,,4668828.98,,,,,,,10297383.74,,0,,,,,,14351312.66,30038888.9,,1930825.56,,,-150724.55,322954942.08,,0,,97666259.04,0.0,,373934640.5,553085397.38,,12894609.23,,5475443.09,,52406383.3,25795995.81,15755391.26,,,,,,,,0,,,,,,,,,149009132.58,,,,,,,,267862900.0,,,152243961.08,,,40333777.64,,16418070.33,13079190.79,1222061619.07,1106537117.59,976843460.13,196947117.82,1222061619.07,1025114501.25,115524501.48,48271041.12,12345152.95,23966262.25,197097842.37,,,,944200.79,,-96654616.38,,20661967.81,,-38.2591329205,-22.9020086086,,,,,,,,,,,,,,,,,,4.6305850546,,,,-7.9348945389,,,,,,,,,-5.7701487059,47.9903635263,,,,,,,,,,,,,-47.8690285199,,-8.9207019308,,,,,,,,,,,-20.4735756231,,,,,,,165.3183922226,,,,,,,,-0.6960146417,-24.9939309568,,18.0102214519,,,-676.903173752,3.2559353993,,,,-0.7849905954,,,-38.2591329205,-21.1831349313,,1093.9229682926,,193.6209293222,,102.8166432701,-6.1747678511,44.0032104926,,,,,,,,,,,,,,,,,-26.3584980728,,,,,,,,0.0,,,22.6785554621,,,17.5696177205,,0.0,136.6838895613,-11.9490548383,-13.4340878677,-18.1403926718,35.5490128952,-11.9490548383,-17.5029209703,5.3639824467,-2.070118825,-11.1362879072,-6.9086195535,35.6771460801,,,-1.079346838,,,33.2012379086,,39.3045378463,标准无保留意见,,0
603598.SH,603598,引力传媒,10297388,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-31 00:00:00,2023-10-31 00:00:00,CNY,,442601910.82,686457538.33,,,,,,,,,,,0,,,,,,,3996045.33,,,,239671934.91,,,0,,0,,,,54498956.21,1585704.64,,,,,,,,0,,,,,,4599429.66,,,,,,,,,,,,5052072.04,,,,,13539.8,,6813625.79,,0,,,,,,14292446.15,35034513.89,,451788.8,,,-150724.55,73753280.1,,0,,97272508.33,0.0,,462601910.82,690156345.91,20000000.0,3698807.58,,1864800.0,,25518270.52,27004287.7,10941000.0,,,,,,,,0,,,,,,,,,343371700.38,,,,,,,,267862900.0,,,162210366.74,,,29280614.74,,16418070.33,10632993.58,1267516547.45,1163023955.85,1043419960.73,180662742.4,1267516547.45,1086853805.05,104492591.6,43433844.32,13792092.91,30210819.14,180813466.95,,,,953251.0,,-109328348.71,,14656898.74,,3.8023666632,0.3629974237,,,,,,,,,,,,,,,,,,-61.8934195314,,,,11.5182851835,,,,,,,,,3.4467125,50.445584038,,,,,,,,,,,,,,,-26.0450874117,,,,,,,,,,,-17.7697348943,,,,,-39.5162028837,,39.0275987531,,,,,,,,-62.7688287953,,,-78.3822398396,,,-358.6834931721,-16.1949377875,,,,7.351966703,,,8.4929187881,0.8893233093,,3674.2934489796,,,,210.3983076365,31.2369252949,29.4088425236,,,,,,,,,,,,,,,,,9.2407566812,,,,,,,,0.0,,,-14.7932712163,,,10.4539394605,,0.0,-9.00043208,-0.6653962139,4.2896198113,5.0002858785,-34.6186535013,-0.6653962139,8.7195715317,-35.0252732376,629.3772886249,17.8555206395,47.0896980477,-34.5503057798,,,-1.4773819282,,,-490.8300781174,,-20.8827319622,,,0
603598.SH,603598,引力传媒,10297388,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-18 00:00:00,2023-08-18 00:00:00,CNY,,424725050.77,687678089.74,,,,,,,,,,,0,,,,,,,3996045.33,,,,279482170.52,,,0,,0,,,,52132827.91,1608343.74,,,,,,,,0,,,,,,4975205.02,,,,,,,,,,,,5316350.41,,,,,13539.8,,2623571.86,,0,,,,,,14051437.64,40034513.9,,690629.16,,,-150724.55,42940506.92,,0,,94583361.76,0.0,,424725050.77,694888902.91,,7210813.17,,1864800.0,,31481345.69,34242597.88,10941000.0,,,,,,,,0,,,,,,,,,354547950.26,,,,,,,,267862900.0,,,145336380.95,,,29779520.72,,16418070.33,8273286.51,1253580176.85,1151802123.18,1031830657.29,177483090.06,1253580176.85,1076097086.79,101778053.67,44266429.5,14455998.49,27929877.6,177633814.61,,,,952289.69,,-112508001.05,,13670603.53,,-9.2330690297,0.4671653094,,,,,,,,,,,,,,,,,,-57.6410328331,,,,5.9105301324,,,,,,,,,-2.9325364695,49.3848401499,,,,,,,,,,,,,,,-26.4547548422,,,,,,,,,,,-17.1504278372,,,,,-71.0425251291,,-56.6098112544,,,,,,,,-63.396644986,,,-78.2215325445,,,-356.0318202341,-59.2675067659,,,,-20.6389483277,,,-9.2330690297,1.398011796,,771.1040288367,,,,9.5050195734,34.5110369167,29.4088425236,,,,,,,,,,,,,,,,,-5.1675326836,,,,,,,,0.0,,,-19.3317274263,,,16.0164517249,,0.0,-9.8487334948,-9.3592399857,-5.2358968293,-6.5524610504,-34.6805497071,-9.3592399857,-3.1681456939,-39.2656251133,521.448251542,23.0131962871,56.461757306,-34.6109111575,,,-1.4780184972,,,-410.0535713829,,-38.8601139039,,,0
