日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-05,9.96,15.55,1.63,5.94,5.79,71.11
2025-12-08,9.03,14.03,1.48,-2.44,6.05,65.38
2025-12-09,7.34,11.50,1.20,1.12,6.31,66.67
2025-12-10,4.82,7.53,0.79,0.22,6.48,66.93
2025-12-11,7.21,11.33,1.18,-2.05,6.28,61.98
2025-12-12,9.40,14.40,1.54,-1.16,5.90,59.36
2025-12-15,9.15,14.24,1.50,1.92,5.78,62.18
2025-12-16,11.30,16.83,1.85,-3.76,5.15,54.11
2025-12-17,7.59,11.31,1.25,0.61,4.67,55.09
2025-12-18,7.07,10.29,1.16,-3.93,3.77,47.95
2025-12-19,6.56,9.65,1.08,1.14,3.15,49.90
