代码,简称,公告标题,公告时间,公告链接
002028,思源电气,思源电气股份有限公司2025年度第一次临时股东大会会议资料,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878271&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
002028,思源电气,董事会议事规则,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878259&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
002028,思源电气,第八届董事会第二十六次会议决议公告,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878250&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
002028,思源电气,关于取消监事会并修订公司章程的公告,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878251&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
002028,思源电气,关于公司首次公开发行境外上市外资股(H股)并在香港联合交易所有限公司主板上市方案的公告,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878252&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
002028,思源电气,关于制定及修订公司部分治理制度的公告,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878253&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
002028,思源电气,集团内资金划拨管理制度,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878254&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
002028,思源电气,会计师事务所选聘制度,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878255&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
002028,思源电气,高级管理人员薪酬与绩效考核制度,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878256&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
002028,思源电气,董事和高级管理人员所持公司股份及其变动管理办法,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224878257&orgId=gssz0002028&announcementTime=2025-12-16 00:00:00
