日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-06-29,18.58,19.73,18.51,19.48,46475634.0,914169326.0,587233961.0,0.0791
2020-06-30,19.49,19.99,19.18,19.82,41930990.0,850813436.0,588258062.0,0.0713
2020-07-01,19.8,20.3,19.42,19.86,34737425.0,712425248.0,588258062.0,0.0591
2020-07-02,20.24,21.29,19.9,21.17,51940986.0,1114359271.0,588258062.0,0.0883
2020-07-03,20.92,21.21,20.42,20.83,38959845.0,834359929.0,588258062.0,0.0662
2020-07-06,20.82,21.49,20.59,21.23,44154177.0,957696303.0,588258062.0,0.0751
2020-07-07,21.21,22.79,21.0,21.94,46305402.0,1044618821.0,588258062.0,0.0787
2020-07-08,22.09,23.21,21.94,23.08,36321900.0,849638116.0,588258062.0,0.0617
2020-07-09,23.04,23.7,22.57,23.1,40647092.0,972043403.0,588258062.0,0.0691
2020-07-10,24.02,24.54,23.14,23.66,61819211.0,1517681258.0,588258062.0,0.1051
2020-07-13,24.02,25.96,24.02,25.65,48773834.0,1278702178.0,588258062.0,0.0829
2020-07-14,25.19,26.12,24.88,25.77,44436519.0,1168996999.0,588258062.0,0.0755
2020-07-15,25.9,26.01,23.75,23.89,44378023.0,1123381072.0,588258062.0,0.0754
2020-07-16,23.91,24.99,23.11,23.39,39973720.0,998646613.0,588258062.0,0.068
2020-07-17,23.63,23.83,22.71,22.79,38133407.0,913391672.0,588258062.0,0.0648
2020-07-20,23.26,24.69,23.25,23.73,34897545.0,856742408.0,588258062.0,0.0593
2020-07-21,23.82,24.29,23.36,23.48,26550218.0,650050826.0,588258062.0,0.0451
2020-07-22,23.72,24.69,23.47,23.9,37206480.0,924328730.0,588258062.0,0.0632
2020-07-23,23.45,24.16,23.2,24.08,26601850.0,651916215.0,588258062.0,0.0452
2020-07-24,23.95,24.05,22.32,22.58,32760407.0,782323809.0,588258062.0,0.0557
2020-07-27,22.75,23.83,22.58,23.78,35056514.0,846240373.0,588258062.0,0.0596
2020-07-28,24.99,24.99,23.23,23.44,54406721.0,1345788229.0,588258062.0,0.0925
2020-07-29,23.73,25.79,23.61,25.79,59551907.0,1545038094.0,588258062.0,0.1012
2020-07-30,26.73,27.29,26.07,26.96,69301098.0,1917102119.0,588258062.0,0.1178
2020-07-31,26.72,27.76,26.52,27.41,53433962.0,1499751552.0,588258062.0,0.0908
2020-08-03,27.75,27.98,27.01,27.65,45878431.0,1304473023.0,588258062.0,0.078
2020-08-04,27.67,28.54,27.17,27.4,42312938.0,1209090473.0,588258062.0,0.0719
2020-08-05,27.51,27.98,27.18,27.35,33080817.0,938651435.0,588258062.0,0.0562
2020-08-06,27.59,28.1,26.73,27.42,34499238.0,978977286.0,588258062.0,0.0586
2020-08-07,27.27,27.75,26.64,27.54,29204947.0,824337701.0,588258062.0,0.0496
2020-08-10,27.62,29.7,26.9,29.14,52670444.0,1540197004.0,588258062.0,0.0895
2020-08-11,28.87,29.01,26.22,26.22,67347637.0,1894602220.0,588258062.0,0.1145
2020-08-12,26.25,26.7,25.34,26.07,32635799.0,877008075.0,588258062.0,0.0555
2020-08-13,26.04,26.22,25.22,25.8,25219505.0,671596674.0,588258062.0,0.0429
2020-08-14,25.69,26.12,25.38,26.01,15226273.0,405212124.0,588258062.0,0.0259
2020-08-17,26.15,26.64,25.85,26.56,21360760.0,581383599.0,588258062.0,0.0363
2020-08-18,26.57,26.63,26.12,26.35,16978488.0,461803204.0,588258062.0,0.0289
2020-08-19,26.34,26.35,25.66,25.67,16451773.0,440040196.0,588258062.0,0.028
2020-08-20,25.55,25.76,25.07,25.62,17083117.0,447498723.0,588258062.0,0.029
2020-08-21,25.67,25.83,25.14,25.23,15446162.0,406375139.0,588258062.0,0.0263
2020-08-24,25.34,25.6,25.09,25.34,11261350.0,294851500.0,588258062.0,0.0191
2020-08-25,25.5,25.84,24.84,24.92,16184233.0,422091183.0,588258062.0,0.0275
2020-08-26,24.96,25.15,24.1,24.23,17719373.0,448672429.0,588258062.0,0.0301
2020-08-27,24.46,25.12,24.31,24.83,14176936.0,360324113.0,588258062.0,0.0241
2020-08-28,24.61,25.34,24.3,25.26,14956557.0,383884449.0,588258062.0,0.0254
2020-08-31,25.43,25.58,24.77,24.85,17168342.0,446487098.0,588258062.0,0.0292
2020-09-01,24.9,25.39,24.75,25.08,14041667.0,362811842.0,588258062.0,0.0239
2020-09-02,25.18,25.57,24.75,25.04,16784695.0,435405928.0,588258062.0,0.0285
2020-09-03,25.09,25.11,24.36,24.76,16201407.0,414128598.0,588258062.0,0.0275
2020-09-04,24.34,24.78,24.32,24.66,11130043.0,281574447.0,588258062.0,0.0189
2020-09-07,24.6,25.09,24.39,24.47,13271243.0,338278863.0,588258062.0,0.0226
2020-09-08,24.51,24.64,23.6,23.84,18676772.0,462216008.0,588258062.0,0.0317
2020-09-09,23.73,23.96,22.6,22.72,18688967.0,446308170.0,588258062.0,0.0318
2020-09-10,22.96,23.22,22.43,22.45,13130299.0,309478933.0,588258062.0,0.0223
2020-09-11,22.42,23.88,22.36,23.81,20038176.0,483694195.0,588258062.0,0.0341
2020-09-14,23.82,24.16,23.57,23.81,11447496.0,281599177.0,588258062.0,0.0195
2020-09-15,23.81,23.91,23.35,23.68,7742381.0,188427181.0,588258062.0,0.0132
2020-09-16,23.77,24.14,23.65,23.86,9237073.0,227912697.0,588258062.0,0.0157
2020-09-17,23.78,24.16,23.48,23.97,9752568.0,239879598.0,588258062.0,0.0166
2020-09-18,23.94,24.95,23.74,24.88,21156727.0,538047619.0,588258062.0,0.036
2020-09-21,24.81,25.01,24.43,24.6,10587093.0,269568161.0,588258062.0,0.018
2020-09-22,24.4,24.46,23.94,23.98,10841569.0,270312303.0,588258062.0,0.0184
