证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
思源电气,上海思源电气股份有限公司,0.0,0.0,,237.6,0.0,3960.0,3960.0,,,0.0,,0.0,0.0,,3722.4,0.0,,0.0,,,定期报告,2004-08-20,0.0,002028,2004-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,3960.0,,0.0,0.0,,0.0,0.0,,,015019
思源电气,上海思源电气股份有限公司,0.0,0.0,,237.6,0.0,3960.0,3960.0,,,0.0,,0.0,0.0,,3722.4,1340.0,,0.0,,,A股上市,2004-07-30,0.0,002028,2004-08-05,0.0,0.0,,0.0,0.0,0.0,0.0,5300.0,,0.0,0.0,,0.0,1340.0,,,015001
思源电气,上海思源电气股份有限公司,0.0,0.0,,0.0,0.0,3960.0,3960.0,,,0.0,,0.0,0.0,,3722.4,1340.0,,0.0,,,定期报告,2005-03-02,0.0,002028,2004-12-31,0.0,237.6,,0.0,0.0,0.0,0.0,5300.0,,0.0,0.0,,0.0,1340.0,,,015019
思源电气,上海思源电气股份有限公司,0.0,0.0,,0.0,0.0,7920.0,7920.0,,,0.0,,0.0,0.0,,7444.8,2680.0,,0.0,,,"送股,转增",2005-04-21,0.0,002028,2005-04-28,0.0,475.2,,0.0,0.0,0.0,0.0,10600.0,,0.0,0.0,,0.0,2680.0,,,"015010,015011"
思源电气,上海思源电气股份有限公司,0.0,0.0,,0.0,0.0,7920.0,7920.0,,,0.0,,0.0,0.0,,7444.8,2680.0,,0.0,,,定期报告,2005-08-09,0.0,002028,2005-06-30,0.0,475.2,,0.0,0.0,0.0,0.0,10600.0,,0.0,0.0,,0.0,2680.0,,,015019
思源电气,上海思源电气股份有限公司,0.0,0.0,,0.0,0.0,0.0,0.0,,7116.0,0.0,,0.0,0.0,,0.0,3484.0,,0.0,,,股权分置,2005-11-04,0.0,002028,2005-11-10,0.0,0.0,,0.0,7116.0,0.0,0.0,10600.0,,0.0,0.0,,0.0,3484.0,,,015020
思源电气,上海思源电气股份有限公司,0.0,0.0,,0.0,0.0,0.0,0.0,,7116.0,0.0,,0.0,0.0,,0.0,3484.0,,0.0,,,定期报告,2006-02-28,0.0,002028,2005-12-31,0.0,0.0,,0.0,7116.0,0.0,0.0,10600.0,,0.0,0.0,,0.0,3484.0,,,015019
思源电气,上海思源电气股份有限公司,,,,,0.0,0.0,0.0,,7116.0,,0.0,,,426.96,,3484.0,,,,,定期报告,2006-08-15,,002028,2006-06-30,,,,,7116.0,,0.0,10600.0,,,,,,3484.0,6689.04,7116.0,015019
思源电气,上海思源电气股份有限公司,,,,,0.0,0.0,0.0,,5364.8944,,0.0,,,,,3982.6848,0.0,,,,股权分置受限股份上市,2006-11-07,,002028,2006-11-10,,0.0,,,5364.8944,,1252.4208,10600.0,,,0.0,,,5235.1056,5364.8944,5364.8944,015021
思源电气,思源电气股份有限公司,,,,,0.0,0.0,0.0,,5364.8944,0.0,0.0,,0.0,0.0,,5235.1056,,,,,定期报告,2007-02-08,,002028,2006-12-31,,,,,5364.8944,,,10600.0,,,0.0,,,5235.1056,5364.8944,5364.8944,015019
