SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688213.SH,688213,思特威,10000168407,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,5851215346.19,,,,,,,,,,,,328205709.62,74338590.39,,0.0,6253759646.2,6693684345.84,,,,,,425926909.55,75077031.58,101362808.67,,0.0,7296051095.64,,0.0,-1042291449.44,,6526000.0,371346.17,,,,,0.0,6897346.17,489838532.51,84315.0,,,,,,0.0,489922847.51,,0.0,-483025501.34,5727177.87,,4308217959.93,,,,0.0,4313945137.8,2411662183.66,123635160.07,,,6605080.58,,,0.0,2541902424.31,,0.0,1772042713.49,6353342.28,,0.0,253079104.99,1203169413.66,,0.0,1456248518.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7539683363,,,,,,,,,,,,63.6946967344,385.6883994915,,,25.5163926756,28.5397271031,,,,,,53.6610132716,360.8885514142,6.1892398295,,,30.3701218962,,,-69.7573824445,,-13.1983752508,-76.8178268362,,,,,,-24.3724760128,13.8806684627,-99.3114558546,,,,,,,9.7022633079,,,-10.4126312977,,,58.0767735351,,,,,58.2869146671,70.7129887521,-0.1751745021,,,,,,,65.4289885461,,,49.0559571764,167.4448435387,,,97.7768303255,73.1474518608,,,76.9776140897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-23 00:00:00,2025-08-23 00:00:00,CNY,3169471524.96,,,,,,,,,,,,219995076.4,23785586.18,,0.0,3413252187.54,4718277732.42,,,,,,288440474.94,64444206.6,52810858.48,,0.0,5123973272.44,,0.0,-1710721084.9,,6265000.0,,,,,,0.0,6265000.0,292829749.3,,,,,,,0.0,292829749.3,,0.0,-286564749.3,,,3231940345.07,,,,0.0,3231940345.07,1295759183.66,100084542.24,,,4504801.57,,,0.0,1400348527.47,,0.0,1831591817.6,8215528.27,,0.0,-157478488.33,1203169413.66,,0.0,1045690925.33,396863571.69,26875426.48,64219336.54,64219336.54,,13790757.27,38017948.81,,,,,444122.5,6102444.35,26036979.93,-3422000.0,28851897.92,28851897.92,,,-159242943.28,-2315940543.15,120187233.24,35472900.4,,0.0,-1710721084.9,,,,,1045690925.33,1203169413.66,,,,,-157478488.33,10.9790970984,,,,,,,,,,,,72.0839086924,172.8011122102,,,14.06104939,52.4558660645,,,,,,70.9426503518,368.1787445212,123.8354598609,,,55.2276079078,,,-454.594065798,,5.6749459982,,,,,,,-16.8040922963,5.305303569,,,,,,,,3.4324146221,,,-3.9853879844,,,81.596991172,,,,,81.596991172,34.4804991395,164.0571976641,,,74.2782860837,,,,39.474602851,,,136.1164511645,610.4620640352,,,-182.8569721283,73.1474518608,,,18.1649078593,164.9268803031,-4.5017276731,71.9396456607,71.9396456607,,45.0278570333,-8.9597692736,,,,,1033.1612627997,44.9428498729,-36.2299159248,-36.0289511904,369.5322932116,369.5322932116,,,80.0467250693,-3678.3251924364,-31.515399801,-43.7817572789,,,-454.594065798,,,,,18.1649078593,73.1474518608,,,,,-182.8569721283,,,,,3728098.33,21.6325707068
688213.SH,688213,思特威,10000168407,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,1437201525.75,,,,,,,,,,,,86399320.22,4179316.04,,0.0,1527780162.01,1815189243.51,,,,,,155339613.31,12416813.76,35197010.78,,0.0,2018142681.36,,0.0,-490362519.35,,,,,,,,,,167542128.99,,,,,,,0.0,167542128.99,,0.0,-167542128.99,,,1353345823.47,,,,0.0,1353345823.47,837414183.66,19118459.12,,,1224226.38,,,0.0,857756869.16,,0.0,495588954.31,4407248.67,,0.0,-157908445.36,1203169413.66,,0.0,1045260968.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6945857606,,,,,,,,,,,,69.1855989052,-10.719995664,,,17.7038647587,17.6974403969,,,,,,56.2560199752,543.1158878443,-0.3837625996,,,20.204295854,,,-28.7240583992,,,,,,,,,,24.1380241786,,,,,,,,-5.7613233902,,,5.05112438,,,31.0630407892,,,,,31.0630407892,129.9014115132,0.7731659465,,,,,,,123.8282336671,,,-23.6816306287,317.270548662,,100.0,-275.5590342699,73.1474518608,,,33.1835379828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,7232901225.16,,,,,,,,,,,,278496779.42,36931033.38,,0.0,7548329037.96,6665180400.02,,,,,,364483013.07,22788508.68,121467064.77,,0.0,7173918986.54,,0.0,374410051.42,52422084.12,14473560.99,1174424.76,,,9803999.34,,0.0,77874069.21,547772089.57,30852291.99,,24500.21,,9650999.34,,0.0,588299881.11,,0.0,-510425811.9,57503772.12,,3422424406.37,,,,0.0,3479928178.49,2669150674.49,141981490.68,,,27263212.77,,,0.0,2838395377.94,,0.0,641532800.55,2770987.39,,0.0,508288027.46,694881386.2,,0.0,1203169413.66,392738925.26,91458816.15,88447753.64,88447753.64,,22270957.88,78114703.55,,,,-609021.54,,-1298919.28,77748197.16,8180281.68,13145747.18,13145747.18,,,-1433796763.47,517798258.49,396532642.17,,124428757.47,0.0,374410051.42,,,,,1203169413.66,694881386.2,,,,,508288027.46,146.0906685332,,,,,,,,,,,,47.6836030206,-41.2215328787,,,136.5855753222,228.3582141869,,,,,,22.4307308602,104.8350675244,43.1767493922,,,196.0125778478,,,-51.1857480598,,536.5723280582,-56.2060520133,,,620.8823044118,,,1133.0866852329,-0.0050011456,-41.2112137513,,,,-57.4853335624,,,-5.5667773949,,,17.2279427307,,,64.5284863638,,,,,67.292903474,19.6160596359,119.0287646858,,,-20.6354193482,,,,21.7878279616,,,356.1358472453,-5.680800442,,,623.0234245646,-12.2695446479,,,73.1474518608,2662.7589367797,-6.1618139268,64.0951539955,64.0951539955,,39.4043743767,13.7133880762,,,,-192.5170567163,,-122.0726923501,40.5231331428,3866.6027813462,135.3220421201,135.3220421201,,,-356.61093791,267.8246099294,82.1363220479,,740.466766698,,-51.1857480598,,,,,73.1474518608,-12.2695446479,,,,,623.0234245646,标准无保留意见,,,,6821905.88,45.3287798087
688213.SH,688213,思特威,10000168407,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-30 00:00:00,CNY,4766620114.6,,,,,,,,,,,,200498682.1,15305819.63,,0.0,4982424616.33,5207482928.97,,,,,,277186060.72,16289628.23,95454877.38,,0.0,5596413495.3,,0.0,-613988878.97,,7518292.45,1601860.91,,,,,0.0,9120153.36,430133172.84,12245402.21,,,,4214624.34,,0.0,446593199.39,,0.0,-437473046.03,,,2725395934.89,,,,0.0,2725395934.89,1412699877.9,123852117.4,,,,,,0.0,1536551995.3,,0.0,1188843939.59,-9420056.37,,0.0,127961958.22,694881386.2,,0.0,822843344.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.2668162328,,,,,,,,,,,,61.6029921994,-67.4095340541,,,137.398933732,471.6907720826,,,,,,19.5421914829,48.4637966848,26.6590346827,,,355.3260136703,,,-170.6013677817,,,-40.5206741317,,,,,,-54.6807540446,37.2565374323,-76.5890011122,,,,-89.6003056277,,,9.9410191915,,,-13.3093343935,,,122.156324428,,,,,122.156324428,-26.8712497555,154.9375631356,,,,,,,-22.5236049327,,,257.1588987982,-337.5051858771,,,147.5827362891,-12.2695446479,,,57.2896622711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-24 00:00:00,2025-08-23 00:00:00,CNY,2855917562.7,,,,,,,,,,,,127841747.71,8719020.97,,0.0,2992478331.38,3094848269.35,,,,,,168735230.41,13764872.36,23593606.89,,0.0,3300941979.01,,0.0,-308463647.63,,5928557.56,1601860.91,,,,,0.0,7530418.47,278076924.31,1773416.61,,,,3261825.0,,0.0,283112165.92,,0.0,-275581747.45,,,1779732320.57,,,,0.0,1779732320.57,963529427.65,37902599.56,,,2584832.38,,,0.0,1004016859.59,,0.0,775715460.98,-1609429.74,,0.0,190060636.16,694881386.2,,0.0,884942022.36,149801172.02,28142316.95,37349929.56,37349929.56,,9509040.23,41759504.02,,,,-271578.25,39193.23,4210241.73,40829458.37,-2515640.95,6144816.52,6144816.52,,,-798079231.77,-61295426.55,175495268.85,63098557.84,,0.0,-308463647.63,,,,,884942022.36,694881386.2,,,,,190060636.16,133.4646073471,,,,,,,,,,,,85.9656796494,-79.5725546035,,,124.2053693962,645.1156696402,,,,,,-2.0752646607,92.557204866,-42.5720404864,,,419.1018810315,,,-144.1413190348,,,-40.5206741317,,,,,,179.6149224352,2.0296100208,-96.5744644975,,,,,,,-12.7047904626,,,14.3151984408,,,78.8280245494,,,,,78.8280245494,-26.4922956112,0.6908593375,,,16.2779904896,,,,-25.6643103249,,,318.2455184669,-119.761239888,,,535.6854320533,-12.4199225212,,,7.4842415138,325.8120834169,-4.5648088436,45.3932857492,45.3932857492,,12.0030700608,75.3295613622,,,,-22188.6471447565,-94.0570075397,102.6988192985,35.8737649396,-242.0864699238,118.083048934,118.083048934,,,-327.1372785432,-120.5445920174,801.7719620027,872.1309843174,,,-144.1413190348,,,,,7.4842415138,-12.4199225212,,,,,535.6854320533,,,,,3065049.36,28.2722760157
688213.SH,688213,思特威,10000168407,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-19 00:00:00,CNY,1242237496.51,,,,,,,,,,,,51067774.55,4681133.33,,0.0,1297986404.39,1542250398.47,,,,,,99413522.33,1930727.26,35332604.1,,0.0,1678927252.16,,0.0,-380940847.77,1329796.2,,,,,,,0.0,1329796.2,134964391.53,42820500.0,,,,,,0.0,177784891.53,,0.0,-176455095.33,,,1032591503.54,,,,0.0,1032591503.54,364249257.17,18971775.81,,,,,,0.0,383221032.98,,0.0,649370470.56,-2028461.15,,-0.01,89946066.3,694881386.2,,0.0,784827452.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8315464155,,,,,,,,,,,,108.2817776932,-73.968070573,,100.0,93.6057026262,859.5556392241,,,,,,8.9489582151,-44.2629301969,22.1634773917,,100.0,490.4238474381,,,-198.6719270884,,,,,,,,,-50.3791835266,-36.7121104818,2803.0847457627,,,,,,,-17.2052579551,,,16.7860010375,,,81.4105420659,,,,,81.4105420659,-54.5276693762,37.3395858283,,,,,,,-52.9702843043,,,364.3508263575,-17.5462616852,,,222.6182435611,-12.4199225212,,,8.9932946401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-19 00:00:00,CNY,2939120474.69,,,,,,,,,,,,188576642.04,62830888.91,,0.0,3190528005.64,2029850362.21,,,,,,297705494.78,11125296.54,84837143.8,,0.0,2423518297.33,,0.0,767009708.31,,2273671.09,2681705.61,,,1360000.0,,0.0,6315376.7,547799485.82,52479892.78,,,,22700400.0,,0.0,622979778.6,,0.0,-616664401.9,,,2080140942.16,,,,0.0,2080140942.16,2231431701.24,64823216.66,,,34351863.95,,,0.0,2330606781.85,,0.0,-250465839.69,2937882.64,,0.0,-97182650.64,792064036.84,,0.0,694881386.2,14215461.22,97464390.54,53900283.76,53900283.76,,15975795.58,68694377.04,,,,658280.28,,5884734.22,55327685.5,206228.91,-37216837.96,-37216837.96,,,558743432.82,-308535356.47,217712006.98,,14804720.71,0.0,767009708.31,,,,,694881386.2,792064036.84,,,,,-97182650.64,30.9670012228,,,,,,,,,,,,-26.8434715759,5.4043280577,,,24.5546073019,-43.5282571652,,,,,,-9.1288148848,-75.3340001141,-28.3284502777,,,-40.6805730181,,,150.3290715092,,-86.6067390189,6006.5169290002,,,,,,-62.8947010103,360.3977007622,,,,,,,,423.5829260764,,,-504.7874206996,,,-19.5055063861,,,,,-44.9972031622,8.3168661575,27.2017895226,,,39.1209306736,,,,9.1236134691,,,-115.2154086089,-87.5686485181,,,-321.8149566422,5.8553153377,,,-12.2695446479,117.1792127359,68.0160244527,15.5112053191,15.5112053191,,-19.8143251645,89.3737330258,,,,2062.9087105304,,1125.509989023,-68.4186085165,101.2148096643,39.473257548,39.473257548,,,132.1292812565,-415.3723295061,363.5546154921,,-4.9626475296,,150.3290715092,,,,,-12.2695446479,5.8553153377,,,,,-321.8149566422,标准无保留意见,,,,4694119.01,5.9732339799
688213.SH,688213,思特威,10000168407,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-26 00:00:00,CNY,1927723334.34,,,,,,,,,,,,124068669.38,46964101.88,,0.0,2098756105.6,910891548.94,,,,,,231872995.87,10972121.55,75363654.57,,0.0,1229100320.93,,0.0,869655784.67,937500.0,,2693138.98,,,16493600.0,,0.0,20124238.98,313379006.12,52306192.78,,,,40526425.0,,0.0,406211623.9,,0.0,-386087384.92,,,1226791963.68,,,,0.0,1226791963.68,1931798195.89,48581352.97,,,2872245.4,,,0.0,1983251794.26,,0.0,-756459830.58,3966252.92,,0.0,-268925177.91,792064036.84,,0.0,523138858.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1073058126,,,,,,,,,,,,60.5074761095,-5.6219491498,,,37.8153853924,-68.048697233,,,,,,-4.7984485322,-41.4879525514,4.4486550296,,,-61.4138458166,,,152.3112153753,,,,,,,,,87.3416401043,192.2394215739,,,,,,,,278.8098362903,,,-300.1251657286,,,-50.252179157,,,,,-67.0813343833,34.412386272,42.9928502885,,,-96.4635193536,,,,27.7531189709,,,-134.7905285953,-80.1212779927,,,-161.7761142982,5.8553153377,,,-55.8000646704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-26 00:00:00,2024-08-24 00:00:00,CNY,1223276450.83,,,,,,,,,,,,68744807.08,42682874.93,,0.0,1334704132.84,415351387.1,,,,,,172311142.66,7148458.75,41083832.84,,0.0,635894821.35,,0.0,698809311.49,,,2693138.98,,,,,0.0,2693138.98,272545317.24,51770492.78,,,,,,0.0,324315810.02,,0.0,-321622671.04,,,995220030.56,,,,0.0,995220030.56,1310786992.55,37642542.54,,,2222976.48,,,0.0,1350652511.57,,0.0,-355432481.01,8144376.31,,0.0,29898535.75,793424036.84,,0.0,823322572.59,-66338864.49,29488406.33,25688895.72,25688895.72,,8489981.77,23817720.01,,,,-1218.46,659486.45,2077092.38,30049552.53,1770500.0,-33981086.61,-33981086.61,,,351364266.09,298353097.0,19461158.28,6490746.5,,0.0,698809311.49,,,,,823322572.59,793424036.84,,,,,29898535.75,18.0154470083,,,,,,,,,,,,34.8247033725,127.3660376454,,,20.6457339935,-77.747655773,,,,,,6.8841944703,-58.3507740655,-41.6380343705,,,-69.938633994,,,169.2560937736,,,,,,,,,,241.511548984,,,,,,,,306.3823064786,,,-303.0076821262,,,-31.802161521,,,,,-63.4114084093,79.8967032072,108.9445154626,,,-97.0768764806,,,,64.1738115088,,,-118.7332824047,-61.1271588239,,,-96.3954006626,5.8446921971,,,-47.860178427,-1433.2456108759,3398.4795479032,14.6166228439,14.6166228439,,-24.4560344757,20.3304779069,,,,,,,-59.4120389987,,-904.5013289264,-904.5013289264,,,130.2647482813,239.1800047044,-91.4057054098,-15.3539436312,,,169.2560937736,,,,,-47.860178427,5.8446921971,,,,,-96.3954006626,,,,,2389487.0,4.6033590648
