SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688213.SH,688213,思特威,10000168407,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,6317151337.98,50.1384513533,6317151337.98,50.1384513533,,,,,,,,,,,5502108736.15,43.7593977163,4834182189.33,47.2197281144,,,,,422947825.18,31.6881443211,,,,,,,,,,,,,8103313.03,15.412928022,102132871.0,38.9767775084,99179150.43,43.2743765819,,,35563387.18,-51.11243814,56625659.15,-6.3762317467,14021493.49,78.8520357843,,,,,,,-1503042.03,93.7611492549,2929204.13,122.8250337358,,,,,,,371346.17,36.7363489799,-42247301.72,33.0629573771,-9258336.72,-245.4830824037,10668860.73,84.3673552767,,,0.0,,776003332.39,165.1831714029,192500.55,1825.0055,,,571107.14,-89.8038307812,,,,,0.0,,775624725.8,170.2167550212,76166117.08,451.920946903,,,,,,,699458608.72,155.9889641892,,,699458608.72,155.9889641892,,,699458608.72,155.9889641892,,,689757958.47,126.1884996066,,,,,1.75,157.3529411765,1.75,157.3529411765,-5788857.62,-55.9726924948,-5788857.62,-55.9726924948,,,,,,,,,,,,,,,,,,,,,-5788857.62,-55.9726924948,,,,,,,,,,,,,,,-5788857.62,-55.9726924948,,,,,,,,,693669751.1,157.3662172391,693669751.1,157.3662172391,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-23 00:00:00,2025-08-23 00:00:00,CNY,3786399097.63,54.1135268964,3786399097.63,54.1135268964,,,,,,,,,,,3312912689.84,45.5549319262,2909394131.57,50.143066869,,,,,254594218.37,28.1457487033,,,,,,,,,,,,,4912200.81,8.9829224463,64700605.41,41.0311897901,61658094.74,46.1289496205,,,17653438.94,-62.4832355577,34270438.49,-10.1908631144,9300046.69,72.6286452462,,,,,,,-6102444.35,-44.9428498729,3422000.0,36.0289511904,,,,,,,,,-26875426.48,4.5017276731,-7293684.07,-226.92794007,4878846.95,8.697377707,,,0.0,,441515699.84,173.3803841313,192500.55,1825.0055,,,571122.5,-89.6651731811,,,,,0.0,,441137077.89,182.805303718,44273506.2,615.824302608,,,,,,,396863571.69,164.9268803031,,,396863571.69,164.9268803031,,,396863571.69,164.9268803031,,,395700064.0,159.4032210869,,,,,0.99,167.5675675676,0.99,167.5675675676,-2087589.06,-179.7507644897,-2087589.06,-179.7507644897,,,,,,,,,,,,,,,,,,,,,-2087589.06,-179.7507644897,,,,,,,,,,,,,,,-2087589.06,-179.7507644897,,,,,,,,,394775982.63,159.0073847633,394775982.63,159.0073847633,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,1749619552.82,108.9358148252,1749619552.82,108.9358148252,,,,,,,,,,,1536130982.62,87.3514289732,1350837151.27,104.8780791755,,,,,117453778.91,30.7391482237,,,,,,,,,,,,,2295643.04,11.6295428241,28376078.8,28.2069182202,30310575.33,42.6150108723,,,6857755.27,-72.8955948943,14949679.21,-19.741929032,3322906.11,35.7872240954,,,,,,,1637836.64,120.7083607045,153000.0,116.5049985874,,,,,,,,,-3325278.5,-62.5586397677,-1816896.85,-294.5811409048,1748705.56,-13.0757047313,,,0.0,,211885937.05,2121.0189343267,130000.55,,,,571128.18,8.5396290636,,,,,0.0,,211444809.42,2245.7795696515,19991934.69,498.858959785,,,,,,,191452874.73,1264.9737482166,,,191452874.73,1264.9737482166,,,191452874.73,1264.9737482166,,,189197919.5,864.9858638753,,,,,0.48,1100.0,0.48,1100.0,-709366.82,-182.862231802,-709366.82,-182.862231802,,,,,,,,,,,,,,,,,,,,,-709366.82,-182.862231802,,,,,,,,,,,,,,,-709366.82,-182.862231802,,,,,,,,,190743507.91,1181.6888155934,190743507.91,1181.6888155934,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,5968147934.08,108.8705279579,5968147934.08,108.8705279579,,,,,,,,,,,5476315837.05,95.9563650705,4709616417.57,105.4319892188,,,,,447403344.41,56.3502378742,,,,,,,,,,,,,9648522.26,29.1914383721,110004664.4,30.1022265294,104598844.26,40.5943330229,,,95044044.15,91.8340632257,79925522.9,38.4723132502,12447409.55,-14.4860267559,,,,,,,1298919.28,122.0726923501,-8180281.68,-3866.6027813462,,,,,,,651773.63,201.226419021,-91458816.15,6.1618139268,7572190.8,269.0075478472,15054396.95,-37.3525654455,,,0.0,,416770279.86,1997.2668724801,62500.0,-76.7153277819,,,5656752.09,1158.7251454863,,,,,0.0,,411176027.77,1956.5042661583,18437102.51,150.7024666559,,,,,,,392738925.26,2662.7589367797,,,392738925.26,2662.7589367797,,,392738925.26,2662.7589367797,,,391418816.53,64342.6254220982,,,,,0.98,2350.0,0.98,2350.0,6829254.81,-34.8485818476,6829254.81,-34.8485818476,,,,,,,35972.0,-97.8899082569,,,35972.0,-97.8899082569,,,,,,,,,6793282.81,-22.6045542511,,,,,,,,,,,,,,,6793282.81,-22.6045542511,,,,,,,,,399568180.07,1517.8428685285,399568180.07,1517.8428685285,,,,,,,,,,,,,标准无保留意见
688213.SH,688213,思特威,10000168407,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-30 00:00:00,CNY,4207550618.14,137.3305318343,4207550618.14,137.3305318343,,,,,,,,,,,3827303691.83,110.5668823683,3283651078.05,126.7178324369,,,,,321173806.01,50.1077506043,,,,,,,,,,,,,7021148.47,38.1539735762,73489163.32,25.6386055864,69223229.44,30.1624768232,,,72745266.54,88.6674873943,60482140.6,35.0800504278,7839717.02,-34.3927249336,,,,,,,-24091649.11,-242.6897115493,-12833295.95,-837.6266493753,,,,,,,271578.24,142.0997249083,-63114980.98,-5.55926587,6363857.96,4335.828252367,5786740.67,33.5084561198,,,0.0,,292629177.14,367.4743209353,10000.0,-96.2912335554,,,5601193.23,1146.3623385214,,,,,0.0,,287037983.91,361.9333506653,13800185.97,131.2859875428,,,,,,,273237797.94,517.3190223552,,,273237797.94,517.3190223552,,,273237797.94,517.3190223552,,,304948288.56,608.8899160207,,,,,0.68,525.0,0.68,525.0,-3711455.85,-126.3650858933,-3711455.85,-126.3650858933,,,,,,,,,,,,,,,,,,,,,-3711455.85,-126.3650858933,,,,,,,,,,,,,,,-3711455.85,-126.3650858933,,,,,,,,,269526342.09,624.3968511572,269526342.09,624.3968511572,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-24 00:00:00,2025-08-23 00:00:00,CNY,2456889524.16,129.03530924,2456889524.16,129.03530924,,,,,,,,,,,2276056637.86,99.3886841298,1937747904.21,117.7415671503,,,,,198675508.9,41.0859750076,,,,,,,,,,,,,4507312.43,33.97637506,45876806.05,11.5805206714,42194305.03,15.8488173287,,,47054801.24,57.5479098354,38159189.23,16.6832653514,5387313.72,-40.9380848514,,,,,,,-4210241.73,-102.6988192985,2515640.95,242.0864699238,,,,,,,271578.25,142.0997264585,-28142316.95,4.5648088436,5746318.79,492.4595741203,4488467.94,68.7755357781,,,0.0,,161502333.55,262.8752434742,10000.0,-95.1750231406,,,5526193.23,1129.6735417685,,,,,0.0,,155986140.32,256.9289265949,6184968.3,118.7081078042,,,,,,,149801172.02,325.8120834169,,,149801172.02,325.8120834169,,,149801172.02,325.8120834169,,,152542463.56,338.3601867415,,,,,0.37,317.6470588235,0.37,317.6470588235,2617641.44,-84.088237496,2617641.44,-84.088237496,,,,,,,,,,,,,,,,,,,,,2617641.44,-84.088237496,,,,,,,,,,,,,,,2617641.44,-84.088237496,,,,,,,,,152418813.46,405.5227256417,152418813.46,405.5227256417,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-19 00:00:00,CNY,837395711.35,84.3112267981,837395711.35,84.3112267981,,,,,,,,,,,819919544.27,68.4939932911,659337083.16,80.9275250762,,,,,89838262.3,20.2130945918,,,,,,,,,,,,,2056483.42,32.3769241775,22133032.44,8.5093298679,21253425.67,12.0020022646,,,25301257.28,287.0688906685,18627010.38,12.0360982068,2447141.94,13.7891839355,,,,,,,-7909059.84,,-926991.9,37.1530915254,,,,,,,,,-2045587.06,59.9318078776,933747.66,-57.2847657898,2011756.96,21.4858543913,,,0.0,,9540032.9,126.751246432,,,,,526193.23,46.1647861111,,,,,0.0,,9013839.67,125.0405230667,-5012281.71,51.4130826974,,,,,,,14026121.38,154.6169461308,,,14026121.38,154.6169461308,,,14026121.38,154.6169461308,,,19606289.23,179.0559492086,,,,,0.04,166.6666666667,0.04,166.6666666667,856079.79,115.5606166106,856079.79,115.5606166106,,,,,,,,,,,,,,,,,,,,,856079.79,115.5606166106,,,,,,,,,,,,,,,856079.79,115.5606166106,,,,,,,,,14882201.17,147.7261680502,14882201.17,147.7261680502,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-19 00:00:00,CNY,2857343251.07,15.0768366983,2857343251.07,15.0768366983,,,,,,,,,,,2794660859.87,7.3465246532,2292542868.07,18.5920502293,,,,,286154565.86,-6.8654128675,,,,,,,,,,,,,7468391.39,53.4295883168,84552484.1,9.8784663908,74397624.72,-1.9068501223,,,49544925.73,-75.873736721,57719497.15,-0.2606474988,14555994.86,25.7713707739,,,,,,,-5884734.22,-1125.509989023,-206228.91,-101.2148096643,,,,,,,-643877.0,-1741.5676396428,-97464390.54,-68.0160244527,-4480386.17,19.769238362,24030348.66,8.1481134404,,,0.0,,-21966876.98,84.7661970873,268416.92,2786.821158506,,,449403.28,-8.7852998212,,,,,0.0,,-22147863.34,84.6920012296,-36363324.56,41.2865976441,,,,,,,14215461.22,117.1792127359,,,14215461.22,117.1792127359,,,14215461.22,117.1792127359,,,607391.17,100.5237190554,,,,,0.04,118.5270958777,0.04,118.5270958777,10482127.64,365.4074656226,10482127.64,365.4074656226,,,,,,,1704760.0,148.7103174603,,,1704760.0,148.7103174603,,,,,,,,,8777367.64,289.3760801085,,,,,,,,,,,,,,,8777367.64,289.3760801085,,,,,,,,,24697588.86,128.4870884633,24697588.86,128.4870884633,,,,,,,,,,,,,标准无保留意见
688213.SH,688213,思特威,10000168407,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-26 00:00:00,CNY,1772865288.6,7.155596536,1772865288.6,7.155596536,,,,,,,,,,,1817619014.34,4.3501499813,1448342656.93,18.4176611791,,,,,213962173.65,-4.2069035341,,,,,,,,,,,,,5082118.37,124.7403777329,58492501.55,0.8984710663,53182169.8,-4.5106241681,,,38557394.04,-78.5171877474,44775035.55,29.2693379352,11949462.94,51.5136061568,,,,,,,-7030164.11,-151.4796425547,-1368700.0,-112.7415751257,,,,,,,-645083.17,,-59791038.2,-282.7383318731,-150238.81,95.8322227217,4334362.66,-72.5683657068,,,0.0,,-109404587.37,-64.7748154518,269631.43,,,,449403.28,-7.7200657084,,,,,0.0,,-109584359.22,-63.8438202197,-44109798.2,-74.8691350276,,,,,,,-65474561.02,-57.1680028511,,,-65474561.02,-57.1680028511,,,-65474561.02,-57.1680028511,,,-59924215.23,22.4321019495,,,,,-0.16,-45.4545454545,-0.16,-45.4545454545,14077161.99,966.4945276778,14077161.99,966.4945276778,,,,,,,,,,,,,,,,,,,,,14077161.99,966.4945276778,,,,,,,,,,,,,,,14077161.99,966.4945276778,,,,,,,,,-51397399.03,-27.413614317,-51397399.03,-27.413614317,,,,,,,,,,,,,
688213.SH,688213,思特威,10000168407,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-26 00:00:00,2024-08-24 00:00:00,CNY,1072712121.25,6.2489476154,1072712121.25,6.2489476154,,,,,,,,,,,1141517457.62,13.0306951294,889930172.53,23.112012305,,,,,140818751.75,12.4206873054,,,,,,,,,,,,,3364259.13,99.0273064842,41115425.68,21.2922971244,36421869.47,17.6898053953,,,29866979.06,-68.6468498397,32703223.65,64.7886758109,9121468.05,265.6923616214,,,,,,,-2077092.38,,-1770500.0,,,,,,,,-645083.17,,-29488406.33,-39508.8675545924,969909.01,205.686939712,2659430.42,-57.0581671233,,,0.0,,-99157078.82,-2062.1435752763,207254.88,,,,449403.28,3.3110988506,,,,,0.0,,-99399227.22,-2252.1935505832,-33060362.73,-9154.5297024735,,,,,,,-66338864.49,-1433.2456108759,,,-66338864.49,-1433.2456108759,,,-66338864.49,-1433.2456108759,,,-63996620.26,-21446.6228392908,,,,,-0.17,-1800.0,-0.17,-1800.0,16450983.6,-15.5915621391,16450983.6,-15.5915621391,,,,,,,,,,,,,,,,,,,,,16450983.6,-15.5915621391,,,,,,,,,,,,,,,16450983.6,-15.5915621391,,,,,,,,,-49887880.89,-303.9113067571,-49887880.89,-303.9113067571,,,,,,,,,,,,,
