日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2022-05-20,50.77,56.39,47.48,56.39,23628913.0,1196339661.0,30133636.0,0.7841374668493374
2022-05-23,56.23,59.47,53.62,53.85,14509417.0,820350583.0,30133636.0,0.48150236499836924
2022-05-24,53.74,54.27,48.22,48.22,10376578.0,534143734.0,30133636.0,0.34435200584489706
2022-05-25,47.84,48.57,45.04,46.18,7382175.0,343432113.0,30133636.0,0.2449812229762117
2022-05-26,45.78,45.98,42.65,42.96,7792913.0,342458790.0,30133636.0,0.2586117719083087
2022-05-27,43.44,43.57,40.41,41.48,7350823.0,308992986.0,30133636.0,0.24394079094869267
2022-05-30,42.2,43.87,42.14,42.78,5705283.0,246502323.0,30133636.0,0.18933271112719355
2022-05-31,42.8,47.54,40.81,45.52,8215622.0,371847200.0,30133636.0,0.27263958454930565
2022-06-01,45.18,47.25,44.34,46.88,6449214.0,297738601.0,30133636.0,0.2140204388212561
2022-06-02,46.12,51.96,45.58,49.71,8476393.0,415380531.0,30133636.0,0.2812934024954705
2022-06-06,49.75,53.35,48.66,49.91,9881235.0,502905061.0,30133636.0,0.327913797060534
2022-06-07,49.07,50.76,48.74,49.77,5126520.0,255011858.0,30133636.0,0.170126167316815
2022-06-08,49.77,50.06,46.85,48.69,5727124.0,278667365.0,30133636.0,0.19005751579397853
2022-06-09,48.54,48.54,45.71,47.08,3358495.0,158544891.0,30133636.0,0.11145336062332471
2022-06-10,46.66,48.42,46.48,47.69,2578749.0,123100356.0,30133636.0,0.0855770939822861
2022-06-13,46.78,50.71,46.78,49.8,3570401.0,176346230.0,30133636.0,0.11848556875114573
2022-06-14,48.86,51.11,48.35,49.42,2989849.0,148964997.0,30133636.0,0.09921965606805631
2022-06-15,49.6,50.96,47.26,47.42,3563522.0,175287464.0,30133636.0,0.11825728564584771
2022-06-16,47.83,49.66,46.98,47.83,2143421.0,104314060.0,30133636.0,0.0711305134236041
2022-06-17,47.69,47.83,46.29,47.13,1779434.0,83918822.0,30133636.0,0.059051420147240116
2022-06-20,46.51,48.37,46.51,46.59,2608896.0,124497308.0,30133636.0,0.0865775374734068
2022-06-21,46.92,47.56,45.01,45.34,2004661.0,92727736.0,30133636.0,0.06652569241893012
2022-06-22,45.34,45.76,42.86,44.37,3015781.0,134229961.0,30133636.0,0.1000802226455513
2022-06-23,44.53,49.32,44.39,48.67,3373302.0,159322337.0,30133636.0,0.11194473843116709
2022-06-24,49.88,55.7,48.58,52.85,5824957.0,306480103.0,30133636.0,0.19330415353792685
2022-06-27,52.97,56.98,52.05,55.73,4224288.0,230581778.0,30133636.0,0.14018514061827786
2022-06-28,54.74,56.93,53.05,55.34,3480084.0,191096398.0,30133636.0,0.11548835328069935
2022-06-29,55.5,59.31,54.74,55.68,3304891.0,189125310.0,30133636.0,0.10967448468548568
2022-06-30,55.36,59.12,55.36,57.04,2294179.0,132439278.0,30133636.0,0.07613349414587739
2022-07-01,56.88,60.36,56.73,58.59,2315137.0,136659932.0,30133636.0,0.07682899600964185
2022-07-04,57.73,59.12,54.74,58.07,2616354.0,150670349.0,30133636.0,0.08682503498748044
2022-07-05,58.22,59.0,54.41,55.24,2853477.0,160471437.0,30133636.0,0.09469408205501653
2022-07-06,55.59,57.2,53.92,54.55,2188594.0,121884735.0,30133636.0,0.07262960234868437
2022-07-07,54.55,58.59,52.87,57.24,2081414.0,117346429.0,30133636.0,0.06907277966721308
2022-07-08,57.53,58.12,54.54,55.63,1895309.0,106485233.0,30133636.0,0.06289679081541968
2022-07-11,55.09,55.42,52.28,53.4,2242304.0,120000160.0,30133636.0,0.07441199595030616
2022-07-12,53.68,54.59,49.88,51.31,3068683.0,158609481.0,30133636.0,0.1018358023572064
2022-07-13,50.86,51.11,48.97,49.07,2734550.0,137147773.0,30133636.0,0.09074742921829944
2022-07-14,49.04,50.93,48.77,50.29,1479852.0,74113738.0,30133636.0,0.049109639473975196
2022-07-15,50.34,54.74,49.66,52.93,2204179.0,117179846.0,30133636.0,0.0731467984812719
2022-07-18,52.35,53.89,51.1,52.16,1334593.0,69643867.0,30133636.0,0.04428914585680931
2022-07-19,52.41,53.15,50.65,51.14,1084380.0,56482599.0,30133636.0,0.035985700497610046
2022-07-20,51.17,53.39,50.61,50.69,1405853.0,73147699.0,30133636.0,0.04665394511302917
2022-07-21,50.67,54.29,49.94,52.4,2217913.0,117838891.0,30133636.0,0.07360256823969069
2022-07-22,52.83,53.25,48.37,49.22,2675910.0,134390753.0,30133636.0,0.08880143106527204
2022-07-25,48.83,49.67,46.79,47.32,1182351.0,56738300.0,30133636.0,0.03923691784157743
2022-07-26,49.76,52.73,48.93,51.9,2419355.0,123708763.0,30133636.0,0.08028752321824024
2022-07-27,52.36,53.48,50.76,50.86,1340182.0,69511214.0,30133636.0,0.044474619657581316
2022-07-28,51.9,60.59,51.48,59.34,4990699.0,281643196.0,30133636.0,0.1656188785183441
2022-07-29,57.93,59.61,56.93,58.45,2606845.0,152974960.0,30133636.0,0.08650947399776117
2022-08-01,57.48,60.31,57.43,58.28,1532166.0,90222507.0,30133636.0,0.05084570610728822
2022-08-02,57.81,59.68,56.29,56.71,2088714.0,121032472.0,30133636.0,0.06931503387111997
2022-08-03,56.84,59.91,56.61,57.33,2312284.0,135167189.0,30133636.0,0.07673431775707386
2022-08-04,58.07,58.64,56.14,56.84,1829056.0,104798825.0,30133636.0,0.06069815139467404
2022-08-05,57.21,64.89,56.91,64.84,3519124.0,219578328.0,30133636.0,0.11678391548899045
2022-08-08,64.04,64.25,59.91,61.7,2480041.0,154109901.0,30133636.0,0.08230141891937634
2022-08-09,60.8,62.0,60.21,61.89,1747082.0,106999932.0,30133636.0,0.05797780261233659
2022-08-10,60.61,60.7,59.57,60.46,2399247.0,144675242.0,30133636.0,0.07962022903575261
2022-08-11,60.46,62.49,60.21,61.15,1822949.0,111840530.0,30133636.0,0.06049548750107687
2022-08-12,61.01,64.0,60.33,60.68,1785146.0,110480092.0,30133636.0,0.05924097576542041
2022-08-15,60.61,60.61,57.91,59.16,1150725.0,68315287.0,30133636.0,0.03818739298503506
2022-08-16,59.86,61.03,58.72,59.73,936379.0,56240242.0,30133636.0,0.031074212219195853
2022-08-17,59.41,60.2,57.03,57.38,2380028.0,138817547.0,30133636.0,0.0789824367693298
2022-08-18,57.95,58.99,56.73,58.55,1397232.0,81703280.0,30133636.0,0.04636785285386735
2022-08-19,58.82,59.93,55.85,55.91,1446187.0,83326945.0,30133636.0,0.04799244936787582
2022-08-22,56.76,56.76,54.54,54.85,993451.0,55007922.0,30133636.0,0.032968175496644346
2022-08-23,55.52,55.52,54.47,55.14,958967.0,53041114.0,30133636.0,0.031823806459997064
2022-08-24,55.16,55.16,51.26,51.41,1654177.0,87208787.0,30133636.0,0.05489470304877911
2022-08-25,51.75,51.95,48.65,49.42,2016544.0,100389470.0,30133636.0,0.0669200358031802
2022-08-26,49.64,52.25,48.9,51.44,2026197.0,104219256.0,30133636.0,0.06724037550596283
2022-08-29,48.87,52.05,47.79,51.35,1902732.0,96576241.0,30133636.0,0.06314312683673487
2022-08-30,51.42,52.44,50.37,50.66,872182.0,45019793.0,30133636.0,0.028943802201632753
2022-08-31,50.65,51.16,48.29,48.52,991342.0,49063088.0,30133636.0,0.03289818726157043
2022-09-01,48.97,50.43,47.77,48.06,833138.0,40955835.0,30133636.0,0.027648107251312122
2022-09-02,48.81,49.07,47.58,49.04,539776.0,26358664.0,30133636.0,0.01791274043397883
2022-09-05,48.77,48.97,46.28,46.84,1153825.0,54677998.0,30133636.0,0.03829026805792703
2022-09-06,46.84,47.57,46.0,46.68,1037350.0,48652710.0,30133636.0,0.03442498608531675
2022-09-07,46.96,50.63,46.86,49.57,1736921.0,85478355.0,30133636.0,0.05764060467180263
2022-09-08,49.96,52.12,49.27,50.06,1363215.0,69259035.0,30133636.0,0.04523898144916863
2022-09-09,49.81,50.73,48.43,49.32,667635.0,32913112.0,30133636.0,0.022155806222654312
2022-09-13,49.32,52.55,48.99,50.98,1694611.0,86658014.0,30133636.0,0.05623652585436421
2022-09-14,49.76,51.73,49.64,51.43,1224951.0,62185655.0,30133636.0,0.04065062045615737
2022-09-15,50.82,51.7,46.9,48.15,1613969.0,79348122.0,30133636.0,0.053560380167862916
2022-09-16,48.15,49.25,47.46,47.7,932589.0,45248326.0,30133636.0,0.030948439146208574
2022-09-19,47.43,48.07,45.22,45.98,1190082.0,55407947.0,30133636.0,0.03949347499916704
2022-09-20,45.78,47.31,45.4,45.77,915861.0,42602591.0,30133636.0,0.030393311978680566
2022-09-21,45.46,46.12,43.79,45.19,821900.0,36988891.0,30133636.0,0.02727516851932505
2022-09-22,45.58,46.58,44.45,45.28,1021804.0,46660809.0,30133636.0,0.03390908418751723
2022-09-23,45.25,45.89,41.4,42.03,1769843.0,75948433.0,30133636.0,0.05873313794591532
