日期,688213.SH_close,688213.SH_volume,688213.SH_turnover
2024-05-13,43.62,158652513.0,1.11
2024-05-14,43.93,93259373.0,0.66
2024-05-15,44.18,124288524.0,0.88
2024-05-16,44.82,164953164.0,1.13
2024-05-17,47.02,161980579.0,1.08
2024-05-20,46.09,116703813.0,0.77
2024-05-21,43.8,164221260.0,1.14
2024-05-22,45.0,162166070.0,1.13
2024-05-23,44.82,96206883.0,0.66
2024-05-24,44.69,116148817.0,0.8
2024-05-27,45.49,99408412.0,0.69
2024-05-28,44.66,92875868.0,0.64
2024-05-29,43.87,73849155.0,0.51
2024-05-30,44.2,92737069.0,0.65
2024-05-31,44.69,106237053.0,0.73
2024-06-03,48.65,387351277.0,2.49
2024-06-04,47.94,146178541.0,0.95
2024-06-05,48.48,98389659.0,0.63
2024-06-06,48.79,187895414.0,1.18
2024-06-07,48.01,147156056.0,0.94
2024-06-11,48.96,211760071.0,1.36
2024-06-12,48.81,162362981.0,1.03
2024-06-13,51.31,353534442.0,2.16
2024-06-14,50.14,526047558.0,3.23
2024-06-17,49.92,268654313.0,1.67
2024-06-18,48.82,194180593.0,1.22
2024-06-19,49.17,136354361.0,0.86
2024-06-20,49.1,186878804.0,1.16
2024-06-21,49.65,160908876.0,1.01
2024-06-24,48.48,180037842.0,1.12
2024-06-25,46.69,129144367.0,0.85
2024-06-26,47.65,86036826.0,0.57
2024-06-27,47.43,138637175.0,0.89
2024-06-28,48.19,103509626.0,0.66
2024-07-01,48.64,184898771.0,1.18
2024-07-02,48.06,109132249.0,0.7
2024-07-03,47.39,97917223.0,0.64
2024-07-04,46.43,78993797.0,0.52
2024-07-05,47.6,117252286.0,0.78
2024-07-08,48.18,144393266.0,0.92
2024-07-09,50.88,230736625.0,1.42
2024-07-10,51.39,140650176.0,0.85
2024-07-11,53.05,195897683.0,1.17
2024-07-12,53.73,168310583.0,0.98
2024-07-15,53.81,188730258.0,1.09
2024-07-16,56.59,528458662.0,2.93
2024-07-17,55.92,255391433.0,1.41
2024-07-18,56.48,291234627.0,1.62
2024-07-19,56.25,260643969.0,1.43
2024-07-22,56.87,328671071.0,1.78
2024-07-23,54.17,259626042.0,1.45
2024-07-24,54.24,178971163.0,1.03
2024-07-25,53.14,154178855.0,0.9
2024-07-26,50.9,405908718.0,2.52
2024-07-29,51.38,265113469.0,1.59
2024-07-30,50.45,178723518.0,1.1
2024-07-31,53.04,213301122.0,1.27
2024-08-01,52.69,158870697.0,0.94
2024-08-02,51.49,166851076.0,0.99
2024-08-05,49.89,219573472.0,1.34
2024-08-06,50.51,127813217.0,0.79
2024-08-07,50.86,124545090.0,0.76
2024-08-08,51.35,123056540.0,0.75
2024-08-09,50.83,98732132.0,0.6
2024-08-12,50.79,84619379.0,0.52
