证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
思特威,思特威(上海)电子科技股份有限公司,,,,,0.0,0.0,0.0,5769.7602,36987.6364,,16587.0796,,,11636.0551,,3013.3636,2954.3603,,,,A股上市,2022-05-19,,688213,2022-05-20,,,,,36987.6364,,,40001.0,,,,10817.3194,,3013.3636,5810.1414,17446.1965,015001
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,36987.6364,,16587.0796,,,11169.7585,,3013.3636,3420.6569,,,,定期报告,2022-08-29,,688213,2022-06-30,,,,,36987.6364,,,40001.0,,,,11104.2353,,3013.3636,5810.1414,16979.8999,015019
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,36800.2,,16587.0796,,,10982.3221,,3200.8,3420.6569,,,,限售股份上市,2022-11-14,,688213,2022-11-21,,,,,36800.2,,,40001.0,,,,11104.2353,,3200.8,5810.1414,16792.4635,015027
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,36800.2,,16587.0796,,,10982.3221,,3200.8,3420.6569,,,,定期报告,2023-04-29,,688213,2022-12-31,,,,,36800.2,,,40001.0,,,,11104.2353,,3200.8,5810.1414,16792.4635,015019
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,36160.04,,16587.0796,,,10507.2033,,3840.96,3255.6157,,,,限售股份上市,2023-05-15,,688213,2023-05-22,,,,,36160.04,,,40001.0,,,,11104.2353,,3840.96,5810.1414,16317.3447,015027
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,36160.04,,16587.0796,,,10507.2033,,3840.96,3255.6157,,,,定期报告,2023-08-26,,688213,2023-06-30,,,,,36160.04,,,40001.0,,,,11104.2353,,3840.96,5810.1414,16317.3447,015019
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,20804.7281,,7092.1739,,,6522.2098,,19196.2719,3255.6157,,,,限售股份上市,2023-07-24,,688213,2023-07-31,,,,,20804.7281,,,40001.0,,,,1609.3296,,19196.2719,3934.7287,10456.9385,015027
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,19440.1596,,7092.1309,,,5345.9153,,20560.8404,3255.6157,,,,限售股份上市,2023-09-07,,688213,2023-09-14,,,,,19440.1596,,,40001.0,,,,1609.2866,,20560.8404,3746.4977,9092.413,015027
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,18037.7491,,7092.1309,,,3943.5048,,21963.2509,3255.6157,,,,限售股份上市,2023-09-18,,688213,2023-09-25,,,,,18037.7491,,,40001.0,,,,1609.2866,,21963.2509,3746.4977,7690.0025,015027
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,9503.4578,,6824.767,,,,,30497.5422,,,,,限售股份上市,2023-10-16,,688213,2023-10-23,,,,,9503.4578,,,40001.0,,,,1341.9227,,30497.5422,2678.6908,2678.6908,015027
思特威,思特威(上海)电子科技股份有限公司,,,,,,0.0,0.0,5482.8443,8039.7699,,6824.767,,,,,31961.2301,,,,,其他,2023-10-28,,688213,2023-10-29,,,,,8039.7699,,,40001.0,,,,1341.9227,,31961.2301,1215.0029,1215.0029,015999
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,8039.7699,,5482.8443,,,,,31961.2301,160.04,,,,定期报告,2024-04-27,,688213,2023-12-31,,,,,8039.7699,,,40001.0,,,,,,31961.2301,2396.8856,2396.8856,015019
思特威,思特威(上海)电子科技股份有限公司,,,,,,,,5482.8443,7879.7299,,5482.8443,,,,,32121.2701,,,,,限售股份上市,2024-05-11,,688213,2024-05-20,,,,,7879.7299,,,40001.0,,,,,,32121.2701,2396.8856,2396.8856,015027
思特威,思特威(上海)电子科技股份有限公司,,,,,,0.0,0.0,5482.8443,7879.7299,,5482.8443,,,,,32121.2701,,,,,定期报告,2024-08-24,,688213,2024-06-30,,,,,7879.7299,,,40001.0,,,,,,32121.2701,2396.8856,2396.8856,015019
思特威,思特威(上海)电子科技股份有限公司,,,,,,0.0,0.0,5482.8443,7879.7299,,5482.8443,,,,,32121.2701,,,,,其他,2024-08-24,,688213,2024-08-20,,,,,7879.7299,,,40001.0,,,,,,32121.2701,2396.8856,2396.8856,015999
思特威,思特威(上海)电子科技股份有限公司,,,,,,0.0,0.0,5482.8443,7879.7299,,5482.8443,,,,,32121.2701,,,,,其他,2024-11-22,,688213,2024-08-24,,,,,7879.7299,,,40001.0,,,,,,32121.2701,2396.8856,2396.8856,015999
思特威,思特威(上海)电子科技股份有限公司,,,,,,0.0,0.0,5482.8443,7879.7299,,5482.8443,,,,,32091.4898,,,,,股份回购,2024-11-22,,688213,2024-11-22,,,,,7879.7299,,,39971.2197,,,,,,32091.4898,2396.8856,2396.8856,015016
