日期,收盘价
2022-03-28,35.33
2022-03-29,35.35
2022-03-30,36.83
2022-03-31,36.24
2022-04-01,36.20
2022-04-06,35.68
2022-04-07,34.76
2022-04-08,33.39
2022-04-11,32.28
2022-04-12,33.14
2022-04-13,33.11
2022-04-14,33.29
2022-04-15,33.55
2022-04-18,33.42
2022-04-19,32.59
2022-04-20,33.78
2022-04-21,32.65
2022-04-22,32.48
2022-04-25,29.23
2022-04-26,27.30
2022-04-27,27.62
2022-04-28,28.00
2022-04-29,29.01
2022-05-05,29.21
2022-05-06,28.88
2022-05-09,28.84
2022-05-10,28.93
2022-05-11,29.48
2022-05-12,29.56
2022-05-13,29.51
2022-05-16,28.96
2022-05-17,28.99
2022-05-18,28.92
2022-05-19,28.79
2022-05-20,29.76
2022-05-23,29.62
2022-05-24,28.16
2022-05-25,28.47
2022-05-26,28.58
2022-05-27,29.31
2022-05-30,29.24
2022-05-31,29.84
2022-06-01,29.51
2022-06-02,29.37
2022-06-06,30.05
2022-06-07,30.70
2022-06-08,31.58
2022-06-09,30.46
2022-06-10,31.06
2022-06-13,30.80
2022-06-14,31.12
2022-06-15,32.08
2022-06-16,32.09
2022-06-17,32.84
2022-06-20,32.93
2022-06-21,32.49
2022-06-22,32.12
2022-06-23,32.41
2022-06-24,32.99
2022-06-27,35.00
2022-06-28,35.10
2022-06-29,34.96
2022-06-30,36.50
2022-07-01,38.32
2022-07-04,40.52
2022-07-05,40.02
2022-07-06,38.95
2022-07-07,38.19
2022-07-08,37.99
2022-07-11,37.61
2022-07-12,36.43
2022-07-13,36.54
2022-07-14,38.07
2022-07-15,36.79
2022-07-18,37.48
2022-07-19,37.19
2022-07-20,37.56
2022-07-21,38.24
2022-07-22,38.53
2022-07-25,38.02
2022-07-26,35.74
2022-07-27,35.80
2022-07-28,35.67
2022-07-29,34.87
2022-08-01,34.76
2022-08-02,33.79
2022-08-03,34.28
2022-08-04,36.27
2022-08-05,37.57
2022-08-08,37.63
2022-08-09,36.88
2022-08-10,36.41
2022-08-11,36.98
2022-08-12,36.99
2022-08-15,36.46
2022-08-16,36.01
2022-08-17,36.19
2022-08-18,35.61
2022-08-19,35.47
2022-08-22,34.62
2022-08-23,34.21
2022-08-24,34.07
2022-08-25,34.57
2022-08-26,34.35
2022-08-29,33.82
2022-08-30,33.27
2022-08-31,34.24
2022-09-01,33.93
2022-09-02,33.49
2022-09-05,33.33
2022-09-06,33.47
2022-09-07,33.03
2022-09-08,33.33
2022-09-09,34.36
2022-09-13,35.09
2022-09-14,35.25
2022-09-15,35.06
2022-09-16,34.41
2022-09-19,34.27
2022-09-20,33.72
2022-09-21,33.03
2022-09-22,32.25
2022-09-23,32.54
2022-09-26,31.52
2022-09-27,33.25
2022-09-28,33.07
2022-09-29,34.55
2022-09-30,34.68
2022-10-10,33.85
2022-10-11,33.69
2022-10-12,32.85
2022-10-13,34.13
2022-10-14,37.53
2022-10-17,39.08
2022-10-18,38.99
2022-10-19,38.53
2022-10-20,38.71
2022-10-21,39.49
2022-10-24,38.51
2022-10-25,37.66
2022-10-26,39.24
2022-10-27,39.24
2022-10-28,38.48
2022-10-31,39.72
2022-11-01,40.99
2022-11-02,41.48
2022-11-03,41.59
2022-11-04,41.30
2022-11-07,41.49
2022-11-08,40.21
2022-11-09,40.26
2022-11-10,39.71
2022-11-11,38.75
2022-11-14,40.27
2022-11-15,39.76
2022-11-16,40.01
2022-11-17,39.92
2022-11-18,39.79
2022-11-21,40.30
2022-11-22,39.44
2022-11-23,39.03
2022-11-24,38.90
2022-11-25,39.16
2022-11-28,38.71
2022-11-29,39.57
2022-11-30,39.35
2022-12-01,39.99
2022-12-02,40.01
2022-12-05,39.40
2022-12-06,39.40
2022-12-07,40.09
2022-12-08,38.40
2022-12-09,38.36
2022-12-12,38.41
2022-12-13,37.92
2022-12-14,37.98
2022-12-15,37.51
2022-12-16,37.54
2022-12-19,36.74
2022-12-20,36.07
2022-12-21,35.71
2022-12-22,36.19
2022-12-23,36.31
2022-12-26,37.11
2022-12-27,36.63
2022-12-28,36.95
2022-12-29,37.67
2022-12-30,38.07
2023-01-03,37.98
2023-01-04,38.31
2023-01-05,39.08
2023-01-06,38.84
2023-01-09,39.08
2023-01-10,38.91
2023-01-11,37.99
2023-01-12,37.34
2023-01-13,38.80
2023-01-16,42.61
2023-01-17,41.67
2023-01-18,41.07
2023-01-19,43.12
2023-01-20,43.02
2023-01-30,42.73
2023-01-31,41.70
2023-02-01,42.13
2023-02-02,42.48
2023-02-03,42.29
2023-02-06,41.98
2023-02-07,41.60
2023-02-08,42.45
2023-02-09,43.13
2023-02-10,43.08
2023-02-13,44.43
2023-02-14,44.68
2023-02-15,44.27
2023-02-16,43.27
2023-02-17,43.64
2023-02-20,44.68
2023-02-21,43.97
2023-02-22,43.58
2023-02-23,43.00
2023-02-24,42.67
2023-02-27,42.61
2023-02-28,42.98
2023-03-01,43.25
2023-03-02,42.67
2023-03-03,42.88
2023-03-06,42.90
2023-03-07,41.62
2023-03-08,41.46
2023-03-09,41.23
2023-03-10,41.36
2023-03-13,40.92
2023-03-14,40.98
2023-03-15,40.88
2023-03-16,40.70
2023-03-17,40.33
2023-03-20,39.92
2023-03-21,41.10
2023-03-22,42.12
2023-03-23,42.16
2023-03-24,41.20
2023-03-27,42.76
2023-03-28,42.48
2023-03-29,42.64
2023-03-30,42.49
2023-03-31,42.31
2023-04-03,42.05
2023-04-04,42.63
2023-04-06,42.27
2023-04-07,44.61
2023-04-10,45.72
2023-04-11,45.46
2023-04-12,45.08
2023-04-13,46.78
2023-04-14,47.15
2023-04-17,48.70
2023-04-18,48.34
2023-04-19,48.08
2023-04-20,47.23
2023-04-21,46.75
2023-04-24,47.77
2023-04-25,47.41
2023-04-26,47.62
2023-04-27,47.62
2023-04-28,48.07
2023-05-04,48.68
2023-05-05,46.90
2023-05-08,45.95
2023-05-09,45.38
2023-05-10,45.79
2023-05-11,45.87
2023-05-12,44.96
2023-05-15,46.87
2023-05-16,48.54
2023-05-17,47.92
2023-05-18,47.44
2023-05-19,48.54
2023-05-22,48.12
2023-05-23,48.51
2023-05-24,47.39
2023-05-25,47.48
2023-05-26,47.82
2023-05-29,47.72
2023-05-30,47.71
2023-05-31,45.00
2023-06-01,45.38
2023-06-02,45.48
2023-06-05,45.94
2023-06-06,45.76
2023-06-07,44.96
2023-06-08,45.20
2023-06-09,45.40
2023-06-12,44.32
2023-06-13,44.62
2023-06-14,45.61
2023-06-15,46.53
2023-06-16,47.10
2023-06-19,46.48
2023-06-20,46.38
2023-06-21,46.01
2023-06-26,45.97
2023-06-27,45.56
2023-06-28,45.81
2023-06-29,46.65
2023-06-30,47.49
2023-07-03,46.96
2023-07-04,48.44
2023-07-05,48.77
2023-07-06,47.70
2023-07-07,47.98
2023-07-10,47.21
2023-07-11,47.83
2023-07-12,47.36
2023-07-13,47.60
2023-07-14,47.12
2023-07-17,46.80
2023-07-18,46.80
2023-07-19,46.29
2023-07-20,45.57
2023-07-21,45.54
2023-07-24,46.89
2023-07-25,47.35
2023-07-26,47.67
2023-07-27,47.70
2023-07-28,48.63
2023-07-31,44.20
2023-08-01,43.01
2023-08-02,41.92
2023-08-03,41.91
2023-08-04,40.72
2023-08-07,38.80
2023-08-08,39.80
2023-08-09,39.87
2023-08-10,39.56
2023-08-11,38.87
2023-08-14,40.28
2023-08-15,40.16
2023-08-16,40.66
2023-08-17,40.23
2023-08-18,39.61
2023-08-21,38.47
2023-08-22,38.82
2023-08-23,38.37
2023-08-24,40.10
2023-08-25,40.37
2023-08-28,41.56
2023-08-29,41.89
2023-08-30,41.79
2023-08-31,41.43
2023-09-01,41.18
2023-09-04,40.85
2023-09-05,40.86
2023-09-06,40.38
2023-09-07,39.95
2023-09-08,40.24
2023-09-11,42.63
2023-09-12,42.55
2023-09-13,41.84
2023-09-14,42.23
2023-09-15,43.23
2023-09-18,43.98
2023-09-19,44.25
2023-09-20,43.97
2023-09-21,43.52
2023-09-22,43.69
2023-09-25,44.47
2023-09-26,44.32
2023-09-27,44.93
2023-09-28,44.56
2023-10-09,44.38
2023-10-10,43.99
2023-10-11,44.67
2023-10-12,44.57
2023-10-13,44.27
2023-10-16,43.85
2023-10-17,44.09
2023-10-18,43.45
2023-10-19,43.04
2023-10-20,42.36
2023-10-23,42.70
2023-10-24,42.86
2023-10-25,42.80
2023-10-26,44.07
2023-10-27,45.01
2023-10-30,46.18
2023-10-31,47.53
2023-11-01,47.56
2023-11-02,47.49
2023-11-03,47.11
2023-11-06,47.92
2023-11-07,48.02
2023-11-08,48.86
2023-11-09,47.97
2023-11-10,47.98
2023-11-13,46.90
2023-11-14,46.64
2023-11-15,46.93
2023-11-16,46.40
2023-11-17,46.74
2023-11-20,47.09
2023-11-21,47.18
2023-11-22,46.74
2023-11-23,46.77
2023-11-24,46.53
2023-11-27,46.40
2023-11-28,47.10
2023-11-29,47.27
2023-11-30,47.61
2023-12-01,46.18
2023-12-04,45.60
2023-12-05,44.87
2023-12-06,45.02
2023-12-07,44.40
2023-12-08,45.20
2023-12-11,46.13
2023-12-12,45.41
2023-12-13,45.23
2023-12-14,45.34
2023-12-15,44.28
2023-12-18,45.10
2023-12-19,44.40
2023-12-20,43.85
2023-12-21,44.11
2023-12-22,43.64
2023-12-25,43.63
2023-12-26,43.61
2023-12-27,43.72
2023-12-28,44.37
2023-12-29,44.85
2024-01-02,44.09
2024-01-03,43.85
2024-01-04,43.42
2024-01-05,41.59
2024-01-08,40.76
2024-01-09,40.85
2024-01-10,41.15
2024-01-11,41.13
2024-01-12,40.75
2024-01-15,41.16
2024-01-16,41.06
2024-01-17,39.77
2024-01-18,40.94
2024-01-19,41.06
2024-01-22,40.43
2024-01-23,39.96
2024-01-24,40.18
2024-01-25,40.85
2024-01-26,39.96
2024-01-29,38.92
2024-01-30,38.36
2024-01-31,37.13
2024-02-01,36.84
2024-02-02,35.64
2024-02-05,37.08
2024-02-06,40.65
2024-02-07,41.48
2024-02-08,41.51
2024-02-19,41.31
2024-02-20,41.50
2024-02-21,41.86
2024-02-22,42.07
2024-02-23,42.03
2024-02-26,41.72
2024-02-27,41.91
2024-02-28,41.87
2024-02-29,42.28
2024-03-01,42.16
2024-03-04,43.53
2024-03-05,44.18
2024-03-06,43.59
2024-03-07,41.59
2024-03-08,41.53
2024-03-11,43.23
2024-03-12,44.55
2024-03-13,44.30
2024-03-14,46.63
2024-03-15,46.73
2024-03-18,46.88
2024-03-19,45.58
2024-03-20,45.24
2024-03-21,45.24
2024-03-22,45.54
2024-03-25,45.77
2024-03-26,45.88
2024-03-27,45.52
2024-03-28,45.82
2024-03-29,45.58
2024-04-01,45.93
2024-04-02,45.07
2024-04-03,44.38
2024-04-08,45.01
2024-04-09,45.15
2024-04-10,45.06
2024-04-11,44.56
2024-04-12,43.72
2024-04-15,44.18
