日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-03-13,24.33,10.95,0.38,0.07,-0.01,44.53
2025-03-14,57.32,26.49,0.90,3.34,0.06,55.29
2025-03-17,27.74,12.96,0.43,-0.13,0.10,54.84
2025-03-18,30.83,14.44,0.48,0.04,0.14,54.97
2025-03-19,48.52,22.95,0.76,1.71,0.23,60.01
2025-03-20,32.52,15.21,0.51,-1.40,0.25,54.52
2025-03-21,54.15,24.59,0.85,-3.81,0.12,43.12
2025-03-24,32.71,14.55,0.51,-1.12,-0.03,40.54
2025-03-25,22.91,10.27,0.36,1.18,-0.10,44.27
2025-03-26,61.10,28.33,0.96,3.02,-0.05,52.59
2025-03-27,86.86,41.28,1.36,4.69,0.17,62.30
