日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-07-06,75.27,76.42,74.58,76.2,49652811.0,4586141609.0,5295737921.0,0.0094
2020-07-07,76.48,80.36,76.05,79.6,47494422.0,4572860843.0,5295737921.0,0.009
2020-07-08,80.16,81.62,78.6,79.41,35871041.0,3498289572.0,5295737921.0,0.0068
2020-07-09,79.45,81.18,79.05,80.6,28267464.0,2775336379.0,5295737921.0,0.0053
2020-07-10,80.67,82.16,80.22,81.29,29397609.0,2930401054.0,5295737921.0,0.0056
2020-07-13,81.48,82.54,81.04,81.67,32371508.0,3235758046.0,5295737921.0,0.0061
2020-07-14,81.66,81.66,79.37,80.54,33226294.0,3260726004.0,5295737921.0,0.0063
2020-07-15,81.74,85.91,81.05,84.27,47889951.0,4911463744.0,5295737921.0,0.009
2020-07-16,84.52,85.22,78.76,78.83,47557446.0,4706824226.0,5295737921.0,0.009
2020-07-17,78.47,80.09,77.73,78.82,36663152.0,3529785170.0,5295737921.0,0.0069
2020-07-20,78.92,79.84,77.09,78.95,25636138.0,2454392145.0,5295737921.0,0.0048
2020-07-21,79.69,81.8,78.94,81.25,32418857.0,3203921896.0,5295737921.0,0.0061
2020-07-22,80.99,82.69,79.75,81.3,30127609.0,3007068768.0,5295737921.0,0.0057
2020-07-23,80.85,82.54,80.18,81.3,34555635.0,3430336196.0,5295737921.0,0.0065
2020-07-24,80.27,80.83,76.91,77.56,44416020.0,4253626821.0,5295737921.0,0.0084
2020-07-27,77.55,79.33,77.31,78.05,24982911.0,2383712809.0,5295737921.0,0.0047
2020-07-28,78.06,78.72,77.07,77.4,28520240.0,2708493907.0,5295737921.0,0.0054
2020-07-29,77.11,78.86,76.91,78.42,26603673.0,2540596895.0,5295737921.0,0.005
2020-07-30,78.43,78.78,77.41,77.7,27299645.0,2602558977.0,5295737921.0,0.0052
2020-07-31,77.62,78.12,75.14,77.22,56003417.0,5254218157.0,5295737921.0,0.0106
2020-08-03,75.85,76.7,74.87,76.26,63997843.0,5931855419.0,5295737921.0,0.0121
2020-08-04,76.5,78.4,76.46,76.89,40738507.0,3857608926.0,5295737921.0,0.0077
2020-08-05,76.82,77.0,75.59,75.92,38311496.0,3559444304.0,5295737921.0,0.0072
2020-08-06,76.1,76.33,74.06,74.46,47749704.0,4363187157.0,5295737921.0,0.009
2020-08-07,74.7,75.25,73.25,74.62,32988293.0,2987964692.0,5295737921.0,0.0062
2020-08-10,74.72,74.94,73.42,74.28,28793948.0,2612249558.0,5295737921.0,0.0054
2020-08-11,74.84,76.19,74.62,75.09,35084274.0,3240241662.0,5295737921.0,0.0066
2020-08-12,75.09,75.41,72.82,73.65,35333873.0,3175711819.0,5295737921.0,0.0067
2020-08-13,74.4,74.4,72.66,72.72,26385812.0,2357707889.0,5295737921.0,0.005
2020-08-14,72.8,73.47,71.98,73.23,24237505.0,2154357300.0,5295737921.0,0.0046
2020-08-17,73.62,74.86,72.97,74.37,34367679.0,3104127440.0,5295737921.0,0.0065
2020-08-18,74.62,77.45,74.62,76.42,44929068.0,4198792292.0,5295737921.0,0.0085
2020-08-19,76.75,77.61,75.7,75.87,32770393.0,3077103786.0,5295737921.0,0.0062
2020-08-20,75.87,76.37,74.62,75.03,20311418.0,1869239761.0,5295737921.0,0.0038
2020-08-21,76.17,76.62,74.29,75.11,20566890.0,1892059476.0,5295737921.0,0.0039
2020-08-24,76.08,76.09,74.99,75.62,17743332.0,1641506974.0,5295737921.0,0.0034
2020-08-25,76.08,77.44,75.93,76.9,24979223.0,2347765539.0,5295737921.0,0.0047
2020-08-26,76.94,78.5,76.67,77.39,26872296.0,2551454995.0,5295737921.0,0.0051
