SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688072.SH,688072,拓荆科技,10451305,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,7166389965.03,,,,,,,,,,,,3360740.75,158667236.96,,0.0,7328417942.74,3705694349.87,,,,,,549695829.89,70194361.09,171232296.23,,0.0,4496816837.08,,0.0,2831601105.66,9090000000.0,13450296.42,,,,3621600.0,,0.0,9107071896.42,303664571.82,11848100000.0,,,,,,0.0,12151764571.82,,0.0,-3044692675.4,142501461.08,7500000.0,238512583.02,,24626448.93,,0.0,405640493.03,312077199.08,139089931.39,,,9333107.37,,,0.0,460500237.84,,0.0,-54859744.81,-577958.02,,0.0,-268529272.57,2851664695.25,,0.0,2583135422.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3867154434,,,,,,,,,,,,-64.7269607881,335.889213332,,,117.2574856742,-0.9106975115,,,,,,34.7279737906,32.9711126906,-0.226474324,,,2.8509955538,,,383.438471569,818.1818181818,563.2508874434,,,,,,,817.9628384719,-44.414894889,915.5493618008,,,,,,,607.366519116,,,-319.4992971531,,,-80.8419589478,,,,,-67.4177474434,70.8552800178,18.1988054604,,,-95.4288072243,,,,-8.721946278,,,-107.4087628186,68.0397901,,,72.7698617613,6.888203093,,,53.5983010564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688072.SH,688072,拓荆科技,10451305,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-26 00:00:00,2025-08-26 00:00:00,CNY,4371105797.79,,,,,,,,,,,,381820.95,139084973.99,,0.0,4510572592.73,2415684432.56,,,,,,408527501.15,10796110.28,109549104.83,,0.0,2944557148.82,,0.0,1566015443.91,3780000000.0,5639586.81,,,,3621600.0,,0.0,3789261186.81,217109533.32,4048100000.0,,,,,,0.0,4265209533.32,,0.0,-475948346.51,7500000.0,7500000.0,238512583.02,,24626448.93,,0.0,270639031.95,283577199.08,118568728.98,,,6515818.05,,,0.0,408661746.11,,0.0,-138022714.16,-428586.53,,0.0,951615796.71,2851664695.25,,0.0,3803280491.96,82350245.56,19143436.63,51150264.95,51150264.95,,4673963.04,5637253.43,,,,,,-3717271.15,55256720.06,-794457.3,5030453.19,4474155.11,556298.08,,-1200660944.12,143318542.8,2257065371.35,111949655.08,,0.0,1566015443.91,,,,,3803280491.96,2851664695.25,,,,,951615796.71,129.0951831946,,,,,,,,,,,,-95.8821050538,446.0263739876,,,132.1768728234,1.2402444672,,,,,,37.5257721736,-78.3852222709,0.0908952719,,,3.5888069274,,,274.0379695262,,2895.7964462151,,,,,,,1478704.1123179873,-35.6754502219,3420.0869565217,,,,,,,842.4793496093,,,-5.2294413303,,,-80.6460838601,,,,,-78.0392084048,891.7668440404,21.4714600144,,,-96.7326987755,,,,25.4993521325,,,-115.2217752609,82.2508384382,,,312.5196334105,6.888203093,,,71.309923115,-32.686673944,924.2456595818,54.4299421152,54.4299421152,,55.2103881826,357.894897628,,,,,,34.311666164,22.4536467025,-120.0741557692,724.6856288905,213.9987023453,-82.1668730087,,37.2888188703,108.559839881,-4.6299639243,7.6423817097,,,274.0379695262,,,,,71.309923115,6.888203093,,,,,312.5196334105,,,,,2794305.12,3.4925840531
688072.SH,688072,拓荆科技,10451305,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,1522955114.35,,,,,,,,,,,,148042.31,92598427.82,,0.0,1615701584.48,1276997364.96,,,,,,270378890.29,8134528.29,49265719.1,,0.0,1604776502.64,,0.0,10925081.84,200000000.0,182465.75,,,,3621600.0,,0.0,203804065.75,144054408.94,698750000.0,,,,,,0.0,842804408.94,,0.0,-639000343.19,32000000.0,32000000.0,178612583.02,,,,0.0,210612583.02,74416552.59,21723301.28,,,2096553.23,,,0.0,98236407.1,,0.0,112376175.92,-430437.81,,0.0,-516129523.24,2851664695.25,,0.0,2335535172.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.4983523895,,,,,,,,,,,,-98.4012001421,472.9366223849,,,207.416672991,29.5107271324,,,,,,34.2943630759,126.1867132639,-11.9918402148,,,28.6987553466,,,101.514531012,,,,,,,,,,21.2715547339,,,,,,,,609.5110920995,,,-437.939558146,,,-69.6377745496,,,,,-64.198117399,272.08276295,57.5278344117,,,-94.4301256258,,,,37.5261438533,,,-78.2571211278,57.9233610651,,,-59.1424729429,6.888203093,,,-0.3430810604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688072.SH,688072,拓荆科技,10451305,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,5415811133.07,,,,,,,,,,,,9039799.81,134704653.13,,0.0,5559555586.01,4973893763.68,,,,,,532929147.7,55405359.13,279852646.56,,0.0,5842080917.07,,0.0,-282525331.06,1425484841.84,3139883.81,83445.29,,,,,0.0,1428708170.94,686227996.73,1630017624.1,,,,4627038.6,,0.0,2320872659.43,,0.0,-892164488.49,68005772.08,1000000.0,1968373316.74,,,,0.0,2036379088.82,331439100.04,137972973.62,,,205751747.5,,,0.0,675163821.16,,0.0,1361215267.66,-2755443.51,,0.0,183770004.6,2667894690.65,,0.0,2851664695.25,687421852.78,15359439.25,70617916.87,70617916.87,,7181957.97,3285912.92,,,,-22187.99,,-204487672.47,95605282.32,-1472437.07,-15246616.89,-36824048.27,21577431.38,,-2736769870.77,-1247861581.93,2789005077.22,215309108.15,,0.0,-282525331.06,,,,,2851664695.25,2667894690.65,,,,,183770004.6,94.440600869,,,,,,,,,,,,31358.3634119995,-73.3280826382,,,68.9628535799,15.7667951536,,,,,,48.0467343046,-60.2991869861,84.4340561339,,,18.0756565765,,,82.953112889,157.1056624738,-22.3785780146,-29.8668159116,,,,,,151.2845341269,42.7185513606,78.2615968414,,,,-48.8950894632,,,65.27177623,,,-6.7546917519,-4.0431688268,687.1164774963,13.598493525,,,,,12.9052832051,-17.14022499,120.5725977422,,,10625.6023108261,,,,45.3620440139,,,1.647959146,-0.4364165673,,,115.8880707416,-30.2428884683,,,6.888203093,3.546956003,-8.9026452156,61.2693678523,61.2693678523,,54.9416902596,71.0038464499,,,,16.0083507149,,-117.4574340173,95.4435547529,49.0479188971,-228.2461993955,-255.9586619399,278.5406227089,,-12.8641278282,-123.1362928144,510.8659763726,18.3421124899,,,82.953112889,,,,,6.888203093,-30.2428884683,,,,,115.8880707416,标准无保留意见,,,,5245235.11,195.9835807069
688072.SH,688072,拓荆科技,10451305,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-29 00:00:00,2025-10-31 00:00:00,CNY,3327220042.46,,,,,,,,,,,,9527789.0,36400817.48,,0.0,3373148648.94,3739752179.91,,,,,,408004228.39,52789180.8,171620973.67,,0.0,4372166562.77,,0.0,-999017913.83,990000000.0,2027934.93,67988.21,,,,,0.0,992095923.14,546305653.67,1166669040.98,,,,4913308.73,,0.0,1717888003.38,,0.0,-725792080.24,,,1244973754.73,,,,0.0,1244973754.73,182655870.54,117674566.04,,,204172254.99,,,0.0,504502691.57,,0.0,740471063.16,-1808367.41,,0.0,-986147298.32,2667894690.65,,0.0,1681747392.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.7186642852,,,,,,,,,,,,100820.3465771272,-87.3444880026,,,59.2151155191,26.4120611601,,,,,,48.5316381685,-61.9529607172,56.0255785017,,,25.5714146358,,,26.7155551424,80.0,-49.8671917543,-27.8082062325,,,,,,77.581964613,122.7786053505,51.8803672434,,,,-45.7332810912,,,68.0205082925,,,-56.5022400788,,,105.0815632244,,,,,105.0386527655,,126.6433167046,,,28483.2839250378,,,,858.4945455625,,,33.5252992454,-647.1082950594,,,22.5123779952,-30.2428884683,,,-34.0981552619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688072.SH,688072,拓荆科技,10451305,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-28 00:00:00,2025-08-26 00:00:00,CNY,1907986775.12,,,,,,,,,,,,9272236.3,25472208.05,,0.0,1942731219.47,2386091070.08,,,,,,297055231.68,49947820.03,109449620.3,,0.0,2842543742.09,,0.0,-899812522.62,,188250.0,67988.21,,,,,0.0,256238.21,337522041.07,115000000.0,,,,30000.0,,0.0,452552041.07,,0.0,-452295802.86,,,1232373754.73,,,,0.0,1232373754.73,28593131.62,97610359.64,,,199425079.06,,,0.0,325628570.32,,0.0,906745184.41,-2414686.06,,0.0,-447777827.13,2667894690.65,,0.0,2220116863.52,122338696.34,1869027.85,33121986.74,33121986.74,,3011372.56,1231123.88,,,,18346.99,,-5658951.8,45124601.47,3957612.51,-805277.56,-3924742.14,3119464.58,,-1914588311.83,-1674313360.91,2366639947.12,104001466.06,,0.0,-899812522.62,,,,,2220116863.52,2667894690.65,,,,,-447777827.13,42.9363738628,,,,,,,,,,,,98113.4785878465,-40.0151729618,,,41.0511133763,35.318615092,,,,,,47.584323376,-47.2273422868,79.6768307521,,,34.0725490032,,,-21.1331725414,,-95.346250507,142.1232549858,,,,,,-99.9541287612,62.3516990323,-80.5084745763,,,,-99.6686547382,,,-43.9181777535,,,-82.1229581157,,,310.7912515767,,,,,310.7912515767,,721.1022935916,,,27857.8384691574,,,,2484.1427559006,,,215.5004975517,-2406.4941840612,,,36.3655371471,-30.2428884683,,,-28.8623995707,-2.5247851883,-84.5546411178,78.3201931742,78.3201931742,,26.6387500688,32.5595634309,,,,-26.8697509975,,-1390.8259810056,264.2653213595,197.8365854542,-3371.3184353457,-2604.7220399133,2461.8454842622,,-80.2198035583,-488.8004270915,742.7269204069,18.4559294451,,,-21.1331725414,,,,,-28.8623995707,-30.2428884683,,,,,36.3655371471,,,,,2700005.17,309.9573359736
688072.SH,688072,拓荆科技,10451305,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,500152169.1,,,,,,,,,,,,9259589.89,16162071.72,,0.0,525573830.71,986016674.63,,,,,,201333015.1,3596377.6,55978581.1,,0.0,1246924648.43,,0.0,-721350817.72,,,,,,,,,,118786643.13,,,,,,,0.0,118786643.13,,0.0,-118786643.13,,,588272369.27,,,,0.0,588272369.27,20000000.0,13790135.16,,,37640942.85,,,0.0,71431078.01,,0.0,516841291.26,-1022985.25,,0.0,-324319154.84,2667894690.65,,0.0,2343575535.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38.2675603591,,,,,,,,,,,,97979.5251512038,-30.8760384426,,,-36.9501175247,27.4777969826,,,,,,49.8889921647,-90.3680942226,99.6036292039,,,28.1281487109,,,-416.7217301963,,,,,,,,,,-7.1169411943,,,,,,,,-82.7079175988,,,82.5927566186,,,96.0907897567,,,,,96.0907897567,,180.5724351588,,,5176.9661919525,,,,1169.1398049647,,,75.5743852601,-229.1477916804,,,38.4401356726,-30.2428884683,,,-28.9333143489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688072.SH,688072,拓荆科技,10451305,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-30 00:00:00,2025-04-25 00:00:00,CNY,2785329354.5,,,,,,,,,,,,28735.76,505043005.73,,0.0,3290401095.99,4296477031.33,,,,,,359973592.26,139557240.58,151735884.59,,0.0,4947743748.76,,0.0,-1657342652.77,554435413.1,4045125.34,118981.18,,,9962400.0,,0.0,568561919.62,480826066.54,914396400.0,,,,9054000.0,,0.0,1404276466.54,,0.0,-835714546.92,70871214.95,127046.0,1732745968.42,,,,0.0,1803617183.37,400000000.0,62552182.38,,,1918323.48,,,0.0,464470505.86,,0.0,1339146677.51,-2743470.55,,0.0,-1156653992.73,3824548683.38,,0.0,2667894690.65,663874515.79,16860466.79,43788797.47,43788797.47,,4635265.02,1921543.28,,,,-26416.9,-2952.78,-94035724.0,48917081.17,-2889846.77,-4644872.33,-10345035.03,5700162.7,,-2424835883.14,-559237390.83,456565791.04,181937861.02,,0.0,-1657342652.77,,,,,2667894690.65,3824548683.38,,,,,-1156653992.73,0.7494062834,,,,,,,,,,,,-99.7884578041,110.6184416582,,,9.0264007961,84.6015049921,,,,,,53.3473454597,57.7440982927,26.750997806,,,78.595713001,,,-769.2930215089,-88.2035018489,-71.1929867845,27.8336610261,,,,,,-87.9392106521,332.8966089271,-80.7495494278,,,,99.8675496689,,,-71.1386889679,,,-451.7485432512,-96.708969559,,158.6188012567,,,,,-36.1204522254,,4138.431339669,,,-93.9811897479,,,,1292.7999040436,,,-52.003938169,-173.7105219999,,,-140.0226421654,309.2397764283,,,-30.2428884683,82.3301996603,-27.6921479379,90.1965974752,90.1965974752,,21.9833179784,62.2318931397,,,,65.7704965104,-102.2866967834,-478.3902257202,3365.8009585711,79.1991119752,-10035.0818773778,-14337.9900962283,4714.1753485448,,-72.2529155475,-41.0102885158,-72.1895069149,697.6763387013,,,-769.2930215089,,,,,-30.2428884683,309.2397764283,,,,,-140.0226421654,标准无保留意见,,,,1772137.19,79.2077909713
688072.SH,688072,拓荆科技,10451305,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-30 00:00:00,2024-10-29 00:00:00,CNY,1830973200.0,,,,,,,,,,,,9440.9,287628169.35,,0.0,2118610810.25,2958382408.76,,,,,,274691798.61,138747145.1,109995409.29,,0.0,3481816761.76,,0.0,-1363205951.51,550000000.0,4045125.34,94177.2,,,4530000.0,,0.0,558669302.54,245223571.99,768150000.0,,,,9054000.0,,0.0,1022427571.99,,0.0,-463758269.45,127046.0,127046.0,607062738.92,,,,0.0,607189784.92,,51920598.3,,,714306.5,,,0.0,52634904.8,,0.0,554554880.12,-242048.9,,0.0,-1272651389.74,3824548683.38,,0.0,2551897293.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6767327422,,,,,,,,,,,,-99.9290240213,40.6124216356,,,17.6553930874,83.9443901679,,,,,,55.2996791567,133.6319023404,49.171825922,,,81.5048013973,,,-1059.0510450251,-82.8125,-50.226849026,48.2988741044,,,,,,-82.5861562709,183.2900258638,-83.8284210141,,,,,,,-78.8604504465,,,71.5201290289,-99.9941003939,,,,,,,-71.8046890796,,,,,-97.7298527625,,,,67.2797093758,,,-73.8669981889,-108.8168524025,,,-435.9626656954,309.2397764283,,,94.3034016603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688072.SH,688072,拓荆科技,10451305,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-29 00:00:00,2024-08-28 00:00:00,CNY,1334850411.8,,,,,,,,,,,,9440.9,42464418.6,,0.0,1377324271.3,1763313250.33,,,,,,201278309.84,94647156.68,60914709.95,,0.0,2120153426.8,,0.0,-742829155.5,550000000.0,4045125.34,28080.0,,,4530000.0,,0.0,558603205.34,207895601.39,590000000.0,,,,9054000.0,,0.0,806949601.39,,0.0,-248346396.05,,,300000000.0,,,,0.0,300000000.0,,11887722.2,,,713306.5,,,0.0,12601028.7,,0.0,287398971.3,104690.75,,0.0,-703671889.5,3824548683.38,,0.0,3120876793.88,125507490.88,12100902.7,18574445.3,18574445.3,,2377923.47,928732.6,,,,25088.1,,-379585.0,12387838.98,-4045125.34,24616.3,156693.72,-132077.42,,-1062362889.11,430635679.45,-368218581.17,87797602.49,,0.0,-742829155.5,,,,,3120876793.88,3824548683.38,,,,,-703671889.5,7.280660425,,,,,,,,,,,,-99.9154722496,-4.8481002374,,,5.9433685805,110.6423741762,,,,,,67.7115262675,183.4088453148,26.3985803128,,,104.1130163463,,,-384.2368140173,,,-43.4270172257,,,,,,1125321.9912158758,254.2805922674,-63.125,,,,,,,-51.3499236466,,,85.0270293605,,,,,,,,-86.0691834825,,,,,-97.6458519567,,,,-58.4124257134,,,-86.4638706121,-93.5300318517,,,-196.7210186528,309.2397764283,,,87.7696907409,17.7597290758,2874.2438635112,77.5207039596,77.5207039596,,33.4455301419,126.7872131763,,,,154.3293883615,,,880.2853481652,,100.0040340951,,99.9783552817,,-74.0989901598,531.7925216955,-143.2668280041,6386.9004248371,,,-384.2368140173,,,,,87.7696907409,309.2397764283,,,,,-196.7210186528,标准无保留意见,,,,658606.38,97.3711413581
