日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2022-04-20,43.22,47.74,40.07,41.99,20563290.0,1962506053.0,26170753.0,0.7857
2022-04-21,43.21,50.49,42.61,46.21,12289617.0,1264254924.0,26170753.0,0.4696
2022-04-22,46.85,48.22,43.84,44.65,6816946.0,691788835.0,26170753.0,0.2605
2022-04-25,43.26,45.02,40.72,40.81,6279137.0,591506083.0,26170753.0,0.2399
2022-04-26,41.17,43.91,41.17,41.92,4310771.0,404029896.0,26170753.0,0.1647
2022-04-27,41.85,50.3,41.17,50.3,3984596.0,400717835.0,26170753.0,0.1523
2022-04-28,50.72,53.81,47.78,52.54,4527780.0,503893618.0,26170753.0,0.173
2022-04-29,52.76,55.04,50.86,54.26,2750298.0,319478853.0,26170753.0,0.1051
2022-05-05,53.44,53.44,48.89,50.42,4954077.0,555272219.0,26170753.0,0.1893
2022-05-06,48.45,53.58,48.32,49.7,2674166.0,299259682.0,26170753.0,0.1022
2022-05-09,49.2,51.65,48.46,50.08,2795245.0,307787330.0,26170753.0,0.1068
2022-05-10,49.11,60.0,48.77,57.31,3864609.0,469350859.0,26170753.0,0.1477
2022-05-11,57.62,59.53,55.27,58.22,3688534.0,467585002.0,26170753.0,0.1409
2022-05-12,57.27,65.96,56.35,58.91,3934615.0,522658885.0,26170753.0,0.1503
2022-05-13,60.38,62.64,58.56,59.86,2445433.0,323373517.0,26170753.0,0.0934
2022-05-16,61.0,63.36,59.36,60.74,2616900.0,353597077.0,26170753.0,0.1
2022-05-17,61.08,64.14,60.95,62.85,2593453.0,358040386.0,26170753.0,0.0991
2022-05-18,63.63,65.9,61.19,64.14,2269889.0,318918891.0,26170753.0,0.0867
2022-05-19,62.78,65.64,61.91,63.23,2223891.0,310840925.0,26170753.0,0.085
2022-05-20,62.54,66.36,62.11,65.51,1698441.0,239059336.0,26170753.0,0.0649
2022-05-23,65.57,70.51,65.54,67.86,1636473.0,244959890.0,26170753.0,0.0625
2022-05-24,67.49,68.31,62.77,63.23,2162609.0,312313739.0,26170753.0,0.0826
2022-05-25,63.68,65.82,62.65,63.68,1741835.0,245568702.0,26170753.0,0.0666
2022-05-26,63.68,65.31,60.04,64.87,2233734.0,307963655.0,26170753.0,0.0854
2022-05-27,65.05,66.18,62.78,64.5,1426573.0,201255232.0,26170753.0,0.0545
