证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
拓荆科技,拓荆科技股份有限公司,,,,,,0.0,0.0,292.929,10030.8044,,292.929,,,6529.6603,,2617.0753,3208.2151,,,,A股上市,2022-04-19,,688072,2022-04-20,,,,,10030.8044,,,12647.8797,,,,,,2617.0753,,6529.6603,015001
拓荆科技,拓荆科技股份有限公司,,,,,,,,292.929,9976.9944,,293.4517,,,6421.9482,,2670.8853,3261.5945,,,,定期报告,2022-08-27,,688072,2022-06-30,,,,,9976.9944,,,12647.8797,,,,0.5227,,2670.8853,,6421.9482,015019
拓荆科技,拓荆科技股份有限公司,,,,,,,,292.929,9835.0465,,292.929,,,6280.523,,2812.8332,3261.5945,,,,限售股份上市,2022-10-13,,688072,2022-10-20,,,,,9835.0465,,,12647.8797,,,,,,2812.8332,,6280.523,015027
拓荆科技,拓荆科技股份有限公司,,,,,,,,264.929,9806.9765,,264.929,,,6247.223,,2840.9032,3266.8245,,,,定期报告,2023-04-18,,688072,2022-12-31,,,,,9806.9765,,,12647.8797,,,,,,2840.9032,28.0,6275.223,015019
拓荆科技,拓荆科技股份有限公司,,,,,0.0,0.0,0.0,264.929,5741.6136,,264.929,,,2877.8997,,6906.2661,2570.7849,,,,限售股份上市,2023-04-13,,688072,2023-04-20,,,,,5741.6136,,,12647.8797,,,,,,6906.2661,28.0,2905.8997,015027
拓荆科技,拓荆科技股份有限公司,,,,,,,,264.929,5683.0136,,264.929,,,2877.8997,,6964.8661,2512.1849,,,,定期报告,2023-08-29,,688072,2023-06-30,,,,,5683.0136,,,12647.8797,,,,,,6964.8661,28.0,2905.8997,015019
拓荆科技,拓荆科技股份有限公司,,,,,0.0,0.0,0.0,392.0949,8410.8602,,392.0949,,,4259.2916,,10308.0018,3718.0337,,,,转增,2023-09-22,,688072,2023-09-28,,,,,8410.8602,,,18718.862,,,,,,10308.0018,41.44,4300.7316,015011
拓荆科技,拓荆科技股份有限公司,,,,,,,,369.8949,8586.3517,,369.8949,,,4259.2916,,10232.4738,3793.5617,,,,定期报告,2024-04-30,,688072,2023-12-31,,,,,8586.3517,,,18818.8255,,,,,,10232.4738,163.6035,4422.8951,015019
拓荆科技,拓荆科技股份有限公司,,,,,,0.0,0.0,392.0949,8410.8602,,392.0949,,,4259.2916,,10407.9653,3718.0337,,,,"增发新股上市,股权激励",2023-12-30,,688072,2024-01-04,,,,,8410.8602,,,18818.8255,,,,,,10407.9653,41.44,4300.7316,"015004,015025"
拓荆科技,拓荆科技股份有限公司,,,,,,0.0,0.0,392.0949,8523.5582,,392.0949,,,4259.2916,,10295.2673,3718.0337,,,,其他,2024-03-02,,688072,2024-02-20,,,,,8523.5582,,,18818.8255,,,,,,10295.2673,154.138,4413.4296,015999
拓荆科技,拓荆科技股份有限公司,,,,,0.0,0.0,0.0,392.0949,8403.1763,,392.0949,,,4138.9097,,10415.6492,3718.0337,,,,限售股份上市,2024-04-13,,688072,2024-04-22,,,,,8403.1763,,,18818.8255,,,,,,10415.6492,154.138,4293.0477,015027
拓荆科技,拓荆科技股份有限公司,,,,,,,,580.3005,12448.0525,,580.3005,,,6125.5864,,15384.0317,5502.6899,,,,转增,2024-06-04,,688072,2024-06-11,,,,,12448.0525,,,27832.0842,,,,,,15384.0317,239.4757,6365.0621,015011
拓荆科技,拓荆科技股份有限公司,,,,,,0.0,0.0,580.3005,12448.0525,,580.3005,,,6125.5864,,15384.0317,5502.6899,,,,其他,2024-06-18,,688072,2024-06-14,,,,,12448.0525,,,27832.0842,,,,,,15384.0317,239.4757,6365.0621,015999
拓荆科技,拓荆科技股份有限公司,,,,,,0.0,0.0,580.3004,12448.0525,,580.3004,,,6303.7516,,15384.0317,5502.6693,,,,定期报告,2024-08-28,,688072,2024-06-30,,,,,12448.0525,,,27832.0842,,,,,,15384.0317,61.3312,6365.0828,015019
拓荆科技,拓荆科技股份有限公司,,,,,,0.0,0.0,580.3004,12448.0525,,580.3004,,,6303.7516,,15384.0317,5502.6693,,,,定期报告,2025-04-25,,688072,2024-12-31,,,,,12448.0525,,,27832.0842,,,,,,15384.0317,61.3312,6365.0828,015019
拓荆科技,拓荆科技股份有限公司,,,,,,0.0,0.0,580.3004,12448.0525,,580.3004,,,6303.7516,,15524.8593,5502.6693,,,,"增发新股上市,股权激励",2025-01-22,,688072,2025-01-24,,,,,12448.0525,,,27972.9118,,,,,,15524.8593,61.3312,6365.0828,"015004,015025"
拓荆科技,拓荆科技股份有限公司,,,,,,,,,,,,,,,,27972.9118,,,,,限售股份上市,2025-04-12,,688072,2025-04-21,,,,,,,,27972.9118,,,,,,27972.9118,,,015027
拓荆科技,拓荆科技股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,27972.9118,,,,,定期报告,2025-08-26,,688072,2025-06-30,,,,,,,,27972.9118,,,,,,27972.9118,,0.0,015019
拓荆科技,拓荆科技股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,28116.393,,,,,"增发新股上市,股权激励",2025-09-27,,688072,2025-10-09,,,,,,,,28116.393,,,,,,28116.393,,0.0,"015004,015025"
