证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
新 希 望,四川新希望农业股份有限公司,0.0,,,,,13002.6,13002.6,,,0.0,,0.0,0.0,,,5187.39,,,,,"送股,转增",2000-06-07,13002.6,000876,2000-06-07,,0.0,,0.0,0.0,0.0,12.61,18202.6,,0.0,0.0,,0.0,5200.0,,,"015010,015011"
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,13002.6,13002.6,,,0.0,,0.0,0.0,,0.0,5187.39,,0.0,,,定期报告,,13002.6,000876,2000-06-30,0.0,0.0,,0.0,0.0,0.0,12.61,18202.6,,0.0,0.0,,0.0,5200.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,13002.6,13002.6,,,0.0,,0.0,0.0,,0.0,5187.39,,0.0,,,定期报告,,13002.6,000876,2000-12-31,0.0,0.0,,0.0,0.0,0.0,12.61,18202.6,,0.0,0.0,,0.0,5200.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,13002.6,13002.6,,,0.0,,0.0,0.0,,,6400.0,,0.0,,,配股上市,,13002.6,000876,2001-03-28,0.0,0.0,,0.0,0.0,0.0,0.0,19402.6,,0.0,0.0,,0.0,6400.0,,,015005
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,13002.6,13002.6,,,0.0,,0.0,0.0,,0.0,6400.0,,0.0,,,定期报告,,13002.6,000876,2001-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,19402.6,,0.0,0.0,,0.0,6400.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,13002.6,13002.6,,,0.0,,0.0,0.0,,0.0,6400.0,,0.0,,,定期报告,,13002.6,000876,2001-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,19402.6,,0.0,0.0,,0.0,6400.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,13002.6,13002.6,,,0.0,,0.0,0.0,,0.0,6400.0,,0.0,,,定期报告,,13002.6,000876,2002-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,19402.6,,0.0,0.0,,0.0,6400.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,16253.225,16253.225,,,0.0,,0.0,0.0,,,8000.0,,0.0,,,"送股,转增",,16253.225,000876,2002-07-05,0.0,0.0,,0.0,0.0,0.0,0.0,24253.225,,0.0,0.0,,0.0,8000.0,,,"015010,015011"
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,21129.225,21129.225,,,0.0,,0.0,0.0,,,10400.0,,0.0,,,"送股,转增",2002-11-02,21129.225,000876,2002-11-11,0.0,0.0,,0.0,0.0,0.0,0.0,31529.225,,0.0,0.0,,0.0,10400.0,,,"015010,015011"
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,21129.225,21129.225,,,0.0,,0.0,0.0,,0.0,10400.0,,0.0,,,定期报告,2003-02-15,21129.225,000876,2002-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,31529.225,,0.0,0.0,,0.0,10400.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,21129.225,21129.225,,,0.0,,0.0,0.0,,0.0,10400.0,,0.0,,,定期报告,2003-07-19,21129.225,000876,2003-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,31529.225,,0.0,0.0,,0.0,10400.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,21129.225,21129.225,,,0.0,,0.0,0.0,,0.0,10400.0,,0.0,,,定期报告,2004-03-13,21129.225,000876,2003-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,31529.225,,0.0,0.0,,0.0,10400.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,21129.225,21129.225,,,0.0,,0.0,0.0,,0.0,10400.0,,0.0,,,定期报告,2004-08-28,21129.225,000876,2004-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,31529.225,,0.0,0.0,,0.0,10400.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,21129.225,21129.225,,,0.0,,0.0,0.0,,0.0,10400.0,,0.0,,,定期报告,2005-03-01,21129.225,000876,2004-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,31529.225,,0.0,0.0,,0.0,10400.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,21129.225,21129.225,,,0.0,,0.0,0.0,,0.0,10400.0,,0.0,,,定期报告,2005-08-30,21129.225,000876,2005-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,31529.225,,0.0,0.0,,0.0,10400.0,,,015019
新 希 望,四川新希望农业股份有限公司,0.0,0.0,,0.0,0.0,21129.225,21129.225,,,0.0,,0.0,0.0,,0.0,10400.0,,0.0,,,定期报告,2006-03-31,21129.225,000876,2005-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,31529.225,,0.0,0.0,,0.0,10400.0,,,015019
