日期,000876.SZ_close,000876.SZ_volume,000876.SZ_turnover
2024-05-06,8.85,331732884.87,0.83
2024-05-07,8.93,246079563.73,0.61
2024-05-08,9.11,386341976.59,0.94
2024-05-09,9.33,379721879.05,0.91
2024-05-10,9.38,352603349.89,0.83
2024-05-13,9.55,408935673.38,0.95
2024-05-14,9.65,408513661.44,0.94
2024-05-15,9.48,283551359.5,0.66
2024-05-16,9.59,274185421.06,0.63
2024-05-17,9.91,433721148.48,0.98
2024-05-20,10.5,909752160.44,1.93
2024-05-21,10.58,747013690.89,1.56
2024-05-22,10.62,476331792.0,1.0
2024-05-23,10.36,480050319.94,1.02
2024-05-24,10.44,479501285.01,1.01
2024-05-27,10.38,394556950.0,0.85
2024-05-28,10.08,362296648.4,0.79
2024-05-29,10.21,337249757.02,0.73
2024-05-30,10.07,237093723.12,0.52
2024-05-31,10.0,212846548.12,0.47
2024-06-03,10.08,395656700.12,0.87
2024-06-04,10.05,273093137.9,0.6
2024-06-05,9.83,286646874.72,0.64
2024-06-06,9.67,291676730.98,0.67
2024-06-07,9.7,182189582.25,0.41
2024-06-11,9.89,254812835.27,0.58
2024-06-12,9.74,331755743.91,0.75
2024-06-13,9.35,346761623.93,0.81
2024-06-14,9.42,332792448.24,0.78
2024-06-17,9.45,203677294.24,0.48
2024-06-18,9.47,220546550.61,0.51
2024-06-19,9.34,140196066.26,0.33
2024-06-20,9.36,151316843.18,0.36
2024-06-21,9.59,421782258.6,0.97
2024-06-24,9.23,263656808.28,0.62
2024-06-25,9.18,148490677.0,0.36
2024-06-26,9.2,163631160.45,0.4
2024-06-27,9.1,121701655.51,0.29
2024-06-28,9.12,124933652.45,0.3
2024-07-01,9.39,230739205.26,0.55
2024-07-02,9.33,121316580.5,0.29
2024-07-03,9.35,102372896.88,0.24
2024-07-04,9.12,140787866.0,0.34
2024-07-05,9.17,95283481.0,0.23
2024-07-08,9.25,171485100.22,0.41
2024-07-09,9.12,194027278.65,0.47
2024-07-10,9.25,180622587.51,0.44
2024-07-11,9.38,182983675.47,0.43
2024-07-12,9.29,149620553.46,0.35
2024-07-15,9.5,245308844.0,0.57
2024-07-16,9.53,191250284.36,0.44
2024-07-17,9.61,172229599.16,0.4
2024-07-18,9.57,138549095.94,0.32
2024-07-19,9.6,162465872.39,0.38
2024-07-22,9.56,125179369.9,0.29
2024-07-23,9.28,125935489.06,0.3
2024-07-24,9.09,125246421.62,0.3
2024-07-25,9.19,96584966.58,0.23
2024-07-26,9.22,71622420.66,0.17
2024-07-29,9.11,76106100.27,0.18
2024-07-30,9.25,108023865.58,0.26
2024-07-31,9.45,139273271.21,0.33
2024-08-01,9.54,183047141.6,0.42
2024-08-02,9.67,212711208.96,0.49
2024-08-05,9.71,274015726.14,0.62
2024-08-06,9.74,215385571.38,0.49
2024-08-07,9.56,182334636.78,0.42
2024-08-08,9.67,151240070.78,0.35
2024-08-09,9.58,100991849.54,0.23
2024-08-12,9.66,166993160.5,0.38
2024-08-13,9.72,177661636.01,0.4
2024-08-14,9.57,113458333.1,0.26
2024-08-15,9.6,146171287.31,0.34
2024-08-16,9.44,139984438.0,0.33
2024-08-19,9.39,109352159.4,0.26
2024-08-20,9.23,102562023.08,0.24
