日期,收盘价
2024-04-03,47.05
2024-04-08,45.48
2024-04-09,46.36
2024-04-10,44.99
2024-04-11,44.50
2024-04-12,49.35
2024-04-15,53.18
2024-04-16,52.49
2024-04-17,53.95
2024-04-18,53.50
2024-04-19,53.00
2024-04-22,53.48
2024-04-23,52.55
2024-04-24,52.81
2024-04-25,52.88
2024-04-26,55.91
2024-04-29,59.36
2024-04-30,58.17
2024-05-06,59.20
2024-05-07,57.66
2024-05-08,56.10
2024-05-09,59.03
2024-05-10,58.98
2024-05-13,58.61
2024-05-14,58.54
2024-05-15,57.80
2024-05-16,57.24
2024-05-17,58.88
2024-05-20,59.06
2024-05-21,58.00
2024-05-22,58.39
2024-05-23,56.87
2024-05-24,55.58
2024-05-27,56.28
2024-05-28,56.03
2024-05-29,55.93
2024-05-30,58.25
2024-05-31,58.20
2024-06-03,57.97
2024-06-04,57.68
2024-06-05,56.72
2024-06-06,55.79
2024-06-07,54.70
2024-06-11,58.77
2024-06-12,59.56
2024-06-13,59.71
2024-06-14,60.40
2024-06-17,62.36
2024-06-18,61.18
2024-06-19,60.89
2024-06-20,62.43
2024-06-21,62.26
2024-06-24,61.99
2024-06-25,59.90
2024-06-26,61.23
2024-06-27,60.74
2024-06-28,59.32
2024-07-01,56.58
2024-07-02,57.10
2024-07-03,57.56
2024-07-04,57.50
2024-07-05,57.17
2024-07-08,57.26
2024-07-09,60.32
2024-07-10,61.61
2024-07-11,66.77
2024-07-12,68.44
2024-07-15,69.68
2024-07-16,70.02
2024-07-17,68.87
2024-07-18,68.20
2024-07-19,67.44
2024-07-22,67.27
2024-07-23,64.33
2024-07-24,63.39
2024-07-25,62.57
2024-07-26,63.60
2024-07-29,62.33
2024-07-30,62.91
2024-07-31,66.03
2024-08-01,66.73
2024-08-02,64.21
2024-08-05,59.92
2024-08-06,59.87
2024-08-07,58.69
2024-08-08,58.76
2024-08-09,58.47
2024-08-12,58.91
2024-08-13,57.93
2024-08-14,57.35
2024-08-15,56.54
2024-08-16,55.57
2024-08-19,54.18
2024-08-20,52.33
2024-08-21,51.87
2024-08-22,52.07
2024-08-23,52.80
2024-08-26,52.10
2024-08-27,51.66
2024-08-28,51.62
2024-08-29,53.57
2024-08-30,54.35
2024-09-02,53.28
2024-09-03,53.34
2024-09-04,52.70
2024-09-05,53.60
2024-09-06,51.90
2024-09-09,51.65
2024-09-10,51.60
2024-09-11,52.36
2024-09-12,52.83
2024-09-13,52.13
2024-09-18,50.23
2024-09-19,49.82
2024-09-20,49.33
2024-09-23,49.30
2024-09-24,52.20
2024-09-25,51.51
2024-09-26,54.10
2024-09-27,58.85
2024-09-30,70.35
2024-10-08,84.42
2024-10-09,83.32
2024-10-10,75.20
2024-10-11,67.31
2024-10-14,70.92
2024-10-15,68.74
2024-10-16,66.89
2024-10-17,64.75
2024-10-18,72.36
2024-10-21,76.59
2024-10-22,73.36
2024-10-23,72.36
2024-10-24,71.71
2024-10-25,72.37
2024-10-28,71.92
2024-10-29,71.21
2024-10-30,69.30
2024-10-31,69.64
2024-11-01,66.98
2024-11-04,68.30
2024-11-05,71.96
2024-11-06,70.93
2024-11-07,72.58
2024-11-08,72.17
2024-11-11,76.10
2024-11-12,74.36
2024-11-13,73.66
2024-11-14,70.29
2024-11-15,67.93
2024-11-18,67.02
2024-11-19,70.43
2024-11-20,70.08
2024-11-21,69.35
2024-11-22,66.26
2024-11-25,65.29
2024-11-26,64.90
2024-11-27,68.04
2024-11-28,67.67
2024-11-29,68.79
2024-12-02,69.06
2024-12-03,68.00
2024-12-04,68.05
2024-12-05,67.32
2024-12-06,69.17
2024-12-09,69.12
2024-12-10,69.62
2024-12-11,73.83
2024-12-12,74.09
2024-12-13,75.40
2024-12-16,72.82
2024-12-17,70.90
2024-12-18,75.51
2024-12-19,78.36
2024-12-20,78.38
2024-12-23,74.20
2024-12-24,75.30
2024-12-25,74.06
2024-12-26,77.10
2024-12-27,75.56
2024-12-30,73.80
2024-12-31,68.68
2025-01-02,64.90
2025-01-03,65.05
2025-01-06,64.17
2025-01-07,65.56
2025-01-08,69.72
2025-01-09,71.60
2025-01-10,70.41
2025-01-13,70.21
2025-01-14,75.50
2025-01-15,78.85
2025-01-16,78.01
2025-01-17,81.25
2025-01-20,80.99
2025-01-21,88.06
2025-01-22,87.78
2025-01-23,84.50
2025-01-24,85.82
2025-01-27,83.92
2025-02-05,82.60
2025-02-06,87.60
2025-02-07,88.81
2025-02-10,87.30
2025-02-11,84.37
2025-02-12,86.21
2025-02-13,82.55
2025-02-14,82.10
2025-02-17,82.12
2025-02-18,79.17
2025-02-19,82.05
2025-02-20,83.11
2025-02-21,83.88
2025-02-24,82.32
2025-02-25,84.83
2025-02-26,86.77
2025-02-27,88.31
2025-02-28,84.60
2025-03-03,83.77
2025-03-04,88.70
2025-03-05,88.16
2025-03-06,88.59
2025-03-07,85.42
2025-03-10,84.45
2025-03-11,82.64
2025-03-12,82.73
2025-03-13,78.79
2025-03-14,81.40
2025-03-17,81.48
2025-03-18,82.99
2025-03-19,82.33
2025-03-20,82.70
2025-03-21,79.79
2025-03-24,82.75
2025-03-25,79.60
2025-03-26,79.69
2025-03-27,81.68
2025-03-28,80.48
2025-03-31,83.45
2025-04-01,81.20
2025-04-02,81.27
2025-04-03,74.00
