日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-03-20,6.83,5.67,1.63,0.45,-0.09,49.25
2025-03-21,8.40,6.75,2.00,-3.52,-0.34,43.46
2025-03-24,9.99,8.19,2.38,3.71,-0.29,49.91
2025-03-25,6.61,5.32,1.57,-3.81,-0.50,44.14
2025-03-26,4.96,3.99,1.18,0.11,-0.66,44.34
2025-03-27,7.86,6.45,1.87,2.50,-0.61,48.67
2025-03-28,4.70,3.82,1.12,-1.47,-0.66,46.33
2025-03-31,9.61,7.90,2.29,3.69,-0.46,52.43
2025-04-01,7.65,6.30,1.82,-2.70,-0.48,47.98
2025-04-02,5.05,4.13,1.20,0.09,-0.48,48.13
2025-04-03,19.72,14.86,4.69,-8.95,-1.05,36.53
