日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,47.46,48.43,47.46,47.77,1089013.0,52784349.0,37325470.0,0.029176136295135734
2019-11-28,48.01,48.98,47.77,48.32,1891862.0,92758640.0,37325470.0,0.05068555064410441
2019-11-29,48.33,48.97,48.21,48.78,1278137.0,62819268.0,37325470.0,0.03424302493712738
2019-12-02,48.81,49.66,48.01,48.15,1509721.0,74589182.0,37325470.0,0.04044747460648185
2019-12-03,47.66,48.22,47.12,47.77,1153548.0,55355424.0,37325470.0,0.03090511653302691
2019-12-04,47.7,49.93,47.4,49.14,2283302.0,113034503.0,37325470.0,0.061172759512472315
2019-12-05,49.09,49.6,48.66,49.33,1355223.0,67244752.0,37325470.0,0.03630826349942814
2019-12-06,49.46,50.79,49.38,49.89,1940032.0,98264406.0,37325470.0,0.051976090321166755
2019-12-09,50.29,51.89,50.28,51.71,2902912.0,150261414.0,37325470.0,0.07777295235666155
2019-12-10,51.58,57.9,50.98,55.52,6361373.0,353269864.0,37325470.0,0.17042981642294122
2019-12-11,54.53,56.63,53.46,53.66,3481658.0,192371794.0,37325470.0,0.09327834317960364
2019-12-12,54.25,55.78,53.69,54.44,2761901.0,153038074.0,37325470.0,0.07399507628437096
2019-12-13,55.19,55.44,52.48,53.45,2476677.0,133981962.0,37325470.0,0.06635353821398632
2019-12-16,53.32,54.5,53.27,54.17,1687588.0,92086368.0,37325470.0,0.04521277294030055
2019-12-17,54.54,55.44,54.07,55.21,2358890.0,130728914.0,37325470.0,0.0631978646216645
2019-12-18,55.54,57.83,55.24,57.4,4244879.0,243991168.0,37325470.0,0.1137260696248433
2019-12-19,57.91,57.99,55.93,56.35,2362579.0,134777134.0,37325470.0,0.06329669793843186
2019-12-20,56.03,56.89,55.66,55.97,1521279.0,86430682.0,37325470.0,0.0407571291131766
2019-12-23,55.93,55.93,52.27,52.37,2539592.0,137378720.0,37325470.0,0.06803911645318866
2019-12-24,52.47,53.43,52.47,53.26,1329671.0,71311350.0,37325470.0,0.03562369073986208
2019-12-25,52.54,55.6,52.54,55.44,3144747.0,174309153.0,37325470.0,0.08425204022883034
2019-12-26,55.58,57.41,55.25,55.74,2669650.0,151963342.0,37325470.0,0.07152354678989976
2019-12-27,56.02,57.28,54.05,54.24,2934997.0,165535429.0,37325470.0,0.07863255305291535
2019-12-30,54.26,54.33,52.29,53.53,1689667.0,90893004.0,37325470.0,0.045268472171951214
2019-12-31,53.61,54.4,52.96,53.45,1362389.0,73780514.0,37325470.0,0.036500250365233175
2020-01-02,54.17,55.93,53.46,55.93,2665970.0,147755922.0,37325470.0,0.07142495459534735
2020-01-03,55.98,56.87,55.21,56.53,2795298.0,158409273.0,37325470.0,0.07488982724129127
2020-01-06,55.95,57.68,55.21,56.92,3062265.0,175268368.0,37325470.0,0.08204223550299568
2020-01-07,57.02,58.32,56.06,58.32,3577895.0,207436003.0,37325470.0,0.09585666302393513
2020-01-08,58.27,61.68,57.3,59.65,5335446.0,321271381.0,37325470.0,0.14294383968909166
2020-01-09,60.89,63.83,59.91,63.56,5448876.0,343579745.0,37325470.0,0.14598278333802628
2020-01-10,64.55,64.56,62.0,62.45,3519097.0,224384692.0,37325470.0,0.09428138480238829
2020-01-13,61.86,65.64,61.85,65.62,3909533.0,252548743.0,37325470.0,0.104741695148112
2020-01-14,65.93,66.31,64.49,65.04,3778693.0,249558702.0,37325470.0,0.10123631397005851
2020-01-15,65.04,69.07,64.82,65.59,4625987.0,314032512.0,37325470.0,0.12393647019046244
2020-01-16,65.84,68.31,64.6,67.09,4809585.0,324235919.0,37325470.0,0.1288553097924822
2020-01-17,67.81,80.5,67.71,80.5,9852343.0,742485882.0,37325470.0,0.263957640720934
2020-01-20,85.04,89.08,77.08,80.98,11648196.0,987072357.0,37325470.0,0.312070979950152
2020-01-21,79.26,82.66,74.4,76.04,7314961.0,573158914.0,37325470.0,0.1959777331671912
2020-01-22,74.25,82.07,70.15,80.19,6803100.0,530303579.0,37325470.0,0.1822642822715963
2020-01-23,78.21,83.62,76.31,77.73,5727831.0,463230096.0,37325470.0,0.15345636639002805
2020-02-03,62.19,65.34,62.19,62.19,3204076.0,202588760.0,37325470.0,0.08584154466105852
2020-02-04,60.21,70.08,60.16,68.33,5985619.0,402868697.0,37325470.0,0.16036285678385295
2020-02-05,69.03,74.05,67.81,69.3,5155982.0,368476782.0,37325470.0,0.13813575555780008
2020-02-06,68.8,72.57,68.01,71.5,4555137.0,325960704.0,37325470.0,0.12203830253175646
2020-02-07,71.77,80.49,70.44,78.7,7594564.0,574693859.0,37325470.0,0.2034686770186685
2020-02-10,77.22,84.74,75.69,81.58,8172961.0,666618964.0,39561559.0,0.20658844612266164
2020-02-11,81.19,82.96,75.77,77.22,5806243.0,461509258.0,39561559.0,0.14676476728331156
2020-02-12,76.24,83.03,76.23,81.48,6311130.0,510108924.0,39561559.0,0.15952682754489023
2020-02-13,81.38,89.25,80.78,83.01,9384507.0,812634456.0,39561559.0,0.23721277010342287
2020-02-14,82.17,87.91,77.84,80.99,7989966.0,674240495.0,39561559.0,0.20196287006788585
2020-02-17,82.13,83.4,79.45,83.14,5701332.0,470963440.0,39561559.0,0.1441129253778902
2020-02-18,82.33,87.02,82.33,85.25,6157355.0,530234633.0,39561559.0,0.15563984725677774
2020-02-19,84.88,86.13,80.49,80.49,5545443.0,462499245.0,39561559.0,0.14017250937962278
2020-02-20,80.71,81.57,74.84,77.42,6035146.0,472813556.0,39561559.0,0.15255076272398668
2020-02-21,77.61,78.69,75.06,75.37,4532430.0,351504255.0,39561559.0,0.11456651645098212
2020-02-24,74.13,76.03,73.27,75.32,4238300.0,319224742.0,39561559.0,0.10713177405369692
2020-02-25,73.24,76.78,72.09,75.41,4235034.0,318817392.0,39561559.0,0.10704921916752573
2020-02-26,73.67,75.22,69.3,69.43,4657446.0,338597556.0,39561559.0,0.11772655369825036
2020-02-27,69.5,70.76,66.48,67.23,2721138.0,187514442.0,39561559.0,0.06878237533561304
2020-02-28,63.98,65.27,60.39,61.49,3745255.0,238962762.0,39561559.0,0.09466904476641075
2020-03-02,61.15,66.03,61.15,65.23,3077520.0,199222756.0,39561559.0,0.07779066542852874
2020-03-03,66.38,69.96,66.21,67.25,3842258.0,264054031.0,39561559.0,0.09712099566147027
2020-03-04,66.37,68.04,64.28,65.95,2225750.0,148390992.0,39561559.0,0.05626042189085622
2020-03-05,67.56,67.89,65.49,66.76,1989828.0,133919886.0,39561559.0,0.05029700674839432
2020-03-06,65.83,66.48,64.56,64.99,1720626.0,113655929.0,39561559.0,0.0434923709654617
2020-03-09,63.56,63.56,60.41,60.44,2393103.0,149607448.0,39561559.0,0.06049061413378578
2020-03-10,59.4,63.81,58.98,63.3,2818463.0,175057643.0,39561559.0,0.07124246544480212
2020-03-11,64.0,65.64,61.83,61.83,2728953.0,176045977.0,39561559.0,0.06897991557916107
2020-03-12,60.79,62.57,60.37,60.96,1672496.0,103451047.0,39561559.0,0.042275785946655944
2020-03-13,57.33,61.51,55.94,60.22,2456816.0,147521521.0,39561559.0,0.06210109161774944
2020-03-16,60.19,61.7,56.24,56.69,2507819.0,150169219.0,39561559.0,0.06339029763715834
2020-03-17,56.73,58.21,53.64,55.72,2199730.0,123985551.0,39561559.0,0.055602712724238196
2020-03-18,56.45,57.71,54.45,54.45,2024739.0,115411265.0,39561559.0,0.0511794542778256
