证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
晶晨股份,晶晨半导体（上海）股份有限公司,,,,,0.0,0.0,0.0,,37379.453,,20750.1851,,,13968.471,,3732.547,2016.5001,,,,A股上市,2019-08-07,,688099,2019-08-08,,,,,37379.453,,,41112.0,,,,20750.1851,,3732.547,644.2968,14612.7678,015001
晶晨股份,晶晨半导体（上海）股份有限公司,,,,,,,,,37379.453,,20750.1851,,,13812.6269,,3732.547,2172.3442,,,,定期报告,2020-04-28,,688099,2019-12-31,,,,,37379.453,,,41112.0,,,,20750.1851,,3732.547,644.2968,14456.9237,015019
晶晨股份,晶晨半导体（上海）股份有限公司,,,,,0.0,0.0,0.0,,37155.8441,,20750.1851,,,13744.8621,,3956.1559,2016.5001,,,,限售股份上市,2020-01-23,,688099,2020-02-10,,,,,37155.8441,,,41112.0,,,,20750.1851,,3956.1559,644.2968,14389.1589,015027
晶晨股份,晶晨半导体（上海）股份有限公司,,,,,,,,,37155.8441,,20750.1851,,,13589.018,,3956.1559,2172.3442,,,,定期报告,2020-08-27,,688099,2020-06-30,,,,,37155.8441,,,41112.0,,,,20750.1851,,3956.1559,644.2968,14233.3148,015019
晶晨股份,晶晨半导体（上海）股份有限公司,,,,,,,,,19958.5586,,15920.8932,,,3114.1514,,21153.4414,923.514,,,,限售股份上市,2020-08-01,,688099,2020-08-10,,,,,19958.5586,,,41112.0,,,,15920.8932,,21153.4414,,3114.1514,015027
晶晨股份,晶晨半导体（上海）股份有限公司,,,,,,,,,19958.5586,,15920.8932,,,2958.3073,,21153.4414,1079.3581,,,,定期报告,2021-04-16,,688099,2020-12-31,,,,,19958.5586,,,41112.0,,,,15920.8932,,21153.4414,,2958.3073,015019
晶晨股份,晶晨半导体(上海)股份有限公司,,,,,,,,,19958.5586,,15920.8932,,,2958.3073,,21153.4414,1079.3581,,,,定期报告,2021-08-17,,688099,2021-06-30,,,,,19958.5586,,,41112.0,,,,15920.8932,,21153.4414,,2958.3073,015019
晶晨股份,晶晨半导体(上海)股份有限公司,,,,,,,,,19802.7145,,15920.8932,,,2802.4632,,21309.2855,1079.3581,,,,限售股份上市,2021-07-30,,688099,2021-08-09,,,,,19802.7145,,,41112.0,,,,15920.8932,,21309.2855,,2802.4632,015027
晶晨股份,晶晨半导体(上海)股份有限公司,,,,,,,,,19802.7145,,15920.8932,,,2958.3073,,21309.2855,923.514,,,,定期报告,2022-04-15,,688099,2021-12-31,,,,,19802.7145,,,41112.0,,,,15920.8932,,21309.2855,,2958.3073,015019
晶晨股份,晶晨半导体(上海)股份有限公司,,,,,,,,,19802.7145,,15920.8932,,,2958.3073,,21309.2855,923.514,,,,定期报告,2022-08-12,,688099,2022-06-30,,,,,19802.7145,,,41112.0,,,,15920.8932,,21309.2855,,2958.3073,015019
晶晨股份,晶晨半导体(上海)股份有限公司,,,,,,,,,,,,,,,,41112.0,,,,,限售股份上市,2022-07-30,,688099,2022-08-08,,,,,,,,41112.0,,,,,,41112.0,,,015027
晶晨股份,晶晨半导体(上海)股份有限公司,,,,,,0.0,0.0,,0.0,,0.0,,,,,41343.1708,,,,,"增发新股上市,股权激励",2022-10-12,,688099,2022-10-14,,,,,0.0,,,41343.1708,,,,,,41343.1708,,0.0,"015004,015025"
晶晨股份,晶晨半导体(上海)股份有限公司,,,,,,0.0,0.0,,0.0,,0.0,,,,,41349.988,,,,,"增发新股上市,股权激励",2022-11-17,,688099,2022-11-21,,,,,0.0,,,41349.988,,,,,,41349.988,,0.0,"015004,015025"
晶晨股份,晶晨半导体(上海)股份有限公司,,,,,,,,,,,,,,,,41349.988,,,,,定期报告,2023-04-13,,688099,2022-12-31,,,,,,,,41349.988,,,,,,41349.988,,,015019
