SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688728.SH,688728,格科微,10408745,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,5722579132,25.6578603229,5722579132,25.6578603229,,,,,,,,,,,5777929255,25.1450243479,4538224972,30.0369230192,,,,,718182028,13.7994090871,,,,,,,,,,,,,17545667,9.1726218291,101201506,4.0345798396,172329001,6.9201295426,,,230446081,4.0777149884,234507896,1.8657320807,-65347530,6.3047111198,,,,,,,5183930.0,-79.1120797513,2575484,-45.3149563833,,,,,,,968.0,-98.5794370579,-54689734,51.9101438294,-3479829.0,-147.4714007143,129834178,30.0456230799,,,0,,24074874,149.5486867945,1481106,34.0140627785,,,1294330,-60.0429845158,,,,,0,,24261650,147.8321842495,-25926995,55.9317953169,,,,,,,50188645,518.7457405375,,,50188645.0,518.7457405375,,,50188645,518.7457405375,,,-6520440,84.9201004272,,,,,0.02,,0.02,,14972181,113.7599878525,14972181,113.7599878525,,,,,,,-4388535.0,91.872149082,,,-6624531.0,-2180.5295754477,,,,,2235996.0,104.1169314467,,,19360716,135.3196173991,,,,,,,,,,,,,,,19360716,135.3196173991,,,,,,,,,65160826,164.7090282121,65160826,164.7090282121,,,,,,,,,,,,,
688728.SH,688728,格科微,10408745,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-27 00:00:00,2025-08-27 00:00:00,CNY,3636341105,30.331689321,3636341105,30.331689321,,,,,,,,,,,3647683746,33.1061730884,2842262174,34.982498659,,,,,485662620,25.493368758,,,,,,,,,,,,,12516182,21.1849070247,66376264,12.7746173169,111057249,2.1242489507,,,129809257,85.8562525023,151654722,3.4124577999,-41857163,5.9965340329,,,,,,,5183930.0,-74.321518447,-239749,-108.2753595525,,,,,,,968.0,100.1119590285,-72439043,-13.709789288,-1960818.0,-1206.2714845311,96206252,64.4908303518,,,0,,15408899,-76.8243401463,1121360,45.4686972991,,,1105317,7.5274894717,,,,,0,,15424942,-76.7101587152,-14336976,-27.3362085649,,,,,,,29761918,-61.5923190621,,,29761918.0,-61.5923190621,,,29761918,-61.5923190621,,,-14949980,-132.5126413995,,,,,0.01,-66.6666666667,0.01,-66.6666666667,1807250,122.2100638841,1807250,122.2100638841,,,,,,,-5875905.0,-220.8608230028,,,-6624046.0,,,,,,748141.0,140.8531344503,,,7683155,221.8429971345,,,,,,,,,,,,,,,7683155,221.8429971345,,,,,,,,,31569168,-54.4800759506,31569168,-54.4800759506,,,,,,,,,,,,,
688728.SH,688728,格科微,10408745,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,1524264403,18.20680714,1524264403,18.20680714,,,,,,,,,,,1610216782,24.8932679205,1206408766,25.1707832116,,,,,261616580,30.0186839321,,,,,,,,,,,,,5582704,20.4556022161,36009719,14.758680625,53346614,-1.060296625,,,47252399,37.6903406752,65025286,4.7212512924,-21920266,-2.9207058171,,,,,,,,,-1262609,-175.5545675301,,,,,,,968.0,100.351943689,-31056857,0.412311028,-440781.0,-28.9704449497,31327397,-26.2073630442,,,0,,-87384261,-796.9884754452,560105,59.0583805213,,,807442,204.5904991116,,,,,0,,-87631598,-794.1418521883,-35900703,-104.6913249695,,,,,,,-51730895,-271.5022127149,,,-51730895.0,-271.5022127149,,,-51730895,-271.5022127149,,,-56729329,-573.7741564624,,,,,-0.02,-300.0,-0.02,-300.0,2722699,239.5011833037,2722699,239.5011833037,,,,,,,209144.0,,,,,,,,,,209144.0,,,,2513555,228.7854062454,,,,,,,,,,,,,,,2513555,228.7854062454,,,,,,,,,-49008196,-273.7161079396,-49008196,-273.7161079396,,,,,,,,,,,,,
688728.SH,688728,格科微,10408745,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,6383250681,35.895447382,6383250681,35.895447382,,,,,,,,,,,6411761337,38.5551093437,4926348502,48.915510896,,,,,951726818,19.6568408911,,,,,,,,,,,,,23458501,-12.1081067431,134836039,11.9947016744,226291671,-9.2658811142,,,149099806,16.8741292288,308910448,50.754667273,-92596913,-26.277754945,,,,,,,23079087.0,116.3265547366,7046320,81.1086502312,,,,,,,-2831858.0,-6974.1091368094,-81495873,-33.8202771632,-562675.0,-137.6151283145,214056156,48.7265785825,,,0,,130780501,774.7392095901,1758882,175.5179819264,,,8002111,144.6361172305,,,,,0,,124537272,911.0051465462,-62268622,-73.3206494065,,,,,,,186805894,287.2026152846,,,186805894.0,287.2026152846,,,186805894,287.2026152846,,,70656572,14.5400823983,,,,,0.07,250.0,0.07,250.0,-19733848,-82.0188288648,-19733848,-82.0188288648,,,,,,,-3418720.0,-182.3515695534,,,-406901.0,-107.2765480241,,,,,-3011819.0,-109.0700336462,,,-16315128,-8.8181276839,,,,,,,,,,,,,,,-16315128,-8.8181276839,,,,,,,,,167072046,346.6767384929,167072046,346.6767384929,,,,,,,,,,,,,标准无保留意见
688728.SH,688728,格科微,10408745,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,4554095635,40.3476699226,4554095635,40.3476699226,,,,,,,,,,,4616986800,46.8083454878,3489951059,56.1301618328,,,,,631094690,5.9675988319,,,,,,,,,,,,,16071490,-26.9474572731,97276796,9.2202032548,161175451,-9.7808168933,,,221417314,809.0636079629,230212743,86.162814144,-69744734,-32.850695554,,,,,,,24817837.0,,4709668,80.8785247875,,,,,,,68142.0,,-113724054,38.4459006737,-1406154.0,-300.2520678105,99837407,-0.2120907966,,,0,,-48588319,-361.7816118428,1105187,289.3134799441,,,3239306,31.1951768153,,,,,0,,-50722438,-409.7470614221,-58833790,-76.4119573635,,,,,,,8111352,-83.6877961574,,,8111352.0,-83.6877961574,,,8111352,-83.6877961574,,,-43239280,-34.5215689048,,,,,0.0,-100.0,0.0,-100.0,-108809551,-513.8626279104,-108809551,-513.8626279104,,,,,,,-53993793.0,-769.5203042352,,,318406.0,-96.8192435337,,,,,-54312199.0,-2691.1998281459,,,-54815758,-112.5470551696,,,,,,,,,,,,,,,-54815758,-112.5470551696,,,,,,,,,-100698199,-414.6791676009,-100698199,-414.6791676009,,,,,,,,,,,,,
688728.SH,688728,格科微,10408745,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-16 00:00:00,2025-08-27 00:00:00,CNY,2790066732,42.9436044991,2790066732,42.9436044991,,,,,,,,,,,2740431688,51.4443064449,2105652364,65.3491027475,,,,,387002616,29.3170707735,,,,,,,,,,,,,10328169,-42.6669618389,58857450,-1.4524934478,108747188,-36.2830514218,,,69843901,701.8096795301,146650341,94.9831944555,-44527255,-31.3427790925,,,,,,,20187837.0,,2897143,40.2462732736,,,,,,,-864602.0,,-63705195,63.7958180408,-150108.0,-106.8006210389,58487304,23.3475282675,,,0,,66487423,268.0821539836,770860,204.5769917658,,,1027939,360.9467906693,,,,,0,,66230344,266.0492443386,-11259151,-127.5130321662,,,,,,,77489495,439.4242697863,,,77489495.0,439.4242697863,,,77489495,439.4242697863,,,45982053,172.4344647014,,,,,0.03,400.0,0.03,400.0,-8137077,61.9312407145,-8137077,61.9312407145,,,,,,,-1831294.0,-122.9919660311,,,,,,,,,-1831294.0,10.4701347768,,,-6305783,78.5076143129,,,,,,,,,,,,,,,-6305783,78.5076143129,,,,,,,,,69352418,256.8904115136,69352418,256.8904115136,,,,,,,,,,,,,
688728.SH,688728,格科微,10408745,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-29 00:00:00,CNY,1289489531,51.1348575351,1289489531,51.1348575351,,,,,,,,,,,1289274281,43.3969016371,963810192,83.2740866529,,,,,201214604,43.0611189458,,,,,,,,,,,,,4634657,-53.1744940425,31378645,1.937295071,53918308,-59.9393439453,,,34317875,-40.097177053,62093687,65.9534539561,-21298208,-34.8717265129,,,,,,,,,1671122,80.8377881182,,,,,,,-275044.0,,-31185438,67.5035543172,-341769.0,-114.2496966766,42453283,495.3245326538,,,0,,12537404,109.54122937,352138,-14.9400465714,,,265091,1609.0516407711,,,,,0,,12624451,109.6366972045,-17538947,-868.8912544857,,,,,,,30163398,123.3474197517,,,30163398.0,123.3474197517,,,30163398,123.3474197517,,,11973918,108.8426046433,,,,,0.01,120.0,0.01,120.0,-1951739,-116.0574218451,-1951739,-116.0574218451,,,,,,,,,,,,,,,,,,,,,-1951739,-116.0574218451,,,,,,,,,,,,,,,-1951739,-116.0574218451,,,,,,,,,28211659,124.1045016427,28211659,124.1045016427,,,,,,,,,,,,,
688728.SH,688728,格科微,10408745,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,4697177723,-20.9734451092,4697177723,-20.9734451092,,,,,,,,,,,4627589244,-8.9062301,3308150019,-19.9426914449,,,,,795380198,45.8337762177,,,,,,,,,,,,,26690176,32.7160379338,120395016,8.9131509308,249400858,-24.9966942572,,,127572977,309.9143835205,204909376,88.3783194621,-73327969,-75.1546547606,,,,,,,-141359199.0,-405.2812464771,3890659,-62.3990030948,,,,,,,41196.0,25.1397326853,-60899495,85.8371402556,-236801.0,-151.1904761905,143925960,249.3270199474,,,0,,14950799,-97.1903453345,638391,-55.8408005213,,,3271026,-26.1867179121,,,,,0,,12318164,-97.6720251394,-35926834,-139.7796674348,,,,,,,48244998,-89.0057908322,,,48244998.0,-89.0057908322,,,48244998,-89.0057908322,,,61687202,-82.5651252773,,,,,0.02,-88.8888888889,0.02,-88.2352941176,-10841652,90.1465429324,-10841652,90.1465429324,,,,,,,4151372.0,109.9754720533,,,5591951.0,114.9719130929,,,,,-1440579.0,66.2326255817,,,-14993024,78.0845782493,,,,,,,,,,,,,,,-14993024,78.0845782493,,,,,,,,,37403346,-88.6240438923,37403346,-88.6240438923,,,,,,,,,,,,,标准无保留意见
688728.SH,688728,格科微,10408745,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-31 00:00:00,CNY,3244867291,-29.0087744184,3244867291,-29.0087744184,,,,,,,,,,,3144907590,-14.5900792836,2235283060,-27.9803991325,,,,,595554393,47.8355636819,,,,,,,,,,,,,21999905,143.2032952862,89064837,3.486238321,178648759,-6.6937667316,,,24356636,121.9418217824,123662045,89.3389843793,-52498584,-69.8145109734,,,,,,,,,2603774,-70.617135466,,,,,,,,,-184754639,20.972857401,702192.0,-48.0296253753,100049603,3430.129999626,,,0,,18560631,-97.2212965016,283881,-32.5738376581,,,2469074,-24.4732634495,,,,,0,,16375438,-97.5379427752,-33350228,-130.4082058084,,,,,,,49725666,-91.0474681188,,,49725666.0,-91.0474681188,,,49725666,-91.0474681188,,,-32143009,-105.8645033937,,,,,0.02,-90.9090909091,0.02,-90.4761904762,-17725391,81.7368688176,-17725391,81.7368688176,,,,,,,8064549.0,232.1518640108,,,10010386.0,264.0378363834,,,,,-1945837.0,,,,-25789940,71.6447961851,,,,,,,,,,,,,,,-25789940,71.6447961851,,,,,,,,,32000275,-93.0188525488,32000275,-93.0188525488,,,,,,,,,,,,,
688728.SH,688728,格科微,10408745,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-30 00:00:00,2024-08-16 00:00:00,CNY,1951865382,-40.7523307884,1951865382,-40.7523307884,,,,,,,,,,,1809531010,-29.77457675,1273458597,-42.6353348027,,,,,299266457,25.1461675992,,,,,,,,,,,,,18014341,246.7726728133,59724951,8.4273431091,170672310,68.7692126642,,,-11605646,73.4595729011,75211785,104.1012080247,-33901563,-54.0705680656,,,,,,,,,2065754,-73.2682636964,,,,,,,,,-175960874,-29.8598418825,2207269.0,247.8183244984,47416681,4567.4233960392,,,0,,18063202,-96.9464544211,253092,-1.8087013199,,,223006,-92.880293822,,,,,0,,18093288,-96.9264332173,40922974,-45.4463809424,,,,,,,-22829686,-104.4445151873,,,-22829686.0,-104.4445151873,,,-22829686,-104.4445151873,,,-63480904,-112.4775539411,,,,,-0.01,-104.7619047619,-0.01,-105.0,-21374684,55.595944166,-21374684,55.595944166,,,,,,,7964930.0,230.5194309336,,,10010386.0,264.0378363834,,,,,-2045456.0,,,,-29339614,30.2007739061,,,,,,,,,,,,,,,-29339614,30.2007739061,,,,,,,,,-44204370,-109.4956365806,-44204370,-109.4956365806,,,,,,,,,,,,,
