日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-08-18,40.83,40.84,32.69,35.11,115881157.0,4097362822.0,164684394.0,0.7037
2021-08-19,34.46,40.63,34.17,38.56,81903523.0,3086454945.0,164684394.0,0.4973
2021-08-20,37.22,38.34,35.14,35.49,51855645.0,1917732695.0,164684394.0,0.3149
2021-08-23,35.26,36.7,34.23,35.93,35543217.0,1266891110.0,164684394.0,0.2158
2021-08-24,36.35,38.43,34.76,36.61,40584124.0,1487221462.0,164684394.0,0.2464
2021-08-25,36.16,37.33,35.59,35.77,26576048.0,967049506.0,164684394.0,0.1614
2021-08-26,35.81,38.29,35.67,36.26,31810109.0,1179072983.0,164684394.0,0.1932
2021-08-27,35.86,36.38,34.98,35.63,22479137.0,802515424.0,164684394.0,0.1365
2021-08-30,35.71,37.12,35.22,35.94,21180765.0,769062347.0,164684394.0,0.1286
2021-08-31,35.56,35.85,32.97,33.54,26641766.0,912502772.0,164684394.0,0.1618
2021-09-01,33.45,33.86,32.05,32.83,17400477.0,575281964.0,164684394.0,0.1057
2021-09-02,32.44,33.46,32.42,33.12,12357635.0,408627080.0,164684394.0,0.075
2021-09-03,32.81,34.25,32.57,33.48,15264740.0,513329024.0,164684394.0,0.0927
2021-09-06,33.11,34.34,32.97,33.8,11142092.0,378467166.0,164684394.0,0.0677
2021-09-07,33.76,33.84,33.08,33.37,10873687.0,363751674.0,164684394.0,0.066
2021-09-08,33.25,33.59,32.57,32.57,12355522.0,408790750.0,164684394.0,0.075
2021-09-09,32.57,32.93,32.18,32.32,8143996.0,265392179.0,164684394.0,0.0495
2021-09-10,32.13,33.4,31.26,33.05,18858480.0,614143201.0,164684394.0,0.1145
2021-09-13,32.59,32.67,31.61,31.68,10723133.0,344449672.0,164684394.0,0.0651
2021-09-14,31.97,32.42,31.28,31.37,8489161.0,271176235.0,164684394.0,0.0515
2021-09-15,31.33,31.59,30.78,31.44,7515588.0,235542990.0,164684394.0,0.0456
2021-09-16,31.28,31.49,30.02,30.03,8513366.0,262381676.0,164684394.0,0.0517
2021-09-17,30.15,30.76,29.86,30.34,8031057.0,244534374.0,164684394.0,0.0488
2021-09-22,29.88,31.03,29.83,30.47,5252314.0,161006447.0,164684394.0,0.0319
2021-09-23,30.53,31.33,30.28,30.79,6965076.0,216363567.0,164684394.0,0.0423
2021-09-24,30.63,31.05,30.16,30.21,5472513.0,167804738.0,164684394.0,0.0332
2021-09-27,30.44,32.07,30.19,31.14,10368899.0,324458168.0,164684394.0,0.063
2021-09-28,31.14,31.65,30.16,30.62,6921192.0,214558458.0,164684394.0,0.042
2021-09-29,30.3,30.53,29.65,29.68,7323359.0,220515155.0,164684394.0,0.0445
2021-09-30,29.87,30.18,29.76,30.18,4382322.0,132143606.0,164684394.0,0.0266
2021-10-08,30.44,31.01,30.21,30.4,4859821.0,149153157.0,164684394.0,0.0295
2021-10-11,30.41,31.24,30.31,30.96,6372192.0,197569887.0,164684394.0,0.0387
2021-10-12,30.78,31.15,30.38,30.73,4113999.0,126545320.0,164684394.0,0.025
2021-10-13,30.77,31.97,30.73,31.93,9353952.0,296787786.0,164684394.0,0.0568
2021-10-14,31.89,32.04,31.38,31.49,4970542.0,157604262.0,164684394.0,0.0302
2021-10-15,31.43,32.42,31.39,31.48,9044497.0,289722675.0,164684394.0,0.0549
2021-10-18,31.64,32.2,30.76,30.98,5900205.0,184937865.0,164684394.0,0.0358
2021-10-19,30.99,31.32,30.56,30.63,4869903.0,151076403.0,164684394.0,0.0296
2021-10-20,30.68,31.68,30.39,31.47,7385297.0,231086387.0,164684394.0,0.0448
2021-10-21,31.26,31.47,30.48,30.54,5216926.0,161454909.0,164684394.0,0.0317
2021-10-22,30.78,33.29,30.59,32.45,16525391.0,533805839.0,164684394.0,0.1003
2021-10-25,32.26,32.47,31.69,32.37,6549881.0,210779242.0,164684394.0,0.0398
2021-10-26,32.47,32.74,31.69,31.74,7109122.0,228255064.0,164684394.0,0.0432
2021-10-27,31.68,31.69,29.65,29.92,12008494.0,366229775.0,164684394.0,0.0729
2021-10-28,29.75,30.48,29.48,30.44,7370520.0,222502098.0,164684394.0,0.0448
2021-10-29,29.38,30.22,28.8,29.62,7891683.0,233970413.0,164684394.0,0.0479
2021-11-01,29.38,30.65,29.16,30.18,7657269.0,231454056.0,164684394.0,0.0465
2021-11-02,30.14,31.03,28.97,29.14,10104087.0,304503593.0,164684394.0,0.0614
2021-11-03,29.27,31.38,29.25,30.53,11909268.0,365018060.0,164684394.0,0.0723
2021-11-04,30.57,31.04,30.28,30.58,6068829.0,186360714.0,164684394.0,0.0369
2021-11-05,31.03,31.48,30.58,31.19,9626853.0,300083565.0,164684394.0,0.0585
2021-11-08,30.91,31.15,30.01,30.51,6462542.0,197199784.0,164684394.0,0.0392
2021-11-09,30.34,32.37,30.34,31.86,10680764.0,337321335.0,164684394.0,0.0649
2021-11-10,31.64,32.52,31.36,32.18,10122699.0,325378121.0,164684394.0,0.0615
2021-11-11,31.9,33.2,31.83,32.62,13419124.0,439632318.0,164684394.0,0.0815
2021-11-12,32.7,33.57,32.37,33.24,11871747.0,394823403.0,164684394.0,0.0721
2021-11-15,33.36,33.59,32.56,32.7,10749258.0,355811104.0,164684394.0,0.0653
2021-11-16,32.39,32.68,31.74,31.78,9297166.0,300233723.0,164684394.0,0.0565
2021-11-17,31.93,32.35,31.48,32.32,7743505.0,249249270.0,164684394.0,0.047
2021-11-18,32.23,32.5,31.59,31.63,5984684.0,191512036.0,164684394.0,0.0363
2021-11-19,31.68,32.1,31.49,31.92,6156060.0,196790858.0,164684394.0,0.0374
2021-11-22,32.06,33.15,32.02,32.9,10831844.0,356596003.0,164684394.0,0.0658
2021-11-23,32.87,33.64,32.62,33.07,11064567.0,367952597.0,164684394.0,0.0672
2021-11-24,33.07,33.82,32.85,32.99,11291973.0,378348781.0,164684394.0,0.0686
2021-11-25,32.8,35.28,32.75,34.84,20053305.0,694967470.0,164684394.0,0.1218
2021-11-26,34.36,34.71,33.51,33.55,12559271.0,426823617.0,164684394.0,0.0763
2021-11-29,32.95,33.82,32.89,33.45,6244561.0,209056528.0,164684394.0,0.0379
2021-11-30,33.75,34.2,32.64,32.79,9188788.0,308182252.0,164684394.0,0.0558
2021-12-01,32.68,33.54,32.68,33.1,6213024.0,206604308.0,164684394.0,0.0377
2021-12-02,33.12,34.34,33.08,33.37,8855770.0,299165954.0,164684394.0,0.0538
2021-12-03,33.98,35.11,33.87,34.16,10997411.0,379491322.0,164684394.0,0.0668
2021-12-06,33.75,33.9,32.12,32.12,10973929.0,362235103.0,164684394.0,0.0666
2021-12-07,32.39,32.41,30.63,30.9,10988670.0,343851760.0,164684394.0,0.0667
2021-12-08,31.19,31.47,30.87,31.41,6620058.0,207347521.0,164684394.0,0.0402
2021-12-09,31.37,31.64,31.18,31.57,4801725.0,151515043.0,164684394.0,0.0292
2021-12-10,31.38,32.02,31.0,31.6,5535812.0,175131347.0,164684394.0,0.0336
2021-12-13,31.68,32.29,31.48,31.74,5236344.0,167501118.0,164684394.0,0.0318
2021-12-14,31.62,31.78,31.18,31.27,4306454.0,135587877.0,164684394.0,0.0261
2021-12-15,31.27,31.31,30.66,30.7,6164508.0,191426379.0,164684394.0,0.0374
2021-12-16,30.87,30.99,30.54,30.99,4183873.0,129210475.0,164684394.0,0.0254
2021-12-17,30.88,30.88,30.2,30.44,5052831.0,154019309.0,164684394.0,0.0307
2021-12-20,30.4,30.57,29.88,30.39,3191287.0,96894324.0,164684394.0,0.0194
2021-12-21,30.36,30.62,30.16,30.51,2869818.0,87633077.0,164684394.0,0.0174
2021-12-22,30.61,31.21,30.61,31.13,5600282.0,174228534.0,164684394.0,0.034
2021-12-23,31.03,31.26,30.71,31.13,3661333.0,114079946.0,164684394.0,0.0222
2021-12-24,31.13,31.18,30.1,30.11,4245485.0,129802224.0,164684394.0,0.0258
2021-12-27,30.1,30.35,29.92,30.14,2330123.0,70412804.0,164684394.0,0.0141
2021-12-28,30.26,30.47,30.1,30.37,2409732.0,73281099.0,164684394.0,0.0146
2021-12-29,30.37,30.4,29.88,29.98,3212201.0,96938696.0,164684394.0,0.0195
2021-12-30,29.98,30.57,29.91,30.23,3670436.0,111687202.0,164684394.0,0.0223
2021-12-31,30.24,30.41,30.03,30.05,3873300.0,117138074.0,173873594.0,0.0223
2022-01-04,30.1,30.33,29.94,30.28,3196121.0,96788168.0,173873594.0,0.0184
2022-01-05,30.18,30.31,29.89,30.02,3476634.0,104756967.0,173873594.0,0.02
2022-01-06,29.78,29.81,29.04,29.6,5439901.0,160823130.0,173873594.0,0.0313
2022-01-07,29.63,29.77,29.35,29.51,2362417.0,70132265.0,173873594.0,0.0136
2022-01-10,29.53,29.57,28.89,29.28,3418425.0,99981418.0,173873594.0,0.0197
2022-01-11,29.25,29.42,29.09,29.39,2367900.0,69573378.0,173873594.0,0.0136
2022-01-12,29.41,29.57,29.25,29.52,2498753.0,73843132.0,173873594.0,0.0144
2022-01-13,29.47,29.54,29.24,29.27,2014868.0,59385082.0,173873594.0,0.0116
2022-01-14,29.19,29.81,29.09,29.33,3464881.0,102708220.0,173873594.0,0.0199
2022-01-17,29.38,30.17,29.37,30.07,3777294.0,113225704.0,173873594.0,0.0217
2022-01-18,30.15,30.61,29.93,30.28,4096227.0,124603708.0,173873594.0,0.0236
2022-01-19,30.05,30.28,29.58,29.78,2481011.0,74556319.0,173873594.0,0.0143
2022-01-20,29.62,29.87,29.1,29.22,2841672.0,83835029.0,173873594.0,0.0163
2022-01-21,29.14,29.24,28.97,29.09,1795294.0,52397183.0,173873594.0,0.0103
2022-01-24,29.09,29.34,28.89,28.97,1732397.0,50741048.0,173873594.0,0.01
2022-01-25,28.95,29.07,25.38,25.45,10958753.0,290337766.0,173873594.0,0.063
2022-01-26,25.5,25.74,24.74,25.06,4080474.0,102757359.0,173873594.0,0.0235
2022-01-27,25.5,26.19,25.21,25.27,3864586.0,99354998.0,173873594.0,0.0222
2022-01-28,25.57,26.06,25.2,25.55,2709709.0,69786471.0,173873594.0,0.0156
2022-02-07,26.08,26.75,26.0,26.11,2753894.0,72829323.0,173873594.0,0.0158
2022-02-08,26.16,26.55,25.98,26.46,1995236.0,52649185.0,173873594.0,0.0115
2022-02-09,26.1,26.74,26.1,26.58,2033354.0,54222994.0,173873594.0,0.0117
2022-02-10,26.6,26.73,26.13,26.24,1896416.0,50137460.0,173873594.0,0.0109
2022-02-11,26.19,26.25,25.67,25.78,2169816.0,56540210.0,173873594.0,0.0125
2022-02-14,25.67,26.34,25.28,26.1,2763614.0,72010928.0,173873594.0,0.0159
2022-02-15,26.29,26.5,26.05,26.31,2136193.0,56396063.0,173873594.0,0.0123
2022-02-16,26.41,26.57,25.81,25.91,2555926.0,66834353.0,173873594.0,0.0147
2022-02-17,25.82,25.91,25.21,25.42,4463181.0,114192062.0,173873594.0,0.0257
2022-02-18,25.2,25.2,23.8,24.07,15071797.0,366138430.0,184111303.0,0.0819
2022-02-21,24.12,24.25,23.92,24.11,5003370.0,120883317.0,184111303.0,0.0272
2022-02-22,23.93,24.03,23.43,23.97,4932689.0,117670366.0,184111303.0,0.0268
2022-02-23,24.03,25.1,23.93,25.04,8571232.0,212678126.0,184111303.0,0.0466
2022-02-24,24.71,25.09,23.97,24.37,6042873.0,148897418.0,184111303.0,0.0328
2022-02-25,24.69,25.05,24.44,24.55,4465361.0,110980559.0,184111303.0,0.0243
2022-02-28,24.68,25.15,24.6,25.1,5189768.0,129876653.0,184111303.0,0.0282
2022-03-01,25.13,25.15,24.68,25.03,3128189.0,78213465.0,184111303.0,0.017
2022-03-02,24.87,24.87,24.52,24.7,3310722.0,81864106.0,184111303.0,0.018
2022-03-03,24.86,24.95,24.2,24.4,2719890.0,66818225.0,184111303.0,0.0148
2022-03-04,24.39,24.96,24.11,24.41,3628590.0,89864546.0,184111303.0,0.0197
2022-03-07,24.3,24.3,23.5,23.76,3556073.0,84680668.0,184111303.0,0.0193
