证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
格科微,格科微有限公司,,,,,,0.0,0.0,3737.5,233420.2779,,195094.0691,,,37076.2088,,16468.4394,1250.0,,,,A股上市,2021-08-17,,688728,2021-08-18,,,,,233420.2779,,,249888.7173,,,,191356.5691,,16468.4394,,37076.2088,015001
格科微,格科微有限公司,,,,,,,,3737.5,232501.3579,,196344.0691,,,34714.7296,,17387.3594,1442.5592,,,,定期报告,2022-04-28,,688728,2021-12-31,,,,,232501.3579,,,249888.7173,,,,192606.5691,,17387.3594,,34714.7296,015019
格科微,格科微有限公司,,,,,,,,3737.5,232396.507,,195094.0691,,,36052.4379,,17492.2103,1250.0,,,,限售股份上市,2022-02-10,,688728,2022-02-18,,,,,232396.507,,,249888.7173,,,,191356.5691,,17492.2103,,36052.4379,015027
格科微,格科微有限公司,,,,,,,,3737.5,232396.507,,196344.0691,,,33917.5287,,17492.2103,2134.9092,,,,定期报告,2022-08-23,,688728,2022-06-30,,,,,232396.507,,,249888.7173,,,,192606.5691,,17492.2103,,33917.5287,015019
格科微,格科微有限公司,,,,,0.0,0.0,0.0,,173005.5898,,144156.25,,,28036.7396,,76883.1275,812.6002,,,,限售股份上市,2022-08-10,,688728,2022-08-18,,,,,173005.5898,,,249888.7173,,,,144156.25,,76883.1275,,28036.7396,015027
格科微,格科微有限公司,,,,,,,,,173685.6007,,144156.25,,,28833.9405,,76203.1166,695.4102,,,,定期报告,2023-04-29,,688728,2022-12-31,,,,,173685.6007,,,249888.7173,,,,144156.25,,76203.1166,,28833.9405,015019
格科微,格科微有限公司,,,,,0.0,0.0,0.0,,169309.1613,,140459.8215,,,28036.7396,,80579.556,812.6002,,,,限售股份上市,2023-02-06,,688728,2023-02-13,,,,,169309.1613,,,249888.7173,,,,140459.8215,,80579.556,,28036.7396,015027
格科微,格科微有限公司,,,,,,,,,138484.1493,,136683.0355,,,988.5136,,111404.568,812.6002,,,,限售股份上市,2023-03-24,,688728,2023-03-31,,,,,138484.1493,,,249888.7173,,,,136683.0355,,111404.568,,988.5136,015027
格科微,格科微有限公司,,,,,,,,,139164.1602,,138468.75,,,,,110724.5571,695.4102,,,,定期报告,2023-08-30,,688728,2023-06-30,,,,,139164.1602,,,249888.7173,,,,138468.75,,110724.5571,,,015019
格科微,格科微有限公司,,,,,,0.0,0.0,365.0,148474.5987,,137048.0355,,,988.5136,,111404.568,812.6002,,,,期权行权,2023-08-01,,688728,2023-07-28,,,,,148474.5987,,,259879.1667,,,,136683.0355,,111404.568,9625.4494,10613.963,015992
格科微,格科微有限公司,,,,,0.0,0.0,0.0,365.0,147779.1885,,137048.0355,,,988.5136,,112099.9782,117.19,,,,限售股份上市,2023-08-11,,688728,2023-08-18,,,,,147779.1885,,,259879.1667,,,,136683.0355,,112099.9782,9625.4494,10613.963,015027
格科微,格科微有限公司,,,,,,0.0,0.0,515.0,147958.6885,,137198.0355,,,988.5136,,112099.9782,117.19,,,,期权行权,2023-11-17,,688728,2023-11-16,,,,,147958.6885,,,260058.6667,,,,136683.0355,,112099.9782,9654.9494,10643.463,015992
格科微,格科微有限公司,,,,,,,,743.75,148638.6994,,139212.5,,,,,111419.9673,,,,,定期报告,2024-04-27,,688728,2023-12-31,,,,,148638.6994,,,260058.6667,,,,138468.75,,111419.9673,9426.1994,9426.1994,015019
格科微,格科微有限公司,,,,,,0.0,0.0,515.0,148638.6994,,137198.0355,,,988.5136,,111419.9673,117.19,,,,其他,2024-01-04,,688728,2024-01-04,,,,,148638.6994,,,260058.6667,,,,136683.0355,,111419.9673,10334.9603,11323.4739,015999
