日期,收盘价
2022-05-30,31.51
2022-05-31,33.88
2022-06-01,33.45
2022-06-02,34.08
2022-06-06,35.05
2022-06-07,34.59
2022-06-08,33.35
2022-06-09,32.34
2022-06-10,32.60
2022-06-13,32.85
2022-06-14,31.40
2022-06-15,31.39
2022-06-16,31.59
2022-06-17,32.56
2022-06-20,33.38
2022-06-21,33.13
2022-06-22,32.64
2022-06-23,34.37
2022-06-24,34.44
2022-06-27,34.34
2022-06-28,34.45
2022-06-29,32.65
2022-06-30,33.06
2022-07-01,32.62
2022-07-04,33.50
2022-07-05,35.20
2022-07-06,35.11
2022-07-07,34.67
2022-07-08,33.85
2022-07-11,32.15
2022-07-12,31.30
2022-07-13,31.77
2022-07-14,34.95
2022-07-15,36.91
2022-07-18,37.33
2022-07-19,36.61
2022-07-20,36.48
2022-07-21,35.55
2022-07-22,34.99
2022-07-25,34.13
2022-07-26,34.48
2022-07-27,35.35
2022-07-28,34.09
2022-07-29,34.24
2022-08-01,33.54
2022-08-02,32.04
2022-08-03,31.51
2022-08-04,31.78
2022-08-05,32.72
2022-08-08,32.94
2022-08-09,32.72
2022-08-10,32.53
2022-08-11,32.88
2022-08-12,32.73
2022-08-15,32.94
2022-08-16,33.82
2022-08-17,33.73
2022-08-18,34.24
2022-08-19,33.82
2022-08-22,33.93
2022-08-23,34.80
2022-08-24,32.78
2022-08-25,32.10
2022-08-26,32.14
2022-08-29,31.99
2022-08-30,31.69
2022-08-31,29.51
2022-09-01,28.95
2022-09-02,28.38
2022-09-05,27.77
2022-09-06,28.80
2022-09-07,28.74
2022-09-08,28.09
2022-09-09,28.08
2022-09-13,28.16
2022-09-14,27.31
2022-09-15,26.55
2022-09-16,25.98
2022-09-19,25.75
2022-09-20,25.96
2022-09-21,26.11
2022-09-22,25.78
2022-09-23,25.52
2022-09-26,25.55
2022-09-27,25.64
2022-09-28,24.66
2022-09-29,25.04
2022-09-30,24.99
2022-10-10,23.89
2022-10-11,24.33
2022-10-12,25.59
2022-10-13,25.86
2022-10-14,26.57
2022-10-17,26.58
2022-10-18,26.79
2022-10-19,26.31
2022-10-20,25.93
2022-10-21,26.04
2022-10-24,25.57
2022-10-25,25.58
2022-10-26,26.08
2022-10-27,24.54
2022-10-28,24.01
2022-10-31,23.70
2022-11-01,25.74
2022-11-02,26.59
2022-11-03,26.56
2022-11-04,27.38
2022-11-07,27.52
2022-11-08,27.34
2022-11-09,26.77
2022-11-10,26.43
2022-11-11,27.04
2022-11-14,26.74
2022-11-15,27.49
2022-11-16,26.97
2022-11-17,26.49
2022-11-18,26.71
2022-11-21,26.87
2022-11-22,26.47
2022-11-23,26.71
2022-11-24,26.57
2022-11-25,25.99
2022-11-28,25.88
2022-11-29,27.25
2022-11-30,26.84
2022-12-01,27.04
2022-12-02,26.89
2022-12-05,26.97
2022-12-06,26.99
2022-12-07,27.19
2022-12-08,28.44
2022-12-09,27.85
2022-12-12,26.90
2022-12-13,26.52
2022-12-14,26.59
2022-12-15,26.43
2022-12-16,26.31
2022-12-19,25.47
2022-12-20,25.71
2022-12-21,25.18
2022-12-22,24.44
2022-12-23,24.26
2022-12-26,24.82
2022-12-27,25.21
2022-12-28,26.11
2022-12-29,25.71
2022-12-30,25.85
2023-01-03,25.69
2023-01-04,24.98
2023-01-05,26.15
2023-01-06,28.23
2023-01-09,29.95
2023-01-10,29.22
2023-01-11,29.00
2023-01-12,29.46
2023-01-13,29.28
2023-01-16,30.96
2023-01-17,31.24
2023-01-18,30.79
2023-01-19,30.90
2023-01-20,30.89
2023-01-30,30.41
2023-01-31,30.00
2023-02-01,30.15
2023-02-02,29.69
2023-02-03,29.31
2023-02-06,29.08
2023-02-07,29.20
2023-02-08,28.87
2023-02-09,29.35
2023-02-10,29.24
2023-02-13,29.25
2023-02-14,29.75
2023-02-15,29.44
2023-02-16,28.56
2023-02-17,28.34
2023-02-20,28.52
2023-02-21,28.68
2023-02-22,28.39
2023-02-23,28.58
2023-02-24,28.24
2023-02-27,27.69
2023-02-28,27.99
2023-03-01,28.24
2023-03-02,27.72
2023-03-03,27.78
2023-03-06,28.04
2023-03-07,27.35
2023-03-08,27.27
2023-03-09,27.12
2023-03-10,26.68
2023-03-13,26.48
2023-03-14,25.99
2023-03-15,26.01
2023-03-16,25.31
2023-03-17,25.18
2023-03-20,25.35
2023-03-21,25.60
2023-03-22,25.56
2023-03-23,25.35
2023-03-24,25.87
2023-03-27,25.73
2023-03-28,25.32
2023-03-29,25.24
2023-03-30,25.38
2023-03-31,26.10
2023-04-03,26.10
2023-04-04,25.67
2023-04-06,25.52
2023-04-07,25.66
2023-04-10,25.70
2023-04-11,25.48
2023-04-12,25.19
2023-04-13,25.11
2023-04-14,25.12
2023-04-17,25.26
2023-04-18,25.41
2023-04-19,25.07
2023-04-20,24.34
2023-04-21,24.33
2023-04-24,23.84
2023-04-25,23.26
2023-04-26,24.34
2023-04-27,24.26
2023-04-28,24.31
2023-05-04,25.87
2023-05-05,25.74
2023-05-08,25.98
2023-05-09,25.28
2023-05-10,25.51
2023-05-11,25.51
2023-05-12,25.41
2023-05-15,25.80
2023-05-16,26.01
2023-05-17,25.97
2023-05-18,25.58
2023-05-19,25.46
2023-05-22,25.61
2023-05-23,25.30
2023-05-24,25.10
2023-05-25,25.29
2023-05-26,24.88
2023-05-29,24.69
2023-05-30,24.61
2023-05-31,24.40
2023-06-01,24.28
2023-06-02,24.75
2023-06-05,24.92
2023-06-06,24.63
2023-06-07,24.00
2023-06-08,24.09
2023-06-09,24.52
2023-06-12,24.61
2023-06-13,24.90
2023-06-14,24.69
2023-06-15,25.50
2023-06-16,25.53
2023-06-19,25.21
2023-06-20,25.33
2023-06-21,25.19
2023-06-26,25.26
2023-06-27,25.48
2023-06-28,25.73
2023-06-29,25.65
2023-06-30,25.80
2023-07-03,25.75
2023-07-04,25.76
2023-07-05,25.50
2023-07-06,25.79
2023-07-07,25.50
2023-07-10,25.99
2023-07-11,26.01
2023-07-12,26.22
2023-07-13,26.30
2023-07-14,26.05
2023-07-17,26.13
2023-07-18,25.93
2023-07-19,25.86
2023-07-20,25.50
2023-07-21,25.57
2023-07-24,25.80
2023-07-25,26.23
2023-07-26,26.26
2023-07-27,25.98
2023-07-28,26.22
2023-07-31,26.79
2023-08-01,26.74
2023-08-02,26.33
2023-08-03,26.51
2023-08-04,26.75
2023-08-07,26.40
2023-08-08,25.94
2023-08-09,25.63
2023-08-10,25.87
2023-08-11,25.27
2023-08-14,24.73
2023-08-15,24.77
2023-08-16,24.50
2023-08-17,24.68
2023-08-18,24.37
2023-08-21,23.94
2023-08-22,23.95
2023-08-23,23.57
2023-08-24,23.56
2023-08-25,23.56
2023-08-28,23.99
2023-08-29,24.29
2023-08-30,24.44
2023-08-31,23.45
2023-09-01,23.28
2023-09-04,23.58
2023-09-05,23.53
2023-09-06,23.35
2023-09-07,22.89
2023-09-08,22.65
2023-09-11,22.94
2023-09-12,22.90
2023-09-13,22.68
2023-09-14,22.48
2023-09-15,22.39
2023-09-18,22.52
2023-09-19,22.34
2023-09-20,22.09
2023-09-21,21.99
2023-09-22,22.27
2023-09-25,22.24
2023-09-26,21.93
2023-09-27,22.03
2023-09-28,22.04
2023-10-09,22.07
2023-10-10,22.00
2023-10-11,22.00
2023-10-12,22.41
2023-10-13,22.22
2023-10-16,22.05
2023-10-17,22.11
2023-10-18,21.72
2023-10-19,21.31
2023-10-20,21.46
2023-10-23,21.03
2023-10-24,21.04
2023-10-25,21.15
2023-10-26,21.35
2023-10-27,21.81
2023-10-30,21.79
2023-10-31,21.85
2023-11-01,21.86
2023-11-02,21.78
2023-11-03,21.97
2023-11-06,22.30
2023-11-07,22.24
2023-11-08,22.15
2023-11-09,22.24
2023-11-10,22.11
2023-11-13,22.17
2023-11-14,22.17
2023-11-15,22.36
2023-11-16,21.99
2023-11-17,22.03
2023-11-20,22.02
2023-11-21,21.95
2023-11-22,21.54
2023-11-23,21.62
2023-11-24,21.42
2023-11-27,21.23
2023-11-28,21.29
2023-11-29,21.05
2023-11-30,20.75
2023-12-01,20.61
2023-12-04,20.56
2023-12-05,20.20
2023-12-06,20.16
2023-12-07,20.19
2023-12-08,20.30
2023-12-11,20.37
2023-12-12,20.43
2023-12-13,19.99
2023-12-14,19.91
2023-12-15,19.79
2023-12-18,19.17
2023-12-19,19.16
2023-12-20,18.92
2023-12-21,19.26
2023-12-22,19.35
2023-12-25,19.42
2023-12-26,19.52
2023-12-27,19.50
2023-12-28,20.19
2023-12-29,20.36
2024-01-02,20.32
2024-01-03,20.23
2024-01-04,20.05
2024-01-05,19.87
2024-01-08,19.55
2024-01-09,19.58
2024-01-10,19.76
2024-01-11,19.93
2024-01-12,20.05
2024-01-15,20.24
2024-01-16,19.99
2024-01-17,19.43
2024-01-18,19.82
2024-01-19,19.52
2024-01-22,18.92
2024-01-23,19.03
2024-01-24,19.04
2024-01-25,19.56
2024-01-26,19.19
2024-01-29,18.61
2024-01-30,17.94
2024-01-31,17.64
2024-02-01,17.65
2024-02-02,17.05
2024-02-05,16.65
2024-02-06,17.68
2024-02-07,18.17
2024-02-08,18.52
2024-02-19,18.54
2024-02-20,18.36
2024-02-21,18.64
2024-02-22,18.63
2024-02-23,18.79
2024-02-26,18.96
2024-02-27,19.23
2024-02-28,18.99
2024-02-29,19.48
2024-03-01,19.71
2024-03-04,19.86
2024-03-05,19.59
2024-03-06,20.00
2024-03-07,19.74
2024-03-08,19.77
2024-03-11,20.40
2024-03-12,20.71
2024-03-13,20.50
2024-03-14,20.25
2024-03-15,20.17
2024-03-18,20.30
2024-03-19,20.10
2024-03-20,20.11
2024-03-21,19.83
2024-03-22,19.52
2024-03-25,19.26
2024-03-26,19.38
2024-03-27,18.85
2024-03-28,19.08
2024-03-29,19.11
2024-04-01,19.32
2024-04-02,19.39
2024-04-03,19.12
2024-04-08,18.54
2024-04-09,19.29
2024-04-10,19.03
2024-04-11,18.93
2024-04-12,18.67
2024-04-15,18.85
2024-04-16,18.47
2024-04-17,19.01
2024-04-18,18.83
2024-04-19,18.45
2024-04-22,18.35
2024-04-23,18.09
2024-04-24,17.93
2024-04-25,17.86
2024-04-26,18.24
2024-04-29,19.14
2024-04-30,19.54
2024-05-06,19.45
2024-05-07,19.65
2024-05-08,19.60
2024-05-09,19.78
2024-05-10,19.99
2024-05-13,20.12
2024-05-14,19.92
2024-05-15,19.58
2024-05-16,19.57
2024-05-17,19.67
2024-05-20,20.66
2024-05-21,20.38
2024-05-22,20.80
2024-05-23,20.49
2024-05-24,20.76
2024-05-27,20.72
2024-05-28,20.75
2024-05-29,20.58
2024-05-30,20.58
2024-05-31,20.22
2024-06-03,19.90
