日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-28,21.16,21.37,21.01,21.3,8268979.0,196659776.0,1777479097.0,0.004652082274247977
2019-11-29,21.26,21.49,21.14,21.3,7786816.0,186397377.0,1777479097.0,0.004380820012534864
2019-12-02,21.2,21.47,21.05,21.12,8795733.0,209580499.0,1777479097.0,0.0049484311882177934
2019-12-03,21.04,21.13,20.69,20.87,7687018.0,179574937.0,1777479097.0,0.004324674204593473
2019-12-04,20.78,20.94,20.4,20.47,8609979.0,198788196.0,1777479097.0,0.004843927005685626
2019-12-05,20.52,20.73,20.45,20.54,4433883.0,102209586.0,1777479097.0,0.0024944782796509028
2019-12-06,20.58,20.69,20.38,20.66,5825218.0,134215665.0,1777479097.0,0.00327723572661513
2019-12-09,20.71,21.12,20.68,20.85,8614503.0,202005772.0,1777479097.0,0.004846472183295667
2019-12-10,20.96,21.36,20.79,21.34,10565881.0,251437138.0,1777479097.0,0.005944306753217475
2019-12-11,21.39,21.73,21.25,21.6,10881828.0,262520537.0,1777479097.0,0.006122056804136921
2019-12-12,21.85,23.1,21.71,22.96,40489504.0,1024587684.0,1777479097.0,0.022779173081887445
2019-12-13,23.15,23.74,23.09,23.37,33200505.0,876367786.0,1777479097.0,0.01867842218568717
2019-12-16,23.64,23.76,23.32,23.45,17132694.0,451695108.0,1777479097.0,0.009638759763147865
2019-12-17,23.55,23.63,23.11,23.48,15055470.0,395550725.0,1777479097.0,0.008470124923218718
2019-12-18,23.49,23.68,23.36,23.51,9656448.0,254657817.0,1777479097.0,0.00543266473079655
2019-12-19,23.57,23.97,23.3,23.42,6875165.0,181225575.0,1777479097.0,0.0038679301554678143
2019-12-20,23.41,23.63,23.14,23.43,9211188.0,241630976.0,1777479097.0,0.00518216389466773
2019-12-23,23.26,23.41,22.63,22.8,11257328.0,290896261.0,1777479097.0,0.006333311046526473
2019-12-24,22.81,23.34,22.75,23.12,11416527.0,295723244.0,1777479097.0,0.006422875531570878
2019-12-25,22.88,23.72,22.75,23.08,11240560.0,292993236.0,1777479097.0,0.0063238774616093275
2019-12-26,23.09,23.45,23.04,23.38,8281144.0,216380995.0,1777479097.0,0.004658926236587974
2019-12-27,23.38,23.45,23.02,23.14,8506559.0,220666830.0,1777479097.0,0.0047857434803915445
2019-12-30,23.0,24.3,22.9,24.0,15093745.0,403778299.0,2150963266.0,0.00701720258945603
2019-12-31,23.94,24.07,23.54,23.9,9112698.0,243231112.0,2150963266.0,0.004236566074392458
2020-01-02,23.79,24.43,23.79,24.03,9317136.0,251999761.0,2150963266.0,0.0043316109332385035
2020-01-03,23.92,24.57,23.86,24.28,10177648.0,276905596.0,2150963266.0,0.004731669834104921
2020-01-06,24.11,25.13,24.11,24.66,13205128.0,366662349.0,2150963266.0,0.006139169463622072
2020-01-07,24.65,24.98,24.42,24.8,8300573.0,229607593.0,2150963266.0,0.003859002676245611
2020-01-08,24.79,24.92,24.23,24.62,7348970.0,202615518.0,2150963266.0,0.0034165948420246057
2020-01-09,24.62,24.98,24.49,24.86,8328663.0,231677166.0,2150963266.0,0.003872061941572925
2020-01-10,24.72,24.96,24.6,24.73,6703277.0,185813446.0,2150963266.0,0.003116407009807112
2020-01-13,24.79,25.21,24.6,25.04,7421820.0,208464935.0,2150963266.0,0.0034504633888061947
2020-01-14,25.04,25.22,24.66,24.86,5240166.0,146095959.0,2150963266.0,0.0024361950214727658
2020-01-15,24.89,24.89,24.02,24.56,7782021.0,212440212.0,2150963266.0,0.0036179237102787415
2020-01-16,24.52,24.77,24.09,24.48,5255778.0,144386618.0,2150963266.0,0.0024434531649505167
2020-01-17,24.6,24.7,24.41,24.56,3189513.0,87854102.0,2150963266.0,0.0014828300652159998
