日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-06-29,23.55,24.35,23.47,23.81,10195708.0,267655820.0,2149973551.0,0.0047
2020-06-30,24.08,24.13,23.56,23.95,8336543.0,218384665.0,2149973551.0,0.0039
2020-07-01,24.06,24.15,23.57,23.72,8867796.0,231917777.0,2149973551.0,0.0041
2020-07-02,23.78,24.02,23.57,23.96,12305112.0,322068431.0,2149973551.0,0.0057
2020-07-03,23.98,24.24,23.61,23.7,15607310.0,408977569.0,2149973551.0,0.0073
2020-07-06,23.83,24.75,23.81,24.55,19961972.0,535883589.0,2149973551.0,0.0093
2020-07-07,24.64,25.0,24.28,24.28,15809388.0,428144155.0,2149973551.0,0.0074
2020-07-08,24.48,24.75,24.15,24.5,12065334.0,323815484.0,2149973551.0,0.0056
2020-07-09,24.45,25.04,24.43,24.94,15805714.0,429891875.0,2149973551.0,0.0074
2020-07-10,24.73,24.86,24.09,24.24,15689859.0,422745151.0,2149973551.0,0.0073
2020-07-13,24.18,25.31,24.05,25.18,20402968.0,555534186.0,2149973551.0,0.0095
2020-07-14,25.09,25.09,24.55,24.86,16581499.0,452438898.0,2149973551.0,0.0077
2020-07-15,24.9,25.39,24.33,24.79,17016754.0,464592068.0,2149973551.0,0.0079
2020-07-16,24.84,25.35,23.53,24.06,17288671.0,468930117.0,2149973551.0,0.008
2020-07-17,24.16,24.67,23.83,24.54,8776145.0,234004787.0,2149973551.0,0.0041
2020-07-20,24.6,26.41,24.6,26.36,23057311.0,654110868.0,2149973551.0,0.0107
2020-07-21,26.42,26.95,26.05,26.35,20470761.0,596751125.0,2149973551.0,0.0095
2020-07-22,26.64,27.36,26.25,27.02,21310747.0,631609246.0,2149973551.0,0.0099
2020-07-23,26.87,26.93,25.5,26.59,16532836.0,479769951.0,2149973551.0,0.0077
2020-07-24,26.65,26.65,24.59,24.71,16054247.0,448342570.0,2149973551.0,0.0075
2020-07-27,25.0,25.4,24.71,25.25,12344381.0,342341246.0,2149973551.0,0.0057
2020-07-28,25.62,25.73,24.94,25.26,9950823.0,276981841.0,2149973551.0,0.0046
2020-07-29,25.32,26.95,25.18,26.86,15499824.0,449634212.0,2149973551.0,0.0072
2020-07-30,26.91,29.53,26.55,28.27,37601922.0,1159964611.0,2149973551.0,0.0175
2020-07-31,28.28,30.22,28.11,28.82,36243040.0,1165643202.0,2149973551.0,0.0169
