证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
正泰电器,浙江正泰电器股份有限公司,0.0,0.0,0.0,,0.0,90000.0,90000.0,,0.0,,0.0,,0.0,0.0,24300.0,0.0,0.0,0.0,,,定期报告,2010-04-10,65700.0,601877,2009-12-31,,0.0,,,0.0,,,90000.0,,,0.0,,,0.0,0.0,0.0,015019
正泰电器,浙江正泰电器股份有限公司,,0.0,0.0,,2100.0,0.0,0.0,,90000.0,,0.0,,0.0,65700.0,,8400.0,0.0,2100.0,,,A股上市,2010-01-20,,601877,2010-01-21,,0.0,,,92100.0,,,100500.0,,,0.0,,,8400.0,24300.0,90000.0,015001
正泰电器,浙江正泰电器股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,90000.0,,0.0,,0.0,65700.0,,10500.0,0.0,0.0,,,配售股份上市,2010-04-16,,601877,2010-04-21,,0.0,,,90000.0,,0.0,100500.0,,,0.0,,,10500.0,24300.0,90000.0,015009
正泰电器,浙江正泰电器股份有限公司,,,,,0.0,0.0,0.0,0.0,90000.0,,0.0,,,65700.0,,10500.0,0.0,,,,定期报告,2010-08-19,,601877,2010-06-30,,,,,90000.0,,,100500.0,,,,0.0,,10500.0,24300.0,90000.0,015019
正泰电器,浙江正泰电器股份有限公司,,,,,0.0,,0.0,0.0,90000.0,,0.0,,,65700.0,,10500.0,0.0,,,,定期报告,2011-04-20,,601877,2010-12-31,,,,,90000.0,,,100500.0,,,,0.0,,10500.0,24300.0,90000.0,015019
正泰电器,浙江正泰电器股份有限公司,,,,,0.0,0.0,0.0,,71431.9436,,0.0,,,65700.0,,29068.0564,,,,,限售股份上市,2011-01-18,,601877,2011-01-21,0.0,,,,71431.9436,,,100500.0,,,0.0,,,29068.0564,5731.9436,71431.9436,015027
正泰电器,浙江正泰电器股份有限公司,,,,,0.0,,0.0,,71431.9436,,0.0,,,65700.0,,29068.0564,,,,,定期报告,2011-08-27,,601877,2011-06-30,0.0,,,,71431.9436,,,100500.0,,,0.0,,,29068.0564,5731.9436,71431.9436,015019
正泰电器,浙江正泰电器股份有限公司,,,,,,,,,71479.9437,,,,,65748.0001,,29020.0563,,,,,定期报告,2012-03-03,,601877,2011-12-31,,,,,71479.9437,,,100500.0,,,,,,29020.0563,5731.9436,71479.9437,015019
正泰电器,浙江正泰电器股份有限公司,,,,,,,,,71431.9436,,,,,65700.0,,29068.0564,,,,,定期报告,2012-08-18,,601877,2012-06-30,,,,,71431.9436,,,100500.0,,,,,,29068.0564,5731.9436,71431.9436,015019
正泰电器,浙江正泰电器股份有限公司,,,,,,,,,71431.9436,,,,,65700.0,,29068.0564,,,,,定期报告,2013-03-23,,601877,2012-12-31,,,,,71431.9436,,,100500.0,,,,,,29068.0564,5731.9436,71431.9436,015019
正泰电器,浙江正泰电器股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,4298.9577,,0.0,,0.0,0.0,,96201.0423,,,,,限售股份上市,2013-01-17,,601877,2013-01-22,,0.0,,,4298.9577,,0.0,100500.0,,,0.0,,,96201.0423,4298.9577,4298.9577,015027
正泰电器,浙江正泰电器股份有限公司,,,,,,,,,,,,,,,,100500.0,,,,,定期报告,2013-08-24,,601877,2013-06-30,,,,,,,,100500.0,,,,,,100500.0,,,015019
正泰电器,浙江正泰电器股份有限公司,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,100801.8,,,,,期权行权,2013-11-21,,601877,2013-11-26,,0.0,,,0.0,,0.0,100801.8,,,,,,100801.8,,0.0,015992
正泰电器,浙江正泰电器股份有限公司,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,100801.8,,,,,定期报告,2014-03-22,,601877,2013-12-31,,0.0,,,0.0,,0.0,100801.8,,,,,,100801.8,,0.0,015019
正泰电器,浙江正泰电器股份有限公司,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,100825.57,,,,,期权行权,2014-06-03,,601877,2014-06-06,,0.0,,,0.0,,0.0,100825.57,,,,,,100825.57,0.0,0.0,015992
正泰电器,浙江正泰电器股份有限公司,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,100825.57,,,,,定期报告,2014-08-23,,601877,2014-06-30,,0.0,,,0.0,,0.0,100825.57,,,,,,100825.57,0.0,0.0,015019
正泰电器,浙江正泰电器股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,,0.0,,101144.645,0.0,,,,期权行权,2014-12-10,,601877,2014-12-15,0.0,,,,2.0,,0.0,101146.645,,,0.0,,,101144.645,2.0,2.0,015992
