SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002157.SZ,002157,正邦科技,10093300,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,10619289253.25,,,,,,,,,,,,,618787245.9,,0.0,11238076499.15,8906347556.89,,,,,,864317717.66,54430347.45,1130027295.16,,0.0,10955122917.16,,0.0,282953581.99,,,1564.0,1497400.72,,,,0.0,1498964.72,681352845.82,,,,,,,0.0,681352845.82,,0.0,-679853881.1,8000000.0,8000000.0,,,558000000.0,,0.0,566000000.0,,6567711.87,,,313022691.41,,,0.0,319590403.28,,0.0,246409596.72,2614763.12,,0.0,-147875939.27,3108232401.26,,0.0,2960356461.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0267570528,,,,,,,,,,,,,3.3698706191,,,75.5769302596,77.4998982958,,,,,,97.9487034204,-45.6581895153,-36.8972272113,,,49.1459537167,,,129.9554993723,,,-93.2472691162,,,,,,6371.9343724364,177.8589884814,,,,,,,,177.8589884814,,,-177.2738923978,-99.4144817223,-96.0097760487,,,,,,-58.7256249829,,117.0407241912,,,,,,,2353.4755876424,,,-81.8587688604,109.5173459923,,,-204.8473441519,33.3076403615,,,19.7234159079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002157.SZ,002157,正邦科技,10093300,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,6786835792.43,,,,,,,,,,,,,358126889.08,,0.0,7144962681.51,5545538719.18,,,,,,549737900.58,39605276.11,990256601.77,,0.0,7125138497.64,,0.0,19824183.87,,,,1497400.72,,,,0.0,1497400.72,373142951.17,,,,,,,0.0,373142951.17,,0.0,-371645550.45,5000000.0,5000000.0,,,454000000.0,,0.0,459000000.0,,6567711.87,,,134579732.18,,,0.0,141147444.05,,0.0,317852555.95,142490.03,,0.0,-33826320.6,3202425514.15,,0.0,3168599193.55,171035724.48,197141006.31,426889646.52,426889646.52,,2855130.99,9313596.72,,,,,13070350.5,,122765498.31,-259004565.77,-39064.9,-9553.45,-29511.45,,-335944545.67,-281490667.25,-129136134.42,,,0.0,19824183.87,,,,,3168599193.55,3202425514.15,,,,,-33826320.6,113.1570564969,,,,,,,,,,,,,74.7485329944,,,110.8343601892,96.0508505624,,,,,,91.4143260109,-47.9616776436,34.2301346461,,,81.3169718584,,,103.6659836849,,,,,,,,,13579.8896400512,226.4727978932,,,,,,,,226.4727978932,,,-225.1938254027,-99.5372469898,-97.5061100304,,,,,,-57.7149490092,,490.0976789276,,,,,,,12581.8564469796,,,-70.6880031382,100.9863431868,,,-108.153158057,37.3474481998,,,15.3682136851,219.9033361689,368.4711681798,17.1697818287,17.1697818287,,-42.7541357056,-77.9275700806,,,,,,,194.2578661984,20.0235159863,70.1999389732,-100.4959771956,98.5655094098,,38.9047040323,-325.8588303221,-267.7617607414,,,,103.6659836849,,,,,15.3682136851,37.3474481998,,,,,-108.153158057,,,,,82368208.05,0.9176042062
002157.SZ,002157,正邦科技,10093300,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,2924217479.14,,,,,,,,,,,,,165671019.11,,0.0,3089888498.25,2477741397.03,,,,,,178755868.47,31713817.45,461953740.98,,0.0,3150164823.93,,0.0,-60276325.68,,,,1497400.72,,,,0.0,1497400.72,181319476.69,,,,,,,0.0,181319476.69,,0.0,-179822075.97,,,,,230000000.0,,0.0,230000000.0,,,,,83976321.66,,,0.0,83976321.66,,0.0,146023678.34,-118389.58,,0.0,-94193112.89,3202425514.15,,0.0,3108232401.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8940137949,,,,,,,,,,,,,80.2984738455,,,108.0628278344,95.7129790646,,,,,,24.1971163343,12.3236763317,40.1646750267,,,78.2018942617,,,78.6765119581,,,,,,,,,,2087.5112432998,,,,,,,,2087.5112432998,,,-2069.4459975219,,,,,,,,-74.011299435,,,,,,,,,13186.9484379423,,,-83.4883575809,99.4432704254,,,-116.4633493389,37.3474481998,,,7.0415757853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002157.SZ,002157,正邦科技,10093300,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,8877933649.94,,,,,,,,,,,,,126154707.32,,0.0,9004088357.26,7635930489.28,,,,,,727608005.48,43696551.57,422416896.07,,0.0,8829651942.4,,0.0,174436414.86,,,2227798.04,,,,,0.0,2227798.04,573173922.02,19644571.06,,,,33807.88,,0.0,592852300.96,,0.0,-590624502.92,1366165891.48,200345000.0,5000000.0,,178000000.0,,0.0,1549165891.48,10800000.0,3517279.28,2397084.84,,233887712.19,,,0.0,248204991.47,,0.0,1300960900.01,-13970896.29,,0.0,870801915.66,2331623598.49,,0.0,3202425514.15,188538813.09,171991973.69,815424334.16,815424334.16,,6563893.25,44221640.61,,,,-14761759.13,55139136.42,,180827737.47,-776421577.12,2714309.65,6628988.45,-3914678.8,,-475529098.68,-60153083.08,-155312180.4,21850475.4,,0.0,174436414.86,,,,,3202425514.15,2331623598.49,,,,,870801915.66,27.224284368,,,,,,,,,,,,,-42.4558292855,,,25.1018466863,21.5260635609,,,,,,-18.1356409186,-23.5266864531,-68.7449295249,,,2.8998619588,,,112.6091298877,,,-98.8236720967,,,,,,-98.8236720967,-12.1118953894,,,,,-99.6623057004,,,-10.4688905302,,,-24.9235297686,-57.6954600453,,-99.3455770243,,-79.7531796379,,,-68.2062091225,-94.3555728082,-92.8698581234,-26.9731648309,,-68.1983239065,,,,-74.5724453824,,,-66.6113463145,-16401.0517645952,,,-57.3198967351,700.3537214351,,,37.3474481998,-97.5754883285,-91.7916143289,-28.71546126,-28.71546126,,-35.5601279724,-3.4528728452,,,,-133.029820422,-85.4244099489,,-77.0638187583,94.5221775547,-54.4287941813,50.0918917642,-354.2701716428,,-145.5851693632,-200.2796612497,79.4280234923,,,,112.6091298877,,,,,37.3474481998,700.3537214351,,,,,-57.3198967351,标准无保留意见,,,,169341799.53,-27.4510723032
002157.SZ,002157,正邦科技,10093300,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-29 00:00:00,CNY,5802041966.02,,,,,,,,,,,,,598614704.84,,0.0,6400656670.86,5017663470.46,,,,,,436637221.02,100162926.05,1790772806.36,,0.0,7345236423.89,,0.0,-944579753.03,,,23161.0,,,,,0.0,23161.0,245215333.7,,,,,,,0.0,245215333.7,,0.0,-245192172.7,1366310891.48,200490000.0,5000000.0,,,,0.0,1371310891.48,10000000.0,3026027.44,,,,,,0.0,13026027.44,,0.0,1358284864.04,-27473658.33,,0.0,141039279.98,2331623598.49,,0.0,2472662878.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5353146541,,,,,,,,,,,,,-26.1304235477,,,-2.7479772345,3.4286503116,,,,,,-35.010904351,311.9572635796,6.9504593722,,,1.7078216799,,,-47.502073171,,,-58.3771004864,,,,,,-58.3771004864,-27.0536787833,,,,,,,,-27.0536787833,,,27.0484929108,,,-99.1821274532,,,,,23.7006389489,-92.0903598612,-91.6876710187,,,,,,,-92.0003314177,,,43.6213661042,-84160.4996623282,,,558.2246358751,700.3537214351,,,849.0361934902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002157.SZ,002157,正邦科技,10093300,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-30 00:00:00,CNY,3183960176.58,,,,,,,,,,,,,204938423.77,,0.0,3388898600.35,2828622626.87,,,,,,287197887.45,76107903.4,737730468.93,,0.0,3929658886.65,,0.0,-540760286.3,,,10946.0,,,,,0.0,10946.0,114295265.51,,,,,,,0.0,114295265.51,,0.0,-114284319.51,1080490000.0,200490000.0,5000000.0,,,,0.0,1085490000.0,,1112987.24,,,,,,0.0,1112987.24,,0.0,1084377012.76,-14446293.33,,0.0,414886113.62,2331623598.49,,0.0,2746509712.11,-142644675.24,42081779.99,364334250.57,364334250.57,,4987488.66,42195611.24,,,,10946.0,,,41720379.44,-323850903.13,-131090.0,1926187.35,-2057277.35,,-549869740.95,-66099525.76,-35114073.35,,,0.0,-540760286.3,,,,,2746509712.11,2331623598.49,,,,,414886113.62,-23.7801632451,,,,,,,,,,,,,-69.949449933,,,-30.2597738461,-8.691011683,,,,,,-39.8817337252,403.025762493,-51.6466374484,,,-23.1950862936,,,-110.3314713462,,,-78.079775519,,,,,,-78.079775519,912.0143189365,,,,,,,,912.0143189365,,,-916.4114541488,,,-90.8759124088,,,,,96.6360523885,,-91.363583801,,,,,,,-99.175474678,,,160.014521118,-30042.8141332416,,,179.0953884707,700.3537214351,,,524.2379410276,93.207671727,-5.1050939406,-39.1002773601,-39.1002773601,,-19.8712933559,42.2066995052,,,,-78.079775519,,,-91.3720363056,-3806.5269267832,,,,,-161.593124941,-133.6763241921,93.4593917542,,,,-110.3314713462,,,,,524.2379410276,700.3537214351,,,,,179.0953884707,,,,,81619266.23,-31.9804823315
002157.SZ,002157,正邦科技,10093300,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-25 00:00:00,CNY,1393187650.41,,,,,,,,,,,,,91887088.99,,0.0,1485074739.4,1266007706.22,,,,,,143929161.76,28234312.2,329579290.14,,0.0,1767750470.32,,0.0,-282675730.92,,,,,,,,,,8288847.76,,,,,,,0.0,8288847.76,,0.0,-8288847.76,880000000.0,,5000000.0,,,,0.0,885000000.0,,632021.13,,,,,,0.0,632021.13,,0.0,884367978.87,-21265186.08,,0.0,572138214.11,2331623598.49,,0.0,2903761812.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.6804233112,,,,,,,,,,,,,-78.2335402961,,,-33.2252424722,-21.8738212606,,,,,,-63.7024790808,196.5841185782,-31.8830355887,,,-29.581642225,,,1.2825852347,,,,,,,,,,534.880184366,,,,,,,,534.880184366,,,-572.4596035331,,,-90.8759124088,,,,,85.5229230866,,-92.1605911481,,,,,,,-95.5636937606,,,91.0975861992,-6904.9489061554,,,227.1251924663,700.3537214351,,,522.8268115093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002157.SZ,002157,正邦科技,10093300,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-30 00:00:00,2025-04-25 00:00:00,CNY,6978175349.18,,,,,,,,,,,,,219231080.67,,0.0,7197406429.85,6283368575.87,,,,,,888797046.29,57139607.98,1351514777.12,,0.0,8580820007.26,,0.0,-1383413577.41,,,189385802.53,,,,,0.0,189385802.53,652163252.99,,,,,10011386.05,,0.0,662174639.04,,0.0,-472788836.51,3229360000.0,,764031854.88,,879150389.13,,0.0,4872542244.01,191339167.52,49329723.6,3282471.21,,735457186.29,,,0.0,976126077.41,,0.0,3896416166.6,85705.49,,0.0,2040299458.17,291324140.32,,0.0,2331623598.49,7776362362.18,2095320329.49,1143900695.12,1143900695.12,,10186074.31,45803165.68,,,,44692217.34,378297799.45,,788395136.77,-14173909156.06,5956194.49,4416619.96,1539574.53,,1043166243.15,-20032353.45,-754969656.62,,,0.0,-1383413577.41,,,,,2331623598.49,291324140.32,,,,,2040299458.17,-51.6191156901,,,,,,,,,,,,,-91.3115399735,,,-57.5290528267,-52.7024887179,,,,,,-44.6302977837,-8.8862703322,-81.8870485001,,,-61.7171845618,,,74.6981038535,,,-19.2975926352,,,,,,-78.4205546632,-50.7266279903,,,,,,,,-50.2098589986,,,-4.5276183514,1055.6144650055,,-92.7964624151,,-68.6666955609,,,-64.4121613504,-97.5176681413,-94.1407181935,-42.8027107484,,-1.6680379323,,,,-89.5016294591,,,-11.3183504707,-80.3113275782,,,233.7207808664,-83.9677654098,,,700.3537214351,154.2120641372,-46.1960797747,-39.4576897675,-39.4576897675,,-15.3748475642,-55.7405013017,,,,98.3661982993,-77.6532754147,,-44.9396954907,-179991.4892260464,0.7778486273,-32.5943998946,339.7783863464,,-78.0553078332,-101.6772889526,89.5477623945,,,,74.6981038535,,,,,700.3537214351,-83.9677654098,,,,,233.7207808664,标准无保留意见,,,,233417370.74,-78.6139569327
002157.SZ,002157,正邦科技,10093300,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-31 00:00:00,CNY,5771148164.19,,,,,,,,,,,,,810367046.34,,0.0,6581515210.53,4851328384.68,,,,,,671862281.91,24313911.88,1674394684.11,,0.0,7221899262.58,,0.0,-640384052.05,,,55644.85,,,,,0.0,55644.85,336158602.12,,,,,,,0.0,336158602.12,,0.0,-336102957.27,,,611342197.47,,497230000.0,,0.0,1108572197.47,126428002.09,36404086.59,,,,,,0.0,162832088.68,,0.0,945740108.79,-32605.62,,0.0,-30779506.15,291324140.32,,0.0,260544634.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.728902595,,,,,,,,,,,,,-81.8260729539,,,-63.0171823833,-62.9756040116,,,,,,-46.6533218865,-74.6165850587,-72.2689852135,,,-64.7647908729,,,76.2830772218,,,-99.1881535478,,,,,,-99.3987086161,-27.6698732906,,,,,,,,-27.6698732906,,,26.2125909517,,,-93.6320093258,,-20.8721363234,,,-89.4511637967,-98.3247067575,-94.2638428148,,,,,,,-98.1690051507,,,-41.4713662159,-106.5236602686,,,98.0003667113,-83.9677654098,,,-6.2308318411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002157.SZ,002157,正邦科技,10093300,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-31 00:00:00,2024-08-30 00:00:00,CNY,4177337963.63,,,,,,,,,,,,,681978943.19,,0.0,4859316906.82,3097857811.16,,,,,,477721506.7,15130020.98,1525706652.03,,0.0,5116415990.87,,0.0,-257099084.05,,,49935.62,,,,,0.0,49935.62,11293838.77,,,,,,,0.0,11293838.77,,0.0,-11243903.15,,,54800000.0,,497230000.0,,0.0,552030000.0,122098068.07,12887142.24,,,,,,0.0,134985210.31,,0.0,417044789.69,-47926.16,,0.0,148653876.33,291324140.32,,0.0,439978016.65,-2100085118.2,44345668.0,598252725.59,598252725.59,,6224346.89,29672027.68,,,,49935.62,,,483548388.91,8737314.19,0.0,,,,892745320.97,196278921.01,-536862506.21,,,0.0,-257099084.05,,,,,439978016.65,291324140.32,,,,,148653876.33,-61.2337519767,,,,,,,,,,,,,-80.9645328124,,,-66.1569367975,-70.635946146,,,,,,-42.6679746806,-83.2358619055,-62.6367380956,,,-67.111337631,,,78.5463567166,,,-99.2032461393,,,,,,-99.4238749066,-97.5395083455,,,,,,,,-97.5395083455,,,97.5032407625,,,-99.2371198601,,-20.8721363234,,,-93.1745088725,-98.1789680181,-97.9199266466,,,,,,,-98.314071308,,,413.6602314242,-115.2224178846,,,109.4851476507,-83.9677654098,,,76.0706871444,56.9199526459,24.4555200377,-37.6569308418,-37.6569308418,,-17.4293793532,-64.1808224929,,,,-99.2032461393,,,-17.1442294778,-88.4411222365,,,,,-62.6403770012,-60.3226820598,64.8335736356,,,,78.5463567166,,,,,76.0706871444,-83.9677654098,,,,,109.4851476507,,,,,119993891.5,-78.8637098235
