日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-04,16.63,17.75,16.62,17.75,111862708.0,2065064028.0,2276142077.0,0.0491
2021-01-05,18.0,18.74,17.92,18.36,152321243.0,2951539521.0,2276142077.0,0.0669
2021-01-06,18.59,18.92,18.0,18.16,83084031.0,1597646633.0,2276142077.0,0.0365
2021-01-07,18.01,18.47,17.84,18.33,80918042.0,1550579158.0,2276142077.0,0.0356
2021-01-08,18.47,18.49,17.07,17.11,107603364.0,1977243376.0,2276142077.0,0.0473
2021-01-11,16.86,16.9,16.11,16.29,76241351.0,1322410501.0,2276142077.0,0.0335
2021-01-12,16.11,16.85,16.11,16.75,54217499.0,953339370.0,2276142077.0,0.0238
2021-01-13,16.83,16.89,16.44,16.73,42806938.0,750268510.0,2276142077.0,0.0188
2021-01-14,16.58,16.99,16.1,16.28,50534677.0,880026744.0,2276142077.0,0.0222
2021-01-15,16.28,16.52,16.01,16.22,36523430.0,624860522.0,2276142077.0,0.016
2021-01-18,16.4,16.68,16.22,16.29,36438626.0,629933406.0,2276142077.0,0.016
2021-01-19,16.31,16.33,15.92,16.09,43408996.0,735687966.0,2276142077.0,0.0191
2021-01-20,15.95,16.13,15.72,16.04,31915261.0,537564210.0,2276142077.0,0.014
2021-01-21,16.06,16.35,15.94,16.13,45249697.0,771046310.0,2276359857.0,0.0199
2021-01-22,16.01,16.04,15.77,15.93,38725769.0,648403880.0,2276359857.0,0.017
2021-01-25,16.01,16.17,15.74,16.08,39129108.0,660809811.0,2276359857.0,0.0172
2021-01-26,16.21,17.32,16.19,17.04,114289069.0,2031833900.0,2276359857.0,0.0502
2021-01-27,16.75,17.43,16.62,16.95,66653926.0,1195762173.0,2276359857.0,0.0293
2021-01-28,16.6,16.75,16.21,16.39,49645147.0,862559330.0,2276359857.0,0.0218
2021-01-29,16.45,16.73,16.09,16.42,48708535.0,840835751.0,2276359857.0,0.0214
2021-02-01,14.78,16.08,14.78,15.63,106422471.0,1732164610.0,2276367050.0,0.0468
2021-02-02,15.63,15.76,15.15,15.18,59564929.0,962889121.0,2276367050.0,0.0262
2021-02-03,15.2,15.9,14.5,15.56,92602631.0,1500447966.0,2276367050.0,0.0407
2021-02-04,15.45,15.63,14.84,15.01,55203394.0,886073968.0,2276367050.0,0.0243
2021-02-05,15.02,15.68,14.96,15.0,50872772.0,819799807.0,2276367050.0,0.0223
2021-02-08,15.3,15.56,15.11,15.17,47338969.0,763804487.0,2276367050.0,0.0208
2021-02-09,15.34,15.44,14.96,15.11,44044237.0,705115413.0,2276376698.0,0.0193
2021-02-10,15.16,15.33,14.78,15.09,41005193.0,650856298.0,2276376698.0,0.018
2021-02-18,15.3,15.5,15.15,15.43,45464917.0,735650807.0,2276376698.0,0.02
2021-02-19,15.44,16.97,15.34,16.97,127328903.0,2221846033.0,2276376698.0,0.0559
2021-02-22,17.26,18.01,17.26,17.62,167707050.0,3121232377.0,2278066265.0,0.0736
2021-02-23,17.52,17.52,16.48,16.56,98458135.0,1756732534.0,2278066265.0,0.0432
2021-02-24,16.52,17.04,16.29,16.74,78418403.0,1383609088.0,2278066265.0,0.0344
2021-02-25,16.85,16.91,16.16,16.18,52792673.0,909194795.0,2278066265.0,0.0232
2021-02-26,15.91,15.98,15.54,15.68,50906312.0,845298250.0,2278869791.0,0.0223
2021-03-01,15.75,16.18,15.73,15.89,40207989.0,677085356.0,2278869791.0,0.0176
2021-03-02,15.9,15.91,15.44,15.58,40221234.0,661962094.0,2278869791.0,0.0176
2021-03-03,15.58,15.93,15.58,15.85,30687705.0,511473178.0,2278869791.0,0.0135
2021-03-04,15.86,15.86,15.52,15.62,26659576.0,440190330.0,2278869791.0,0.0117
2021-03-05,15.44,15.67,15.28,15.5,31338282.0,512382105.0,2278869791.0,0.0138
2021-03-08,15.4,15.63,15.18,15.25,30415316.0,494863127.0,2278869791.0,0.0133
2021-03-09,15.27,15.39,14.78,15.26,32619264.0,523302377.0,2278869791.0,0.0143
2021-03-10,15.33,15.39,14.89,15.06,29891166.0,475588968.0,2302188646.0,0.013
2021-03-11,15.06,15.16,14.96,15.14,19837922.0,315873609.0,2302188646.0,0.0086
