证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
正邦科技,江西正邦科技股份有限公司,,0.0,,,380.0,0.0,0.0,1245.2286,5629.6785,,1779.8791,,,3849.7994,,1520.0,,380.0,,,A股上市,2007-08-16,,002157,2007-08-17,0.0,0.0,,,6009.6785,,0.0,7529.6785,,,,534.6505,,1520.0,0.0,3849.7994,015001
正邦科技,江西正邦科技股份有限公司,,,,,0.0,0.0,0.0,1245.2286,5629.6785,,1779.8791,,,3849.7994,,1900.0,,,,,配售股份上市,2007-11-13,,002157,2007-11-19,,0.0,,,5629.6785,,0.0,7529.6785,,,,534.6505,,1900.0,0.0,3849.7994,015009
正邦科技,江西正邦科技股份有限公司,,,,,0.0,0.0,0.0,1245.2286,5629.6785,,1779.8791,,,3849.7994,,1900.0,,,,,定期报告,2008-04-18,,002157,2007-12-31,,,,,5629.6785,,0.0,7529.6785,,,,534.6505,,1900.0,0.0,3849.7994,015019
正邦科技,江西正邦科技股份有限公司,,,,,0.0,0.0,0.0,2490.4572,11259.357,0.0,3559.7582,,,7699.5988,,3800.0,,,,,转增,2008-05-14,,002157,2008-05-22,,0.0,,,11259.357,,,15059.357,,,,1069.301,,3800.0,,7699.5988,015011
正邦科技,江西正邦科技股份有限公司,,,,,0.0,0.0,0.0,2490.4572,11259.357,0.0,3559.7582,,0.0,7699.5988,,3800.0,,,,,定期报告,2008-08-20,,002157,2008-06-30,,,,,11259.357,,0.0,15059.357,,,0.0,1069.301,,3800.0,,7699.5988,015019
正邦科技,江西正邦科技股份有限公司,,,,,0.0,0.0,0.0,,6837.9204,,0.0,,,6837.9204,,8221.4366,,,,,限售股份上市,2008-08-14,,002157,2008-08-18,0.0,0.0,,,6837.9204,,,15059.357,,,0.0,0.0,,8221.4366,0.0,6837.9204,015027
正邦科技,江西正邦科技股份有限公司,,,,,0.0,0.0,0.0,,10256.8806,,0.0,,,10256.8806,,9530.3907,,,,,转增,2008-09-09,,002157,2008-09-17,,0.0,,,10256.8806,,2801.7642,22589.0355,,,0.0,,,12332.1549,0.0,10256.8806,015011
正邦科技,江西正邦科技股份有限公司,,,,,0.0,0.0,0.0,2801.7642,13058.6448,0.0,2801.7642,,0.0,10256.8806,,9530.3907,,,,,定期报告,2009-04-18,,002157,2008-12-31,,,,,13058.6448,,,22589.0355,,,0.0,0.0,,9530.3907,,10256.8806,015019
正邦科技,江西正邦科技股份有限公司,,,,,0.0,0.0,0.0,2801.7642,13058.6448,0.0,2801.7642,,0.0,10256.8806,,9530.3907,,,,,定期报告,2009-08-26,,002157,2009-06-30,,0.0,,,13058.6448,,,22589.0355,,,0.0,0.0,,9530.3907,,10256.8806,015019
正邦科技,江西正邦科技股份有限公司,,,,,0.0,0.0,0.0,2801.7642,13058.6448,0.0,2801.7642,,0.0,10256.8806,,9530.3907,,,,,定期报告,2010-04-15,,002157,2009-12-31,,0.0,,,13058.6448,,,22589.0355,,,0.0,0.0,,9530.3907,,10256.8806,015019
