代码,简称,公告标题,公告时间,公告链接
002594,比亚迪,2025年员工持股计划第二次持有人会议决议公告,2025-12-06 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224855906&orgId=gshk0001211&announcementTime=2025-12-06 00:00:00
002594,比亚迪,2024年员工持股计划第二次持有人会议决议公告,2025-12-06 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224855905&orgId=gshk0001211&announcementTime=2025-12-06 00:00:00
002594,比亚迪,北京市中伦（深圳）律师事务所关于比亚迪股份有限公司2025年第二次临时股东会的法律意见书,2025-12-06 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224855904&orgId=gshk0001211&announcementTime=2025-12-06 00:00:00
002594,比亚迪,2025年第二次临时股东会决议公告,2025-12-06 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224855903&orgId=gshk0001211&announcementTime=2025-12-06 00:00:00
002594,比亚迪,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,2025-12-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224841563&orgId=gshk0001211&announcementTime=2025-12-02 00:00:00
002594,比亚迪,2025年11月产销快报,2025-12-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224841562&orgId=gshk0001211&announcementTime=2025-12-02 00:00:00
002594,比亚迪,关于2024年员工持股计划第一个锁定期届满的公告,2025-11-28 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224831719&orgId=gshk0001211&announcementTime=2025-11-28 00:00:00
002594,比亚迪,H股公告（暂停办理过户登记）,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224801094&orgId=gshk0001211&announcementTime=2025-11-13 00:00:00
002594,比亚迪,H股公告（临时股东会通告）,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224801093&orgId=gshk0001211&announcementTime=2025-11-13 00:00:00
002594,比亚迪,H股公告（通函）,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224801092&orgId=gshk0001211&announcementTime=2025-11-13 00:00:00
002594,比亚迪,H股公告（临时股东会的出席回条）,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224801091&orgId=gshk0001211&announcementTime=2025-11-13 00:00:00
002594,比亚迪,H股公告（于二零二五年十二月五日（星期五）临时股东会（「临时股东会」）或其任何续会适用的H股持有人代表委任表格）,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224801090&orgId=gshk0001211&announcementTime=2025-11-13 00:00:00
002594,比亚迪,关于召开2025年第二次临时股东会的通知,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224801089&orgId=gshk0001211&announcementTime=2025-11-13 00:00:00
002594,比亚迪,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,2025-11-04 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224784105&orgId=gshk0001211&announcementTime=2025-11-04 00:00:00
002594,比亚迪,2025年10月产销快报,2025-11-03 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224781922&orgId=gshk0001211&announcementTime=2025-11-03 00:00:00
002594,比亚迪,董事和高级管理人员所持本公司股份变动管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776141&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,2025年三季度报告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776127&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,第八届董事会第二十一次会议决议公告,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776129&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,审核委员会实施细则（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776131&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,提名委员会实施细则（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776132&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,薪酬委员会实施细则（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776133&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,战略及可持续发展委员会实施细则（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776134&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,独立董事制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776135&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,信息披露事务管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776136&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,投资者关系管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776137&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,投资者来访接待工作管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776138&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,内幕信息知情人管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776139&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,防范控股股东、实际控制人及其他关联方资金占用管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776140&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,公司章程（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776130&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
002594,比亚迪,财务负责人管理制度（2025年10月）,2025-10-31 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002594&announcementId=1224776142&orgId=gshk0001211&announcementTime=2025-10-31 00:00:00
