SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002594.SZ,002594,比亚迪,10010554,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,612436356000.0,,,,,,,,,,,,13357890000.0,15953069000.0,,0.0,641747315000.0,439107857000.0,,,,,,97504137000.0,41390295000.0,22899528000.0,,0.0,600901817000.0,,0.0,40845498000,1608875000.0,307368000.0,1811583000.0,72761000.0,,19207529000.0,,0.0,23008116000.0,114933284000.0,2284863000.0,,183492000.0,,33177821000.0,,0.0,150579460000.0,,0.0,-127571344000,40222013000.0,147245000.0,89008562000.0,19996953000.0,,21000000000.0,0.0,170227528000.0,36682735000.0,13432616000.0,438210000.0,,8449471000.0,,10000000000.0,0.0,68564822000.0,,0.0,101662706000,272774000.0,,0.0,15209634000,102256542000.0,,0.0,117466176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.103051725,,,,,,,,,,,,45.0389180472,20.7536317143,,,22.4721562467,29.4179801495,,,,,,16.7450651351,34.0253306393,63.2702987666,,,28.4743745582,,,-27.4158666501,9650.7575757576,-63.3359416749,242.0882382932,285.3458320093,,147.4239543641,,,151.0080253869,65.3296521961,-23.3613352363,,,,42.2851204548,,,57.1534480345,,,-47.2250862164,40942.8704081633,50.25,231.7006980585,575.5727364865,,,,469.4752231191,24.194417349,34.4048002486,5.5759806874,,263.768263817,,,,63.8211873181,,,949.9193701635,175.0620531759,,,135.6180133972,-5.7645400505,,,78.493817192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002594.SZ,002594,比亚迪,10010554,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,402581644000.0,,,,,,,,,,,,8717878000.0,11435207000.0,,0.0,422734729000.0,279759478000.0,,,,,,64426198000.0,31494335000.0,15221247000.0,,0.0,390901258000.0,,0.0,31833471000,40997000.0,307446000.0,1372011000.0,66961000.0,,17662221000.0,,0.0,19449636000.0,80524516000.0,1331702000.0,,183492000.0,,11905673000.0,,0.0,93945383000.0,,0.0,-74495747000,40221768000.0,147000000.0,24295394000.0,9999048000.0,,17000000000.0,0.0,91516210000.0,23761503000.0,474212000.0,250417000.0,,7622756000.0,,10000000000.0,0.0,41858471000.0,,0.0,49657739000,464775000.0,,0.0,7460238000,102256542000.0,,0.0,109716780000.0,16038939000.0,1254303000.0,34126456000.0,34125602000.0,854000.0,2231747000.0,954320000.0,,,,472998000.0,,-373458000.0,589302000.0,-1423825000.0,-2628871000.0,-2207606000.0,-421265000.0,,-25987262000.0,14995007000.0,-10055058000.0,176386000.0,,0.0,31833471000.0,,,,,109716780000.0,102256542000.0,,,,,7460238000.0,35.5111554631,,,,,,,,,,,,28.2551073626,60.3265161798,,,35.921661088,28.630152347,,,,,,27.6610073089,62.9685133217,59.3547665733,,,31.6896574261,,,124.5223231824,148.4666666667,-12.4850913873,341.4307776455,2581.6579895875,,3657.9193617021,,,1569.4794560056,70.5100877254,-24.0404250125,,,,47.7084096854,,,64.7035181331,,,-33.3279289187,40942.6204081633,50.0,83.2123776712,,,,,585.0640275438,0.3106520641,42.0825867844,,,349.5790111894,,,,62.7644581608,,,501.8128767875,301.2152356873,,,113.7426807132,-5.7645400505,,,102.3302892906,13.644820571,-18.0747782218,26.2189166585,26.2197448287,0.0,-13.6156342461,22.27174945,,,,5.8165808348,,-7.4016237156,-29.6291121691,-17.7359991466,-229.8313123012,-698.9193844907,19.0981177659,,2.5358793139,194.3139798034,-206.7939123042,-36.3372229421,,,124.5223231824,,,,,102.3302892906,-5.7645400505,,,,,113.7426807132,,,,,1359639000.0,5.9982895442
002594.SZ,002594,比亚迪,10010554,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,186993954000.0,,,,,,,,,,,,5022700000.0,6814256000.0,,0.0,198830910000.0,135218162000.0,,,,,,33265156000.0,13560344000.0,8206287000.0,,0.0,190249949000.0,,0.0,8580961000,34650000.0,300287000.0,324254000.0,2000000.0,,10089505000.0,,0.0,10750696000.0,37276487000.0,691999000.0,,283821000.0,,5238110000.0,,0.0,43490417000.0,,0.0,-32739721000,40221971000.0,147000000.0,4175713000.0,,,,0.0,44397684000.0,3253592000.0,177469000.0,,,2966357000.0,,,0.0,6397418000.0,,0.0,38000266000,120564000.0,,0.0,13962070000,102256542000.0,,0.0,116218612000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6110795122,,,,,,,,,,,,39.3027899109,93.6149253485,,,51.453376758,58.3037961385,,,,,,41.6924787992,71.0554522227,93.8829310313,,,57.1613000426,,,-16.1031049716,,162.888484233,776.6701814151,,,2193.0693181818,,,1718.4133298828,42.8527188013,-56.9240355514,,,,3173.81875,,,56.0988910194,,,-20.0594192844,,,-67.1294288975,,,,,249.4917463691,-81.0134199551,-23.5647035515,,,472.0053838396,,,,-64.234345498,,,833.0944491056,211.7989614243,,,162.5176728408,-5.7645400505,,,34.857624063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002594.SZ,002594,比亚迪,10010554,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-25 00:00:00,2025-03-25 00:00:00,CNY,774347395000.0,,,,,,,,,,,,12073925000.0,28396310000.0,,0.0,814817630000.0,489866241000.0,,,,,,117067584000.0,52697132000.0,21732800000.0,,0.0,681363757000.0,,0.0,133453873000,128755000.0,469217000.0,1068016000.0,7776000.0,,13712511000.0,13898000.0,0.0,15400173000.0,97359768000.0,3666259000.0,,125437000.0,,43330991000.0,,0.0,144482455000.0,,0.0,-129082282000,98000000.0,,37663666000.0,2960000000.0,105558000.0,14894442000.0,0.0,55721666000.0,50103695000.0,10051081000.0,415066000.0,,5834437000.0,,,0.0,65989213000.0,,0.0,-10267547000,-359247000.0,,0.0,-6255203000,108511745000.0,,0.0,102256542000.0,41587940000.0,3871677000.0,56921769000.0,56920062000.0,1707000.0,5514039000.0,1827327000.0,,,,1758636000.0,,-531933000.0,1907942000.0,-2298886000.0,-3179245000.0,-1975070000.0,-1204175000.0,,-31248137000.0,-14841203000.0,67559896000.0,407495000.0,,0.0,133453873000.0,,,,3912264000.0,102256542000.0,108511745000.0,,,,,-6255203000.0,35.2088192214,,,,,,,,,,,,-20.3853008751,18.5755736484,,,33.1797189401,56.2904712618,,,,,,38.890128819,78.4627855547,46.4119117726,,,54.1222405206,,,-21.3705386109,,143.8643722487,126.8546898531,-89.4691224269,,-38.3591679949,-88.665519463,,-33.3484047921,-20.2580310801,75.8437240552,,-99.1089710309,,312.1698816387,,,-2.8814257947,,,-2.720467027,0.0,,-16.8647426326,,273.8816278823,,,22.6530451604,83.9954729435,145.0516710848,226.0611012043,,355.5900870897,,,,102.3390383565,,,-180.1080226481,-179.6945294822,,,-110.9110076511,112.009644242,,,-5.7645400505,32.6820033263,76.9327932899,50.9144743189,50.9199318135,-31.5831663327,32.0988937934,576.4195049362,,,,66.9003818909,,-106.3835648328,260.2568702016,-40.5925238252,-127.0673571725,9.1915158916,-255.4072976611,,-311.0460106955,-17.4035183868,-40.0732508951,47.6752192506,,,-21.3705386109,,,,-45.1673816711,-5.7645400505,112.009644242,,,,,-110.9110076511,标准无保留意见,,,,2643241000.0,90.0931177175
002594.SZ,002594,比亚迪,10010554,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-31 00:00:00,CNY,501573341000.0,,,,,,,,,,,,9209866000.0,13211254000.0,,0.0,523994461000.0,339294321000.0,,,,,,83518851000.0,30882442000.0,14025532000.0,,0.0,467721146000.0,,0.0,56273315000,16500000.0,838336000.0,529566000.0,18882000.0,,7763003000.0,,0.0,9166287000.0,69517647000.0,2981345000.0,,,,23317843000.0,,0.0,95816835000.0,,0.0,-86650548000,98000000.0,98000000.0,26833999000.0,2960000000.0,,,0.0,29891999000.0,29536541000.0,9994149000.0,415066000.0,,2322762000.0,,,0.0,41853452000.0,,0.0,-11961453000,-363398000.0,,0.0,-42702084000,108511745000.0,,0.0,65809661000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5143344879,,,,,,,,,,,,-6.8727871853,-20.3825157557,,,23.893712853,52.7111991289,,,,,,35.9297006576,44.1419517928,-29.9785450418,,,43.8794844126,,,-42.496270806,,340.3487761319,38.2437014935,-89.2180487192,,-63.1666452679,,,-58.0001811718,-31.147982632,103.2970404985,,,,69.033337806,,,-17.5613644793,,,8.212551861,,,19.7196105405,,,,,33.1950719248,76.8581864751,118.5261446869,226.0611012043,,154.7094830063,,,,88.6475881333,,,-4768.4488660092,-198.0799542255,,,-1145.7134209176,112.009644242,,,19.0780395459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002594.SZ,002594,比亚迪,10010554,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-29 00:00:00,2025-08-30 00:00:00,CNY,297083766000.0,,,,,,,,,,,,6797295000.0,7132449000.0,,0.0,311013510000.0,217491368000.0,,,,,,50466622000.0,19325411000.0,9551799000.0,,0.0,296835200000.0,,0.0,14178310000,16500000.0,351307000.0,310810000.0,2497000.0,,470000000.0,13898000.0,0.0,1165012000.0,47225661000.0,1753172000.0,,,,8060254000.0,,0.0,57039087000.0,,0.0,-55874075000,98000000.0,98000000.0,13260782000.0,,,,0.0,13358782000.0,23687916000.0,333758000.0,,,1695532000.0,,,0.0,25717206000.0,,0.0,-12358424000,-230984000.0,,0.0,-54285173000,108511745000.0,,0.0,54226572000.0,14113216000.0,1531034000.0,27037513000.0,27036659000.0,854000.0,2583508000.0,780491000.0,,,,446998000.0,,-347721000.0,837423000.0,-1209337000.0,-797035000.0,-276324000.0,-520711000.0,,-26663414000.0,-15899029000.0,9415385000.0,277063000.0,,0.0,14178310000.0,,,,,54226572000.0,108511745000.0,,,,,-54285173000.0,18.2122744184,,,,,,,,,,,,-12.8359715219,-35.385265561,,,15.1260121066,73.9335673759,,,,,,35.092617314,37.4948382725,-18.5287042243,,,57.7405944055,,,-82.7032982581,,127.5613911218,28.5853174193,-96.6183640303,,-97.4549521109,-80.9532945949,,-93.8716278651,-28.3774557923,82.5699748197,,,,-24.3116687164,,,-26.4452245622,,,4.547942591,,,-22.5151773065,,,,,-22.0711071479,103.016861138,-60.8910647453,,,197.0979397159,,,,96.4336243825,,,-405.1302993522,-141.1894041388,,,-293.5582997631,112.009644242,,,-31.5566143235,23.3703030643,69.1462447274,71.3396699355,71.3478094494,-31.5705128205,50.9124523563,741.6539958806,,,,1.189605721,,-300.1576597312,144.844776067,-104.7052152276,23.9667757986,81.820909073,-210.381398149,,-195.8541450505,-4553.7216057908,-84.2860380891,-51.4640679278,,,-82.7032982581,,,,,-31.5566143235,112.009644242,,,,,-293.5582997631,,,,,1282699000.0,137.3452175651
002594.SZ,002594,比亚迪,10010554,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-26 00:00:00,CNY,124156838000.0,,,,,,,,,,,,3605599000.0,3519489000.0,,0.0,131281926000.0,85416879000.0,,,,,,23477009000.0,7927455000.0,4232599000.0,,0.0,121053942000.0,,0.0,10227984000,,114226000.0,36987000.0,,,440000000.0,,0.0,591213000.0,26094349000.0,1606462000.0,,,,160000000.0,,0.0,27860811000.0,,0.0,-27269598000,,,12703500000.0,,,,0.0,12703500000.0,17136272000.0,232182000.0,,,518589000.0,,,0.0,17887043000.0,,0.0,-5183543000,-107840000.0,,0.0,-22332997000,108511745000.0,,0.0,86178748000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4995375578,,,,,,,,,,,,43.2850987192,-41.6157790341,,,28.3954260563,45.1617315766,,,,,,28.6405460577,21.6342488392,1.444346764,,,37.9022390744,,,-29.2949203492,,-17.2491234171,-77.7713004754,,,-95.7018997896,,,-94.3915719854,-19.3566935784,318.1959228512,,,,-67.8068410463,,,-16.1800497598,,,-20.1443180549,,,-3.8636032377,,,,,-3.8636032377,2546.6511189708,-3.8591812904,,,88.5881048057,,,,1436.7443127195,,,-143.0166651992,1.0968854323,,,-702.0688385324,112.009644242,,,56.9973952227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002594.SZ,002594,比亚迪,10010554,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-27 00:00:00,2025-03-25 00:00:00,CNY,572704798000.0,,,,,,,,,,,,15165447000.0,23947858000.0,,0.0,611818103000.0,313433210000.0,,,,,,84287908000.0,29528359000.0,14843601000.0,,0.0,442093078000.0,,0.0,169725025000,,192409000.0,470793000.0,73840000.0,,22245824000.0,122617000.0,0.0,23105483000.0,122093509000.0,2084953000.0,,14077769000.0,,10512896000.0,,0.0,148769127000.0,,0.0,-125663644000,98000000.0,,45304083000.0,,28233000.0,,0.0,45430316000.0,27230939000.0,4101617000.0,127297000.0,,1280633000.0,,,0.0,32613189000.0,,0.0,12817127000,450780000.0,,0.0,57329288000,51182457000.0,,0.0,108511745000.0,31344070000.0,2188219000.0,37717899000.0,37715404000.0,2495000.0,4174175000.0,270147000.0,,,,1053704000.0,,-257740000.0,529606000.0,-1635141000.0,-1400133000.0,-2174984000.0,774851000.0,,-7602102000.0,-12641191000.0,112737462000.0,275940000.0,,0.0,169725025000.0,,,,7134921000.0,108511745000.0,51182457000.0,,,,,57329288000.0,38.5992281789,,,,,,,,,,,,98.808664525,16.5765733927,,,38.6148264579,41.9261257788,,,,,,57.489417734,59.2925474997,94.2139970247,,,47.0984396774,,,20.5111108885,,48.7702287892,75.5138180042,,,73.7480722059,27.9926931106,,73.5865277132,25.2795406033,-80.2802313233,,,,-59.3733863485,,,11.0991411628,,,-4.2021685015,-80.6944102438,,63.9317131441,,-99.068670577,,,45.7265403875,-38.1801981226,151.1934333301,60.1945535085,,-74.2947135709,,,,-35.6281315179,,,165.7670248934,-26.0555756045,,,4107.3546323675,2.7350478303,,,112.009644242,76.9541351984,57.8280048873,158.2540206715,158.281060199,0.0,-18.1410883327,231.1193096855,,,,20.2689576692,,-104.3965804374,-14.0630856779,-312.5812549403,-146.2309145203,-22.6317934989,-35.6950379389,,79.2090657103,27.9564070184,-26.0877534347,-29.9651780185,,,20.5111108885,,,,,112.009644242,2.7350478303,,,,,4107.3546323675,标准无保留意见,,,,1390498000.0,138.0064598178
002594.SZ,002594,比亚迪,10010554,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-31 00:00:00,2024-10-31 00:00:00,CNY,396455740000.0,,,,,,,,,,,,9889554000.0,16593408000.0,,0.0,422938702000.0,222180379000.0,,,,,,61442680000.0,21425020000.0,20030335000.0,,0.0,325078414000.0,,0.0,97860288000,0.0,190380000.0,383067000.0,175126000.0,,21076014000.0,101286000.0,0.0,21824587000.0,100966754000.0,1466497000.0,,,,13794819000.0,,0.0,116228070000.0,,0.0,-94403483000,0.0,0.0,22414038000.0,,28233000.0,,0.0,22442271000.0,16700692000.0,4573434000.0,127297000.0,,911926000.0,,,0.0,22186052000.0,,0.0,256219000,370512000.0,,0.0,4083536000,51182457000.0,,0.0,55265993000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1959146552,,,,,,,,,,,,61.199975224,164.7192183533,,,45.2335649555,49.2360277671,,,,,,70.9417631768,108.1811167223,295.6709423962,,,62.396260128,,,7.4953865051,-100.0,152.6676222328,47.9148808007,,,102.9696962285,,,103.3612879252,57.077750868,-80.7447522285,,,,-38.6762375371,,,23.1368410135,,,-12.8453101958,-100.0,,14.1365581974,,,,,11.5945828998,-44.0664029546,190.5747216993,60.1945535085,,-80.4999433341,,,,-38.557303613,,,101.6015701474,-12.8209110096,,,149.8376248721,2.7350478303,,,32.7673938076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002594.SZ,002594,比亚迪,10010554,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-29 00:00:00,2024-08-29 00:00:00,CNY,251313806000.0,,,,,,,,,,,,7798280000.0,11038425000.0,,0.0,270150511000.0,125042780000.0,,,,,,37357054000.0,14055372000.0,11724128000.0,,0.0,188179334000.0,,0.0,81971177000,,154379000.0,241715000.0,73840000.0,,18467236000.0,72968000.0,0.0,19010138000.0,65936866000.0,960274000.0,,,,10649269000.0,,0.0,77546409000.0,,0.0,-58536271000,,,17114038000.0,,28233000.0,,0.0,17142271000.0,11667955000.0,853406000.0,,,570698000.0,,,0.0,13092059000.0,,0.0,4050212000,560785000.0,,0.0,28045903000,51182457000.0,,0.0,79228360000.0,11439719000.0,905154000.0,15780066000.0,15778818000.0,1248000.0,1711925000.0,92733000.0,,,,441743000.0,,-86896000.0,342022000.0,-590770000.0,-1048272000.0,-1520010000.0,471738000.0,,-9012351000.0,356983000.0,59917321000.0,570841000.0,,0.0,81971177000.0,,,,49139398000.0,79228360000.0,51182457000.0,,,,,28045903000.0,64.4320518473,,,,,,,,,,,,65.9563727896,300.4968102626,,,68.5357984394,44.6258471756,,,,,,72.9674856601,136.323836634,277.8616243554,,,60.6894079901,,,89.8132685234,,242.59242821,32.2675611638,,,142.8951862859,,,142.3355161218,82.5074740557,-61.0248038808,,,,-11.6976036484,,,53.096083761,,,-36.7428187051,,,-11.9422353872,,,,,-13.034771641,-50.1771604185,15.8060432037,,,-87.4796106928,,,,-54.405253834,,,144.9907279519,295.6155202822,,,430.6140393687,2.7350478303,,,91.6650422095,190.854905602,109.5302690791,156.4624196364,156.4941611509,0.0,-39.5339317099,363.1323977426,,,,244.3664881467,,-641.7118633502,-33.0593248038,-264.8367592363,-137.4578666957,-145.6708872216,166.124719342,,36.4855508846,115.7169839565,32.1511736749,3974.311117144,,,89.8132685234,,,,236.2265639208,91.6650422095,2.7350478303,,,,,430.6140393687,,,,,540436000.0,257.911746591
