日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-07-06,25.66,26.39,25.04,26.17,46122416.0,3661516240.0,1145667543.0,0.0403
2020-07-07,27.42,28.63,26.85,26.85,46670587.0,3978641290.0,1145667543.0,0.0407
2020-07-08,26.51,27.26,26.48,26.77,31915588.0,2647763129.0,1145667543.0,0.0279
2020-07-09,26.77,27.92,26.35,27.32,32797352.0,2764110591.0,1145667543.0,0.0286
2020-07-10,27.32,29.88,26.87,28.79,39602931.0,3495161211.0,1145667543.0,0.0346
2020-07-13,29.95,31.67,29.85,31.67,57987128.0,5536512876.0,1145667543.0,0.0506
2020-07-14,31.67,31.67,29.3,31.23,53638869.0,5075817586.0,1145667543.0,0.0468
2020-07-15,31.38,31.47,29.98,30.57,38869586.0,3699030985.0,1145667543.0,0.0339
2020-07-16,30.54,30.89,27.51,27.51,56046663.0,4984540818.0,1145667543.0,0.0489
2020-07-17,26.86,27.61,25.9,26.39,43096874.0,3549101617.0,1145667543.0,0.0376
2020-07-20,27.08,28.89,26.4,28.2,43173031.0,3684539642.0,1145667543.0,0.0377
2020-07-21,29.08,29.54,28.36,28.5,31722234.0,2834375732.0,1145667543.0,0.0277
2020-07-22,27.82,28.95,27.66,28.2,26954483.0,2367987141.0,1145667543.0,0.0235
2020-07-23,27.84,28.79,27.68,28.79,32728656.0,2869841089.0,1145667543.0,0.0286
2020-07-24,28.4,28.51,26.69,26.85,38817374.0,3298033865.0,1145667543.0,0.0339
2020-07-27,27.01,27.56,26.62,27.02,20882846.0,1753284470.0,1145667543.0,0.0182
2020-07-28,27.81,28.03,26.85,27.14,21644067.0,1829407615.0,1145667543.0,0.0189
2020-07-29,26.95,28.3,26.69,28.12,28797550.0,2464892397.0,1145667543.0,0.0251
2020-07-30,28.15,28.35,27.27,27.5,22449269.0,1917850499.0,1145667543.0,0.0196
2020-07-31,27.48,28.03,27.0,27.62,25812289.0,2201963264.0,1145667543.0,0.0225
2020-08-03,27.63,27.98,27.3,27.87,28030360.0,2394349093.0,1145667543.0,0.0245
2020-08-04,28.13,29.44,28.1,28.79,38395587.0,3414415346.0,1145667543.0,0.0335
2020-08-05,28.79,28.79,28.01,28.51,19022684.0,1667411299.0,1145667543.0,0.0166
2020-08-06,28.73,28.98,28.14,28.7,20533266.0,1815887527.0,1145667543.0,0.0179
2020-08-07,28.34,28.71,27.11,27.62,24597416.0,2120266841.0,1145667543.0,0.0215
2020-08-10,27.1,27.29,25.88,26.52,33653884.0,2752165156.0,1145667543.0,0.0294
2020-08-11,26.49,26.91,26.19,26.2,19417260.0,1596334584.0,1145667543.0,0.0169
2020-08-12,26.26,26.52,25.38,26.52,22097173.0,1768144489.0,1145667543.0,0.0193
2020-08-13,27.01,27.11,26.41,26.46,13582779.0,1119875379.0,1145667543.0,0.0119
2020-08-14,26.56,26.72,25.88,26.5,12062031.0,981262742.0,1145667543.0,0.0105
2020-08-17,26.59,26.92,26.31,26.82,15103194.0,1246372800.0,1145667543.0,0.0132
2020-08-18,27.2,27.36,26.48,26.6,16155250.0,1335564954.0,1145667543.0,0.0141
2020-08-19,26.35,26.43,25.74,25.78,18735826.0,1504274090.0,1145667543.0,0.0164
2020-08-20,25.78,25.9,25.28,25.43,12272430.0,967851099.0,1145667543.0,0.0107
2020-08-21,25.9,26.1,25.54,25.76,11190548.0,893244023.0,1145667543.0,0.0098
2020-08-24,25.86,26.64,25.8,26.36,17128061.0,1384872484.0,1145667543.0,0.015
2020-08-25,26.22,26.83,26.06,26.3,14510634.0,1182125999.0,1145667543.0,0.0127
2020-08-26,26.54,27.62,26.44,27.0,32047153.0,2691953338.0,1145667543.0,0.028
2020-08-27,28.0,28.34,27.42,27.65,25203489.0,2168640349.0,1145667543.0,0.022
2020-08-28,27.52,27.86,26.87,27.64,18647043.0,1572760241.0,1145667543.0,0.0163
2020-08-31,28.17,28.56,27.48,27.52,21534690.0,1864842718.0,1145667543.0,0.0188
2020-09-01,28.16,30.27,27.94,30.27,39461265.0,3573272702.0,1145667543.0,0.0344
2020-09-02,31.04,31.08,29.66,30.53,39704708.0,3719378788.0,1145667543.0,0.0347
2020-09-03,30.07,30.8,29.83,29.97,22779495.0,2129704438.0,1145667543.0,0.0199
2020-09-04,28.75,29.33,28.49,29.13,22202132.0,1979126649.0,1145667543.0,0.0194
2020-09-07,28.97,31.56,28.94,30.67,40998653.0,3862436333.0,1145667543.0,0.0358
2020-09-08,31.04,31.04,29.36,29.46,27908409.0,2590896624.0,1145667543.0,0.0244
2020-09-09,28.49,28.71,27.47,27.84,26329156.0,2281813618.0,1145667543.0,0.023
2020-09-10,28.44,29.19,28.13,28.19,21706271.0,1923920285.0,1145667543.0,0.0189
2020-09-11,28.44,29.52,28.23,29.52,20576370.0,1843068555.0,1145667543.0,0.018
2020-09-14,29.56,30.59,29.56,29.94,22383909.0,2078549016.0,1145667543.0,0.0195
