证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
比亚迪,比亚迪股份有限公司,,0.0,0.0,,1500.0,0.0,0.0,0.0,148200.0,0.0,1742.604,,79310.0,16939.146,,6400.0,,1500.0,,,"A股上市,定期报告",2011-08-23,,002594,2011-06-30,,,,,149700.0,,0.0,235410.0,,,0.0,1742.604,,85710.0,129518.25,146457.396,"015001,015019"
比亚迪,比亚迪股份有限公司,,0.0,0.0,,0.0,0.0,0.0,0.0,148200.0,0.0,1742.604,,79310.0,16939.146,,7900.0,0.0,0.0,,,配售股份上市,2011-09-28,,002594,2011-09-30,,,,,148200.0,,0.0,235410.0,,,0.0,1742.604,,87210.0,129518.25,146457.396,015009
比亚迪,比亚迪股份有限公司,,0.0,0.0,,0.0,,0.0,0.0,148200.0,0.0,1742.604,,79310.0,16939.146,,7900.0,0.0,0.0,,,定期报告,2012-03-26,,002594,2011-12-31,,,,,148200.0,,0.0,235410.0,,,0.0,1742.604,,87210.0,129518.25,146457.396,015019
比亚迪,比亚迪股份有限公司,,,,,,,,,120525.405,,,,79310.0,16615.69,,35574.595,,,,,定期报告,2012-08-28,,002594,2012-06-30,,,,,120525.405,,,235410.0,,,,,,114884.595,103909.715,120525.405,015019
比亚迪,比亚迪股份有限公司,,0.0,0.0,,0.0,0.0,0.0,0.0,100479.98,0.0,1742.604,,79310.0,16615.69,,55620.02,0.0,0.0,,,限售股份上市,2012-06-29,,002594,2012-07-02,,,,,100479.98,,28436.882,235410.0,,,0.0,1742.604,,134930.02,82121.686,98737.376,015027
比亚迪,比亚迪股份有限公司,,,,,,,,,121650.5485,,,,79310.0,16615.69,,34449.4515,,,,,定期报告,2013-03-25,,002594,2012-12-31,,,,,121650.5485,,,235410.0,,,,,,113759.4515,105034.8585,121650.5485,015019
比亚迪,比亚迪股份有限公司,,,,,,,,,117672.7565,,,,79310.0,16615.69,,38427.2435,,,,,定期报告,2013-08-26,,002594,2013-06-30,,,,,117672.7565,,,235410.0,,,,,,117737.2435,101057.0665,117672.7565,015019
比亚迪,比亚迪股份有限公司,,,,,,,,,117672.7565,,,,79310.0,16615.69,,38427.2435,,,,,定期报告,2014-03-20,,002594,2013-12-31,,,,,117672.7565,,,235410.0,,,,,,117737.2435,101057.0665,117672.7565,015019
比亚迪,比亚迪股份有限公司,,,,,0.0,0.0,0.0,,117672.7565,,0.0,,91500.0,16615.69,,38427.2435,,,,,配股上市,2014-05-31,,002594,2014-05-30,,0.0,,,117672.7565,,,247600.0,,,0.0,,,129927.2435,101057.0665,117672.7565,015005
比亚迪,比亚迪股份有限公司,,,,,,,,,86835.0265,,,,91500.0,12193.6395,,69264.9735,,,,,定期报告,2014-08-25,,002594,2014-06-30,,,,,86835.0265,,,247600.0,0.0,,,,,160764.9735,74641.387,86835.0265,015019
