REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:政府补助,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,受限制存款及现金增加(减少),吸收投资所得,处置无形资产及其他资产,存款(增加)减少,存款减少(增加),存货(增加)减少,已付利息(经营),已付利息(融资),已收利息(经营),应付关联方款项增加(减少),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收帐款减少,投资支付现金,收回投资所得现金,政府补助(投资),期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,递延收入(增加)减少,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2004-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2004-01-01 00:00:00,,,213000.0,,1905000.0,124651000.0,7254000.0,2118000.0,17531000.0,70465000.0,,129165000.0,-117397000.0,-9863000.0,,,1213000.0,,,74061000.0,7614000.0,,,,,-56000.0,22000.0,,,5210000.0,3484000.0,,,58700000.0,,,,-33789000.0,3484000.0,,22000.0,5169000.0,5895000.0,-8824000.0,-64013000.0,,,,,-622000.0,,,,47802000.0,2118000.0,10502000.0,12834000.0
2005-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2005-01-01 00:00:00,,,2118000.0,,2649000.0,99181000.0,5135000.0,4767000.0,24554000.0,219552000.0,,268509000.0,-94046000.0,-171814000.0,,,-153913000.0,,,102272000.0,8829000.0,,29452000.0,,,-12000.0,4000.0,,,13218000.0,9076000.0,,,19505000.0,,,,-81180000.0,9076000.0,,4000.0,-27971000.0,108818000.0,-11423000.0,-264359000.0,,,,,-717000.0,,,,55416000.0,4767000.0,-48453000.0,69100000.0
2006-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2006-01-01 00:00:00,,,4767000.0,,80248000.0,256774000.0,2105000.0,85015000.0,19160000.0,149652000.0,,242065000.0,-254669000.0,92852000.0,,,103115000.0,,,211018000.0,,,92413000.0,,,-129000.0,108000.0,,,,10371000.0,,,,,,,-191457000.0,10371000.0,,108000.0,-137156000.0,202935000.0,2462000.0,-249375000.0,,,,,238742000.0,,,,181466000.0,85015000.0,-56509000.0,82455000.0
2006-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2006-01-01 00:00:00,,,4767000.0,,604832000.0,743571000.0,3290000.0,609599000.0,61347000.0,617358000.0,-80397000.0,821101000.0,-827292000.0,611023000.0,,,641762000.0,,,875115000.0,,29452000.0,233195000.0,,,-700000.0,827000.0,,977000.0,53817000.0,31566000.0,,,,,,,-360101000.0,31566000.0,,827000.0,-189167000.0,368073000.0,,-311978000.0,,,,,99097000.0,,6614000.0,,729489000.0,609599000.0,-5305000.0,166028000.0
2007-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2007-01-01 00:00:00,,,609599000.0,,-423310000.0,,,185647000.0,,,,-239893000.0,-594279000.0,410862000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-642000.0,,,,,,371294000.0,,
2007-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2007-01-01 00:00:00,3239430000.0,,609599000.0,,2588709000.0,876368000.0,43852000.0,3196766000.0,,,6478000.0,3395843000.0,-993858000.0,186724000.0,,,,,,,,831767000.0,1543628000.0,,,,,,,,,,,,,,-19924000.0,,,,,,,,,,1727000.0,,-1542000.0,,,149623000.0,,,6393532000.0,,
2008-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2008-01-01 00:00:00,,,3196766000.0,,-260968000.0,,,2935522000.0,,,,226755000.0,-1394233000.0,906510000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-276000.0,,,,,,2935522000.0,,
2008-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2008-01-01 00:00:00,700756000.0,,3196766000.0,66985000.0,-2010023000.0,1948403000.0,35323000.0,1144000000.0,368393000.0,,-121278000.0,-648956000.0,-2037102000.0,676035000.0,,,1046782000.0,2862000.0,-340837000.0,1176226000.0,60871000.0,2957934000.0,1675207000.0,,,415000.0,70471000.0,,1474000.0,34417000.0,39510000.0,,,,,,19088000.0,-784637000.0,39510000.0,,70471000.0,382244000.0,51377000.0,24684000.0,270734000.0,,724000.0,,-42743000.0,,,22556000.0,,803404000.0,2288000000.0,-127290000.0,53444000.0
2009-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2009-01-01 00:00:00,,,1144000000.0,,-24595000.0,,,1119851000.0,,,,-14256000.0,-378665000.0,368326000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446000.0,,,,,,2239702000.0,,
2009-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2009-01-01 00:00:00,,,1144000000.0,3679000.0,30842000.0,689677000.0,60405000.0,1192943000.0,490353000.0,,-119279000.0,-17935000.0,-750080000.0,798857000.0,,,850471000.0,2196000.0,,1530790000.0,62703000.0,14256000.0,,,,-8781000.0,11683000.0,,,245843000.0,594000.0,,,,,,836000.0,-77060000.0,594000.0,,11683000.0,-282937000.0,1366314000.0,-44044000.0,-1536363000.0,,,,18101000.0,,,2365000.0,,794706000.0,2385886000.0,-99026000.0,-7203000.0
