REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ASSET_IMPAIRMENT_LOSS,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,MANAGE_EXPENSE,NETPROFIT,NON_OPERATING_ITEMS,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,RESEARCH_EXPENSE,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,出售资产之溢利,股息,销售成本,非控股权益应占全面收益总额
2004-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2004-01-01 00:00:00,,0.02,,,3484000.0,93973000.0,43777000.0,4025000.0,23290000.0,43777000.0,,725210000.0,51286000.0,,,13053000.0,3390000.0,47802000.0,,,,3575000.0,621000.0,,,268632000.0,
2005-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2005-01-01 00:00:00,,0.02,,,9076000.0,140391000.0,45468000.0,9948000.0,36755000.0,45468000.0,,1201626000.0,64492000.0,,,26700000.0,8084000.0,55416000.0,,,,12697000.0,8337000.0,,,460422000.0,
2006-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2006-01-01 00:00:00,,0.1,,,10371000.0,245695000.0,181466000.0,,24073000.0,181466000.0,,1985324000.0,191837000.0,,,19423000.0,9419000.0,181466000.0,,,,8443000.0,7500000.0,,,746967000.0,
2006-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2006-01-01 00:00:00,,0.39,,,31566000.0,952496000.0,731089000.0,-1600000.0,80613000.0,731089000.0,,6087932000.0,761055000.0,,,55873000.0,35939000.0,729489000.0,,,,43656000.0,24640000.0,,300000000.0,2091470000.0,
2007-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2007-01-01 00:00:00,,0.24,,,33220000.0,626861000.0,446316000.0,-1903000.0,77818000.0,446316000.0,,3708340000.0,477633000.0,,,56766000.0,22172000.0,444413000.0,,,,15895000.0,23423000.0,,,1227309000.0,
2007-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2007-01-01 00:00:00,,0.58,,,66182000.0,1527925000.0,1093289000.0,-7405000.0,152073000.0,1093289000.0,,11534512000.0,1152066000.0,,,175542000.0,54138000.0,1085884000.0,,,,58401000.0,64295000.0,,340837000.0,4239331000.0,
2008-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2008-01-01 00:00:00,,0.19,,,25546000.0,680861000.0,430222000.0,35548000.0,147413000.0,430222000.0,,7275206000.0,491316000.0,,,84500000.0,45390000.0,465770000.0,,,,20440000.0,108198000.0,,,2956742000.0,
2008-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2008-01-01 00:00:00,,0.34,,0.34,39510000.0,1709547000.0,765825000.0,37579000.0,270098000.0,765825000.0,,17110224000.0,842914000.0,,652814000.0,355722000.0,90720000.0,803404000.0,652814000.0,-113011000.0,-113011000.0,302782000.0,152689000.0,,,6845565000.0,
2009-06-30,00285.HK,00285,比亚迪电子,10106513,002,12-31,2009-01-01 00:00:00,,0.1,,0.1,340000.0,527963000.0,228887000.0,35033000.0,142853000.0,228887000.0,,7602670000.0,264260000.0,,,154483000.0,32923000.0,263920000.0,,,,11311000.0,77867000.0,,,3273372000.0,
2009-12-31,00285.HK,00285,比亚迪电子,10106513,001,12-31,2009-01-01 00:00:00,,0.34,,0.34,594000.0,1561783000.0,758856000.0,35850000.0,281865000.0,758856000.0,,22397340000.0,795300000.0,,,423214000.0,92151000.0,794706000.0,,,,99667000.0,130414000.0,,,9636887000.0,
