日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2021-01-22,51.0596,54.1828,50.3025,52.9998,16440225.0,,,
2021-01-25,53.0944,55.9337,51.0596,55.0819,19220990.0,,,
2021-01-26,55.2239,59.7194,53.9935,57.5426,20608742.0,,,
2021-01-27,58.5364,58.6783,52.148,55.3185,19097398.0,,,
2021-01-28,52.9525,55.5078,52.3373,52.8105,13225879.0,,,
2021-01-29,53.1891,55.5078,49.6873,50.823,13722150.0,,,
2021-02-01,50.3498,55.3659,49.0248,54.7034,13148570.0,,,
2021-02-02,55.4132,56.7855,53.615,53.9935,11599344.0,,,
2021-02-03,54.8926,56.5962,53.5676,55.5551,9448224.0,,,
2021-02-04,54.7034,55.5078,50.1605,50.6337,22279014.0,,,
2021-02-05,51.6748,52.4319,50.1605,50.6337,11490330.0,,,
2021-02-08,50.3498,50.3498,47.0373,47.7945,18796316.0,,,
2021-02-09,48.1257,51.2016,48.1257,50.8703,5966973.0,,,
2021-02-10,50.8703,51.2016,49.2614,50.8703,3763403.0,,,
2021-02-11,50.9177,51.6275,49.6873,51.6275,2171754.0,,,
2021-02-16,52.0534,53.2837,51.2962,52.1953,6173413.0,,,
2021-02-17,52.148,52.29,50.1605,52.1007,6147370.0,,,
2021-02-18,52.0534,52.2427,47.3212,47.6998,24525946.0,,,
2021-02-19,47.6998,48.173,45.5704,47.8891,14519483.0,,,
2021-02-22,48.3623,48.6936,43.4882,43.7722,19636789.0,,,
2021-02-23,42.9677,45.2391,41.8793,44.1507,16126253.0,,,
2021-02-24,44.482,45.665,40.2231,41.3114,19547586.0,,,
2021-02-25,42.5891,43.4409,41.5481,42.0686,14140000.0,,,
2021-02-26,39.2766,42.7311,39.1347,40.9329,15152700.0,,,
2021-03-01,42.0686,43.015,41.3114,42.3998,8952375.0,,,
2021-03-02,43.5355,44.8605,41.4534,42.0213,9971765.0,,,
2021-03-03,42.0213,43.7722,41.2168,43.7248,7514787.0,,,
2021-03-04,42.5891,42.5891,40.6963,40.6963,9382652.0,,,
2021-03-05,39.7498,41.4534,37.9516,40.6489,8385004.0,,,
2021-03-08,41.0275,41.2641,38.1409,38.8034,9909947.0,,,
2021-03-09,38.8034,40.8382,36.532,39.2293,11152449.0,,,
2021-03-10,41.2641,41.9266,39.2293,39.9865,6922962.0,,,
2021-03-11,40.2231,42.9677,40.0338,42.6364,6745118.0,,,
2021-03-12,43.3936,45.1445,42.9204,43.3936,17610351.0,,,
2021-03-15,44.0088,44.0088,39.7025,40.5543,10908619.0,,,
2021-03-16,40.9802,42.5891,40.6489,42.4472,6066226.0,,,
2021-03-17,42.4472,43.3463,41.3588,41.9739,3539698.0,,,
2021-03-18,42.2105,43.3463,41.7847,42.6838,8722331.0,,,
2021-03-19,41.69,41.69,39.7498,40.365,9804546.0,,,
2021-03-22,40.2704,42.5891,39.8445,42.2105,10554171.0,,,
2021-03-23,41.6427,41.9739,39.182,40.3177,9621328.0,,,
