日期,收盘价
2024-12-12,60.86
2024-12-13,60.12
2024-12-16,59.52
2024-12-17,58.85
2024-12-18,58.94
2024-12-19,59.45
2024-12-20,59.08
2024-12-23,58.13
2024-12-24,58.93
2024-12-25,59.11
2024-12-26,59.70
2024-12-27,59.02
2024-12-30,59.70
2024-12-31,58.21
2025-01-02,55.95
2025-01-03,55.59
2025-01-06,55.41
2025-01-07,56.28
2025-01-08,56.43
2025-01-09,56.84
2025-01-10,59.61
2025-01-13,57.98
2025-01-14,61.41
2025-01-15,60.33
2025-01-16,60.04
2025-01-17,60.17
2025-01-20,59.52
2025-01-21,61.10
2025-01-22,60.33
2025-01-23,61.36
2025-01-24,62.73
2025-01-27,59.81
2025-02-05,62.70
2025-02-06,68.97
2025-02-07,68.57
2025-02-10,67.85
2025-02-11,68.04
2025-02-12,67.69
2025-02-13,64.68
2025-02-14,66.17
2025-02-17,67.16
2025-02-18,66.31
2025-02-19,72.10
2025-02-20,72.02
2025-02-21,73.46
2025-02-24,73.53
2025-02-25,73.95
2025-02-26,77.49
2025-02-27,77.21
2025-02-28,71.70
2025-03-03,71.95
2025-03-04,73.60
2025-03-05,75.87
2025-03-06,76.78
2025-03-07,76.22
2025-03-10,77.11
2025-03-11,77.56
2025-03-12,74.23
2025-03-13,71.94
2025-03-14,73.26
2025-03-17,69.97
2025-03-18,70.45
2025-03-19,72.28
2025-03-20,71.07
2025-03-21,68.99
2025-03-24,69.50
2025-03-25,68.22
2025-03-26,68.14
2025-03-27,68.32
2025-03-28,68.04
2025-03-31,67.74
2025-04-01,67.28
2025-04-02,68.26
2025-04-03,69.36
2025-04-07,61.61
2025-04-08,62.01
2025-04-09,62.16
2025-04-10,64.34
2025-04-11,63.95
2025-04-14,63.48
2025-04-15,62.40
2025-04-16,62.30
2025-04-17,62.41
2025-04-18,62.41
2025-04-21,63.22
2025-04-22,62.31
2025-04-23,63.81
2025-04-24,63.82
2025-04-25,64.50
2025-04-28,64.01
2025-04-29,66.70
2025-04-30,71.14
2025-05-06,71.34
2025-05-07,70.04
2025-05-08,70.17
2025-05-09,69.03
2025-05-12,69.95
2025-05-13,68.84
2025-05-14,69.36
2025-05-15,68.06
2025-05-16,68.22
2025-05-19,67.87
2025-05-20,68.10
2025-05-21,68.34
2025-05-22,66.81
2025-05-23,66.08
2025-05-26,66.23
2025-05-27,65.36
2025-05-28,65.40
2025-05-29,66.66
2025-05-30,65.37
2025-06-03,64.43
2025-06-04,64.46
2025-06-05,64.77
2025-06-06,64.11
2025-06-09,64.05
2025-06-10,63.16
2025-06-11,63.69
2025-06-12,63.70
2025-06-13,63.79
2025-06-16,62.74
2025-06-17,62.19
2025-06-18,62.45
2025-06-19,61.95
2025-06-20,61.85
2025-06-23,61.95
2025-06-24,64.06
2025-06-25,64.95
2025-06-26,64.27
2025-06-27,63.82
2025-06-30,64.57
2025-07-01,64.22
2025-07-02,64.42
2025-07-03,64.75
2025-07-04,64.11
2025-07-07,62.32
2025-07-08,63.03
2025-07-09,62.64
2025-07-10,62.56
2025-07-11,64.00
2025-07-14,64.38
2025-07-15,64.15
2025-07-16,64.52
2025-07-17,65.13
2025-07-18,65.19
2025-07-21,65.22
2025-07-22,64.72
2025-07-23,64.76
2025-07-24,66.10
2025-07-25,65.41
2025-07-28,65.40
2025-07-29,65.07
2025-07-30,64.16
2025-07-31,63.39
2025-08-01,63.41
2025-08-04,64.56
2025-08-05,64.81
2025-08-06,65.86
2025-08-07,65.50
2025-08-08,64.51
2025-08-11,65.50
2025-08-12,65.40
2025-08-13,66.02
2025-08-14,66.54
2025-08-15,67.34
2025-08-18,67.80
2025-08-19,68.10
2025-08-20,68.88
2025-08-21,68.30
2025-08-22,69.70
2025-08-25,71.85
2025-08-26,71.20
2025-08-27,72.15
2025-08-28,73.78
2025-08-29,75.03
2025-09-01,75.90
2025-09-02,74.90
2025-09-03,73.07
2025-09-04,71.42
2025-09-05,73.35
2025-09-08,82.01
2025-09-09,78.88
2025-09-10,79.52
2025-09-11,80.70
2025-09-12,79.68
2025-09-15,80.15
2025-09-16,83.49
2025-09-17,84.05
2025-09-18,82.60
2025-09-19,81.70
2025-09-22,81.79
2025-09-23,82.60
2025-09-24,86.33
2025-09-25,85.91
2025-09-26,81.54
2025-09-29,83.40
2025-09-30,83.82
2025-10-09,88.91
2025-10-10,84.33
2025-10-13,81.51
2025-10-14,79.15
2025-10-15,80.71
2025-10-16,80.78
2025-10-17,77.59
2025-10-20,78.54
2025-10-21,79.42
2025-10-22,79.25
2025-10-23,79.25
2025-10-24,78.38
2025-10-27,78.27
2025-10-28,77.31
2025-10-29,79.03
2025-10-30,77.00
2025-10-31,77.01
2025-11-03,74.85
2025-11-04,73.09
2025-11-05,73.10
2025-11-06,74.50
2025-11-07,73.58
2025-11-10,72.81
2025-11-11,72.13
2025-11-12,71.50
2025-11-13,72.40
2025-11-14,71.09
2025-11-17,71.50
2025-11-18,71.51
2025-11-19,71.00
2025-11-20,69.99
2025-11-21,69.60
2025-11-24,69.81
2025-11-25,69.81
2025-11-26,70.30
2025-11-27,70.12
2025-11-28,70.66
2025-12-01,71.99
2025-12-02,71.07
2025-12-03,70.27
2025-12-04,72.65
2025-12-05,73.16
2025-12-08,74.04
2025-12-09,72.45
2025-12-10,74.69
2025-12-11,73.73
2025-12-12,73.90
