日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-11-28,18.56,13.09,0.78,0.77,-1.89,38.54
2025-12-01,28.91,20.62,1.22,1.88,-1.66,45.83
2025-12-02,21.22,15.13,0.89,-1.28,-1.54,42.11
2025-12-03,17.52,12.37,0.74,-1.13,-1.49,39.14
2025-12-04,43.77,31.68,1.85,3.39,-1.25,50.37
2025-12-05,26.19,18.98,1.10,0.70,-1.00,52.40
2025-12-08,33.41,24.57,1.41,1.20,-0.73,55.76
2025-12-09,26.72,19.50,1.13,-2.15,-0.63,49.02
2025-12-10,39.06,28.92,1.65,3.09,-0.37,56.92
2025-12-11,27.25,20.28,1.15,-1.28,-0.23,53.12
2025-12-12,25.95,19.08,1.09,0.23,-0.11,53.71
