证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
汇川技术,深圳市汇川技术股份有限公司,,,,,540.0,0.0,0.0,0.0,8100.0,,0.0,,0.0,2025.0,,2160.0,,540.0,,,A股上市,2010-09-27,,300124,2010-09-28,,0.0,,,8640.0,,,10800.0,,,,,,2160.0,6075.0,8100.0,015001
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,0.0,0.0,0.0,8100.0,,0.0,,0.0,2025.0,,2700.0,,0.0,,,配售股份上市,2010-12-25,,300124,2010-12-28,,0.0,,,8100.0,,0.0,10800.0,,,,,,2700.0,6075.0,8100.0,015009
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,0.0,0.0,0.0,8100.0,0.0,0.0,,0.0,2025.0,,2700.0,,0.0,,,定期报告,2011-03-23,,300124,2010-12-31,,0.0,,,8100.0,,0.0,10800.0,,,,,,2700.0,6075.0,8100.0,015019
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,0.0,0.0,,16200.0,,0.0,,,4050.0,,5400.0,,,,,转增,2011-04-22,,300124,2011-05-03,,,,,16200.0,,0.0,21600.0,,,,,,5400.0,12150.0,16200.0,015011
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,,0.0,,16200.0,,0.0,,,4050.0,,5400.0,,,,,定期报告,2011-08-09,,300124,2011-06-30,,,,,16200.0,,0.0,21600.0,,,,,,5400.0,12150.0,16200.0,015019
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,0.0,0.0,,15142.545,,0.0,,,4050.0,,6457.455,,,,,限售股份上市,2011-09-26,,300124,2011-09-28,,0.0,,,15142.545,,0.0,21600.0,,,,,,6457.455,11092.545,15142.545,015027
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,,0.0,,15142.545,,0.0,,,4050.0,,6457.455,,,,,定期报告,2012-03-27,,300124,2011-12-31,,0.0,,,15142.545,,0.0,21600.0,,,,,,6457.455,11092.545,15142.545,015019
汇川技术,深圳市汇川技术股份有限公司,,0.0,,,0.0,0.0,0.0,,27256.581,0.0,0.0,,0.0,7290.0,,11623.419,,,,,转增,2012-05-09,,300124,2012-05-17,,0.0,,,27256.581,,0.0,38880.0,,,,,,11623.419,19966.581,27256.581,015011
汇川技术,深圳市汇川技术股份有限公司,,0.0,,,0.0,,0.0,,27256.581,0.0,0.0,,0.0,7290.0,,11623.419,,,,,定期报告,2012-08-06,,300124,2012-06-30,,0.0,,,27256.581,,0.0,38880.0,,,,,,11623.419,19966.581,27256.581,015019
汇川技术,深圳市汇川技术股份有限公司,,0.0,,,0.0,0.0,0.0,,26993.331,0.0,0.0,,0.0,7290.0,,11886.669,,,,,限售股份上市,2012-09-26,,300124,2012-09-28,,0.0,,,26993.331,,0.0,38880.0,,,0.0,,,11886.669,19703.331,26993.331,015027
汇川技术,深圳市汇川技术股份有限公司,,0.0,,,0.0,,0.0,,26993.331,0.0,0.0,,0.0,7290.0,,11886.669,,,,,定期报告,2013-03-29,,300124,2012-12-31,,0.0,,,26993.331,,0.0,38880.0,,,0.0,,,11886.669,19703.331,26993.331,015019
汇川技术,深圳市汇川技术股份有限公司,,0.0,,,0.0,,0.0,,26993.331,0.0,0.0,,0.0,7290.0,,11886.669,,,,,定期报告,2013-08-02,,300124,2013-06-30,,0.0,,,26993.331,,0.0,38880.0,,,0.0,,,11886.669,19703.331,26993.331,015019
汇川技术,深圳市汇川技术股份有限公司,,0.0,,,0.0,0.0,0.0,,8873.1653,0.0,0.0,,0.0,0.0,,30006.8347,,,,,限售股份上市,2013-09-27,,300124,2013-09-30,,0.0,,,8873.1653,,0.0,38880.0,,,0.0,,,30006.8347,8873.1653,8873.1653,015027
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,9177.327,,,,,,,29702.673,,,,,定期报告,2014-03-13,,300124,2013-12-31,,,,,9177.327,,,38880.0,0.0,,,,,29702.673,9177.327,9177.327,015019
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,0.0,0.0,,17221.946,,0.0,,,,,60783.2057,,,,,转增,2014-05-06,,300124,2014-05-13,,0.0,,,17221.946,,,78005.1517,,,,,,60783.2057,17221.946,17221.946,015011
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,17221.946,,,,,,,60942.638,,,,,"定期报告,期权行权",2014-08-01,,300124,2014-06-30,,,,,17221.946,,,78164.584,0.0,,,,,60942.638,17221.946,17221.946,"015019,015992"
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,0.0,0.0,,17221.946,0.0,0.0,,,,,60999.3411,,,,,期权行权,2014-10-24,,300124,2014-09-30,,,,,17221.946,,,78221.2871,0.0,,,,,60999.3411,17221.946,17221.946,015992
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,18169.3029,,,,,,,60075.8259,,,,,"定期报告,期权行权",2015-03-20,,300124,2014-12-31,,,,,18169.3029,,,78245.1288,0.0,,,,,60075.8259,18169.3029,18169.3029,"015019,015992"
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,16897.5951,,,,,,,62098.6533,,,,,定期报告,2015-08-11,,300124,2015-06-30,,,,,16897.5951,,,78996.2484,0.0,,,,,62098.6533,16897.5951,16897.5951,015019
汇川技术,深圳市汇川技术股份有限公司,0.0,,,,0.0,0.0,0.0,,17347.2803,0.0,0.0,,0.0,0.0,,61742.0371,,,,,"增发新股上市,股权激励",2015-07-07,,300124,2015-07-09,,0.0,,,17347.2803,,0.0,79089.3174,,,,,,61742.0371,17347.2803,17347.2803,"015004,015025"
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,17351.5951,,,,,,,62173.5679,,,,,"定期报告,期权行权",2016-04-12,,300124,2015-12-31,,,,,17351.5951,,,79525.163,0.0,,,,,62173.5679,17351.5951,17351.5951,"015019,015992"
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,0.0,0.0,,34401.0914,0.0,0.0,,,,,124658.9271,,,,,转增,2016-05-11,,300124,2016-05-18,,0.0,,,34401.0914,,0.0,159060.0185,,,,,,124658.9271,34401.0914,34401.0914,015011
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,34430.9957,,,,,,,125921.4096,,,,,定期报告,2016-08-09,,300124,2016-06-30,,,,,34430.9957,,,160352.4053,,,,,,125921.4096,34430.9957,34430.9957,015019
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,0.0,0.0,,34068.621,0.0,0.0,,,,,126335.27,,,,,"激励股份解禁,期权行权",2016-07-07,,300124,2016-07-11,,0.0,,,34068.621,,0.0,160403.891,,,,,,126335.27,34068.621,34068.621,"015998,015992"
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,34292.5283,,,,,,,126760.7194,,,,,"定期报告,期权行权",2017-04-11,,300124,2016-12-31,,,,,34292.5283,,,161053.2477,0.0,,,,,126760.7194,34292.5283,34292.5283,"015019,015992"
汇川技术,深圳市汇川技术股份有限公司,,,,,0.0,0.0,0.0,0.0,39648.08,0.0,0.0,,0.0,0.0,,126656.2341,,,,,"增发新股上市,股权激励",2017-01-17,,300124,2017-01-20,,0.0,,,39648.08,,0.0,166304.3141,,,0.0,,,126656.2341,39648.08,39648.08,"015004,015025"
汇川技术,深圳市汇川技术股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,38346.6183,0.0,0.0,,0.0,0.0,,128162.0748,,,,,"股份回购,期权行权",2017-02-03,,300124,2017-02-03,,0.0,,,38346.6183,,0.0,166508.6931,,,0.0,,,128162.0748,38346.6183,38346.6183,"015016,015992"
汇川技术,深圳市汇川技术股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,38346.6183,0.0,0.0,,0.0,0.0,,128164.5748,,,,,期权行权,2017-05-19,,300124,2017-05-19,,0.0,,,38346.6183,,0.0,166511.1931,,,0.0,,,128164.5748,38346.6183,38346.6183,015992
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,39135.8328,,,,,,,127375.3603,,,,,定期报告,2017-08-25,,300124,2017-06-30,,,,,39135.8328,,,166511.1931,0.0,,,,,127375.3603,39135.8328,39135.8328,015019
汇川技术,深圳市汇川技术股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,38090.1369,0.0,0.0,,0.0,0.0,,128421.0562,0.0,,,,激励股份解禁,2017-07-17,,300124,2017-07-20,,0.0,,,38090.1369,,0.0,166511.1931,,,0.0,,,128421.0562,38090.1369,38090.1369,015998
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,44527.0088,,,,,,,121984.1843,,,,,定期报告,2018-04-25,,300124,2017-12-31,,,,,44527.0088,,,166511.1931,0.0,,,,,121984.1843,44527.0088,44527.0088,015019
汇川技术,深圳市汇川技术股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,43776.0091,0.0,0.0,,0.0,0.0,,122735.184,0.0,,,,限售股份上市,2018-01-23,,300124,2018-01-25,,0.0,,,43776.0091,,0.0,166511.1931,,,0.0,,,122735.184,43776.0091,43776.0091,015027
汇川技术,深圳市汇川技术股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,43653.287,0.0,0.0,,0.0,0.0,,122763.184,0.0,,,,股份回购,2018-02-14,,300124,2018-02-14,,0.0,,,43653.287,,0.0,166416.471,,,0.0,,,122763.184,43653.287,43653.287,015016
汇川技术,深圳市汇川技术股份有限公司,,,,,,,,,32400.8055,,,,,,,134015.6655,,,,,定期报告,2018-08-18,,300124,2018-06-30,,,,,32400.8055,,,166416.471,0.0,,,,,134015.6655,32400.8055,32400.8055,015019
汇川技术,深圳市汇川技术股份有限公司,,0.0,0.0,,0.0,0.0,0.0,0.0,32147.9148,0.0,0.0,,0.0,0.0,,134268.5562,0.0,,,,激励股份解禁,2018-08-10,,300124,2018-08-13,,0.0,,,32147.9148,,0.0,166416.471,,,0.0,,,134268.5562,32147.9148,32147.9148,015998
汇川技术,深圳市汇川技术股份有限公司,,0.0,0.0,,0.0,,0.0,0.0,32147.9148,0.0,0.0,,0.0,0.0,,134268.5562,0.0,,,,定期报告,2019-04-16,,300124,2018-12-31,,0.0,,,32147.9148,,0.0,166416.471,,,0.0,,,134268.5562,32147.9148,32147.9148,015019
