证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
海尔智家,青岛海尔股份有限公司,0.0,,,,,28979.2673,32140.5906,,,0.0,,0.0,0.0,,,24330.0996,,,,,"送股,转增",2000-06-20,28979.2673,600690,2000-06-20,,0.0,,0.0,0.0,0.0,,56470.6902,,3161.3233,0.0,,0.0,24330.0996,,,"015010,015011"
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,28979.2673,32140.5906,,,0.0,,0.0,0.0,,,24330.0996,,0.0,,,定期报告,,28979.2673,600690,2000-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,56470.6902,,3161.3233,0.0,,0.0,24330.0996,,,015019
海尔智家,青岛海尔股份有限公司,0.0,,,,,28979.2673,28979.2673,,,0.0,,0.0,0.0,,,27491.4229,,,,,转配股上市,2000-11-06,28979.2673,600690,2000-11-06,,0.0,,0.0,0.0,0.0,,56470.6902,,0.0,0.0,,0.0,27491.4229,,,015008
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,28979.2673,28979.2673,,,0.0,,0.0,0.0,,,27491.4229,,0.0,,,定期报告,,28979.2673,600690,2000-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,56470.6902,,0.0,0.0,,0.0,27491.4229,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,28979.2673,28979.2673,,,0.0,,0.0,0.0,,0.0,37491.4229,,0.0,,,增发新股上市,,28979.2673,600690,2001-02-09,0.0,0.0,,0.0,0.0,0.0,0.0,66470.6902,,0.0,0.0,,0.0,37491.4229,,,015004
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,34775.1208,34775.1208,,,0.0,,0.0,0.0,,0.0,44989.7074,,0.0,,,"送股,转增",,34775.1208,600690,2001-06-21,0.0,0.0,,0.0,0.0,0.0,0.0,79764.8282,,0.0,0.0,,0.0,44989.7074,,,"015010,015011"
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,34775.1208,34775.1208,,,0.0,,0.0,0.0,,,44989.7074,,0.0,,,定期报告,,34775.1208,600690,2001-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,79764.8282,,0.0,0.0,,0.0,44989.7074,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,34775.1208,34775.1208,,,0.0,,0.0,0.0,,,44989.7074,,0.0,,,定期报告,,34775.1208,600690,2001-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,79764.8282,,0.0,0.0,,0.0,44989.7074,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,34775.1208,34775.1208,,,0.0,,0.0,0.0,,,44989.7074,,0.0,,,定期报告,,34775.1208,600690,2002-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,79764.8282,,0.0,0.0,,0.0,44989.7074,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,34775.1208,34775.1208,,,0.0,,0.0,0.0,,,44989.7074,,0.0,,,定期报告,2003-03-28,34775.1208,600690,2002-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,79764.8282,,0.0,0.0,,0.0,44989.7074,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,34775.1208,34775.1208,,,0.0,,0.0,0.0,,0.0,44989.7074,,0.0,,,定期报告,2003-08-23,34775.1208,600690,2003-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,79764.8282,,0.0,0.0,,0.0,44989.7074,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,34775.1208,34775.1208,,,0.0,,0.0,0.0,,0.0,44989.7074,,0.0,,,定期报告,2004-03-26,34775.1208,600690,2003-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,79764.8282,,0.0,0.0,,0.0,44989.7074,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,34775.1208,34775.1208,,,0.0,,0.0,0.0,,0.0,44989.7074,,0.0,,,定期报告,2004-08-20,34775.1208,600690,2004-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,79764.8282,,0.0,0.0,,0.0,44989.7074,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,52162.6812,52162.6812,,,0.0,,0.0,0.0,,0.0,67484.5611,,0.0,,,"送股,转增",2004-07-06,52162.6812,600690,2004-07-12,0.0,0.0,,0.0,0.0,0.0,0.0,119647.2423,,0.0,0.0,,0.0,67484.5611,,,"015010,015011"
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,52162.6812,52162.6812,,,0.0,,0.0,0.0,,0.0,67484.5611,,0.0,,,定期报告,2005-04-08,52162.6812,600690,2004-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,119647.2423,,0.0,0.0,,0.0,67484.5611,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,52162.6812,52162.6812,,,0.0,,0.0,0.0,,0.0,67484.5611,,0.0,,,定期报告,2005-08-19,52162.6812,600690,2005-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,119647.2423,,0.0,0.0,,0.0,67484.5611,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,52162.6812,52162.6812,,,0.0,,0.0,0.0,,0.0,67484.5611,,0.0,,,定期报告,2006-04-27,52162.6812,600690,2005-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,119647.2423,,0.0,0.0,,0.0,67484.5611,,,015019
海尔智家,青岛海尔股份有限公司,0.0,0.0,,0.0,0.0,0.0,0.0,,45414.2251,0.0,,0.0,0.0,,0.0,74233.0172,,0.0,,,股权分置,2006-05-12,0.0,600690,2006-05-17,0.0,0.0,,0.0,45414.2251,0.0,0.0,119647.2423,,0.0,0.0,,0.0,74233.0172,,,015020
海尔智家,青岛海尔股份有限公司,,,,,0.0,0.0,0.0,,45414.2251,,0.0,,,45414.2251,,74233.0172,,,,,定期报告,2006-08-11,,600690,2006-06-30,,,,,45414.2251,,0.0,119647.2423,,,,,,74233.0172,0.0,45414.2251,015019
海尔智家,青岛海尔股份有限公司,,,0.0,,0.0,0.0,0.0,,45414.2251,,0.0,,,45414.2251,,74233.0172,,,,,定期报告,2007-04-27,,600690,2006-12-31,,,,,45414.2251,,,119647.2423,,,,,,74233.0172,,45414.2251,015019
