日期,收盘价
2022-12-27,31.76
2022-12-28,31.29
2022-12-29,31.52
2022-12-30,31.91
2023-01-03,31.56
2023-01-04,31.22
2023-01-05,31.61
2023-01-06,31.06
2023-01-09,30.43
2023-01-10,30.68
2023-01-11,30.27
2023-01-12,30.06
2023-01-13,30.96
2023-01-16,31.91
2023-01-17,31.98
2023-01-18,32.36
2023-01-19,33.86
2023-01-20,33.80
2023-01-30,34.10
2023-01-31,32.99
2023-02-01,33.36
2023-02-02,33.49
2023-02-03,33.77
2023-02-06,33.61
2023-02-07,34.29
2023-02-08,33.96
2023-02-09,34.72
2023-02-10,33.77
2023-02-13,33.68
2023-02-14,33.29
2023-02-15,33.29
2023-02-16,34.41
2023-02-17,33.60
2023-02-20,35.61
2023-02-21,35.67
2023-02-22,35.13
2023-02-23,34.73
2023-02-24,34.68
2023-02-27,34.25
2023-02-28,35.32
2023-03-01,36.64
2023-03-02,36.26
2023-03-03,36.23
2023-03-06,36.72
2023-03-07,35.82
2023-03-08,35.89
2023-03-09,35.26
2023-03-10,34.79
2023-03-13,36.08
2023-03-14,35.80
2023-03-15,35.96
2023-03-16,34.98
2023-03-17,37.13
2023-03-20,37.97
2023-03-21,37.73
2023-03-22,39.39
2023-03-23,41.23
2023-03-24,41.04
2023-03-27,40.13
2023-03-28,39.06
2023-03-29,39.39
2023-03-30,38.28
2023-03-31,39.26
2023-04-03,39.05
2023-04-04,41.33
2023-04-06,40.36
2023-04-07,41.95
2023-04-10,41.46
2023-04-11,40.84
2023-04-12,42.67
2023-04-13,41.60
2023-04-14,41.01
2023-04-17,40.45
2023-04-18,40.07
2023-04-19,39.72
2023-04-20,38.30
2023-04-21,36.55
2023-04-24,36.12
2023-04-25,34.46
2023-04-26,34.14
2023-04-27,34.88
2023-04-28,34.74
2023-05-04,34.23
2023-05-05,33.18
2023-05-08,33.06
2023-05-09,33.08
2023-05-10,33.50
2023-05-11,33.38
2023-05-12,32.62
2023-05-15,32.54
2023-05-16,32.62
2023-05-17,32.21
2023-05-18,32.70
2023-05-19,33.44
2023-05-22,33.68
2023-05-23,34.43
2023-05-24,33.80
2023-05-25,32.81
2023-05-26,33.27
2023-05-29,31.92
2023-05-30,33.01
2023-05-31,32.72
2023-06-01,33.70
2023-06-02,33.71
2023-06-05,33.80
2023-06-06,32.76
2023-06-07,32.59
2023-06-08,32.43
2023-06-09,30.38
2023-06-12,29.81
2023-06-13,31.52
2023-06-14,31.33
2023-06-15,31.39
2023-06-16,32.99
2023-06-19,33.94
2023-06-20,34.11
2023-06-21,33.01
2023-06-26,31.77
2023-06-27,32.01
2023-06-28,31.67
2023-06-29,31.33
2023-06-30,31.08
2023-07-03,31.35
2023-07-04,32.47
2023-07-05,32.17
2023-07-06,31.80
2023-07-07,31.26
2023-07-10,31.96
2023-07-11,32.11
2023-07-12,32.19
2023-07-13,32.74
2023-07-14,32.53
2023-07-17,32.11
2023-07-18,31.98
2023-07-19,32.19
2023-07-20,31.75
2023-07-21,31.37
2023-07-24,30.93
2023-07-25,32.38
2023-07-26,32.02
2023-07-27,32.57
2023-07-28,33.34
2023-07-31,34.10
2023-08-01,33.80
2023-08-02,33.48
2023-08-03,33.35
2023-08-04,34.31
2023-08-07,34.34
2023-08-08,34.10
2023-08-09,33.78
2023-08-10,33.98
2023-08-11,33.10
2023-08-14,32.82
2023-08-15,32.69
2023-08-16,31.67
2023-08-17,32.29
2023-08-18,31.82
2023-08-21,32.26
2023-08-22,33.03
2023-08-23,32.09
2023-08-24,32.10
2023-08-25,31.24
2023-08-28,31.96
2023-08-29,33.19
2023-08-30,33.28
2023-08-31,33.12
2023-09-01,33.37
2023-09-04,33.62
2023-09-05,33.35
2023-09-06,33.02
2023-09-07,32.20
2023-09-08,31.90
2023-09-11,31.92
2023-09-12,31.70
2023-09-13,31.19
2023-09-14,31.20
2023-09-15,30.56
2023-09-18,30.50
2023-09-19,29.90
2023-09-20,30.05
2023-09-21,29.96
2023-09-22,31.17
2023-09-25,31.03
2023-09-26,31.44
2023-09-27,31.40
2023-09-28,31.73
2023-10-09,31.93
2023-10-10,31.74
2023-10-11,32.09
2023-10-12,32.48
2023-10-13,32.30
2023-10-16,31.70
2023-10-17,31.86
2023-10-18,31.63
2023-10-19,31.20
2023-10-20,30.69
2023-10-23,31.73
2023-10-24,31.80
2023-10-25,33.11
2023-10-26,33.18
2023-10-27,33.70
2023-10-30,34.32
2023-10-31,34.22
2023-11-01,33.95
2023-11-02,33.67
2023-11-03,33.62
2023-11-06,34.67
2023-11-07,34.60
2023-11-08,34.94
2023-11-09,34.80
2023-11-10,34.90
2023-11-13,34.96
2023-11-14,34.26
2023-11-15,34.41
2023-11-16,33.80
2023-11-17,33.52
2023-11-20,33.60
2023-11-21,33.67
2023-11-22,33.37
2023-11-23,33.65
2023-11-24,33.62
2023-11-27,33.12
2023-11-28,33.12
2023-11-29,32.88
2023-11-30,32.66
2023-12-01,33.33
2023-12-04,32.76
2023-12-05,31.73
2023-12-06,31.54
2023-12-07,31.06
2023-12-08,30.65
2023-12-11,32.09
2023-12-12,31.94
2023-12-13,31.45
2023-12-14,31.28
2023-12-15,31.27
2023-12-18,31.11
2023-12-19,31.28
2023-12-20,30.79
2023-12-21,30.87
2023-12-22,30.70
2023-12-25,30.92
2023-12-26,30.79
2023-12-27,30.92
2023-12-28,31.78
2023-12-29,32.59
2024-01-02,31.70
2024-01-03,31.04
2024-01-04,30.58
2024-01-05,30.44
2024-01-08,29.74
2024-01-09,29.24
2024-01-10,28.49
2024-01-11,28.97
2024-01-12,28.57
2024-01-15,28.63
2024-01-16,28.79
2024-01-17,29.08
2024-01-18,29.69
2024-01-19,29.74
2024-01-22,29.00
2024-01-23,28.86
2024-01-24,29.46
2024-01-25,30.10
