日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-12,49.13,14.46,0.54,0.78,-0.43,38.58
2025-12-15,43.49,12.72,0.48,-2.06,-0.48,33.27
2025-12-16,35.45,10.18,0.39,-1.14,-0.54,30.80
2025-12-17,26.96,7.80,0.30,1.32,-0.55,36.63
2025-12-18,21.74,6.32,0.24,-0.17,-0.56,36.20
2025-12-19,25.12,7.34,0.28,0.59,-0.54,38.84
2025-12-22,33.97,9.92,0.38,-0.14,-0.53,38.44
2025-12-23,30.24,8.81,0.33,-0.03,-0.51,38.33
2025-12-24,31.49,9.22,0.35,0.65,-0.48,41.66
2025-12-25,36.11,10.67,0.40,1.02,-0.42,46.57
2025-12-26,40.17,11.98,0.44,0.64,-0.36,49.47
