SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002415.SZ,002415,海康威视,10138286,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-18 00:00:00,2025-10-18 00:00:00,CNY,78369270196.9,,,,,,,,,,,,3236882063.37,1186697756.92,,0.0,82792850017.19,43989344135.13,,,,,,15020772578.45,4871467136.41,5214237658.15,,0.0,69095821508.14,,0.0,13697028509.05,3485922506.33,94952951.57,116817690.29,,,83324543.71,,0.0,3781017691.9,3084953932.55,3526776934.84,,,,,,0.0,6611730867.39,,0.0,-2830713175.49,,,2958594145.25,,,,0.0,2958594145.25,3214101612.1,8446049990.6,,,1891269646.27,,,0.0,13551421248.97,,0.0,-10592827103.72,47525893.69,,0.0,321014123.53,36053042380.29,,0.0,36374056503.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.322543774,,,,,,,,,,,,0.7242081947,-8.4450798123,,,15.1785916696,1.5465340623,,,,,,-3.182105274,3.3712174661,-9.0324807567,,,-0.2635815356,,,426.0550985823,79.4883147224,41.6501449328,2076.8976020473,,,92.8206468073,,,83.7445518849,-8.9329533113,77.5854608556,,,,,,,23.0427392432,,,14.6286827935,,,-48.110477223,,,,,-48.1287363792,-77.7586170829,-5.01705622,,,-35.9593631187,,,,-48.4666417085,,,48.5602341349,208.8855337995,,,101.5036938357,-27.0594274679,,,29.5390956913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002415.SZ,002415,海康威视,10138286,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-02 00:00:00,2025-08-02 00:00:00,CNY,49701456543.93,,,,,,,,,,,,2107945151.93,812956336.79,,0.0,52622358032.65,30095263185.08,,,,,,10757613386.8,3064520777.31,3361941045.57,,0.0,47279338394.76,,0.0,5343019637.89,2065280790.61,49248130.84,35758008.99,,,58311055.86,,0.0,2208597986.3,1977761423.32,2109648712.07,,,,,,0.0,4087410135.39,,0.0,-1878812149.09,,,2498536695.29,,,,0.0,2498536695.29,2608183590.81,6798273559.09,276437692.96,,1642655475.56,,,0.0,11049112625.46,,0.0,-8550575930.17,31873905.87,,0.0,-5054494535.5,36053042380.29,,0.0,30998547844.79,6281476630.83,208566206.64,778654426.95,778654426.95,,52897969.98,46361111.95,-30291669.79,,,-7386351.06,37218.9,43117443.33,53314962.31,36680871.99,-95153343.99,-114855728.16,19702384.17,,-251612593.04,3595520825.49,-5840272991.36,,-10470094.0,0.0,5343019637.89,,,,,30998547844.79,36053042380.29,,,,,-5054494535.5,13.7701712938,,,,,,,,,,,,9.570365078,-24.8428499952,,,12.7025974985,3.4779470686,,,,,,-3.7734985614,-2.5563838235,-3.1935210087,,,0.8497217259,,,2917.5127536582,42.5884865915,,705.3239151583,,,34.9371386427,,,47.6262387848,3.109595979,42.4298134809,,,,,,,20.2426816528,,,1.2827825083,,,-50.5919231253,,,,,-50.5919231253,-61.4712266021,-22.4838996992,21.4121630964,,-42.9173208654,,,,-40.006767898,,,36.0002417753,254.8671823074,,,67.3350787877,-27.0594274679,,,-8.7048153746,11.3605745614,2.1837747452,17.7224559249,17.7224559249,,6.1209928271,-1.1781998909,74.6784543093,,,-162.7404149546,-78.5942358244,185.5689164135,-62.4211579945,-64.7848481039,-825.4829441375,-215.5715394861,-24.5541946923,,-1842.4732125448,344.905588811,13.1093196206,,-101.359023716,,2917.5127536582,,,,,-8.7048153746,-27.0594274679,,,,,67.3350787877,,,,,102884841.39,-27.7294081789
002415.SZ,002415,海康威视,10138286,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,24149423217.69,,,,,,,,,,,,861173833.37,442289248.01,,0.0,25452886299.07,17851083497.95,,,,,,6461282265.23,1240080114.48,1637813427.11,,0.0,27190259304.77,,0.0,-1737373005.7,993325090.14,19245907.7,7530424.5,,,52011400.17,,0.0,1072112822.51,937932093.66,976110494.0,,,,,,0.0,1914042587.66,,0.0,-841929765.15,,,1528386931.72,,,,0.0,1528386931.72,1368376992.04,51396500.14,,,973190611.66,,,0.0,2392964103.84,,0.0,-864577172.12,23889834.25,,0.0,-3419990108.72,36053042380.29,,0.0,32633052271.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9926310279,,,,,,,,,,,,8.0742061795,-15.6586413835,,,8.4108543167,3.159286058,,,,,,-5.1182761128,-17.7095388188,-10.1538727086,,,-0.9248672879,,,56.1923143374,-28.9728663626,,-27.6128693556,,,165.817455027,,,-24.9475372934,-6.9117581987,-31.4985314726,,,,,,,-21.3144600075,,,16.1455314868,,,9.0660966461,,,,,9.0660966461,-17.5603948765,-70.4190715353,,,1839.4126935826,,,,27.0297571736,,,-79.2084344995,270.5749313862,,,37.4360812396,-27.0594274679,,,-25.7691443866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002415.SZ,002415,海康威视,10138286,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-19 00:00:00,2025-04-19 00:00:00,CNY,98512386004.95,,,,,,,,,,,,4198239416.84,1760845198.13,,0.0,104471470619.92,56858146890.75,,,,,,20140688302.14,6679316991.2,7529226413.1,,0.0,91207378597.19,,0.0,13264092022.73,3002416092.15,67333430.58,18893652.3,,,84419763.14,,0.0,3173062938.17,4665742203.72,3046421031.55,,8440700.0,,,,0.0,7720603935.27,,0.0,-4547540997.1,149000000.0,149000000.0,7214406837.74,,2007056.47,,0.0,7365413894.21,17073833780.12,8993845346.34,327176023.62,,3376723553.38,,,0.0,29444402679.84,,0.0,-22078988785.63,-12487215.49,,0.0,-13374924975.49,49427967355.78,,0.0,36053042380.29,13141022060.51,445914387.59,1491731725.01,1491731725.01,,99999893.62,97115766.37,-91747518.81,,,14539975.31,322794.37,-47759102.43,256441388.18,-85911585.51,-253527087.03,-236371472.37,-17155614.66,,-299985733.29,-4018940188.01,479604764.25,,671398128.53,0.0,13264092022.73,,,,,36053042380.29,49427967355.78,,,,,-13374924975.49,5.254768517,,,,,,,,,,,,5.1830849396,-2.5269380826,,,5.110453976,9.324319101,,,,,,12.0268403313,2.8409682437,19.7408837984,,,10.1939316505,,,-20.2025949298,-35.9609222539,0.3122441281,-38.5340617306,,,-30.3682489479,,,-35.3427390692,15.2656685976,-36.5725831305,,-80.8133866662,,,,,-13.2010456109,,,-14.0506359816,105.3190023426,105.3190023426,-34.6069046143,,-59.8588706,,,-33.7042746118,176.508810663,26.9725426558,68.6390643862,,238.5927759788,,,,106.5495599654,,,-601.9383127188,-111.0150520886,,,-239.280884106,24.1125256065,,,-27.0594274679,-13.2943571038,-3.7696494812,14.4921612342,14.4921612342,,1.0869453392,15.415564576,-2474.3109022558,,,156.2330623975,-93.3205943313,-110.5849435711,-21.1047432016,-35.7163637689,54.8907733627,53.3945344006,68.7248966059,,17.9192474194,34.4684486127,-89.5454598342,,24.4163537282,,-20.2025949298,,,,,-27.0594274679,24.1125256065,,,,,-239.280884106,标准无保留意见,,,,295082848.33,-6.8450998006
002415.SZ,002415,海康威视,10138286,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-18 00:00:00,CNY,67372383421.35,,,,,,,,,,,,3213608844.77,1296159457.61,,0.0,71882151723.73,43319394936.84,,,,,,15514458996.41,4712595300.53,5731977415.15,,0.0,69278426648.93,,0.0,2603725074.8,1942144541.12,67033430.58,5366246.45,,,43213496.63,,0.0,2057757714.78,3387563388.43,1985960403.43,,,,,,0.0,5373523791.86,,0.0,-3315766077.08,,,5701717778.3,,2007056.47,,0.0,5703724834.77,14450997152.86,8892175431.16,,,2953233662.83,,,0.0,26296406246.85,,0.0,-20592681412.08,-43647573.77,,0.0,-21348369988.13,49427967355.78,,0.0,28079597367.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1909066537,,,,,,,,,,,,14.9440507491,-11.6593584473,,,5.2281580305,9.8664622198,,,,,,11.851507973,2.0355698225,27.9621893847,,,11.0271565091,,,-55.9662855226,-47.1748277411,2987.9597650636,7.4840038209,,,-5.0046465731,,,-44.8204688883,1.9905899386,-47.7846068303,,,,,,,-25.0433284405,,,3.6012266014,,,-32.2159706655,,-59.8588706,,,-32.3193995028,352.499949143,28.5113429313,,,234.8341648813,,,,139.1678233863,,,-702.0377216985,-147.6870618569,,,-813169.7907973627,24.1125256065,,,-29.4881084808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002415.SZ,002415,海康威视,10138286,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-17 00:00:00,2025-08-02 00:00:00,CNY,43685841357.81,,,,,,,,,,,,1923827807.3,1081675311.98,,0.0,46691344477.09,29083745897.22,,,,,,11179470547.06,3144916924.84,3472847148.87,,0.0,46880980517.99,,0.0,-189636040.9,1448420444.02,,4440202.05,,,43213496.63,,0.0,1496074142.7,1918115772.39,1481184774.81,,,,,,0.0,3399300547.2,,0.0,-1903226404.5,,,5056939782.59,,,,0.0,5056939782.59,6769443615.22,8770143921.98,227685337.21,,2877677608.1,,,0.0,18417265145.3,,0.0,-13360325362.71,-20581446.24,,0.0,-15473769254.35,49427967355.78,,0.0,33954198101.43,5640664710.62,204108927.43,661432367.2,661432367.2,,49846847.99,46913850.89,-119628043.88,,,11772875.69,173873.26,-50389142.62,141874947.35,104162185.92,-10281480.02,-36396098.44,26114618.42,,-12953207.87,-1468125265.31,-6721403222.83,,770412898.39,0.0,-189636040.9,,,,,33954198101.43,49427967355.78,,,,,-15473769254.35,8.5276159948,,,,,,,,,,,,19.4263834353,8.8807206612,,,8.9454539616,10.5348303404,,,,,,13.2054453776,11.9009472804,22.5385547151,,,12.0703223491,,,-118.4868351492,-37.3098754935,,-17.7790392566,,,44.5832237698,,,-36.2214651389,-4.5984020389,-37.6615452669,,,,,,,-23.2767369526,,,8.7123149574,,,8.4271037169,,,,,8.4033958143,339.1667580962,30.3268106758,78.2272698317,,264.7211346209,,,,103.2859174177,,,-203.9991195328,-112.8202196264,,,-192.3222353082,24.1125256065,,,-1.6724660754,-2.0134316293,4.3736476905,18.96891707,18.96891707,,40.62676516,12.5668332725,-106.3238574749,,,336.1233776094,-67.02641469,-8.1567124558,29.7726248172,1067.4599943347,93.2602734084,76.3291201892,2060.8096838918,,97.6098705361,38.673187457,-93.7278217638,,80.2706806232,,-118.4868351492,,,,,-1.6724660754,24.1125256065,,,,,-192.3222353082,,,,,142360590.66,3.0129152728
002415.SZ,002415,海康威视,10138286,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-20 00:00:00,2025-04-19 00:00:00,CNY,22156932069.57,,,,,,,,,,,,796835677.83,524403750.74,,0.0,23478171498.14,17304388368.8,,,,,,6809828068.59,1506954872.63,1822909318.95,,0.0,27444080628.97,,0.0,-3965909130.83,1398514960.79,,10402987.98,,,19566585.71,,0.0,1428484534.48,1007573110.75,1424948274.81,,,,,,0.0,2432521385.56,,0.0,-1004036851.08,,,1401340085.25,,,,0.0,1401340085.25,1659853889.39,173748772.63,,,50179655.67,,,0.0,1883782317.69,,0.0,-482442232.44,-14005477.86,,0.0,-5466393692.21,49427967355.78,,0.0,43961573663.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4223942198,,,,,,,,,,,,-5.746996883,-4.6522722436,,,15.8566883175,19.3914395367,,,,,,11.2206557957,5.7052449982,20.87397522,,,16.5335798096,,,-20.7085909326,-20.4900404006,,414.0125771409,,,57.4230633478,,,-19.4480781882,53.289452313,-22.1708191985,,,,,,,-3.9349256146,,,-32.3209798328,,,-61.8960980431,,,,,-61.9066631791,9.9358487067,125.6038152799,,,-16.928407076,,,,14.35860477,,,-123.7487527046,49.9278646747,,,-167.8501096699,24.1428671601,,,16.3788151614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002415.SZ,002415,海康威视,10138286,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-20 00:00:00,2025-04-19 00:00:00,CNY,93594226079.25,,,,,,,,,,,,3991363648.68,1806494187.72,,0.0,99392083915.65,52008690617.35,,,,,,17978448952.57,6494801736.38,6287932888.3,,0.0,82769874194.6,,0.0,16622209721.05,4688412447.25,67123840.33,30738410.3,,,121237455.42,,0.0,4907512153.3,4047816024.05,4803003467.44,,43992651.82,,,,0.0,8894812143.31,,0.0,-3987299990.01,72570000.0,72570000.0,11032367859.61,,5000000.0,,0.0,11109937859.61,6174788332.85,7083299395.46,194009629.27,,997281629.42,,,0.0,14255369357.73,,0.0,-3145431498.12,113365015.34,,0.0,9602843248.26,39825124107.52,,0.0,49427967355.78,15155901763.21,463382275.12,1302911665.68,1302911665.68,,98924636.89,84144427.77,3864174.6,,,5674511.78,4832681.02,-22679257.89,325040311.15,-63302304.25,-562029336.19,-507175433.89,-54853902.3,,-365476343.55,-6132832357.74,4587526152.69,,539638165.25,0.0,16622209721.05,,,,,49427967355.78,39825124107.52,,,,,9602843248.26,7.8289691804,,,,,,,,,,,,5.9307429012,-14.0746896084,,,7.2548554476,-4.0058803318,,,,,,9.6396075446,9.2107712172,5.1300325933,,,0.3211119166,,,63.537862255,-35.8606818539,29.3524412113,136.8464784062,,,153.791917651,,,-33.8821684353,7.7784862876,-35.0249478271,,,,,,,-20.2098287864,,,-7.0306613845,-98.7935556516,-97.675055813,31.9608601664,,,,,-22.7163253976,29.0109237237,-18.9038844243,6259.9241075143,,-56.8415778116,,,,-9.9553677666,,,-116.0445188867,-50.4111691267,,,84.2644650056,15.0883945875,,,24.1428671601,11.7846019787,-8.864433926,40.3826563507,40.3826563507,,24.1583063558,3.2617680252,-98.0150532512,,,-67.7197653665,365.2727031336,-114.5784015585,96.6232916631,71.0149382644,-135.2000975427,-95.1747223849,-362.4691739505,,75.8016961736,-24.6012458776,904.6411736011,,-51.0471168966,,63.537862255,,,,,24.1428671601,15.0883945875,,,,,84.2644650056,标准无保留意见,,,,316765782.26,28.5712876507
002415.SZ,002415,海康威视,10138286,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-21 00:00:00,2024-10-26 00:00:00,CNY,64047725763.17,,,,,,,,,,,,2795802674.28,1467228938.83,,0.0,68310757376.28,39429134297.75,,,,,,13870585455.27,4618580862.27,4479430558.91,,0.0,62397731174.2,,0.0,5913026202.08,3676551269.16,2170800.0,4992600.07,,,45490116.17,,0.0,3729204785.4,3321446998.66,3803400267.38,,43992651.82,,,,0.0,7168839917.86,,0.0,-3439635132.46,10820000.0,10820000.0,8411594640.04,,5000000.0,,0.0,8427414640.04,3193590889.95,6919370094.76,,,881998903.51,,,0.0,10994959888.22,,0.0,-2567545248.18,91529173.89,,0.0,-2625004.67,39825124107.52,,0.0,39822499102.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5796412492,,,,,,,,,,,,-8.7919044883,-19.206253511,,,6.0454474727,-8.1795101178,,,,,,10.8293742521,5.3060637933,1.4890590451,,,-2.8925439096,,,3592.9376603113,-30.958115533,-95.8766220923,-67.5667536402,,,21.6025763297,,,-31.3291660798,18.9238658043,-27.7018166484,,,,,,,-10.9862520883,,,-31.1295775537,-99.6261012297,,11.3762972487,,,,,-19.3258675467,-18.444907434,-19.4773410176,,,577.2049241199,,,,-13.008931473,,,-17.0822737268,-38.6341675966,,,99.9417539536,15.0883945875,,,32.3130014975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002415.SZ,002415,海康威视,10138286,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-19 00:00:00,2024-08-17 00:00:00,CNY,40253202797.63,,,,,,,,,,,,1610890116.54,993449809.49,,0.0,42857542723.66,26311838365.94,,,,,,9875382327.92,2810447097.43,2834085286.01,,0.0,41831753077.3,,0.0,1025789646.36,2310444356.94,,5400328.59,,,29888320.03,,0.0,2345733005.56,2010569857.72,2376037040.3,,43992651.82,,,,0.0,4430599549.84,,0.0,-2084866544.28,1020000.0,1020000.0,4663907463.39,,,,0.0,4664927463.39,1541428965.29,6729347458.52,127750000.0,,789007637.6,,,0.0,9059784061.41,,0.0,-4394856598.02,160538952.06,,0.0,-5293394543.88,39825124107.52,,0.0,34531729563.64,5756569297.62,195555997.08,555970738.82,555970738.82,,35446202.53,41676441.92,-57980713.11,,,2699436.97,527310.75,-46589010.96,109325790.05,-10766562.6,-152550402.16,-153758959.24,1208557.08,,-541945868.02,-2393937014.55,-3469508489.61,,427364503.05,0.0,1025789646.36,,,,,34531729563.64,39825124107.52,,,,,-5293394543.88,5.954071421,,,,,,,,,,,,-13.3197128842,-0.3463736792,,,4.9233870997,-7.7332661119,,,,,,11.5255078129,-0.3255747594,0.7348302319,,,-2.7281709664,,,147.5234352037,-27.5753119376,,-39.2283374587,,,35.0947467649,,,-27.1770190776,10.0085023625,-23.1237814883,,,,,,,-9.9175098759,,,-22.8388927834,-99.9647526113,,43.7530152369,,,,,-24.0019594328,35.2329421454,-15.3978760295,12675.0,,642.5633698361,,,,-1.5262137784,,,-43.5299835267,120.9346585286,,,22.6682087909,15.0883945875,,,24.3987624871,-6.2082305485,55.4480017782,14.9948083578,14.9948083578,,-8.7656356985,-17.7733946453,-252.2254205203,,,-74.6266290132,-21.8120240424,-139.3282018331,1064.3906195429,94.189808779,5.1654797258,-7.1153233369,106.9801012701,,80.4343280191,28.0581704739,3.2685555111,,9.6718129982,,147.5234352037,,,,,24.3987624871,15.0883945875,,,,,22.6682087909,,,,,138196837.05,18.5221174459
