日期,002415.SZ_close,002415.SZ_volume,002415.SZ_turnover
2024-05-13,31.22,732160710.12,0.24
2024-05-14,31.53,807010164.43,0.26
2024-05-15,31.21,707232817.12,0.23
2024-05-16,31.09,766753285.2,0.25
2024-05-17,31.69,716731578.6,0.24
2024-05-20,31.88,1011146519.19,0.33
2024-05-21,31.82,823212410.37,0.27
2024-05-22,31.93,517806009.13,0.17
2024-05-23,31.38,673749610.74,0.23
2024-05-24,31.38,557705552.95,0.19
2024-05-27,31.48,816259578.23,0.28
2024-05-28,31.49,449751728.73,0.15
2024-05-29,31.6,505011004.57,0.17
2024-05-30,31.56,457153960.15,0.15
2024-05-31,31.51,491718849.37,0.17
2024-06-03,31.56,585710448.04,0.2
2024-06-04,31.85,858967388.51,0.29
2024-06-05,32.32,1128144692.79,0.37
2024-06-06,32.02,705690801.09,0.23
2024-06-07,32.02,810105306.8,0.27
2024-06-11,32.4,696760268.62,0.23
2024-06-12,31.78,948089324.49,0.31
2024-06-13,31.38,1111201246.48,0.38
2024-06-14,31.83,728399141.85,0.24
2024-06-17,31.1,1145805809.52,0.39
2024-06-18,31.36,540384965.18,0.18
2024-06-19,31.13,432066271.66,0.15
2024-06-20,30.55,955747893.13,0.33
2024-06-21,30.75,431623302.06,0.15
2024-06-24,30.32,657643649.06,0.23
2024-06-25,29.82,653158374.63,0.23
2024-06-26,29.94,672897548.32,0.24
2024-06-27,29.61,555156433.16,0.2
2024-06-28,29.81,560939351.13,0.2
2024-07-01,29.71,491852575.38,0.18
2024-07-02,29.02,929680366.19,0.34
2024-07-03,29.07,559389452.93,0.2
2024-07-04,28.65,717446233.13,0.26
2024-07-05,28.73,463627825.32,0.17
2024-07-08,28.23,627815332.16,0.24
2024-07-09,28.31,845499744.78,0.32
2024-07-10,28.32,614645701.74,0.23
2024-07-11,29.0,868321777.18,0.32
2024-07-12,28.93,521112282.13,0.19
2024-07-15,28.93,407068314.59,0.15
2024-07-16,29.15,563135439.6,0.2
2024-07-17,29.18,569135297.59,0.21
2024-07-18,28.92,635014118.36,0.23
2024-07-19,29.2,634847645.6,0.23
2024-07-22,29.27,572049208.85,0.21
2024-07-23,28.48,677818406.26,0.25
2024-07-24,28.22,628996831.43,0.24
2024-07-25,28.2,534964279.45,0.2
2024-07-26,28.45,551120913.09,0.21
2024-07-29,28.01,545809975.41,0.21
2024-07-30,27.57,1021902891.35,0.39
2024-07-31,27.97,1298984791.09,0.49
2024-08-01,27.67,908522134.07,0.35
2024-08-02,27.28,824830396.05,0.32
2024-08-05,26.43,1284586049.76,0.51
2024-08-06,26.63,712425213.01,0.28
2024-08-07,26.42,731549366.76,0.29
2024-08-08,26.49,993045138.4,0.4
2024-08-09,26.1,597075594.79,0.24
2024-08-12,26.03,443982372.7,0.18
2024-08-13,26.05,490007743.48,0.2
2024-08-14,26.15,448447828.74,0.18
2024-08-15,26.35,534989976.72,0.21
2024-08-16,26.44,612659097.0,0.24
2024-08-19,25.61,1632420399.32,0.67
2024-08-20,25.34,876669439.98,0.36
2024-08-21,25.43,470852289.29,0.19
2024-08-22,25.12,446284445.78,0.19
2024-08-23,25.45,454244271.59,0.19
2024-08-26,25.28,527743980.18,0.22
2024-08-27,25.04,400844449.78,0.17
2024-08-28,25.1,324455857.56,0.14
2024-08-29,25.07,512835144.65,0.21
2024-08-30,25.62,987425519.37,0.41
2024-09-02,25.07,574749063.82,0.24
2024-09-03,25.3,521179362.34,0.22
2024-09-04,25.44,490039917.83,0.2
2024-09-05,25.38,495888059.51,0.21
2024-09-06,25.05,369666348.2,0.15
2024-09-09,24.23,846010010.09,0.36
2024-09-10,24.75,716034178.0,0.31
2024-09-11,24.63,415753503.93,0.18
2024-09-12,24.17,510785343.25,0.22
2024-09-13,23.98,431545375.0,0.19
2024-09-18,24.03,501801908.44,0.22
2024-09-19,24.07,687930250.18,0.3
2024-09-20,24.24,611454564.05,0.27
2024-09-23,24.25,448645675.01,0.19
2024-09-24,25.07,1057848635.05,0.45
2024-09-25,25.81,1805529123.26,0.73
2024-09-26,27.12,1712999961.27,0.68
2024-09-27,28.59,3120097176.98,1.16
2024-09-30,31.19,4514701467.78,1.57
2024-10-08,32.73,7700155092.9,2.5
2024-10-09,30.4,3814098800.35,1.31
2024-10-10,30.27,2501204595.76,0.87
2024-10-11,28.53,2692718942.3,0.98
2024-10-14,29.32,3326150655.26,1.2
2024-10-15,28.21,2667339896.56,0.97
2024-10-16,27.18,2491709057.81,0.96
2024-10-17,26.89,1973198333.86,0.76
2024-10-18,27.77,2854837627.43,1.1
2024-10-21,29.63,6743963243.71,2.4
2024-10-22,29.74,2527713713.62,0.91
2024-10-23,29.8,2202560817.81,0.78
2024-10-24,29.56,1592052169.3,0.57
2024-10-25,29.85,1960951041.51,0.7
2024-10-28,29.51,2295201652.61,0.83
2024-10-29,29.44,1762534692.19,0.63
2024-10-30,28.91,1699960413.87,0.62
2024-10-31,29.01,1690490290.47,0.62
2024-11-01,29.02,1408295656.4,0.51
