日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-07-08,31.27,31.56,30.8,31.32,77720342.0,2731735714.0,8095391930.0,0.0096
2020-07-09,31.53,34.25,31.24,33.89,130743147.0,4882801164.0,8095391930.0,0.0162
2020-07-10,33.22,33.47,32.47,32.66,86550846.0,3231395539.0,8095391930.0,0.0107
2020-07-13,32.6,33.58,32.25,33.25,90098042.0,3366992556.0,8095391930.0,0.0111
2020-07-14,33.08,33.18,31.81,32.29,83101515.0,3049701126.0,8095391930.0,0.0103
2020-07-15,32.35,32.81,31.81,31.84,74030074.0,2696476815.0,8095391930.0,0.0091
2020-07-16,31.81,32.4,30.04,30.74,97437894.0,3414969540.0,8095391930.0,0.012
2020-07-17,30.74,31.33,30.48,31.02,60982763.0,2130215660.0,8095391930.0,0.0075
2020-07-20,31.28,31.31,30.36,30.95,50692755.0,1767051337.0,8095391930.0,0.0063
2020-07-21,31.15,31.37,30.3,30.65,65980026.0,2293715894.0,8095391930.0,0.0082
2020-07-22,31.53,32.43,31.1,31.87,90125497.0,3256950323.0,8095391930.0,0.0111
2020-07-23,31.28,31.71,30.44,31.28,77682911.0,2721527873.0,8095391930.0,0.0096
2020-07-24,30.57,31.04,29.58,29.71,78955957.0,2692092078.0,8095391930.0,0.0098
2020-07-27,30.84,32.68,30.84,32.68,160499295.0,5877425006.0,8095391930.0,0.0198
2020-07-28,33.64,33.64,31.76,32.45,114102874.0,4176469099.0,8095391930.0,0.0141
2020-07-29,32.25,33.64,31.98,33.4,106441872.0,3953389170.0,8095391930.0,0.0131
2020-07-30,33.4,33.53,32.76,32.95,57687154.0,2160582507.0,8095391930.0,0.0071
2020-07-31,32.87,33.38,32.07,32.68,75305963.0,2785918912.0,8095391930.0,0.0093
2020-08-03,32.97,34.46,32.97,34.04,106753905.0,4100537265.0,8095391930.0,0.0132
2020-08-04,34.05,34.71,33.58,34.4,76462244.0,2965267274.0,8095391930.0,0.0094
2020-08-05,34.64,34.76,33.58,34.47,59291571.0,2298965162.0,8095391930.0,0.0073
2020-08-06,34.47,34.47,33.44,33.9,49271726.0,1886982964.0,8095391930.0,0.0061
2020-08-07,33.66,34.72,33.36,34.21,75453526.0,2920881332.0,8095391930.0,0.0093
2020-08-10,33.66,34.0,33.03,33.54,52403248.0,1985331185.0,8095391930.0,0.0065
2020-08-11,33.85,35.66,33.85,34.77,109950667.0,4377089045.0,8095391930.0,0.0136
2020-08-12,34.9,35.73,34.62,35.34,95705432.0,3813485827.0,8095391930.0,0.0118
2020-08-13,35.44,35.56,34.62,35.03,55463838.0,2188135500.0,8095391930.0,0.0069
2020-08-14,34.68,35.77,34.49,35.2,53882385.0,2147291554.0,8095391930.0,0.0067
2020-08-17,34.9,35.79,34.65,35.38,82626335.0,3291051364.0,8095391930.0,0.0102
2020-08-18,35.38,35.38,33.97,34.52,74338923.0,2898720095.0,8095391930.0,0.0092
2020-08-19,34.44,34.72,33.56,33.7,66835782.0,2561816891.0,8095391930.0,0.0083
2020-08-20,33.69,34.04,33.29,33.41,43242166.0,1643668698.0,8095391930.0,0.0053
2020-08-21,33.92,34.02,33.03,33.27,37643587.0,1420529772.0,8095391930.0,0.0047
2020-08-24,33.57,34.44,33.47,34.11,52692981.0,2032691524.0,8095391930.0,0.0065
2020-08-25,34.05,34.33,33.74,33.91,35153804.0,1349095661.0,8095391930.0,0.0043
2020-08-26,33.76,34.06,33.16,33.3,31097882.0,1178325851.0,8095391930.0,0.0038
2020-08-27,33.29,33.49,32.53,32.68,41264794.0,1534680278.0,8095391930.0,0.0051
2020-08-28,32.74,33.75,32.54,33.54,46177724.0,1729649308.0,8095391930.0,0.0057
2020-08-31,33.62,33.93,33.06,33.06,39439223.0,1494019775.0,8095391930.0,0.0049
2020-09-01,33.05,33.84,33.02,33.42,32153927.0,1214196507.0,8095391930.0,0.004
2020-09-02,33.4,34.12,32.69,33.95,52915809.0,2011824553.0,8095391930.0,0.0065
2020-09-03,33.97,34.6,33.75,33.95,44204972.0,1711355042.0,8095391930.0,0.0055
2020-09-04,33.22,33.56,32.83,33.44,41248688.0,1552098413.0,8095391930.0,0.0051
2020-09-07,33.05,33.32,32.15,32.15,54397794.0,2019889598.0,8095391930.0,0.0067
2020-09-08,32.29,32.65,31.79,32.07,42320922.0,1540964536.0,8095391930.0,0.0052
2020-09-09,31.77,32.34,31.14,31.9,40468666.0,1454115373.0,8095391930.0,0.005
2020-09-10,32.25,32.39,31.55,31.72,28760054.0,1040125618.0,8095391930.0,0.0036
2020-09-11,31.71,32.07,31.19,31.97,32015579.0,1146500704.0,8095391930.0,0.004
2020-09-14,31.99,32.25,31.7,32.25,29487737.0,1067982002.0,8095391930.0,0.0036
2020-09-15,32.25,33.28,32.07,33.26,32723209.0,1219489338.0,8095391930.0,0.004
2020-09-16,33.22,33.3,32.54,33.11,29913608.0,1112542821.0,8095391930.0,0.0037
2020-09-17,32.73,32.9,32.0,32.12,27800019.0,1016701364.0,8095391930.0,0.0034
2020-09-18,32.42,32.42,31.81,32.37,25267771.0,918577682.0,8095391930.0,0.0031
2020-09-21,32.59,32.59,31.99,32.04,19671356.0,717817513.0,8095391930.0,0.0024
2020-09-22,31.88,32.22,31.75,31.85,18609375.0,673004428.0,8095391930.0,0.0023
2020-09-23,32.11,32.59,32.05,32.34,27035682.0,991402765.0,8095391930.0,0.0033
2020-09-24,32.16,32.65,32.07,32.51,30603477.0,1122270824.0,8095391930.0,0.0038
2020-09-25,32.5,32.87,31.75,31.87,26648299.0,970688524.0,8095391930.0,0.0033
2020-09-28,31.82,32.36,31.77,32.19,25178230.0,913960892.0,8095391930.0,0.0031
2020-09-29,32.29,33.23,32.14,32.88,33780090.0,1249830295.0,8095391930.0,0.0042
2020-09-30,32.96,33.7,32.87,33.67,43457665.0,1646406372.0,8095391930.0,0.0054
2020-10-09,34.19,34.25,33.31,33.71,33939058.0,1291934091.0,8095391930.0,0.0042
2020-10-12,33.73,34.18,33.45,34.12,40511016.0,1550350946.0,8095391930.0,0.005
2020-10-13,34.12,34.9,34.02,34.52,33816440.0,1319746971.0,8095391930.0,0.0042
2020-10-14,34.52,34.72,33.76,34.46,29668303.0,1150475354.0,8095391930.0,0.0037
2020-10-15,34.37,35.06,34.26,34.81,36963076.0,1456672211.0,8095391930.0,0.0046
2020-10-16,34.49,34.72,33.8,34.0,23040268.0,889850769.0,8095391930.0,0.0028
2020-10-19,34.24,35.0,34.13,34.7,34531720.0,1355529439.0,8095391930.0,0.0043
2020-10-20,34.77,35.12,34.33,34.71,22518599.0,883239530.0,8095391930.0,0.0028
2020-10-21,34.48,35.01,34.41,34.69,21127537.0,830050292.0,8095391930.0,0.0026
2020-10-22,34.57,36.01,34.44,34.58,56160206.0,2233263552.0,8095391930.0,0.0069
2020-10-23,34.58,35.89,34.39,34.59,45933288.0,1829150386.0,8095391930.0,0.0057
2020-10-26,34.92,38.06,34.64,37.81,133837307.0,5669104803.0,8095391930.0,0.0165
2020-10-27,37.38,39.63,37.15,39.05,107791583.0,4718255511.0,8095391930.0,0.0133
2020-10-28,38.91,40.38,38.35,39.06,88457126.0,3931322211.0,8095391930.0,0.0109
2020-10-29,38.7,40.26,38.7,39.66,58241694.0,2606026780.0,8095391930.0,0.0072
2020-10-30,40.2,41.02,39.48,39.67,57429793.0,2618665820.0,8095391930.0,0.0071
2020-11-02,39.63,40.53,39.58,40.31,46770420.0,2124006375.0,8095391930.0,0.0058
2020-11-03,40.4,40.57,39.74,40.31,41721005.0,1897097403.0,8095391930.0,0.0052
2020-11-04,40.61,41.97,40.35,41.16,44260083.0,2065796474.0,8095391930.0,0.0055
2020-11-05,42.13,42.72,41.97,42.52,60198891.0,2889935674.0,8095391930.0,0.0074
2020-11-06,42.41,43.85,42.03,43.39,53762838.0,2622692376.0,8095391930.0,0.0066
2020-11-09,43.07,44.24,42.41,42.77,68783472.0,3359309945.0,8095391930.0,0.0085
2020-11-10,42.43,43.63,42.03,43.09,47937652.0,2336442159.0,8095391930.0,0.0059
2020-11-11,42.75,43.3,41.8,41.8,45488200.0,2184005502.0,8095391930.0,0.0056
2020-11-12,42.42,43.16,41.92,42.41,42636412.0,2049569780.0,8095391930.0,0.0053
2020-11-13,41.53,42.39,40.47,41.79,63145308.0,2970437896.0,8095391930.0,0.0078
2020-11-16,43.26,43.26,41.51,42.59,47057991.0,2255578076.0,8095391930.0,0.0058
2020-11-17,42.59,42.85,40.64,41.3,56945956.0,2668247241.0,8095391930.0,0.007
2020-11-18,41.31,41.84,39.58,40.51,62335314.0,2862410077.0,8095391930.0,0.0077
2020-11-19,41.31,42.63,40.51,42.5,46878926.0,2217180577.0,8095391930.0,0.0058
2020-11-20,42.51,42.59,41.55,42.08,35357422.0,1684081211.0,8095391930.0,0.0044
2020-11-23,42.41,42.5,40.81,41.32,42086943.0,1968911744.0,8095391930.0,0.0052
2020-11-24,41.32,41.4,40.27,40.76,35880033.0,1653697563.0,8095391930.0,0.0044
2020-11-25,40.49,41.33,40.3,40.3,27371859.0,1263159761.0,8095391930.0,0.0034
2020-11-26,40.75,40.91,39.58,40.67,26579244.0,1211364439.0,8095391930.0,0.0033
2020-11-27,41.13,41.71,39.96,41.53,39777013.0,1851851733.0,8095391930.0,0.0049
2020-11-30,41.26,41.45,40.32,40.35,35322777.0,1626128183.0,8095391930.0,0.0044
2020-12-01,40.56,40.89,39.81,40.19,41664222.0,1890821902.0,8095391930.0,0.0051
2020-12-02,40.2,40.36,39.58,39.61,30590181.0,1375118456.0,8095391930.0,0.0038
2020-12-03,39.86,40.45,39.33,40.2,32536890.0,1469920898.0,8095391930.0,0.004
2020-12-04,39.88,40.64,39.88,40.53,30725313.0,1403016057.0,8095391930.0,0.0038
2020-12-07,39.76,40.22,38.47,39.58,50395029.0,2263334023.0,8095391930.0,0.0062
2020-12-08,39.72,39.94,38.59,39.12,50285170.0,2234520122.0,8095391930.0,0.0062
2020-12-09,39.32,39.43,38.48,38.62,35255241.0,1549925491.0,8095391930.0,0.0044
2020-12-10,38.87,40.55,38.33,39.76,43498215.0,1952422223.0,8095391930.0,0.0054
2020-12-11,39.87,40.11,38.61,39.29,45645362.0,2020677472.0,8095391930.0,0.0056
2020-12-14,39.3,40.91,39.25,40.51,51018187.0,2331354749.0,8095391930.0,0.0063
2020-12-15,40.91,41.71,40.51,41.27,48553183.0,2268365451.0,8095391930.0,0.006
2020-12-16,40.95,41.27,40.32,40.64,36743185.0,1691696731.0,8095391930.0,0.0045
2020-12-17,40.42,40.71,39.43,39.65,38746736.0,1750203837.0,8095391930.0,0.0048
2020-12-18,39.5,40.54,39.35,40.54,56884251.0,2577562465.0,8095391930.0,0.007
2020-12-21,40.19,40.3,38.53,39.93,47904587.0,2149480395.0,8095391930.0,0.0059
2020-12-22,39.74,40.4,39.48,39.6,32690432.0,1478956161.0,8095391930.0,0.004
2020-12-23,39.23,41.26,39.1,40.43,53127321.0,2425960571.0,8095391930.0,0.0066
2020-12-24,40.69,41.97,40.69,41.63,59939896.0,2812982476.0,8095391930.0,0.0074
2020-12-25,41.86,42.32,41.26,41.75,43899940.0,2080711826.0,8095391930.0,0.0054
