证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
海康威视,杭州海康威视数字技术股份有限公司,,,500.0,,1000.0,0.0,0.0,12397.5,45000.0,,12397.5,,,10800.0,,4000.0,21302.5,1000.0,,,A股上市,2010-05-27,,002415,2010-05-28,0.0,0.0,,,46000.0,,,50000.0,,,,0.0,,4000.0,0.0,10800.0,015001
海康威视,杭州海康威视数字技术股份有限公司,,,500.0,,1000.0,0.0,0.0,12397.5,45000.0,,12397.5,,,10800.0,,4000.0,21302.5,1000.0,,,定期报告,2010-08-13,,002415,2010-06-30,0.0,0.0,,,46000.0,,,50000.0,,,,0.0,,4000.0,0.0,10800.0,015019
海康威视,杭州海康威视数字技术股份有限公司,,,,,0.0,0.0,0.0,12397.5,45000.0,,12397.5,,,10800.0,,5000.0,21802.5,,,,配售股份上市,2010-08-25,,002415,2010-08-30,,0.0,,,45000.0,,0.0,50000.0,,,,0.0,,5000.0,,10800.0,015009
海康威视,杭州海康威视数字技术股份有限公司,,,,,0.0,,0.0,12397.5,45000.0,,12397.5,,,10800.0,,5000.0,21802.5,,,,定期报告,2011-03-19,,002415,2010-12-31,,0.0,,,45000.0,,0.0,50000.0,,,,0.0,,5000.0,,10800.0,015019
海康威视,杭州海康威视数字技术股份有限公司,,,,,0.0,0.0,0.0,24795.0,90000.0,,24795.0,,,21600.0,,10000.0,43605.0,,,,转增,2011-04-13,,002415,2011-04-20,,,,,90000.0,,0.0,100000.0,,,,0.0,,10000.0,0.0,21600.0,015011
海康威视,杭州海康威视数字技术股份有限公司,,0.0,,,0.0,0.0,0.0,18596.25,75026.25,0.0,18596.25,,0.0,12825.0,,24973.75,43605.0,0.0,,,限售股份上市,2011-05-26,,002415,2011-05-30,,,,,75026.25,,0.0,100000.0,,,0.0,0.0,,24973.75,0.0,12825.0,015027
海康威视,杭州海康威视数字技术股份有限公司,,0.0,,,0.0,,0.0,18596.25,75026.25,0.0,18596.25,,0.0,12825.0,,24973.75,43605.0,0.0,,,定期报告,2011-07-30,,002415,2011-06-30,,,,,75026.25,,0.0,100000.0,,,0.0,0.0,,24973.75,0.0,12825.0,015019
海康威视,杭州海康威视数字技术股份有限公司,,0.0,,,0.0,0.0,0.0,18596.25,75026.25,0.0,18596.25,,0.0,12825.0,,24973.75,43605.0,0.0,,,定期报告,2012-04-24,,002415,2011-12-31,,,,,75026.25,,0.0,100000.0,,,0.0,0.0,,24973.75,0.0,12825.0,015019
海康威视,杭州海康威视数字技术股份有限公司,,0.0,0.0,,0.0,0.0,0.0,18596.25,73773.9375,0.0,18596.25,,0.0,11572.6875,,26226.0625,43605.0,0.0,,,限售股份上市,2012-05-30,,002415,2012-05-31,,0.0,,,73773.9375,,0.0,100000.0,,,0.0,0.0,,26226.0625,0.0,11572.6875,015027
海康威视,杭州海康威视数字技术股份有限公司,,0.0,0.0,,0.0,0.0,0.0,35932.5,146288.145,0.0,35932.5,,0.0,23145.375,,53711.855,87210.0,0.0,,0.0,转增,2012-06-06,,002415,2012-06-13,0.0,0.0,0.0,0.0,146288.145,,0.0,200000.0,,,0.0,0.0,,53711.855,0.27,23145.645,015011
海康威视,杭州海康威视数字技术股份有限公司,,,,,0.0,0.0,0.0,35932.5,146288.315,,35932.5,,,23145.375,,53711.685,87210.0,,,,定期报告,2012-08-17,,002415,2012-06-30,,,,,146288.315,,,200000.0,,,,,,53711.685,0.44,23145.815,015019
海康威视,杭州海康威视数字技术股份有限公司,,,,,0.0,0.0,0.0,35932.5,147149.3061,,35932.5,,,23145.375,,53711.855,87210.0,,,,"增发新股上市,股权激励",2012-09-12,,002415,2012-09-13,,,,,147149.3061,,,200861.1611,,,,,,53711.855,861.4311,24006.8061,"015004,015025"
海康威视,杭州海康威视数字技术股份有限公司,,,,,0.0,,0.0,35932.5,147149.3061,,35932.5,,,23145.375,,53711.855,87210.0,,,,定期报告,2013-04-09,,002415,2012-12-31,,,,,147149.3061,,,200861.1611,,,,,,53711.855,861.4311,24006.8061,015019
海康威视,杭州海康威视数字技术股份有限公司,,,0.0,,0.0,0.0,0.0,35932.5,143759.3061,0.0,35932.5,,0.0,19755.375,,57101.855,87210.0,,,,限售股份上市,2013-01-18,,002415,2013-01-21,,0.0,,,143759.3061,,0.0,200861.1611,,,0.0,0.0,,57101.855,861.4311,20616.8061,015027
海康威视,杭州海康威视数字技术股份有限公司,,0.0,0.0,,0.0,0.0,0.0,35932.5,56549.3061,0.0,35932.5,,0.0,19755.375,,144311.855,0.0,,,,限售股份上市,2013-05-27,,002415,2013-05-28,0.0,0.0,,,56549.3061,,0.0,200861.1611,,,0.0,0.0,,144311.855,861.4311,20616.8061,015027
海康威视,杭州海康威视数字技术股份有限公司,,,,,,,,33150.0,53766.8961,,33150.0,,,19755.375,,147094.265,,,,,定期报告,2013-08-26,,002415,2013-06-30,,,,,53766.8961,,,200861.1611,,,,,,147094.265,34011.8811,53767.2561,015019
