证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
温氏股份,广东温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,,336929.3148,0.0,0.0,,,,,25595.4232,0.0,,,,A股上市,2015-10-29,,300498,2015-11-02,,0.0,,,336929.3148,,,362524.738,,,,,,25595.4232,336929.3148,336929.3148,015001
温氏股份,广东温氏食品集团股份有限公司,,,,,,,,30.0305,337015.5472,,30.0305,,,4785.5196,,25509.1908,,,,,定期报告,2016-04-18,,300498,2015-12-31,,,,,337015.5472,,,362524.738,0.0,,,,,25509.1908,332199.9971,336985.5167,015019
温氏股份,广东温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,30.0305,336705.8078,,30.0305,,,4785.5196,,25818.9302,,,,,限售股份上市,2016-05-18,,300498,2016-05-23,,0.0,,,336705.8078,,0.0,362524.738,,,,,,25818.9302,331890.2577,336675.7773,015027
温氏股份,广东温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,36.0366,404077.7974,,36.0366,,,5742.6235,,30951.8882,,,,,转增,2016-05-26,0.0,300498,2016-06-01,,0.0,,,404077.7974,,0.0,435029.6856,,,,0.0,,30951.8882,398299.1373,404041.7608,015011
温氏股份,广东温氏食品集团股份有限公司,,,,,,,,36.0367,404077.7974,,36.0367,,,5742.6235,,30951.8882,,,,,定期报告,2016-08-26,,300498,2016-06-30,,,,,404077.7974,,,435029.6856,,,,,,30951.8882,398299.1372,404041.7607,015019
温氏股份,广东温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,36.0367,142513.7133,,36.0367,,,0.0,,292515.9723,,,,,限售股份上市,2016-10-31,,300498,2016-11-02,,0.0,,,142513.7133,,,435029.6856,,,,,,292515.9723,142477.6766,142477.6766,015027
温氏股份,广东温氏食品集团股份有限公司,,,,,,,,,136941.2332,,,,,,,298088.4524,,,,,定期报告,2017-04-07,,300498,2016-12-31,,,,,136941.2332,,,435029.6856,0.0,,,,,298088.4524,136941.2332,136941.2332,015019
温氏股份,广东温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,,170986.5097,,0.0,,,0.0,,351049.113,,,,,转增,2017-05-19,,300498,2017-05-26,,0.0,,,170986.5097,,,522035.6227,,,0.0,,,351049.113,170986.5097,170986.5097,015011
温氏股份,广东温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,,161008.841,,0.0,,,0.0,,361026.7817,,,,,限售股份上市,2017-06-09,,300498,2017-06-12,0.0,0.0,,,161008.841,,0.0,522035.6227,,,0.0,,,361026.7817,161008.841,161008.841,015027
温氏股份,广东温氏食品集团股份有限公司,,,,,,,,,167482.4022,,,,,,,354553.2205,,,,,定期报告,2017-08-15,,300498,2017-06-30,,,,,167482.4022,,,522035.6227,0.0,,,,,354553.2205,167482.4022,167482.4022,015019
温氏股份,广东温氏食品集团股份有限公司,,,,,,,,,167497.8647,,,,,,,354537.758,,,,,定期报告,2018-04-10,,300498,2017-12-31,,,,,167497.8647,,,522035.6227,0.0,,,,,354537.758,167497.8647,167497.8647,015019
温氏股份,广东温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,,174101.0363,,0.0,,,,,357282.8664,,,,,"增发新股上市,股权激励",2018-05-17,,300498,2018-05-18,,0.0,,,174101.0363,,0.0,531383.9027,,,,,,357282.8664,174101.0363,174101.0363,"015004,015025"
温氏股份,广东温氏食品集团股份有限公司,,,,,0.0,,0.0,,174101.0363,,0.0,,,,,357282.8664,,,,,定期报告,2018-08-15,,300498,2018-06-30,,0.0,,,174101.0363,,0.0,531383.9027,,,,,,357282.8664,174101.0363,174101.0363,015019
温氏股份,温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,,175193.0243,,0.0,,,,,356190.8784,,,,,限售股份上市,2018-10-30,,300498,2018-11-02,,0.0,,,175193.0243,,0.0,531383.9027,,,0.0,,,356190.8784,175193.0243,175193.0243,015027
温氏股份,温氏食品集团股份有限公司,,,,,,,,11.0,160048.8756,,11.0,,,,,371262.0271,,,,,定期报告,2019-04-10,,300498,2018-12-31,,,,,160048.8756,,,531310.9027,0.0,,,,,371262.0271,160037.8756,160037.8756,015019
温氏股份,温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,,159557.1004,,0.0,,,,,371753.8023,,,,,股份回购,2019-01-31,,300498,2019-01-31,,0.0,,,159557.1004,,0.0,531310.9027,,,0.0,,,371753.8023,159557.1004,159557.1004,015016
温氏股份,温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,,155870.3084,0.0,0.0,,0.0,,,375440.5943,0.0,,,,激励股份解禁,2019-05-20,,300498,2019-05-22,,0.0,,,155870.3084,,0.0,531310.9027,,,0.0,,,375440.5943,155870.3084,155870.3084,015998
温氏股份,温氏食品集团股份有限公司,,,,,,,,6.6,130339.4014,,6.6,,,,,400971.5013,,,,,定期报告,2019-08-21,,300498,2019-06-30,,,,,130339.4014,,,531310.9027,0.0,,,,,400971.5013,130332.8014,130332.8014,015019
温氏股份,温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,6.6,130259.2787,,6.6,,,,,400953.204,,,,,股份回购,2019-09-03,,300498,2019-08-30,,,,,130259.2787,,,531212.4827,,,,,,400953.204,130252.6787,130252.6787,015016
温氏股份,温氏食品集团股份有限公司,,,,,,,,6.6,130198.5007,,6.6,,,,,400952.454,,,,,定期报告,2020-04-24,,300498,2019-12-31,,,,,130198.5007,,,531150.9547,,,,,,400952.454,130191.9007,130191.9007,015019
温氏股份,温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,6.6,129057.0604,,6.6,,,,,402093.8943,,,,,股份回购,2020-01-07,,300498,2020-01-06,,,,,129057.0604,,,531150.9547,,,,0.0,,402093.8943,129050.4604,129050.4604,015016
温氏股份,温氏食品集团股份有限公司,,,0.0,,0.0,0.0,0.0,7.92,157096.9356,0.0,7.92,,0.0,0.0,,480284.21,0.0,,,,转增,2020-06-04,,300498,2020-06-11,,,,,157096.9356,,,637381.1456,,,0.0,0.0,,480284.21,157089.0156,157089.0156,015011
温氏股份,温氏食品集团股份有限公司,,,,,,,,7.92,152785.3258,,7.92,,,,,484595.8198,,,,,激励股份解禁,2020-06-23,,300498,2020-06-24,,,,,152785.3258,,,637381.1456,,,,,,484595.8198,152777.4058,152777.4058,015998
温氏股份,温氏食品集团股份有限公司,,,,,,,,2.64,152936.0018,,2.64,,,,,484445.1438,,,,,定期报告,2020-08-20,,300498,2020-06-30,,,,,152936.0018,,,637381.1456,,,,,,484445.1438,152933.3618,152933.3618,015019
温氏股份,温氏食品集团股份有限公司,,,,,,0.0,0.0,2.64,153648.4857,,2.64,,,,,483697.8983,,,,,股份回购,2020-09-08,,300498,2020-09-07,,,,,153648.4857,,,637346.384,,,,,,483697.8983,153645.8457,153645.8457,015016
温氏股份,温氏食品集团股份有限公司,,,,,,,,2.64,153369.1146,,2.64,,,,,483977.2694,,,,,定期报告,2021-04-22,,300498,2020-12-31,,,,,153369.1146,,,637346.384,,,,,,483977.2694,153366.4746,153366.4746,015019
温氏股份,温氏食品集团股份有限公司,,,,,,,,2.64,154796.4685,,2.64,,,,,482549.9155,,,,,定期报告,2021-08-19,,300498,2021-06-30,,,,,154796.4685,,,637346.384,,,,,,482549.9155,154793.8285,154793.8285,015019
温氏股份,温氏食品集团股份有限公司,,,,,,0.0,0.0,2.64,152255.8436,,2.64,,,,,482923.3636,,,,,股份回购,2021-09-02,,300498,2021-09-01,,,,,152255.8436,,,635179.2072,,,,,,482923.3636,152253.2036,152253.2036,015016
温氏股份,温氏食品集团股份有限公司,,,,,,0.0,0.0,2.64,162290.7962,,2.64,,,,,472890.6382,,,,,"定期报告,可转债转股",2022-04-16,,300498,2021-12-31,,,,,162290.7962,,,635181.4344,,,,,,472890.6382,162288.1562,162288.1562,"015019,015012"
温氏股份,温氏食品集团股份有限公司,,,,,,0.0,0.0,2.64,161865.7743,,2.64,,,,,473317.048,,,,,可转债转股,2022-04-06,,300498,2022-03-31,,,,,161865.7743,,,635182.8223,,,,,,473317.048,161863.1343,161863.1343,015012
温氏股份,温氏食品集团股份有限公司,,,,,0.0,0.0,0.0,2.64,161865.7743,,2.64,,,,,473317.4957,,,,,可转债转股,2022-06-02,,300498,2022-05-31,,,,,161865.7743,,,635183.27,,,,,,473317.4957,161863.1343,161863.1343,015012
温氏股份,温氏食品集团股份有限公司,,,,,,0.0,0.0,2.64,162259.3243,,2.64,,,,,483457.4556,,,,,"增发新股上市,股权激励",2022-06-17,,300498,2022-06-20,,,,,162259.3243,,,645716.7799,,,,,,483457.4556,162256.6843,162256.6843,"015004,015025"
