日期,收盘价
2022-03-28,50.63
2022-03-29,52.86
2022-03-30,53.23
2022-03-31,52.78
2022-04-01,53.30
2022-04-06,52.03
2022-04-07,50.23
2022-04-08,49.86
2022-04-11,50.77
2022-04-12,51.24
2022-04-13,49.70
2022-04-14,49.43
2022-04-15,48.68
2022-04-18,50.99
2022-04-19,53.33
2022-04-20,53.03
2022-04-21,51.96
2022-04-22,51.05
2022-04-25,49.16
2022-04-26,47.44
2022-04-27,50.61
2022-04-28,49.85
2022-04-29,48.48
2022-05-05,48.49
2022-05-06,47.71
2022-05-09,47.80
2022-05-10,47.93
2022-05-11,47.81
2022-05-12,46.70
2022-05-13,45.74
2022-05-16,47.61
2022-05-17,47.02
2022-05-18,46.36
2022-05-19,45.09
2022-05-20,45.25
2022-05-23,46.26
2022-05-24,45.06
2022-05-25,46.57
2022-05-26,46.28
2022-05-27,45.77
2022-05-30,45.62
2022-05-31,47.51
2022-06-01,46.55
2022-06-02,46.36
2022-06-06,45.81
2022-06-07,46.83
2022-06-08,46.76
2022-06-09,48.31
2022-06-10,48.12
2022-06-13,49.99
2022-06-14,50.65
2022-06-15,50.02
2022-06-16,51.27
2022-06-17,51.17
2022-06-20,52.17
2022-06-21,52.05
2022-06-22,53.40
2022-06-23,53.44
2022-06-24,53.08
2022-06-27,54.65
2022-06-28,54.39
2022-06-29,51.18
2022-06-30,51.56
2022-07-01,52.23
2022-07-04,57.45
2022-07-05,59.24
2022-07-06,57.08
2022-07-07,58.10
2022-07-08,58.62
2022-07-11,60.76
2022-07-12,59.24
2022-07-13,59.60
2022-07-14,59.29
2022-07-15,58.30
2022-07-18,57.93
2022-07-19,57.57
2022-07-20,55.90
2022-07-21,55.84
2022-07-22,54.85
2022-07-25,54.12
2022-07-26,54.22
2022-07-27,54.15
2022-07-28,54.29
2022-07-29,55.60
2022-08-01,54.82
2022-08-02,54.17
2022-08-03,52.91
2022-08-04,54.06
2022-08-05,54.49
2022-08-08,53.98
2022-08-09,52.40
2022-08-10,52.01
2022-08-11,52.47
2022-08-12,52.01
2022-08-15,52.20
2022-08-16,53.54
2022-08-17,53.73
2022-08-18,51.91
2022-08-19,54.37
2022-08-22,54.86
2022-08-23,55.12
2022-08-24,55.26
2022-08-25,55.63
2022-08-26,55.04
2022-08-29,54.85
2022-08-30,55.19
2022-08-31,54.68
2022-09-01,54.76
2022-09-02,55.04
2022-09-05,56.03
2022-09-06,55.74
2022-09-07,54.68
2022-09-08,54.48
2022-09-09,54.57
2022-09-13,56.55
2022-09-14,56.43
2022-09-15,55.40
2022-09-16,54.94
2022-09-19,56.00
2022-09-20,54.93
2022-09-21,52.79
2022-09-22,52.43
2022-09-23,52.05
2022-09-26,50.23
2022-09-27,51.24
2022-09-28,51.02
2022-09-29,50.76
2022-09-30,50.86
2022-10-10,54.15
2022-10-11,54.35
2022-10-12,54.93
2022-10-13,54.95
2022-10-14,54.53
2022-10-17,54.37
2022-10-18,54.76
2022-10-19,52.80
2022-10-20,52.27
2022-10-21,52.16
2022-10-24,50.65
2022-10-25,50.57
2022-10-26,47.33
2022-10-27,46.18
2022-10-28,44.34
2022-10-31,43.64
2022-11-01,45.22
2022-11-02,45.01
2022-11-03,44.40
2022-11-04,45.43
2022-11-07,46.27
2022-11-08,45.57
2022-11-09,44.87
2022-11-10,45.03
2022-11-11,45.39
2022-11-14,45.06
2022-11-15,45.42
2022-11-16,45.10
2022-11-17,44.90
2022-11-18,44.03
2022-11-21,43.96
2022-11-22,43.65
2022-11-23,42.90
2022-11-24,42.84
2022-11-25,43.73
2022-11-28,43.10
2022-11-29,43.80
2022-11-30,44.84
2022-12-01,44.85
2022-12-02,45.62
2022-12-05,45.93
2022-12-06,46.41
2022-12-07,46.60
2022-12-08,45.42
2022-12-09,45.51
2022-12-12,44.89
2022-12-13,45.78
2022-12-14,45.90
2022-12-15,45.27
2022-12-16,45.10
2022-12-19,43.96
2022-12-20,43.14
2022-12-21,43.96
2022-12-22,45.07
2022-12-23,44.67
2022-12-26,45.21
2022-12-27,45.76
2022-12-28,45.53
2022-12-29,44.96
2022-12-30,45.48
2023-01-03,44.25
2023-01-04,44.27
2023-01-05,44.51
2023-01-06,44.30
2023-01-09,45.42
2023-01-10,45.05
2023-01-11,45.19
2023-01-12,45.01
2023-01-13,46.08
2023-01-16,46.64
2023-01-17,46.11
2023-01-18,45.29
2023-01-19,44.77
2023-01-20,44.87
2023-01-30,44.92
2023-01-31,46.59
2023-02-01,47.11
2023-02-02,47.12
2023-02-03,46.75
2023-02-06,46.92
2023-02-07,46.32
2023-02-08,45.95
2023-02-09,46.09
2023-02-10,45.77
2023-02-13,45.89
2023-02-14,46.29
2023-02-15,45.33
2023-02-16,44.84
2023-02-17,44.71
2023-02-20,45.49
2023-02-21,46.09
2023-02-22,47.48
2023-02-23,47.01
2023-02-24,46.45
2023-02-27,46.00
2023-02-28,46.21
2023-03-01,46.81
2023-03-02,46.58
2023-03-03,46.42
2023-03-06,46.26
2023-03-07,45.18
2023-03-08,44.81
2023-03-09,44.65
2023-03-10,43.81
2023-03-13,44.70
2023-03-14,47.01
2023-03-15,47.01
2023-03-16,45.27
2023-03-17,44.74
2023-03-20,44.09
2023-03-21,44.36
2023-03-22,44.32
2023-03-23,44.28
2023-03-24,44.30
2023-03-27,45.23
2023-03-28,45.19
2023-03-29,44.47
2023-03-30,44.89
2023-03-31,45.71
2023-04-03,46.53
2023-04-04,47.26
2023-04-06,46.81
2023-04-07,46.11
2023-04-10,46.06
2023-04-11,45.80
2023-04-12,45.37
2023-04-13,45.20
2023-04-14,45.02
2023-04-17,45.41
2023-04-18,45.22
2023-04-19,45.02
2023-04-20,44.96
2023-04-21,44.56
2023-04-24,44.14
2023-04-25,44.53
2023-04-26,44.31
2023-04-27,44.47
2023-04-28,44.65
2023-05-04,43.93
2023-05-05,43.98
