代码,简称,公告标题,公告时间,公告链接
002714,牧原股份,关于选举职工代表董事的公告,2025-12-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224899316&orgId=9900022995&announcementTime=2025-12-26 00:00:00
002714,牧原股份,2025年第二次临时股东大会决议公告,2025-12-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224899314&orgId=9900022995&announcementTime=2025-12-26 00:00:00
002714,牧原股份,北京市康达律师事务所关于牧原食品股份有限公司2025年第二次临时股东大会的法律意见书,2025-12-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224899315&orgId=9900022995&announcementTime=2025-12-26 00:00:00
002714,牧原股份,关于股东部分股权解除质押的公告,2025-12-12 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224868632&orgId=9900022995&announcementTime=2025-12-12 00:00:00
002714,牧原股份,内部审计制度（2025年12月）,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224861274&orgId=9900022995&announcementTime=2025-12-10 00:00:00
002714,牧原股份,薪酬与考核委员会工作细则（草案）,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224861268&orgId=9900022995&announcementTime=2025-12-10 00:00:00
002714,牧原股份,内幕信息知情人登记管理制度（草案）,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224861269&orgId=9900022995&announcementTime=2025-12-10 00:00:00
002714,牧原股份,独立董事制度（草案）,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224861270&orgId=9900022995&announcementTime=2025-12-10 00:00:00
002714,牧原股份,董事会议事规则（草案）,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224861271&orgId=9900022995&announcementTime=2025-12-10 00:00:00
002714,牧原股份,公司章程（草案）,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002714&announcementId=1224861272&orgId=9900022995&announcementTime=2025-12-10 00:00:00
