日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-07-06,54.49,57.67,54.49,57.42,42249734.0,3649533274.0,2364559171.0,0.0179
2020-07-07,60.5,60.5,56.73,56.78,57938510.0,5165059230.0,2364559171.0,0.0245
2020-07-08,56.83,58.25,56.52,57.33,31073957.0,2724988595.0,2364559171.0,0.0131
2020-07-09,57.1,59.85,56.83,59.23,41785034.0,3748579925.0,2364559171.0,0.0177
2020-07-10,58.28,59.19,57.76,58.35,26177844.0,2339290566.0,2364559171.0,0.0111
2020-07-13,58.36,61.74,58.35,61.11,43289972.0,4021332852.0,2364559171.0,0.0183
2020-07-14,61.14,63.1,59.72,62.85,39087101.0,3673040837.0,2364559171.0,0.0165
2020-07-15,62.85,64.62,61.35,62.93,38230276.0,3724187273.0,2364559171.0,0.0162
2020-07-16,62.98,63.63,58.74,58.75,44169837.0,4104275179.0,2364559171.0,0.0187
2020-07-17,58.74,61.66,58.74,61.66,35943678.0,3340411161.0,2364559171.0,0.0152
2020-07-20,62.65,64.61,62.0,63.29,39552084.0,3836873362.0,2364559171.0,0.0167
2020-07-21,63.57,63.59,60.81,62.37,30572028.0,2909346351.0,2364559171.0,0.0129
2020-07-22,61.93,62.61,60.83,61.03,44130605.0,4161348348.0,2364559171.0,0.0187
2020-07-23,60.66,61.31,58.83,60.05,35762857.0,3278140647.0,2364559171.0,0.0151
2020-07-24,59.91,61.74,57.1,58.25,51648933.0,4721790523.0,2364559171.0,0.0218
2020-07-27,59.39,60.03,56.25,56.88,32953495.0,2914717594.0,2364559171.0,0.0139
2020-07-28,57.57,59.25,57.3,58.89,32752354.0,2936424168.0,2364559171.0,0.0139
2020-07-29,58.89,59.51,57.76,59.45,28614139.0,2583462977.0,2364559171.0,0.0121
2020-07-30,59.32,60.62,58.99,59.42,28025552.0,2569780886.0,2364559171.0,0.0119
2020-07-31,59.42,60.26,58.41,59.7,22571368.0,2055860630.0,2364559171.0,0.0095
2020-08-03,60.04,62.36,60.03,60.97,34159672.0,3198467204.0,2364559171.0,0.0144
2020-08-04,60.5,61.67,60.18,60.75,21940357.0,2046320363.0,2364559171.0,0.0093
2020-08-05,61.28,62.0,60.22,61.8,32457362.0,3059912100.0,2364559171.0,0.0137
2020-08-06,62.72,63.27,60.19,60.69,41197326.0,3900370081.0,2364559171.0,0.0174
2020-08-07,59.96,60.81,58.46,59.27,32275429.0,2929792091.0,2364559171.0,0.0136
2020-08-10,59.13,59.88,58.48,59.88,22594447.0,2053132668.0,2364559171.0,0.0096
2020-08-11,59.72,63.21,59.72,61.3,44673496.0,4244501728.0,2364559171.0,0.0189
2020-08-12,61.43,61.86,58.93,60.5,28045475.0,2572281287.0,2364559171.0,0.0119
2020-08-13,60.56,61.78,59.86,60.04,22344656.0,2079365873.0,2364559171.0,0.0094
2020-08-14,60.05,60.6,59.26,60.22,15588173.0,1430110534.0,2364559171.0,0.0066
2020-08-17,60.22,60.94,59.55,59.85,25594380.0,2351628973.0,2364559171.0,0.0108
2020-08-18,60.04,60.3,59.39,59.5,25737037.0,2353193819.0,2364559171.0,0.0109
2020-08-19,59.58,59.78,58.46,58.48,23453781.0,2118384100.0,2364559171.0,0.0099
2020-08-20,58.44,59.06,57.45,58.61,16295026.0,1456059756.0,2364559171.0,0.0069
2020-08-21,58.82,59.05,58.12,58.57,17774561.0,1596048791.0,2364559171.0,0.0075
2020-08-24,59.08,59.88,58.93,59.19,24093160.0,2195528970.0,2364559171.0,0.0102
2020-08-25,59.4,59.6,58.8,58.87,13241530.0,1198877073.0,2364559171.0,0.0056
2020-08-26,59.38,59.58,57.76,58.21,19760248.0,1766293170.0,2364559171.0,0.0084
2020-08-27,58.18,58.18,57.2,57.82,14764282.0,1304413147.0,2364559171.0,0.0062
2020-08-28,57.82,58.72,57.67,58.56,20744293.0,1852130165.0,2364559171.0,0.0088
2020-08-31,57.16,57.93,55.78,57.3,35655671.0,3111943875.0,2364637278.0,0.0151
2020-09-01,57.24,58.06,56.91,58.03,18138507.0,1598337699.0,2364637278.0,0.0077
2020-09-02,58.29,60.69,58.08,58.27,38936972.0,3539877028.0,2364637278.0,0.0165
2020-09-03,58.21,58.21,57.06,57.45,25418772.0,2236557989.0,2494965398.0,0.0102
2020-09-04,56.46,57.34,56.13,57.07,18156222.0,1580941517.0,2494965398.0,0.0073
2020-09-07,56.78,57.42,53.52,54.05,40360191.0,3409856662.0,2494965398.0,0.0162
2020-09-08,54.05,54.59,52.92,54.02,27806171.0,2283468466.0,2494965398.0,0.0111
2020-09-09,53.45,53.45,51.62,51.82,26177983.0,2096835132.0,2494965398.0,0.0105
2020-09-10,52.86,53.29,51.43,51.69,18406054.0,1475235895.0,2494965398.0,0.0074
2020-09-11,52.21,52.5,50.57,51.11,21102463.0,1655431033.0,2494965398.0,0.0085
2020-09-14,51.88,52.73,50.47,50.99,22075933.0,1738437005.0,2494965398.0,0.0088
2020-09-15,51.04,51.49,50.3,51.37,14757215.0,1153294877.0,2494965398.0,0.0059
2020-09-16,51.03,51.26,47.5,49.24,44631381.0,3364636231.0,2494965398.0,0.0179
2020-09-17,48.95,49.03,47.39,48.35,29568516.0,2178983090.0,2494965398.0,0.0119
2020-09-18,48.29,49.7,48.17,49.14,22895280.0,1720045060.0,2494965398.0,0.0092
2020-09-21,49.14,49.15,47.67,48.18,18643937.0,1377837219.0,2494965398.0,0.0075
2020-09-22,48.29,48.68,47.43,47.58,18143139.0,1335641031.0,2494965398.0,0.0073
2020-09-23,47.58,48.87,47.42,48.63,18579733.0,1376558181.0,2494965398.0,0.0074
2020-09-24,48.56,48.84,47.85,48.11,18579391.0,1371633592.0,2494965398.0,0.0074
2020-09-25,48.42,48.98,48.01,48.26,20014975.0,1487818875.0,2494965398.0,0.008
2020-09-28,48.42,48.55,46.02,46.12,24519138.0,1765242185.0,2494965398.0,0.0098
2020-09-29,47.27,48.48,46.43,48.29,24499956.0,1798383308.0,2494965398.0,0.0098
2020-09-30,48.48,49.06,47.75,48.29,18769960.0,1391978613.0,2494965398.0,0.0075
2020-10-09,48.94,48.94,47.0,47.37,24727431.0,1797825607.0,2494965398.0,0.0099
2020-10-12,47.62,49.77,47.34,49.49,40522372.0,3034647045.0,2494965398.0,0.0162
2020-10-13,49.59,53.44,48.96,53.09,39259229.0,3077153005.0,2494965398.0,0.0157
2020-10-14,52.54,52.92,50.79,50.9,35553019.0,2804885879.0,2494965398.0,0.0142
2020-10-15,50.58,50.62,49.2,49.8,22013251.0,1677991921.0,2494965398.0,0.0088
2020-10-16,49.92,50.01,48.84,49.11,14289975.0,1079374858.0,2494965398.0,0.0057
2020-10-19,49.34,50.12,48.18,48.42,17528390.0,1320570307.0,2494965398.0,0.007
2020-10-20,48.62,49.03,47.86,48.88,14611152.0,1084726985.0,2494965398.0,0.0059
2020-10-21,48.88,48.89,47.56,47.67,17401408.0,1277143606.0,2494965398.0,0.007
2020-10-22,47.71,47.87,46.35,46.49,19946026.0,1432381013.0,2494965398.0,0.008
2020-10-23,46.34,46.62,44.97,45.04,21884957.0,1531392217.0,2494965398.0,0.0088
2020-10-26,45.04,46.39,44.16,45.98,14116652.0,984452163.0,2494965398.0,0.0057
2020-10-27,45.97,46.72,45.75,46.59,13073251.0,929749061.0,2494965398.0,0.0052
2020-10-28,46.72,47.05,45.91,45.91,14196542.0,1010530734.0,2494965398.0,0.0057
2020-10-29,45.43,47.51,45.1,46.99,18075166.0,1285493590.0,2494965398.0,0.0072
2020-10-30,46.92,47.51,46.21,46.26,14544999.0,1039435102.0,2494965398.0,0.0058
2020-11-02,46.41,47.8,46.4,46.92,17461230.0,1260395215.0,2494965398.0,0.007
2020-11-03,47.03,47.5,46.48,46.75,13246336.0,952047261.0,2494965398.0,0.0053
2020-11-04,46.6,47.25,46.01,46.43,12626154.0,900426762.0,2494965398.0,0.0051
2020-11-05,46.51,47.37,46.44,46.92,13228664.0,950215844.0,2494965398.0,0.0053
2020-11-06,47.22,47.22,45.49,46.11,17787267.0,1251624681.0,2494965398.0,0.0071
2020-11-09,46.01,47.16,45.65,46.76,21999974.0,1576070018.0,2494965398.0,0.0088
2020-11-10,46.78,46.91,45.93,46.23,14944557.0,1058579878.0,2494965398.0,0.006
2020-11-11,45.95,46.58,45.85,45.99,12315162.0,870277207.0,2494965398.0,0.0049
2020-11-12,45.86,45.96,44.19,44.45,24504099.0,1676342338.0,2494965398.0,0.0098
2020-11-13,44.46,45.88,44.2,45.74,18994865.0,1307808637.0,2494965398.0,0.0076
2020-11-16,46.09,47.61,45.56,47.53,30755116.0,2211479389.0,2494965398.0,0.0123
2020-11-17,47.36,48.02,46.86,47.22,17819052.0,1292413878.0,2494965398.0,0.0071
2020-11-18,47.32,47.61,46.53,47.38,14800027.0,1067248647.0,2494965398.0,0.0059
2020-11-19,47.57,49.78,47.12,49.07,31124380.0,2332128758.0,2494965398.0,0.0125
2020-11-20,48.82,48.95,46.99,47.62,23960894.0,1753206151.0,2494965398.0,0.0096
2020-11-23,47.45,47.46,46.39,46.99,17364958.0,1246510662.0,2494965398.0,0.007
2020-11-24,46.66,47.97,46.47,47.26,11880109.0,860268030.0,2494965398.0,0.0048
2020-11-25,47.28,47.77,46.98,47.37,9717430.0,705069507.0,2494965398.0,0.0039
2020-11-26,47.71,49.14,47.5,48.95,27518703.0,2048190090.0,2494965398.0,0.011
2020-11-27,49.85,51.55,49.85,50.37,33572336.0,2603226472.0,2494965398.0,0.0135
2020-11-30,51.23,51.47,50.25,50.25,26342864.0,2051504746.0,2494965398.0,0.0106
2020-12-01,50.25,51.35,50.19,51.07,17416718.0,1359158157.0,2494965398.0,0.007
2020-12-02,51.49,52.18,50.93,51.7,16642933.0,1313687203.0,2494965398.0,0.0067
2020-12-03,52.02,52.07,50.98,51.6,16656550.0,1315903318.0,2494965398.0,0.0067
2020-12-04,51.49,51.86,50.5,51.0,15471856.0,1208885492.0,2494965398.0,0.0062
2020-12-07,50.82,51.43,50.18,51.41,22916815.0,1783837181.0,2494965398.0,0.0092
2020-12-08,51.52,51.88,51.04,51.05,19710641.0,1553922120.0,2494965398.0,0.0079
2020-12-09,51.23,51.55,49.85,49.98,18184645.0,1411091598.0,2494965398.0,0.0073
2020-12-10,49.83,50.21,48.95,48.95,16442484.0,1247096928.0,2494965398.0,0.0066
2020-12-11,49.01,49.2,47.45,48.1,24273389.0,1790273055.0,2494965398.0,0.0097
2020-12-14,48.95,49.27,47.82,48.85,18954333.0,1412908943.0,2494965398.0,0.0076
2020-12-15,48.94,49.23,48.2,48.99,15140104.0,1133409377.0,2494965398.0,0.0061
2020-12-16,49.01,49.31,48.07,48.64,13812238.0,1029189109.0,2494965398.0,0.0055
