日期,收盘价
2024-12-12,12.77
2024-12-13,12.56
2024-12-16,12.34
2024-12-17,12.42
2024-12-18,12.41
2024-12-19,12.44
2024-12-20,12.36
2024-12-23,12.26
2024-12-24,12.37
2024-12-25,12.45
2024-12-26,12.58
2024-12-27,12.54
2024-12-30,12.73
2024-12-31,12.48
2025-01-02,12.11
2025-01-03,11.98
2025-01-06,11.99
2025-01-07,12.01
2025-01-08,11.90
2025-01-09,11.85
2025-01-10,11.73
2025-01-13,11.71
2025-01-14,12.04
2025-01-15,12.03
2025-01-16,12.04
2025-01-17,12.00
2025-01-20,11.85
2025-01-21,11.74
2025-01-22,11.69
2025-01-23,11.69
2025-01-24,11.80
2025-01-27,11.72
2025-02-05,11.75
2025-02-06,11.81
2025-02-07,12.16
2025-02-10,12.09
2025-02-11,11.97
2025-02-12,12.03
2025-02-13,11.95
2025-02-14,12.00
2025-02-17,12.12
2025-02-18,12.08
2025-02-19,12.07
2025-02-20,11.96
2025-02-21,11.97
2025-02-24,11.87
2025-02-25,11.77
2025-02-26,12.04
2025-02-27,11.94
2025-02-28,11.83
2025-03-03,11.91
2025-03-04,11.86
2025-03-05,11.93
2025-03-06,12.10
2025-03-07,11.98
2025-03-10,11.97
2025-03-11,12.01
2025-03-12,12.13
2025-03-13,12.35
2025-03-14,12.37
2025-03-17,12.38
2025-03-18,12.52
2025-03-19,12.52
2025-03-20,12.33
2025-03-21,12.24
2025-03-24,12.25
2025-03-25,12.29
2025-03-26,12.38
2025-03-27,12.20
2025-03-28,12.03
2025-03-31,11.78
2025-04-01,11.79
2025-04-02,11.82
2025-04-03,11.82
2025-04-07,10.91
2025-04-08,11.32
2025-04-09,11.41
2025-04-10,11.46
2025-04-11,11.33
2025-04-14,11.28
2025-04-15,11.22
2025-04-16,11.49
2025-04-17,11.44
2025-04-18,11.35
2025-04-21,11.35
2025-04-22,11.46
2025-04-23,11.38
2025-04-24,11.34
2025-04-25,11.35
2025-04-28,11.31
2025-04-29,11.28
2025-04-30,11.30
2025-05-06,11.43
2025-05-07,11.47
2025-05-08,11.48
2025-05-09,11.39
2025-05-12,11.50
2025-05-13,11.72
2025-05-14,11.74
2025-05-15,11.63
2025-05-16,11.67
2025-05-19,11.69
2025-05-20,11.66
2025-05-21,11.66
2025-05-22,11.59
2025-05-23,11.48
2025-05-26,11.47
2025-05-27,11.43
2025-05-28,11.38
2025-05-29,11.46
2025-05-30,11.38
2025-06-03,11.45
2025-06-04,11.47
2025-06-05,11.48
2025-06-06,11.47
2025-06-09,11.48
2025-06-10,11.39
2025-06-11,11.46
2025-06-12,11.48
2025-06-13,11.41
2025-06-16,11.42
2025-06-17,11.47
2025-06-18,11.44
2025-06-19,11.28
2025-06-20,11.23
2025-06-23,11.29
2025-06-24,11.44
2025-06-25,11.52
2025-06-26,11.48
2025-06-27,11.64
2025-06-30,11.69
2025-07-01,11.68
2025-07-02,12.04
2025-07-03,11.89
2025-07-04,11.93
2025-07-07,11.99
2025-07-08,12.35
2025-07-09,12.21
2025-07-10,12.20
2025-07-11,12.20
2025-07-14,12.27
2025-07-15,12.18
2025-07-16,12.15
2025-07-17,12.26
2025-07-18,12.30
2025-07-21,13.13
2025-07-22,14.44
2025-07-23,14.25
2025-07-24,14.39
2025-07-25,14.03
2025-07-28,13.84
2025-07-29,14.02
2025-07-30,13.84
2025-07-31,13.51
2025-08-01,13.40
2025-08-04,13.33
2025-08-05,13.35
2025-08-06,13.40
2025-08-07,13.42
2025-08-08,13.56
2025-08-11,13.89
2025-08-12,13.66
2025-08-13,13.63
2025-08-14,13.36
2025-08-15,13.52
2025-08-18,13.60
2025-08-19,13.40
2025-08-20,13.47
2025-08-21,14.22
2025-08-22,14.22
2025-08-25,14.43
2025-08-26,14.54
2025-08-27,14.09
2025-08-28,14.21
2025-08-29,14.16
2025-09-01,14.72
2025-09-02,14.34
2025-09-03,14.43
2025-09-04,14.17
2025-09-05,15.07
2025-09-08,15.09
2025-09-09,14.75
2025-09-10,14.51
2025-09-11,14.90
2025-09-12,14.83
2025-09-15,14.86
2025-09-16,14.68
2025-09-17,16.15
2025-09-18,15.77
2025-09-19,16.38
2025-09-22,16.10
2025-09-23,16.32
2025-09-24,16.20
2025-09-25,16.22
2025-09-26,16.19
2025-09-29,16.95
2025-09-30,17.80
2025-10-09,19.58
2025-10-10,19.63
2025-10-13,19.71
2025-10-14,20.08
2025-10-15,19.87
2025-10-16,20.07
2025-10-17,18.89
2025-10-20,19.27
2025-10-21,19.87
2025-10-22,18.99
2025-10-23,18.82
2025-10-24,19.00
2025-10-27,19.50
2025-10-28,19.19
2025-10-29,20.90
2025-10-30,20.75
2025-10-31,19.58
2025-11-03,21.54
2025-11-04,21.92
2025-11-05,24.11
2025-11-06,25.44
2025-11-07,26.50
2025-11-10,26.35
2025-11-11,25.27
2025-11-12,24.41
2025-11-13,24.94
2025-11-14,23.66
2025-11-17,23.20
2025-11-18,22.79
2025-11-19,23.03
2025-11-20,23.21
2025-11-21,21.42
2025-11-24,21.52
2025-11-25,22.07
2025-11-26,21.88
2025-11-27,21.38
2025-11-28,21.80
2025-12-01,22.23
2025-12-02,21.76
2025-12-03,21.52
2025-12-04,21.50
2025-12-05,21.99
2025-12-08,22.16
2025-12-09,22.40
2025-12-10,21.98
2025-12-11,22.34
2025-12-12,23.81
