代码,简称,公告标题,公告时间,公告链接
600089,特变电工,特变电工股份有限公司章程,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874650&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司股东会议事规则,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874625&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司关于召开2025年第六次临时股东大会的通知,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874579&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司独立董事工作制度,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874589&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司2025年第六次临时监事会会议决议公告,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874612&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司董事会议事规则,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874614&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司关于修订《公司章程》的公告,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874619&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司董事会薪酬与考核委员会实施细则,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874616&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司2025年第十二次临时董事会会议决议公告,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874632&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司董事会提名委员会实施细则,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874634&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司使用阶段性沉淀资金进行委托理财的公告,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874635&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司董事会审计委员会实施细则,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874636&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司董事会战略与可持续发展委员会实施细则,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874637&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司与新疆特变电工集团有限公司2026年度日常关联交易的公告,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874639&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,特变电工股份有限公司开展套期保值及远期外汇交易业务的公告,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224874641&orgId=gssh0600089&announcementTime=2025-12-13 00:00:00
600089,特变电工,新疆天阳律师事务所关于特变电工股份有限公司2025年第五次临时股东大会法律意见书,2025-12-11 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224865817&orgId=gssh0600089&announcementTime=2025-12-11 00:00:00
600089,特变电工,特变电工股份有限公司2025年第五次临时股东大会决议公告,2025-12-11 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224865807&orgId=gssh0600089&announcementTime=2025-12-11 00:00:00
600089,特变电工,特变电工股份有限公司2025年第五次临时股东大会会议资料,2025-12-04 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224846537&orgId=gssh0600089&announcementTime=2025-12-04 00:00:00
600089,特变电工,关于“特变电工应收账款2期资产支持专项计划（科技创新）”成立的公告,2025-12-03 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224843565&orgId=gssh0600089&announcementTime=2025-12-03 00:00:00
600089,特变电工,特变电工股份有限公司2025年第十一次临时董事会会议决议公告,2025-11-25 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224822823&orgId=gssh0600089&announcementTime=2025-11-25 00:00:00
600089,特变电工,特变电工股份有限公司关于公司董事、高级管理人员辞职暨聘任高级管理人员、推荐董事候选人的公告,2025-11-25 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600089&announcementId=1224822837&orgId=gssh0600089&announcementTime=2025-11-25 00:00:00
