SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
600089.SH,600089,特变电工,10002313,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,81535907075.19,,,,,,,,67035997.85,,,,1370080764.72,4243231513.04,,0.0,87216255350.8,64992590545.6,,17186557.53,,795966.15,,6080785658.03,5176085093.8,4838113827.63,,0.0,81105557648.74,,0.0,6110697702.06,9508394060.9,101322295.02,414222972.6,167945934.68,,1147798525.93,,0.0,11339683789.13,13377747895.44,10222367053.18,,,,1606828859.4,,0.0,25206943808.02,,0.0,-13867260018.89,4165000000.0,2165000000.0,13857438251.33,1000000000.0,2312057033.74,,0.0,21334495285.07,8790133593.6,2519229985.38,277515495.55,,2112254528.31,,,0.0,13421618107.29,,0.0,7912877177.78,-109534707.83,,0.0,46780153.12,21546975355.67,,0.0,21593755508.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1361179563,,,,,,,,11.2281403749,,,,-8.2926565082,49.7916873861,,,10.2645420019,10.5711902091,,134.060810332,,103.2531981182,,13.2030214633,7.0540436396,75.9063922027,,,13.1402202316,,,-17.550087721,385.1221459643,17.1808993727,204.9922494086,1.6089054416,,73.7802480904,,,276.9771582266,8.5551026274,362.1277184395,,,,-70.9216365417,,,25.6493380193,,,18.6827704816,22.9486981096,229.8540611365,-23.3708799962,0.0,53.5212282478,,,-11.0224282438,-30.7970490299,0.984624612,-20.3350749817,,4.7876165907,,,,-22.0234554088,,,16.9677648573,14.3417064422,,,101.5568745755,0.9408538488,,,17.7323721817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600089.SH,600089,特变电工,10002313,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,56095409526.83,,,,,,,,38775030.28,,,,734655788.73,1669811116.69,,0.0,58538651462.53,43592045532.79,,5243090.15,,714902.89,,4024331162.09,3793057677.37,2486487886.76,,0.0,53901880252.05,,0.0,4636771210.48,8935511545.3,22912872.51,326208073.62,136919569.65,,549509543.71,,0.0,9971061604.79,9740525536.21,7066939038.19,,45139348.47,,855372848.28,,0.0,17707976771.15,,0.0,-7736915166.36,4033000000.0,2033000000.0,8969618122.27,,2071145717.67,,0.0,15073763839.94,5534607243.87,938782405.9,261886696.19,,1513307610.31,,,0.0,7986697260.08,,0.0,7087066579.86,-44317359.33,,0.0,3942605264.65,21525260751.15,,0.0,25467866015.8,3404634924.97,305351407.08,2912814361.14,2912814361.14,,378220594.24,68942822.21,,,,-11300196.17,1256718.31,-311456760.74,774348529.85,-211507790.64,-38712916.98,-36918026.45,-1794890.53,,-2619730270.3,-3696763525.8,3762129030.55,,,0.0,4636771210.48,,,,,25467866015.8,21525260751.15,,,,,3942605264.65,12.3156448006,,,,,,,,-12.6633573836,,,,116.8005226458,19.4589169284,,,13.1717402303,16.4621518303,,119.6942927004,,147.3977625698,,11.3316666556,16.6231046736,15.5705073541,,,16.1115133994,,,-12.5631027036,1075.7252033289,-56.0045755074,167.5461482477,1.8395970733,,33.8627934669,,,574.1966855591,30.1553237227,35234.69519095,,,,-59.6218928159,,,84.0329397824,,,4.9895263124,75.0393065617,256.8463419301,-19.0277041551,,153.2776195829,,,-0.8251681829,-45.8079882281,-12.2503513077,-21.2897406114,,-21.1815177222,,,,-39.5075049878,,,254.993672739,-22.0792047254,,,547.9511759821,0.8391277046,,,24.4398951806,4.0501657247,-68.8806071062,14.5555624864,14.5555624864,,6.1867539841,18.1421404314,,,,77.4188046929,-81.6884624725,-337.6131651106,1.5758934806,-13177.5978662005,91.2629509614,91.429880874,85.422848086,,-188.8797502697,36.7880903951,-13.2816605102,,,,-12.5631027036,,,,,24.4398951806,0.8391277046,,,,,547.9511759821,,,,,16724433.41,-19.1073267174
600089.SH,600089,特变电工,10002313,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-22 00:00:00,2025-04-22 00:00:00,CNY,25215435165.05,,,,,,,,21265931.87,,,,389108208.11,2057516417.85,,0.0,27683325722.88,21279746518.6,,-59057603.88,,159210.35,,2212021587.36,1744367704.23,1452777524.55,,0.0,26630014941.21,,0.0,1053310781.67,3988059902.3,1487319.3,216951771.02,112027830.73,,1062006787.9,,0.0,5380533611.25,4439281593.73,194567151.38,,,,3435143953.83,,0.0,8068992698.94,,0.0,-2688459087.69,,,3846178573.43,,94411704.43,,0.0,3940590277.86,2049343227.4,308048635.59,,,137148434.7,,,0.0,2494540297.69,,0.0,1446049980.17,-35705910.47,,0.0,-224804236.32,21510851829.46,,0.0,21286047593.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5911217206,,,,,,,,2.6259323987,,,,259.0670826512,55.2206710451,,,12.1910592206,22.3594739562,,22.8292246565,,95.938057078,,11.631327945,11.7104343329,9.9333092946,,,20.0670684048,,,-57.7980039268,424.7447239868,-86.0894024737,101.2069622599,209.9092263528,,435.0690494796,,,383.3627562523,21.6114475757,,,,,341.0034948592,,,82.1722935509,,,18.9288721446,,,-8.2977324054,,-40.7341942116,,,-32.6952283042,-47.7472658302,-35.6040346357,,,-87.3468949772,,,,-54.514554256,,,290.2074712429,10.662604829,,,54.0913048171,0.8851982679,,,2.1774486794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600089.SH,600089,特变电工,10002313,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-22 00:00:00,2025-04-22 00:00:00,CNY,106524612142.19,13054774.11,,,,,,,81040031.05,,,,1513230035.39,3316501747.59,,0.0,111448438730.33,78725013548.2,,,,570479.49,,7595928425.59,6113975475.06,6063695184.73,,0.0,98499183113.07,,0.0,12949255617.26,5069237608.95,204603404.23,226565829.76,1554973874.19,,331013112.6,,0.0,7386393829.73,16957377752.13,5600337522.9,,165299916.14,,66139107.16,,0.0,22789154298.33,,0.0,-15402760468.6,3160341899.0,659000500.0,23343819386.29,997400000.0,2224315871.53,,0.0,29725877156.82,18302879076.16,3016089403.11,608131987.84,,5715183493.27,,,0.0,27034151972.54,,0.0,2691725184.28,-49477394.37,,0.0,188742938.57,21322108890.88,,0.0,21510851829.45,3597920283.7,3559644495.42,5042847375.26,5042847375.26,,738907071.47,121741438.82,,,,-156706413.06,35200514.53,188066328.16,1327148426.47,-748192226.56,-601060421.41,-645618697.21,44558275.8,,-2196757380.61,-2570392142.34,4197215327.57,359130537.82,,0.0,12949255617.26,,,,,21510851829.45,21322108890.88,,,,,188742938.57,-2.4238987946,-60.4662563219,,,,,,,-0.3534955563,,,,67.6157038944,-4.9824822962,,,-1.9616052592,15.8696050393,,,,63.7749581699,,17.0662544405,-29.3916592429,26.9724628799,,,12.1012287992,,,-49.8325687206,91.6113980521,2.7224113398,2020.0750763123,393.6643380584,,177.0744229347,,,124.5170461405,-10.2964170775,234.5227418544,,-56.878470231,,35.2311884906,,,8.4672962104,,,13.0782396681,103.4816123966,6797.0362233324,-19.0464331248,-28.2884051396,42.8262365272,,,-10.8332502635,-15.2614317404,-54.3251491122,-15.9514163423,,39.8834147733,,,,-16.2726043467,,,156.5741808658,-7743.9399914784,,,-97.9353328412,75.0505820553,,,0.8851982678,-74.4702267564,122.3936862023,20.8214285229,20.8214285229,,5.3787876535,-13.2307337303,,,,-441.1862673857,-17.1156473577,750.697064163,6.2918871752,-364.1555653463,-173.2512634169,-464.3553293114,142.2085776547,,-221.4527334393,-176.8494297078,152.3074159114,0.0142361348,,,-49.8325687206,,,,,0.8851982678,75.0505820553,,,,,-97.9353328412,标准无保留意见,,,,41063604.0,57.0536849074
600089.SH,600089,特变电工,10002313,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-31 00:00:00,CNY,74710287118.55,,,,,,,,60268919.02,,,,1493970616.26,2832754999.35,,0.0,79097281653.18,58778955370.49,,-50458451.7,,391613.1,,5371575404.46,4835020628.67,2750391141.02,,0.0,71685875706.04,,0.0,7411405947.14,1960000000.0,86466562.01,135814261.97,165286629.11,,660488483.9,,0.0,3008055936.99,12323462989.44,2212022054.79,,,,5525857263.95,,0.0,20061342308.18,,0.0,-17053286371.19,3387591787.5,656350870.0,18083775790.0,1000000000.0,1506017806.22,,0.0,23977385383.72,12701963529.56,2494666881.28,348353425.91,,2015748231.55,,,0.0,17212378642.39,,0.0,6765006741.33,-127874025.13,,0.0,-3004747707.85,21346139381.73,,0.0,18341391673.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0494090997,,,,,,,,-2.073848408,,,,66.5719518166,15.5459617484,,,-2.6774730006,18.5540152672,,43.7906651321,,59.1539131045,,10.7014899943,-30.7221605385,-29.0586597771,,,9.9496101672,,,-53.8934223536,-11.0184033506,-79.1163756534,103.4957330365,-26.0201021751,,123.1070401205,,,-6.0846938347,3.6220274025,0.6322662155,,,,500.5915651762,,,33.6399511811,,,-44.4148532738,138.826757477,-52.103060223,-22.323795791,,-41.2835699438,,,-12.0557561629,0.1615062631,-60.1047455589,7.1138335754,,-8.4319232098,,,,-18.5632634846,,,10.387564398,-390.6076861943,,,-128.7855623966,75.0224301618,,,-18.967513109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600089.SH,600089,特变电工,10002313,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-30 00:00:00,CNY,49944430828.31,,,,,,,,44397207.31,,,,338862554.28,1397812034.15,,0.0,51725502624.05,37430225053.99,,-26622383.6,,288969.02,,3614722821.44,3252406706.19,2151489981.04,,0.0,46422511148.08,,0.0,5302991475.97,760000000.0,52080126.0,121925909.14,134446299.46,,410502074.16,,0.0,1478954408.76,7483770358.07,20000000.0,,,,2118407493.4,,0.0,9622177851.47,,0.0,-8143223442.71,2304053917.5,569713000.0,11077391382.67,1000000000.0,817737359.14,,0.0,15199182659.31,10212957708.91,1069841782.72,332722440.79,,1919990802.38,,,0.0,13202790294.01,,0.0,1996392365.3,-36302136.33,,0.0,-880141737.77,21346139381.73,,0.0,20465997643.96,3272109084.36,981225463.24,2542708793.81,2542708793.81,,356184345.08,58355826.26,,,,-50042506.68,6862986.29,131077232.44,762334943.18,1617329.06,-443089157.55,-430776117.66,-12313039.89,,-906858396.22,-5848207321.86,4338331490.99,,,0.0,5302991475.97,,,,,20465997643.96,21346139381.73,,,,,-880141737.77,-3.1570406593,,,,,,,,14.8409103457,,,,-15.7281979923,17.2366033779,,,-2.7819642137,20.3095245287,,61.422732004,,,,15.2239527715,-38.5228228572,32.9451088006,,,12.9818104368,,,-56.2357726983,-36.777522931,-85.4354626465,92.3573741895,1.6109066098,,145.7825261914,,,-23.0674584381,-7.4406716901,-98.8859754622,,,,1068.3759702041,,,-4.3709440136,,,-0.0447961181,5166.212387943,6167.5482602553,14.9665675612,,-49.8878095831,,,34.376655902,65.7308259395,-16.8192957114,6415.5214915177,,105.7175856719,,,,57.5163036092,,,-31.8410358156,-141.4817350115,,,-112.5839823115,74.6734068447,,,6.5119468491,-68.490546394,71.0987682947,26.057070623,26.057070623,,1.6798935746,-12.7738269739,,,,-1324.8703727268,-43.2217202632,198.0854648797,8.3185565639,101.1470311115,-689.1844702673,-588.5639336931,5.0512826941,,61.6476537744,-573.7512930796,121.5504873026,,,,-56.2357726983,,,,,6.5119468491,74.6734068447,,,,,-112.5839823115,,,,,20674843.26,137.65939642
600089.SH,600089,特变电工,10002313,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-22 00:00:00,CNY,23220531076.14,,,,,,,,20721791.63,,,,108366438.17,1325542792.72,,0.0,24675162098.66,17391171954.71,,-76528457.33,,81255.45,,1981541945.33,1561508300.14,1321508043.26,,0.0,22179283041.56,,0.0,2495879057.1,760000000.0,10691987.15,107825180.89,36148594.88,,198480324.91,,0.0,1113146087.83,3650381343.39,,,,,778938034.25,,0.0,4429319377.64,,0.0,-3316173289.81,1501340917.5,,4194202252.92,,159302152.69,,0.0,5854845323.11,3921982763.12,478366360.14,,,1083911296.5,,,0.0,5484260419.76,,0.0,370584903.35,-39967485.51,,0.0,-489676814.87,21322108890.88,,0.0,20832432076.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.7266459026,,,,,,,,53.0976815032,,,,1.3405427202,61.6787754071,,,-9.4342736077,15.2038893876,,43.5573774998,,,,10.8081517046,-45.4918825859,13.0721983467,,,6.7228744966,,,-61.3847742049,-24.1595771571,-96.5351226115,2835.6103793219,,,-15.7272156508,,,-28.1785798364,-11.5775686606,,,,,1092.7365100289,,,4.9110282525,,,-24.1037980947,4584.8315454195,,2.2234958329,,-10.2560840092,,,35.7636748119,159.7831202916,18.7271512263,,,-43.6602997664,,,,42.9491254557,,,-22.148497227,-246.7985866135,,,-111.402143837,74.4767676478,,,26.1409338795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600089.SH,600089,特变电工,10002313,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-09 00:00:00,2025-04-22 00:00:00,CNY,109170801893.33,33021851.45,,,,,,,81327520.22,,,,902797291.8,3490410850.27,,0.0,113678359407.07,67942765077.59,,,,348331.33,,6488572186.66,8658998936.25,4775598619.73,,0.0,87866283151.56,,0.0,25812076255.51,2645582496.91,199180881.33,10686688.99,314986065.29,,119467220.79,,0.0,3289903353.31,18903790907.41,1674127592.0,,383335000.0,,48908175.62,,0.0,21010161675.03,,0.0,-17720258321.72,1553133898.33,9554836.0,28836060333.53,1390849000.0,1557358035.62,,0.0,33337401267.48,21599230966.58,6603391898.36,723548168.66,,4085676277.3,,,0.0,32288299142.24,,0.0,1049102125.24,647276.07,,0.0,9141567335.1,12180541555.78,,0.0,21322108890.88,14093036586.59,1600605015.46,4173802144.96,4173802144.96,,701191471.19,140304792.3,,,,45929871.17,42469432.9,22107320.7,1248588638.08,-161194281.06,-219966200.3,-114399326.75,-105566873.55,,-683384259.05,3344712058.52,1663532287.55,359079418.79,,0.0,25812076255.51,,,,,21322108890.88,12180541555.78,,,,,9141567335.1,6.4065713027,,,,,,,,-30.9426935049,,,,-3.9954452732,77.4972136394,,,7.62713406,8.9155791334,,,,-17.5209891742,,18.4945100609,-23.3713183949,5.0685609479,,,4.8240069535,,,18.4055082484,-63.8885901495,16.9227515465,-37.0313780478,58.6320834355,,-41.3161442334,,,-58.4379015156,-3.0429264173,-85.0400970952,,,,18.0260732734,,,-31.6281917523,,,22.3260457539,141.7092491127,-33.480673907,83.4091319022,,-0.9321512943,,,85.8600057759,49.4967184295,35.873433052,-21.1226670606,,41.6232652131,,,,45.489896431,,,124.6500853187,-99.3081337669,,,276.6029397406,-29.8229810255,,,75.0505820553,-38.4177912491,145.6320782754,16.7508222334,16.7508222334,,0.2106957363,4.0139932417,,,,362.6297341481,-64.127935269,-94.9398485272,1.3538647273,-5.5752081973,-449.614215736,75.8459722544,-119.6754510202,,83.8911254636,157.1270929825,256.07465612,-54.3734146735,,,18.4055082484,,,,,75.0505820553,-29.8229810255,,,,,276.6029397406,标准无保留意见,,,,26146221.29,1.7213181999
600089.SH,600089,特变电工,10002313,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-30 00:00:00,CNY,77863290280.51,,,,,,,,61545274.72,,,,896892063.74,2451626137.76,,0.0,81273353756.73,49579894226.28,,-89768811.21,,246059.36,,4852306328.25,6979173522.52,3876993488.39,,0.0,65198844813.59,,0.0,16074508943.14,2202702664.15,414040018.03,66740594.48,223421002.15,,296041076.76,,0.0,3202945355.57,11892705922.05,2198124058.99,,586753.11,,920069075.95,,0.0,15011485810.1,,0.0,-11808540454.53,1418430590.98,1370339886.13,23280972563.15,,2564900156.19,,0.0,27264303310.32,12681482141.65,6253041661.79,325217961.38,,2201365696.66,,,0.0,21135889500.1,,0.0,6128413810.22,44002285.97,,0.0,10438384584.8,12196230712.83,,0.0,22634615297.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6375266961,,,,,,,,-35.0783955155,,,,29.7439183495,-3.028349885,,,1.689482755,5.6138817424,,-194.9781281492,,6.3755826117,,29.2392337805,-15.4570586618,29.7461128988,,,5.0965928494,,,-10.127979466,-59.6439560459,33.0398250435,87.3884060741,-32.3434115082,,-48.9652814096,,,-52.3038348239,-1.7986488211,-69.9396898069,,,,-44.6560881679,,,-28.8061518181,,,17.8253880812,124.7938020343,1723.2510795526,155.5405453916,,32.5781379448,,,133.5051114651,89.2115069961,33.9708371106,-64.3366639788,,6.521977416,,,,57.3040734862,,,448.1615505994,-78.5852583514,,,432.2460563374,-29.9061653946,,,16.9079487279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600089.SH,600089,特变电工,10002313,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-16 00:00:00,2024-08-30 00:00:00,CNY,51572598739.57,,,,,,,,38659748.67,,,,402106690.74,1192300010.3,,0.0,53205665189.28,31111605835.54,,-69010546.84,,,,3137127944.75,5290429485.13,1618329550.03,,0.0,41088482268.61,,0.0,12117182920.67,1202104117.45,357581739.37,63385097.48,132314831.1,,167018412.79,,0.0,1922404198.19,8085376692.68,1795292592.0,,,,181312141.59,,0.0,10061981426.27,,0.0,-8139577228.08,43751633.01,9089886.13,9635315394.43,,1631813242.12,,0.0,11310880269.56,6162376643.58,1286165814.38,5106612.59,,933313890.55,,,0.0,8381856348.51,,0.0,2929023921.05,87513543.78,,0.0,6994143157.42,12220600586.73,,0.0,19214743744.15,10384531338.67,573484819.92,2017109219.85,2017109219.85,,350299683.21,66901738.59,,,,4085534.91,12087344.53,-133635735.53,703789791.3,-141001324.53,75203807.96,88171902.99,-12968095.03,,-2364544768.36,-868006841.98,1958168336.17,,,0.0,12117182920.67,,,,,19214743744.15,12220600586.73,,,,,6994143157.42,4.4165099447,,,,,,,,-41.3338352217,,,,-50.282355056,-26.1430749739,,,2.5547663438,-1.2319602598,,-165.2159061259,,,,28.8051663832,0.6668881545,2.4956705774,,,0.5214071939,,,10.1072517195,-57.5818804944,16.9639829822,100.7771415667,-57.9214650382,,-69.6330158564,,,-52.3647642653,35.9124497669,-65.0145163641,,,,-60.7821116132,,,-12.8290528439,,,-8.4244991681,-51.9206182771,-87.9058145594,26.6563319481,,17.0356969692,,,24.3947099258,31.3584493502,-69.5573852209,-96.7465683682,,-61.6569526064,,,,-26.152795664,,,229.7443495667,-34.8028719531,,,408.8697037817,-29.3298158194,,,2.934902682,5.871264259,562.5009805678,16.0428817233,16.0428817233,,-0.2374913201,18.7035246792,,,,-58.2408208643,836.4040879912,-141.8872539512,16.921019319,-124.8326472476,212.1896317599,834.5863039319,76.4344256794,,21.4165051875,-3662.3490100168,92.2530803583,,,,10.1072517195,,,,,2.934902682,-29.3298158194,,,,,408.8697037817,,,,,8699358.65,17.6045746372
