日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2020-06-23,4.58,4.6,4.54,4.56,19853269.0,136765444.0,3714312788.9999995,0.0053
2020-06-24,4.57,4.6,4.54,4.55,17794529.0,122630872.0,3714312788.9999995,0.0048
2020-06-29,4.52,4.54,4.43,4.44,32019910.0,215644436.0,3714312788.9999995,0.0086
2020-06-30,4.48,4.5,4.44,4.48,23192115.0,156514734.0,3714312788.9999995,0.0062
2020-07-01,4.47,4.64,4.46,4.63,53516652.0,369301161.0,3714312788.9999995,0.0144
2020-07-02,4.64,4.72,4.62,4.72,63076780.0,445817695.0,3714312788.9999995,0.017
2020-07-03,4.73,4.76,4.7,4.75,56680652.0,405088235.0,3714312788.9999995,0.0153
2020-07-06,4.86,4.97,4.82,4.95,86369800.0,625315747.0,3714312788.9999995,0.0233
2020-07-07,5.03,5.12,4.89,4.89,98254421.0,721982072.0,3714312788.9999995,0.0265
2020-07-08,4.88,5.06,4.87,5.02,77019559.0,564720421.0,3714312788.9999995,0.0207
2020-07-09,5.0,5.14,4.97,5.12,94491763.0,708545538.0,3714312788.9999995,0.0254
2020-07-10,5.11,5.11,4.95,4.96,74149454.0,549577781.0,3714312788.9999995,0.02
2020-07-13,4.95,5.19,4.94,5.16,85472595.0,642100786.0,3714312788.9999995,0.023
2020-07-14,5.17,5.39,5.12,5.21,109772583.0,848351060.0,3714312788.9999995,0.0296
2020-07-15,5.18,5.23,4.99,5.0,72936387.0,545816405.0,3714312788.9999995,0.0196
2020-07-16,5.0,5.08,4.82,4.83,59011464.0,431127563.0,3714312788.9999995,0.0159
2020-07-17,4.83,4.89,4.76,4.81,39014605.0,278116183.0,3714312788.9999995,0.0105
2020-07-20,4.86,5.28,4.86,5.22,125097077.0,942777876.0,3714312788.9999995,0.0337
2020-07-21,5.53,5.74,5.49,5.57,360478065.0,3003827292.0,3714312788.9999995,0.0971
2020-07-22,5.46,5.88,5.38,5.75,290173164.0,2438839922.0,3714312788.9999995,0.0781
2020-07-23,5.69,6.01,5.65,5.82,227988951.0,1963488223.0,3714312788.9999995,0.0614
2020-07-24,5.83,5.92,5.49,5.56,222800942.0,1870393308.0,3714312788.9999995,0.06
2020-07-27,5.76,5.83,5.55,5.58,170773731.0,1432860574.0,3714312788.9999995,0.046
2020-07-28,5.58,5.6,5.31,5.38,160727042.0,1288206825.0,3714312788.9999995,0.0433
2020-07-29,5.31,5.48,5.21,5.48,136750453.0,1083674819.0,3714312788.9999995,0.0368
2020-07-30,5.52,5.96,5.48,5.9,265226613.0,2276959285.0,3714312788.9999995,0.0714
2020-07-31,5.88,6.11,5.81,5.92,257603721.0,2258162619.0,3714312788.9999995,0.0694
2020-08-03,6.05,6.05,5.78,5.88,175639532.0,1516708498.0,3714312788.9999995,0.0473
2020-08-04,5.86,5.86,5.59,5.75,179107372.0,1509698402.0,3714312788.9999995,0.0482
2020-08-05,5.71,5.96,5.63,5.94,172522827.0,1478995364.0,3714312788.9999995,0.0464
2020-08-06,5.96,6.05,5.76,5.94,175246707.0,1531675473.0,3714312788.9999995,0.0472
2020-08-07,5.89,6.21,5.86,6.17,218684933.0,1960429486.0,3714312788.9999995,0.0589
2020-08-10,6.18,6.38,6.04,6.13,171275012.0,1563032611.0,3714312788.9999995,0.0461
2020-08-11,6.08,6.22,5.95,6.07,129175878.0,1158968729.0,3714312788.9999995,0.0348
2020-08-12,6.03,6.06,5.82,5.96,107444065.0,935530348.0,3714312788.9999995,0.0289
2020-08-13,6.03,6.06,5.86,5.94,68251883.0,598868339.0,3714312788.9999995,0.0184
2020-08-14,5.87,5.9,5.74,5.88,74292326.0,638077636.0,3714312788.9999995,0.02
2020-08-17,5.86,5.95,5.77,5.87,99179036.0,860057071.0,3714312788.9999995,0.0267
2020-08-18,5.87,6.07,5.84,5.99,133004983.0,1172102704.0,3714312788.9999995,0.0358
2020-08-19,6.05,6.26,6.01,6.1,164851995.0,1494935640.0,3714312788.9999995,0.0444
2020-08-20,5.96,5.96,5.76,5.77,120037896.0,1036327780.0,3714312788.9999995,0.0323
2020-08-21,5.83,5.83,5.64,5.69,74917954.0,633147455.0,3714312788.9999995,0.0202
2020-08-24,5.66,5.8,5.63,5.7,45101780.0,379294994.0,3714312788.9999995,0.0121
2020-08-25,5.71,5.72,5.48,5.52,79073298.0,649766081.0,3714312788.9999995,0.0213
2020-08-26,5.5,5.56,5.42,5.46,49415011.0,399201155.0,3714312788.9999995,0.0133
2020-08-27,5.46,5.54,5.42,5.52,39839952.0,322509876.0,3714312788.9999995,0.0107
2020-08-28,5.5,5.61,5.46,5.57,42480249.0,346750527.0,3714312788.9999995,0.0114
2020-08-31,5.59,5.65,5.54,5.54,42637093.0,352472989.0,3714312788.9999995,0.0115
2020-09-01,5.52,5.56,5.48,5.53,26570022.0,216102887.0,3714312788.9999995,0.0072
2020-09-02,5.56,5.58,5.46,5.5,32744213.0,266162514.0,3714312788.9999995,0.0088
2020-09-03,5.49,5.54,5.43,5.43,30865694.0,249347991.0,3714312788.9999995,0.0083
2020-09-04,5.35,5.42,5.32,5.4,25932866.0,205528850.0,3714312788.9999995,0.007
2020-09-07,5.41,5.5,5.32,5.33,33931480.0,270194077.0,3714312788.9999995,0.0091
2020-09-08,5.32,5.49,5.29,5.48,36930848.0,295012607.0,3714312788.9999995,0.0099
2020-09-09,5.43,5.61,5.41,5.5,54814873.0,447017038.0,3714312788.9999995,0.0148
2020-09-10,5.52,5.59,5.46,5.51,39224017.0,319586348.0,3714312788.9999995,0.0106
2020-09-11,5.48,5.76,5.46,5.74,82814460.0,690324996.0,3714312788.9999995,0.0223
2020-09-14,5.75,6.01,5.72,5.8,92101703.0,798112231.0,3714312788.9999995,0.0248
2020-09-15,5.75,5.88,5.74,5.87,52540828.0,452212356.0,3714312788.9999995,0.0141
2020-09-16,5.97,6.01,5.79,5.9,67340365.0,588839489.0,3714312788.9999995,0.0181
2020-09-17,5.84,5.86,5.73,5.77,39452916.0,337295137.0,3714312788.9999995,0.0106
2020-09-18,5.77,5.99,5.77,5.9,46152411.0,401240969.0,3714312788.9999995,0.0124
2020-09-21,5.95,6.06,5.85,6.0,72367449.0,636741777.0,3714312788.9999995,0.0195
2020-09-22,5.93,6.01,5.86,5.89,47181601.0,412193730.0,3714312788.9999995,0.0127
2020-09-23,5.87,6.17,5.87,6.13,101216994.0,908036268.0,3714312788.9999995,0.0273
2020-09-24,6.05,6.05,5.69,5.7,88137424.0,761196312.0,3714312788.9999995,0.0237
2020-09-25,5.72,5.75,5.6,5.71,36328533.0,304536845.0,3714312788.9999995,0.0098
2020-09-28,5.75,6.0,5.69,5.89,74835065.0,651482608.0,3714312788.9999995,0.0201
2020-09-29,5.94,5.96,5.77,5.82,38667605.0,333679292.0,3714312788.9999995,0.0104
2020-09-30,5.75,6.06,5.75,5.95,67048765.0,589883825.0,3714312788.9999995,0.0181
2020-10-09,6.25,6.47,6.21,6.28,136785237.0,1277201990.0,3714312788.9999995,0.0368
2020-10-12,6.36,6.46,6.2,6.36,118135625.0,1106710054.0,3714312788.9999995,0.0318
2020-10-13,6.36,6.53,6.28,6.43,88898102.0,844978900.0,3714312788.9999995,0.0239
2020-10-14,6.43,6.57,6.32,6.47,79429399.0,759571297.0,3714312788.9999995,0.0214
2020-10-15,6.48,6.5,6.32,6.35,76323405.0,719921595.0,3714312788.9999995,0.0205
2020-10-16,6.34,6.41,6.19,6.24,58222845.0,539453691.0,3714312788.9999995,0.0157
2020-10-19,6.3,6.34,6.13,6.15,43088401.0,394351136.0,3714312788.9999995,0.0116
2020-10-20,6.13,6.2,6.07,6.17,37150409.0,336757251.0,3714312788.9999995,0.01
2020-10-21,6.18,6.19,5.91,5.98,58300296.0,516545725.0,3714312788.9999995,0.0157
