证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
特变电工,新疆特变电工股份有限公司,0.0,,,,,9863.0656,13905.8176,,,0.0,,998.4,0.0,,,9984.0,,,,,"送股,转增",2000-04-04,9863.0656,600089,2000-04-04,,0.0,,0.0,0.0,0.0,,23889.8176,,0.0,0.0,,3044.352,9984.0,,,"015010,015011"
特变电工,新疆特变电工股份有限公司,0.0,,,,,9863.0656,12907.4176,,,0.0,,0.0,0.0,,,10982.4,,,,,职工股上市,2000-06-13,9863.0656,600089,2000-06-13,,0.0,,0.0,0.0,0.0,,23889.8176,,0.0,0.0,,3044.352,10982.4,,,015006
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.0656,12907.4176,,,0.0,,0.0,0.0,,0.0,13041.6,,0.0,,,定期报告,,9863.0656,600089,2000-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,25949.0176,,0.0,0.0,,3044.352,13041.6,,,015019
特变电工,新疆特变电工股份有限公司,0.0,,,,,9863.0656,12907.4176,,,0.0,,0.0,0.0,,,13041.6,,,,,配股上市,2000-06-08,9863.0656,600089,2000-07-07,,0.0,,0.0,0.0,0.0,,25949.0176,,0.0,0.0,,3044.352,13041.6,,,015005
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.0656,12907.4176,,,0.0,,0.0,0.0,,,13041.6,,0.0,,,定期报告,,9863.0656,600089,2000-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,25949.0176,,0.0,0.0,,3044.352,13041.6,,,015019
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.0656,12907.4176,,,0.0,,0.0,0.0,,0.0,13041.6,,0.0,,,定期报告,,9863.0656,600089,2001-06-30,0.0,,,0.0,0.0,0.0,0.0,25949.0176,,0.0,0.0,,3044.352,13041.6,,,015019
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.0656,12907.4176,,,0.0,,0.0,0.0,,,13041.6,,0.0,,,定期报告,,9863.0656,600089,2001-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,25949.0176,,0.0,0.0,,3044.352,13041.6,,,015019
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.0656,12907.4176,,,0.0,,0.0,0.0,,,13041.6,,0.0,,,定期报告,,9863.0656,600089,2002-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,25949.0176,,0.0,0.0,,3044.352,13041.6,,,015019
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.0656,12907.4176,,,0.0,,0.0,0.0,,,13041.6,,0.0,,,定期报告,2003-02-21,9863.0656,600089,2002-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,25949.0176,,0.0,0.0,,3044.352,13041.6,,,015019
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.0656,12907.4176,,,0.0,,0.0,0.0,,0.0,13041.6,,0.0,,,定期报告,2003-07-29,9863.0656,600089,2003-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,25949.0176,,0.0,0.0,,3044.352,13041.6,,,015019
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.0656,12907.4176,,,0.0,,0.0,0.0,,0.0,13041.6,,0.0,,,定期报告,2004-02-10,9863.0656,600089,2003-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,25949.0176,,0.0,0.0,,3044.352,13041.6,,,015019
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.07,12907.42,,,0.0,,0.0,0.0,,0.0,13041.6,,0.0,,,定期报告,2004-07-27,9863.07,600089,2004-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,25949.02,,0.0,0.0,,3044.35,13041.6,,,015019
特变电工,新疆特变电工股份有限公司,0.0,0.0,,0.0,0.0,9863.0656,12907.4176,,,0.0,,0.0,0.0,,0.0,16954.08,,0.0,,,配股上市,2004-10-27,9863.0656,600089,2004-10-29,0.0,0.0,,0.0,0.0,0.0,0.0,29861.4976,,0.0,0.0,,3044.352,16954.08,,,015005
