SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,ACCEPT_DEPOSIT_INTERBANK,ACCOUNTS_PAYABLE,ACCOUNTS_RECE,ACCRUED_EXPENSE,ADVANCE_RECEIVABLES,AGENT_TRADE_SECURITY,AGENT_UNDERWRITE_SECURITY,AMORTIZE_COST_FINASSET,AMORTIZE_COST_FINLIAB,AMORTIZE_COST_NCFINASSET,AMORTIZE_COST_NCFINLIAB,APPOINT_FVTPL_FINASSET,APPOINT_FVTPL_FINLIAB,ASSET_BALANCE,ASSET_OTHER,ASSIGN_CASH_DIVIDEND,AVAILABLE_SALE_FINASSET,BOND_PAYABLE,BORROW_FUND,BUY_RESALE_FINASSET,CAPITAL_RESERVE,CIP,CONSUMPTIVE_BIOLOGICAL_ASSET,CONTRACT_ASSET,CONTRACT_LIAB,CONVERT_DIFF,CREDITOR_INVEST,CURRENT_ASSET_BALANCE,CURRENT_ASSET_OTHER,CURRENT_LIAB_BALANCE,CURRENT_LIAB_OTHER,DEFER_INCOME,DEFER_INCOME_1YEAR,DEFER_TAX_ASSET,DEFER_TAX_LIAB,DERIVE_FINASSET,DERIVE_FINLIAB,DEVELOP_EXPENSE,DIV_HOLDSALE_ASSET,DIV_HOLDSALE_LIAB,DIVIDEND_PAYABLE,DIVIDEND_RECE,EQUITY_BALANCE,EQUITY_OTHER,EXPORT_REFUND_RECE,FEE_COMMISSION_PAYABLE,FIN_FUND,FINANCE_RECE,FIXED_ASSET,FIXED_ASSET_DISPOSAL,FVTOCI_FINASSET,FVTOCI_NCFINASSET,FVTPL_FINASSET,FVTPL_FINLIAB,GENERAL_RISK_RESERVE,GOODWILL,HOLD_MATURITY_INVEST,HOLDSALE_ASSET,HOLDSALE_LIAB,INSURANCE_CONTRACT_RESERVE,INTANGIBLE_ASSET,INTEREST_PAYABLE,INTEREST_RECE,INTERNAL_PAYABLE,INTERNAL_RECE,INVENTORY,INVEST_REALESTATE,LEASE_LIAB,LEND_FUND,LIAB_BALANCE,LIAB_EQUITY_BALANCE,LIAB_EQUITY_OTHER,LIAB_OTHER,LOAN_ADVANCE,LOAN_PBC,LONG_EQUITY_INVEST,LONG_LOAN,LONG_PAYABLE,LONG_PREPAID_EXPENSE,LONG_RECE,LONG_STAFFSALARY_PAYABLE,MINORITY_EQUITY,MONETARYFUNDS,NONCURRENT_ASSET_1YEAR,NONCURRENT_ASSET_BALANCE,NONCURRENT_ASSET_OTHER,NONCURRENT_LIAB_1YEAR,NONCURRENT_LIAB_BALANCE,NONCURRENT_LIAB_OTHER,NOTE_ACCOUNTS_PAYABLE,NOTE_ACCOUNTS_RECE,NOTE_PAYABLE,NOTE_RECE,OIL_GAS_ASSET,OTHER_COMPRE_INCOME,OTHER_CREDITOR_INVEST,OTHER_CURRENT_ASSET,OTHER_CURRENT_LIAB,OTHER_EQUITY_INVEST,OTHER_EQUITY_OTHER,OTHER_EQUITY_TOOL,OTHER_NONCURRENT_ASSET,OTHER_NONCURRENT_FINASSET,OTHER_NONCURRENT_LIAB,OTHER_PAYABLE,OTHER_RECE,PARENT_EQUITY_BALANCE,PARENT_EQUITY_OTHER,PERPETUAL_BOND,PERPETUAL_BOND_PAYBALE,PREDICT_CURRENT_LIAB,PREDICT_LIAB,PREFERRED_SHARES,PREFERRED_SHARES_PAYBALE,PREMIUM_RECE,PREPAYMENT,PRODUCTIVE_BIOLOGY_ASSET,PROJECT_MATERIAL,RC_RESERVE_RECE,REINSURE_PAYABLE,REINSURE_RECE,SELL_REPO_FINASSET,SETTLE_EXCESS_RESERVE,SHARE_CAPITAL,SHORT_BOND_PAYABLE,SHORT_FIN_PAYABLE,SHORT_LOAN,SPECIAL_PAYABLE,SPECIAL_RESERVE,STAFF_SALARY_PAYABLE,SUBSIDY_RECE,SURPLUS_RESERVE,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIAB_EQUITY,TOTAL_LIABILITIES,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_OTHER_PAYABLE,TOTAL_OTHER_RECE,TOTAL_PARENT_EQUITY,TRADE_FINASSET,TRADE_FINASSET_NOTFVTPL,TRADE_FINLIAB,TRADE_FINLIAB_NOTFVTPL,TREASURY_SHARES,UNASSIGN_RPOFIT,UNCONFIRM_INVEST_LOSS,USERIGHT_ASSET,ACCEPT_DEPOSIT_INTERBANK_YOY,ACCOUNTS_PAYABLE_YOY,ACCOUNTS_RECE_YOY,ACCRUED_EXPENSE_YOY,ADVANCE_RECEIVABLES_YOY,AGENT_TRADE_SECURITY_YOY,AGENT_UNDERWRITE_SECURITY_YOY,AMORTIZE_COST_FINASSET_YOY,AMORTIZE_COST_FINLIAB_YOY,AMORTIZE_COST_NCFINASSET_YOY,AMORTIZE_COST_NCFINLIAB_YOY,APPOINT_FVTPL_FINASSET_YOY,APPOINT_FVTPL_FINLIAB_YOY,ASSET_BALANCE_YOY,ASSET_OTHER_YOY,ASSIGN_CASH_DIVIDEND_YOY,AVAILABLE_SALE_FINASSET_YOY,BOND_PAYABLE_YOY,BORROW_FUND_YOY,BUY_RESALE_FINASSET_YOY,CAPITAL_RESERVE_YOY,CIP_YOY,CONSUMPTIVE_BIOLOGICAL_ASSET_YOY,CONTRACT_ASSET_YOY,CONTRACT_LIAB_YOY,CONVERT_DIFF_YOY,CREDITOR_INVEST_YOY,CURRENT_ASSET_BALANCE_YOY,CURRENT_ASSET_OTHER_YOY,CURRENT_LIAB_BALANCE_YOY,CURRENT_LIAB_OTHER_YOY,DEFER_INCOME_1YEAR_YOY,DEFER_INCOME_YOY,DEFER_TAX_ASSET_YOY,DEFER_TAX_LIAB_YOY,DERIVE_FINASSET_YOY,DERIVE_FINLIAB_YOY,DEVELOP_EXPENSE_YOY,DIV_HOLDSALE_ASSET_YOY,DIV_HOLDSALE_LIAB_YOY,DIVIDEND_PAYABLE_YOY,DIVIDEND_RECE_YOY,EQUITY_BALANCE_YOY,EQUITY_OTHER_YOY,EXPORT_REFUND_RECE_YOY,FEE_COMMISSION_PAYABLE_YOY,FIN_FUND_YOY,FINANCE_RECE_YOY,FIXED_ASSET_DISPOSAL_YOY,FIXED_ASSET_YOY,FVTOCI_FINASSET_YOY,FVTOCI_NCFINASSET_YOY,FVTPL_FINASSET_YOY,FVTPL_FINLIAB_YOY,GENERAL_RISK_RESERVE_YOY,GOODWILL_YOY,HOLD_MATURITY_INVEST_YOY,HOLDSALE_ASSET_YOY,HOLDSALE_LIAB_YOY,INSURANCE_CONTRACT_RESERVE_YOY,INTANGIBLE_ASSET_YOY,INTEREST_PAYABLE_YOY,INTEREST_RECE_YOY,INTERNAL_PAYABLE_YOY,INTERNAL_RECE_YOY,INVENTORY_YOY,INVEST_REALESTATE_YOY,LEASE_LIAB_YOY,LEND_FUND_YOY,LIAB_BALANCE_YOY,LIAB_EQUITY_BALANCE_YOY,LIAB_EQUITY_OTHER_YOY,LIAB_OTHER_YOY,LOAN_ADVANCE_YOY,LOAN_PBC_YOY,LONG_EQUITY_INVEST_YOY,LONG_LOAN_YOY,LONG_PAYABLE_YOY,LONG_PREPAID_EXPENSE_YOY,LONG_RECE_YOY,LONG_STAFFSALARY_PAYABLE_YOY,MINORITY_EQUITY_YOY,MONETARYFUNDS_YOY,NONCURRENT_ASSET_1YEAR_YOY,NONCURRENT_ASSET_BALANCE_YOY,NONCURRENT_ASSET_OTHER_YOY,NONCURRENT_LIAB_1YEAR_YOY,NONCURRENT_LIAB_BALANCE_YOY,NONCURRENT_LIAB_OTHER_YOY,NOTE_ACCOUNTS_PAYABLE_YOY,NOTE_ACCOUNTS_RECE_YOY,NOTE_PAYABLE_YOY,NOTE_RECE_YOY,OIL_GAS_ASSET_YOY,OTHER_COMPRE_INCOME_YOY,OTHER_CREDITOR_INVEST_YOY,OTHER_CURRENT_ASSET_YOY,OTHER_CURRENT_LIAB_YOY,OTHER_EQUITY_INVEST_YOY,OTHER_EQUITY_OTHER_YOY,OTHER_EQUITY_TOOL_YOY,OTHER_NONCURRENT_ASSET_YOY,OTHER_NONCURRENT_FINASSET_YOY,OTHER_NONCURRENT_LIAB_YOY,OTHER_PAYABLE_YOY,OTHER_RECE_YOY,PARENT_EQUITY_BALANCE_YOY,PARENT_EQUITY_OTHER_YOY,PERPETUAL_BOND_PAYBALE_YOY,PERPETUAL_BOND_YOY,PREDICT_CURRENT_LIAB_YOY,PREDICT_LIAB_YOY,PREFERRED_SHARES_PAYBALE_YOY,PREFERRED_SHARES_YOY,PREMIUM_RECE_YOY,PREPAYMENT_YOY,PRODUCTIVE_BIOLOGY_ASSET_YOY,PROJECT_MATERIAL_YOY,RC_RESERVE_RECE_YOY,REINSURE_PAYABLE_YOY,REINSURE_RECE_YOY,SELL_REPO_FINASSET_YOY,SETTLE_EXCESS_RESERVE_YOY,SHARE_CAPITAL_YOY,SHORT_BOND_PAYABLE_YOY,SHORT_FIN_PAYABLE_YOY,SHORT_LOAN_YOY,SPECIAL_PAYABLE_YOY,SPECIAL_RESERVE_YOY,STAFF_SALARY_PAYABLE_YOY,SUBSIDY_RECE_YOY,SURPLUS_RESERVE_YOY,TAX_PAYABLE_YOY,TOTAL_ASSETS_YOY,TOTAL_CURRENT_ASSETS_YOY,TOTAL_CURRENT_LIAB_YOY,TOTAL_EQUITY_YOY,TOTAL_LIAB_EQUITY_YOY,TOTAL_LIABILITIES_YOY,TOTAL_NONCURRENT_ASSETS_YOY,TOTAL_NONCURRENT_LIAB_YOY,TOTAL_OTHER_PAYABLE_YOY,TOTAL_OTHER_RECE_YOY,TOTAL_PARENT_EQUITY_YOY,TRADE_FINASSET_NOTFVTPL_YOY,TRADE_FINASSET_YOY,TRADE_FINLIAB_NOTFVTPL_YOY,TRADE_FINLIAB_YOY,TREASURY_SHARES_YOY,UNASSIGN_RPOFIT_YOY,UNCONFIRM_INVEST_LOSS_YOY,USERIGHT_ASSET_YOY,OPINION_TYPE,OSOPINION_TYPE,LISTING_STATE
603893.SH,603893,瑞芯微,10543151,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-28 00:00:00,2025-10-28 00:00:00,CNY,,460826494.48,335730098.85,,,,,,,,,,,0,,,,,,,1730290339.04,,,,56264179.44,,,0,,0,,17545487.14,,100827517.33,,,,,,,,,0,,,,,,50062744.09,,,,,,,,,,,,212494263.48,,,,,1039355581.86,,16414025.07,,0,,,,,,,,29616212.81,54773396.91,,,,2224189120.69,,0,,32942009.3,0,,603481847.45,335730098.85,142655352.97,,,538609.09,,12133276.97,139322.51,,,,24190706.98,318945573.31,,,,0,,,,,,,,,23052692.73,,,,,,,,420919050,,,,,,81467280.53,,209450800.5,18159887.54,5111933259.18,4322893136.13,809772039.28,4238585494.88,5111933259.18,873347764.3,789040123.05,63575725.02,17317512.51,40792233.55,4238585494.88,,647640131.48,,,4232420.0,1881619116.25,,27745920.95,,36.8795229669,-20.8414145842,,,,,,,,,,,,,,,,,,14.2865192834,,,,147.4829948827,,,,,,,,1.8281549293,-17.9775845853,,,,,,,,,,,,,,,,68.4134123697,,,,,,,,,,,180.7492116169,,,,,12.2092480716,,146.8793420406,,,,,,,,,,92.8530351501,0.2412663501,,,,41.8227613998,,,,147.2931042237,,,57.785943412,-20.8414145842,211.4546137231,,,13.4445343415,,-28.4022082113,-47.1173295841,,,,0.5921109829,13.140607039,,,,,,,,,,,,,587.7373466083,,,,,,,,0.6259251716,,,,,,122.9214394703,,7.7008964157,20.1997406142,31.1428626868,31.1552615567,66.0512790423,25.7334443303,31.1428626868,65.752150667,31.0749749107,62.0342844528,0.5505135333,-8.4354702576,25.7334443303,107.2537698895,,,,-48.233642225,50.2865608235,,112.7235984127,,,0
603893.SH,603893,瑞芯微,10543151,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-19 00:00:00,2025-08-19 00:00:00,CNY,,444269223.34,269801429.49,,,,,,,,,,,0,,,,,,,1697967894.76,,,,40995053.71,,,0,,0,,17230487.14,,106718950.27,,,,,,,273440667.5,,0,,,,,,41884868.23,,,,,,,,,,,,211743316.26,,,,,805714909.75,,16032290.51,,0,,,,,,,,12698399.54,59186391.94,,,,2338663341.92,,0,,27238767.7,0,,594239231.79,269801429.49,149970008.45,,,533379.64,,14807655.54,138672.0,,,,24197066.23,318945573.31,,,,0,,,,,,,,,34105638.78,,,,,,,,420677950,,,,,,41328121.84,,209450800.5,14065978.05,5009897624.47,4221589682.66,1007332946.55,3956603500.73,5009897624.47,1053294123.74,788307941.81,45961177.19,289327121.46,56162706.87,3956603500.73,,702334000.31,,,5247725.0,1633221200.83,,25631775.57,,35.65559114,-11.1927603819,,,,,,,,,,,,,,,,,,13.4580338723,,,,388.7610478421,,,,,,,,0.0,-16.4789062693,,,,,,,227.0022651166,,,,,,,,,32.5059615556,,,,,,,,,,,130.7430608913,,,,,-21.8797405707,,109.3097007989,,,,,,,,,,113.813850941,6.1804884021,,,,59.1421534454,,,,93.7760222861,,,54.9895875207,-11.1927603819,168.2442854856,,,3.7137512534,,199.2608194943,-44.2401290127,,,,0.6185546244,13.140607039,,,,,,,,,,,,,76.9220668104,,,,,,,,0.5983969414,,,,,,-28.8503463932,,7.7008964157,-7.7411426272,31.8562066513,33.1521174822,72.4842321653,24.2389496961,31.8562066513,71.3109034003,25.3242645731,49.083809034,176.647963703,95.0016492313,24.2389496961,124.5686813293,,,,-35.8155358271,50.7880628383,,58.4893059963,,,0
603893.SH,603893,瑞芯微,10543151,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-23 00:00:00,2025-04-23 00:00:00,CNY,,355046973.24,268891798.79,,,,,,,,,,,0,,,,,,,1555947497.66,,,,20758468.73,,,0,,0,,17230487.14,,96326573.5,,,,,,,,,0,,,,,,37286409.16,,,,,,,,,,,,77000867.38,,,,,770057196.39,,13857615.11,,0,,,,,,,,12091787.32,45032710.86,,,,2088478358.61,,0,,26857449.85,0,,501905840.69,268891798.79,146858867.45,,,587499.38,,17322949.6,687176.59,,,,24102566.23,318945573.31,,,,0,,,,,,,,,76058426.78,,,,,,,,418903700,,,,,,27818892.01,,209450800.5,36651396.98,4434389407.79,3812088040.57,629544193.28,3761665324.94,4434389407.79,672724082.85,622301367.22,43179889.57,14864968.43,23608408.75,3761665324.94,,567670901.65,,,8176005.0,1584951832.4,,23606666.78,,73.7208354583,2.8710302213,,,,,,,,,,,,,,,,,,4.8576959226,,,,295.4497055835,,,,,,,,0.0,-24.8432045541,,,,,,,,,,,,,,,,6.7299439193,,,,,,,,,,,-27.6970730946,,,,,-33.3172691848,,660.3387424577,,,,,,,,,,106.8977426691,-24.25276248,,,,103.7582617698,,,,76.2020785586,,,94.8297198936,2.8710302213,175.8706749223,,,17.6992939137,,43.759213354,241.159850949,,,,0.4356260644,13.140607039,,,,,,,,,,,,,257.2405239127,,,,,,,,0.1917235049,,,,,,-31.7136156148,,7.7008964157,344.1238145135,26.4445578687,33.2026329651,79.2307644192,20.1488336632,26.4445578687,78.8469055577,-3.5358908609,73.4314915002,-37.9359841765,24.9350569759,20.1488336632,54.0653890376,,,,-53.7999620952,50.7190778077,,132.3443470921,,,0
603893.SH,603893,瑞芯微,10543151,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-23 00:00:00,2025-10-28 00:00:00,CNY,,274692260.03,286748848.97,,,,,,,,,,,0,,,,,,,1549631634.72,,,,29266220.81,,,0,,0,,17230487.14,,110776637.67,,,,,,,104725400.25,,0,,,,,,37001324.93,,,,,,,,,,,,91847358.55,,,,,783587544.87,,15927434.22,,0,,,,,,,,22751147.19,37521089.7,,,,2071807133.32,,0,,27600996.45,0,,361934647.0,286748848.97,87242386.97,,,603875.27,,48487193.91,358902.96,,,,24352566.23,318945573.31,,,,0,,,,,,,,,27736259.53,,,,,,,,418901601,,,,,,110264568.18,,209450800.5,14725103.73,4265988219.99,3618988782.77,664194859.53,3545884291.91,4265988219.99,720103928.08,646999437.22,55909068.55,120044420.4,7824384.43,3545884291.91,,392797417.74,,,8176005.0,1375472385.42,,26554886.83,,-0.0272429836,-2.5500080492,,,,,,,,,,,,,,,,,,4.60450981,,,,287.534256735,,,,,,,,0.0,-13.2440088653,,,,,,,,,,,,,,,,-8.4879670409,,,,,,,,,,,-28.1435744479,,,,,-37.3567792017,,450.2740600704,,,,,,,,,,294.5801426836,0.1046424641,,,,104.4460238153,,,,-9.6054874916,,,16.9653215751,-2.5500080492,151.6332432529,,,21.4447244998,,35.4143837632,1160.7640398917,,,,-3.722073027,13.140607039,,,,,,,,,,,,,31.5730857068,,,,,,,,0.1912214744,,,,,,170.7491523802,,7.7008964157,63.2176736966,21.6344787736,26.8428648299,57.9203169851,15.8505520748,21.6344787736,61.2848947146,-1.0843300123,115.9413772697,415.4499705029,-25.648134721,15.8505520748,72.874727914,,,,-53.7999620952,39.791781989,,97.1034183902,标准无保留意见,,0
603893.SH,603893,瑞芯微,10543151,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-23 00:00:00,2024-10-23 00:00:00,CNY,,336665765.99,424123418.94,,,,,,,,,,,0,,,,,,,1513993382.5,,,,22734563.83,,,0,,0,,17230487.14,,122926783.88,,,,,,,,,0,,,,,,29726102.8,,,,,,,,,,,,75688285.02,,,,,926265525.99,,6648602.08,,0,,,,,,,,15356881.88,54641565.2,,,,1568287839.51,,0,,13321038.37,0,,382468700.57,424123418.94,45802934.58,,,474777.47,,16946440.2,263455.89,,,,24048314.27,281901946.31,,,,0,,,,,,,,,3351961.74,,,,,,,,418300800,,,,,,36545287.31,,194474519.22,15108092.12,3897988159.21,3296011982.15,487663837.31,3371088350.8,3897988159.21,526899808.41,601976177.06,39235971.1,17222699.22,44550257.25,3371088350.8,,312486538.52,,,8176005.0,1252020876.61,,13043179.58,,16.794690822,47.6903700257,,,,,,,,,,,,,,,,,,2.4693944933,,,,111.7069023501,,,,,,,,-0.07827599,4.2145377235,,,,,,,,,,,,,,,,-35.9590321707,,,,,,,,,,,-52.145264435,,,,,-34.3006503412,,277.945842082,,,,,,,,,,164.2291894784,16.0280318235,,,,69.2567161312,,,,-54.9330940777,,,13.4823086414,47.6903700257,-6.0934602638,,,-15.0586708012,,-57.9971311011,732.6845313461,,,,-22.5611906983,0.0,,,,,,,,,,,,,-87.3263277078,,,,,,,,0.0814431224,,,,,,38.7057559852,,9.4453805345,99.7730764645,12.7548511474,19.3120563593,2.0545923187,14.1045394938,12.7548511474,4.8220712143,-13.3265078381,58.1134073424,-74.1315524169,210.4802699918,14.1045394938,440.8987491215,,,,-86.9030876817,32.7566536202,,9.1678296205,,,0
603893.SH,603893,瑞芯微,10543151,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-27 00:00:00,2024-08-27 00:00:00,CNY,,327497908.2,303805670.18,,,,,,,,,,,0,,,,,,,1496560302.35,,,,8387545.18,,,0,,0,,17230487.14,,127774847.65,,,,,,,83620420.0,,0,,,,,,31609799.09,,,,,,,,,,,,91765843.55,,,,,1031377667.76,,7659602.23,,0,,,,,,,,5938997.63,55741306.93,,,,1469543606.95,,0,,14056830.86,0,,383405905.71,303805670.18,55907997.51,,,514280.54,,4948076.92,248694.98,,,,24048314.27,281901946.31,,,,0,,,,,,,,,19277210.24,,,,,,,,418175600,,,,,,58086188.4,,194474519.22,15246208.82,3799515966.45,3170501350.25,584014511.88,3184672367.57,3799515966.45,614843598.88,629014616.2,30829087.0,104583137.93,28801144.55,3184672367.57,,312747973.65,,,8176005.0,1083123670.46,,16172558.4,,-1.7672294657,10.4930459022,,,,,,,,,,,,,,,,,,2.1038992258,,,,55.9062733969,,,,,,,,-0.3123738872,9.7340953655,,,,,,,-19.8996115936,,,,,,,,,-40.2911460117,,,,,,,,,,,-15.7391738775,,,,,-31.5829483229,,98.8172151975,,,,,,,,,,,1.9667441129,,,,74.0023446905,,,,-36.8485835377,,,2.0668757842,10.4930459022,32.3197735501,,,-12.3985060476,,-90.964877204,459.596749188,,,,-32.9229280354,0.0,,,,,,,,,,,,,-52.0129026067,,,,,,,,0.0576645245,,,,,,228.5092259299,,9.4453805345,206.0549453644,8.329022558,11.5763249789,-2.0528944542,10.1965422042,8.329022558,-0.4127787328,-5.529421238,45.8532106896,-38.5768423134,56.2814297173,10.1965422042,209.0593488381,,,,-86.9344335889,21.6126328665,,6.9319766078,,,0
603893.SH,603893,瑞芯微,10543151,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2024-04-26 00:00:00,CNY,,204377887.26,261387290.68,,,,,,,,,,,0,,,,,,,1483865808.77,,,,5249332.2,,,0,,0,,17230487.14,,128167483.63,,,,,,,,,0,,,,,,34935284.13,,,,,,,,,,,,106497579.94,,,,,1154807529.59,,1822558.07,,0,,,,,,,,5844330.23,59451291.34,,,,1024978491.9,,0,,15242413.75,0,,257612565.97,261387290.68,53234678.71,,,499152.85,,12049975.23,201423.64,,,,23998024.58,281901946.31,,,,0,,,,,,,,,21290537.24,,,,,,,,418102100,,,,,,40738563.42,,194474519.22,8252517.83,3506983204.76,2861871387.76,351247842.59,3130837986.73,3506983204.76,376145218.03,645111817.0,24897375.44,23951025.78,18896544.59,3130837986.73,,368461018.53,,,17696966.0,1051593371.89,,10160207.07,,-11.3870451231,36.1790153764,,,,,,,,,,,,,,,,,,2.7451971483,,,,379.9180316403,,,,,,,,-3.9855841936,29.0499727304,,,,,,,,,,,,,,,,-39.8371673448,,,,,,,,,,,-17.4046225753,,,,,-23.2977918434,,-71.9858935877,,,,,,,,,,,12.3671407088,,,,51.0141100335,,,,-33.1048529329,,,0.0605318045,36.1790153764,98.5210798829,,,59.2631551843,,-88.6699637236,86.6578297245,,,,-36.8165641473,0.0,,,,,,,,,,,,,-54.7519804423,,,,,,,,0.0806433853,,,,,,1.8762024492,,9.4453805345,141.8120982968,4.8287418532,7.2710224304,-12.5936293076,7.2523307713,4.8287418532,-11.7667312365,-4.7878387186,1.8231447679,-68.8992419595,31.0527908954,7.2523307713,197.5888605235,,,,-75.6517988948,10.4815687979,,-44.8935401749,,,0
603893.SH,603893,瑞芯微,10543151,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-15 00:00:00,2025-04-23 00:00:00,CNY,,274767114.79,294252306.47,,,,,,,,,,,0,,,,,,,1481419527.26,,,,7551905.49,,,0,,0,,17230487.14,,127687593.93,,,,,,,,,0,,,,,,40433289.19,,,,,,,,,,,,127820661.61,,,,,1250873653.82,,2894454.85,,0,,,,,,,,5765912.86,37481867.75,,,,1013376095.39,,0,,30533929.2,0,,309437568.44,294252306.47,34670453.65,,,497242.9,,35806531.45,28467.1,,,,25294028.44,281901946.31,,,,0,,,,,,,,,21080496.35,,,,,,,,418102100,,,,,,40725729.78,,194474519.22,9021758.12,3507219550.74,2853127598.17,420588605.83,3060740090.06,3507219550.74,446479460.68,654091952.57,25890854.85,23289247.7,10523454.12,3060740090.06,,227215060.57,,,17696966.0,983943666.68,,13472565.34,,10.2870787202,5.4807922482,,,,,,,,,,,,,,,,,,4.0066047864,,,,1305.8361490122,,,,,,,,-7.3977193302,67.1563447731,,,,,,,,,,,,,,,,-37.1106992586,,,,,,,,,,,26.702218266,,,,,-14.5456290511,,-69.2534063115,,,,,,,,,,-44.4244163695,-39.1025139243,,,,42.5492993674,,,,24.022056562,,,15.7842879219,5.4807922482,91.3864016014,,,18.043012853,,-59.0820715854,-45.0804363222,,,,-36.6925695991,0.0,,,,,,,,,,,,,-64.5414389344,,,,,,,,0.125485508,,,,,,1.9689855009,,9.4453805345,105.4985431512,4.065188954,4.7586498615,2.2177095667,4.8071363998,4.065188954,-0.7513160172,1.1446866511,-32.5684994502,-68.8111661255,-54.8668357972,4.8071363998,128.128760948,,,,-74.6797889243,1.4159915139,,-37.9727147557,标准无保留意见,,0
603893.SH,603893,瑞芯微,10543151,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-19 00:00:00,2023-10-19 00:00:00,CNY,,288254340.69,287170665.81,,,,,,,,,,,0,,,,,,,1477507884.17,,,,10738697.5,,,0,,0,,17243985.04,,117955504.64,,,,,,,,,0,,,,,,46417322.86,,,,,,,,,,,,158162581.25,,,,,1409854938.9,,1759141.48,,0,,,,,,,,5811955.11,47093417.29,,,,926573476.88,,0,,29558360.17,0,,337029361.8,287170665.81,48775021.11,,,558947.54,,40345911.23,31639.34,,,,31054602.32,281901946.31,,,,0,,,,,,,,,26448227.97,,,,,,,,417960400,,,,,,26347347.34,,177690934.3,7562626.75,3457046964.76,2762513766.61,477846049.09,2954385834.04,3457046964.76,502661130.72,694533198.15,24815081.63,66578016.19,14348820.7,2954385834.04,,57771725.12,,,62426966.0,943094634.03,,11947823.48,,6.0017243255,5.3649626637,,,,,,,,,,,,,,,,,,5.784326857,,,,678.7901327448,,,,,,,,-10.5056055232,109.1027850624,,,,,,,,,,,,,,,,-31.084466295,,,,,,,,,,,45.0981313853,,,,,10.0333132854,,-85.8915969945,,,,,,,,,,-44.4878931917,-25.3410681584,,,,20.1005562642,,,,17.2717893039,,,23.938093746,5.3649626637,,,,0.8886288602,,-30.3738462044,-32.0120094566,,,,37.652065953,8.7037846927,,,,,,,,,,,,,-66.4899244441,,,,,,,,0.1394178186,,,,,,2.6702009965,,17.8303292449,-69.7397312431,3.6740569863,1.1267647029,4.9949002677,4.1298197616,3.6740569863,1.07392862,15.2177124608,-41.2058046622,-37.1285436242,-57.1466425807,4.1298197616,-75.5238212102,,,,-39.912682715,-3.3373483517,,-52.3306178173,,,0
603893.SH,603893,瑞芯微,10543151,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-15 00:00:00,2023-08-15 00:00:00,CNY,,333389668.66,274954561.8,,,,,,,,,,,0,,,,,,,1465722968.17,,,,5379863.81,,,0,,0,,17284479.34,,116440425.58,,,,,,,104394525.0,,0,,,,,,52939885.76,,,,,,,,,,,,108906888.02,,,,,1507486280.8,,3852585.01,,0,,,,,,,,,54666163.38,,,,844553910.79,,0,,22258932.02,0,,375641855.17,274954561.8,42252186.51,,,587068.23,,54764910.58,44441.82,,,,35851765.09,281901946.31,,,,0,,,,,,,,,40171652.98,,,,,,,,417934600,,,,,,17681752.54,,177690934.3,4981526.7,3507385072.56,2841553842.94,596254997.66,2889993010.55,3507385072.56,617392062.01,665831229.62,21137064.35,170266625.6,18429025.51,2889993010.55,,101193500.48,,,62576736.0,890634175.85,,15124155.48,,5.0668916682,-34.9635618562,,,,,,,,,,,,,,,,,,6.4603074322,,,,183.5875681172,,,,,,,,-15.4679035736,221.5037580231,,,,,,,,,,,,,,,,-21.7534715361,,,,,,,,,,,-4.6441738101,,,,,81.9176786248,,-75.5282836443,,,,,,,,,,,-15.5913549832,,,,-10.6192732136,,,,-23.1891743108,,,18.3825589492,-34.9635618562,,,,181.8728925008,,340.4933124231,31.7408286171,,,,60.0694988796,8.7037846927,,,,,,,,,,,,,-58.185615899,,,,,,,,0.1394264372,,,,,,0.6587844164,,17.8303292449,22.3099285846,-4.8854499208,-8.1756105413,-28.127525102,2.747483719,-4.8854499208,-29.4266910865,12.2845728163,-53.2597735632,-62.9646543658,-49.0650719932,2.747483719,-86.5708828911,,,,-40.1028802484,-8.3752749115,,-46.7599666623,,,0
