SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
603893.SH,603893,瑞芯微,10543151,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-28 00:00:00,2025-10-28 00:00:00,CNY,3361337412.4,,,,,,,,,,,,199017903.1,81084429.94,,0,3641439745.44,2185301845.33,,,,,,446698802.24,108275325.49,53858902.48,,0,2794134875.54,,0,847304869.9,882000000.0,8965771.08,21104.89,,,,,0.0,890986875.97,153769378.29,1137000000.0,,,,,,0,1290769378.29,,0,-399782502.32,108063187.75,,,,,,0.0,108063187.75,,378296193.29,,,11429815.33,,,0.0,389726008.62,,0.0,-281662820.87,-4679203.19,,0,161180343.52,1990673450.23,,0,2151853793.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3946350562,,,,,,,,,,,,159.9341412025,70.7544779137,,,57.2737522854,120.6367950159,,,,,,25.6908638069,79.4660384648,-6.8811007653,,,90.8538968324,,,-0.4732139234,58.3482944345,156.7737006451,852.7478827714,,,,,,58.9645934655,19.1258289285,77.65625,,,,,,,67.8325923264,,,-91.661719188,815.4582997579,,,,,,,815.4582997579,,352.1820102782,,,-18.6853623958,,,,298.8336025047,,,-227.8497314267,-109.1252499483,,,-70.9373545667,100.3902729119,,,39.0091369772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-19 00:00:00,2025-08-19 00:00:00,CNY,2232747911.65,,,,,,,,,,,,91398112.35,57254924.81,,0,2381400948.81,1235408871.42,,,,,,329275492.34,75927367.59,32464371.08,,0,1673076102.43,,0,708324846.38,414000000.0,4474811.65,21104.89,,,,,0.0,418495916.54,109349438.23,722000000.0,,,,,,0,831349438.23,,0,-412853521.69,92716005.75,,,,,,0.0,92716005.75,,104757871.31,,,8633938.15,,,0.0,113391809.46,,0.0,-20675803.71,-562715.12,,0,274232805.86,1990673450.23,,0,2264906256.09,531146082.91,,8199651.84,8199651.84,,42612539.79,11909247.12,,,,34270.42,,-1536582.57,1287157.26,-4474811.65,4057687.4,4057687.4,,,-22127364.88,-70999.8,72616138.36,58396592.37,,0.0,708324846.38,,,,,2264906256.09,1990673450.23,,,,,274232805.86,68.4911227194,,,,,,,,,,,,38.7435376358,66.3613127759,,,67.0649335525,135.7862766799,,,,,,63.6078603835,168.8673994226,-12.7421818114,,,111.6059053873,,,11.5862789677,55.0561797753,233.6864058102,3538.774137931,,,,,,55.9564047348,8.6719596828,106.2857142857,,,,,,,84.4887345919,,,-126.4918889556,2154.5473628538,,,,,,,2154.5473628538,,,,,-18.1326862529,,,,975.1852376212,,,-221.3593401283,-106.2676763606,,,-39.7343658953,100.3902729119,,,56.3688407067,190.6057101203,,-31.865633214,-31.865633214,,-4.9081734397,-43.9316410561,,,,,,39.3353612434,117.9277555764,-233.6864058102,494.2795444723,494.2795444723,,,-110.080988394,-103.3156556088,-51.0538156403,562.8250125666,,,11.5862789677,,,,,56.3688407067,100.3902729119,,,,,-39.7343658953,,,,,5999991.73,-8.3186350076
603893.SH,603893,瑞芯微,10543151,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-23 00:00:00,2025-04-23 00:00:00,CNY,968416158.99,,,,,,,,,,,,42240525.28,20676986.75,,0,1031333671.02,474130652.22,,,,,,185411987.84,23930571.45,36307846.91,,0,719781058.42,,0,311552612.6,,3479359.38,,,,246000000.0,,0.0,249479359.38,33400595.52,,,,,402000000.0,,0,435400595.52,,0,-185921236.14,134883.25,,,,,,0.0,134883.25,,104757871.31,,,3419277.06,,,0.0,108177148.37,,0.0,-108042265.12,724555.03,,0,18313666.37,1990673450.23,,0,2008987116.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9277658394,,,,,,,,,,,,-15.7445641133,41.4563763474,,,52.9953689648,46.4155186575,,,,,,78.8308553841,58.7280356214,82.0517968327,,,55.619706704,,,47.2581237515,,2477.3032444444,,,,123.6363636364,,,126.5214140646,-44.9172978896,,,,,60.8,,,40.1637112032,,,7.2722106989,,,,,,,,,,,,,7.3766784486,,,,3297.1224537189,,,-3292.8866708007,-71.2366531236,,,76.0672366629,100.3902729119,,,100.1382340854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-23 00:00:00,2025-04-23 00:00:00,CNY,3374094287.54,,,,,,,,,,,,130320632.75,82269745.81,,0,3586684666.1,1574158607.5,,,,,,459340618.11,92070046.34,81731804.16,,0,2207301076.11,,0,1379383589.99,,4721326.65,4115.17,,,827000000.0,,0.0,831725441.82,124807544.24,,,,,1050000000.0,,0,1174807544.24,,0,-343082102.42,48834648.0,,,,,,0.0,48834648.0,,83660160.0,,,17520214.8,,,0.0,101180374.8,,0.0,-52345726.8,13319446.47,,0,997275207.24,993398242.99,,0,1990673450.23,594862210.27,24810044.66,20700736.89,20700736.89,,74124483.4,33167740.44,,,,,36171.5,-39625984.17,-17331579.27,-4721326.65,16992491.15,16992491.15,,,442476064.29,-3751979.68,203715063.7,22398285.0,,0.0,1379383589.99,,,,,1990673450.23,993398242.99,,,,,997275207.24,49.4945521441,,,,,,,,,,,,-30.4371839232,44.6388510827,,,43.3972193509,24.9083401879,,,,,,6.9435266225,108.131743735,-4.9197390557,,,21.282593071,,,102.4759385593,,-5.746011744,28.0787426082,,,-3.7252619325,,,-3.7368590571,-22.9504580437,,,,,6.490872211,,,2.3366228676,,,-20.8158373968,34.4899784346,,,,,,,34.4899784346,,-19.9286384258,,,0.7658891853,,,,-16.9761515282,,,38.8184705288,4084.0310290835,,,219.5911599926,45.7982968267,,,100.3902729119,341.0142079665,-6.6038969139,-35.1389506709,-35.1389506709,,-29.2444531711,-23.2455441867,,,,,1305.4715541173,-6337.1769502773,-1451.0262252857,5.746011744,132.2618921458,132.2618921458,,,137.4393139139,-103.8258928996,171.8610417543,-15.1644383001,,,102.4759385593,,,,,100.3902729119,45.7982968267,,,,,219.5911599926,标准无保留意见,,,,12613268.12,-5.0863164074
603893.SH,603893,瑞芯微,10543151,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-23 00:00:00,2025-10-28 00:00:00,CNY,2191300504.85,,,,,,,,,,,,76564741.43,47485975.73,,0,2315351222.01,990452134.32,,,,,,355394806.52,60331930.44,57838852.18,,0,1464017723.46,,0,851333498.55,557000000.0,3491701.47,2215.16,,,557000000.0,,0.0,560493916.63,129081476.01,640000000.0,,,,640000000.0,,0,769081476.01,,0,-208587559.38,11804272.0,,,,,,0.0,11804272.0,,83660160.0,,,14056282.69,,,0.0,97716442.69,,0.0,-85912170.69,-2237512.3,,0,554596256.18,993398242.99,,0,1547994499.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5375784051,,,,,,,,,,,,-41.0205075806,-7.2912629979,,,33.0459813632,8.9713974377,,,,,,6.9617273572,95.7441522233,-18.0970048054,,,9.0423180021,,,114.0913448558,,31.3422425242,,,,-28.8633461047,,,-28.6593432086,-4.1687563069,,,,,-13.3964817321,,,-11.9738555713,,,-136.9285347827,-53.0731340183,,,,,,,-53.0731340183,,-19.9286384258,,,3.8935924748,,,,-17.1975244697,,,7.4789440011,-128.6557542765,,,146.9670609597,45.7982968267,,,70.8765578754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-27 00:00:00,2025-08-19 00:00:00,CNY,1325142758.63,,,,,,,,,,,,65875581.6,34416009.26,,0,1425434349.49,523952830.85,,,,,,201258968.59,28239707.66,37205114.4,,0,790656621.5,,0,634777727.99,267000000.0,1341023.06,580.0,,,267000000.0,,0.0,268341603.06,100623416.15,350000000.0,,,,350000000.0,,0,450623416.15,,0,-182281813.09,4112400.0,,,,,,0.0,4112400.0,,,,,10546258.03,,,0.0,10546258.03,,0.0,-6433858.03,8978050.04,,0,455040106.91,993398242.99,,0,1448438349.9,182772073.78,417.4,12034531.51,12034531.51,,44811989.98,21240584.43,,,,,,-2532913.08,-7179689.92,-1341023.06,-1029139.72,-1029139.72,,,219495986.06,2141350.26,148359140.37,8810257.8,,0.0,634777727.99,,,,,1448438349.9,993398242.99,,,,,455040106.91,43.4902659857,,,,,,,,,,,,-26.1338523548,-21.597152854,,,34.9094715045,-6.5622190159,,,,,,-13.0143266046,78.0975405487,-27.0165986809,,,-7.9512878862,,,221.1929928456,,-31.8953850659,,,,-55.3511705686,,,-55.274093379,30.1818161252,,,,,-41.4715719064,,,-33.2700918487,,,-141.9922955008,-81.6940100632,,,,,,,-81.6940100632,,,,,14.1365515492,,,,14.1365515492,,,-148.6501577875,-8.4290931417,,,213.0973787111,45.7982968267,,,75.2102037037,636.9897059944,-99.9881358146,-26.8391079383,-26.8391079383,,1.5216089887,27.1251022604,,,,,,-58.9009528594,-162.5544620165,31.8953850659,97.2725157261,97.2725157261,,,602.3369267278,-97.0551023254,81.2446207955,-58.0607835297,,,221.1929928456,,,,,75.2102037037,45.7982968267,,,,,213.0973787111,,,,,6544396.16,-0.7858072186
603893.SH,603893,瑞芯微,10543151,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-23 00:00:00,CNY,609343593.22,,,,,,,,,,,,50133887.31,14617217.89,,0,674094698.42,323825409.06,,,,,,103680087.78,15076461.67,19943690.5,,0,462525649.01,,0,211569049.41,,135000.0,,,,110000000.0,,0.0,110135000.0,60637176.9,,,,,250000000.0,,0,310637176.9,,0,-200502176.9,,,,,,,,,,,,,3184375.89,,,0.0,3184375.89,,0.0,-3184375.89,2519021.98,,0,10401518.6,993398242.99,,0,1003799761.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2362873063,,,,,,,,,,,,79.8763850781,-41.2485931123,,,39.2220733681,7.2394799126,,,,,,8.0595221035,136.8085538624,-6.4558757387,,,8.6765114525,,,261.1125967396,,-78.7316206543,,,,-56.0,,,-56.0575689746,-3.6141595876,,,,,-8.4249084249,,,-7.5239300802,,,-135.1210989066,,,,,,,,,,,,,-12.6071425156,,,,-12.6071425156,,,-147.0798157282,513.8399182592,,,150.6577331771,45.7982968267,,,51.9025763597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-15 00:00:00,2025-04-23 00:00:00,CNY,2257001502.16,,,,,,,,,,,,187342376.43,56879424.3,,0,2501223302.89,1260251000.96,,,,,,429516991.46,44236426.74,85960853.86,,0,1819965273.02,,0,681258029.87,,5009153.18,3213.0,,,859000000.0,,0.0,864012366.18,161983499.28,,,,,986000000.0,,0,1147983499.28,,0,-283971133.1,36310994.0,,,,,,0.0,36310994.0,,104482000.0,,,17387049.27,,,0.0,121869049.27,,0.0,-85558055.27,318340.05,,0,312047181.55,681351061.44,,0,993398242.99,134885044.41,26564325.32,31915513.4,31915513.4,,104761374.51,43212788.22,,,,,-3000.61,-615580.16,1282845.51,-5009153.18,-52670472.87,-52670472.87,,,186353328.35,98068079.23,74933525.74,26402000.0,,0.0,681258029.87,,,,,993398242.99,681351061.44,,,,,312047181.55,0.9612332333,,,,,,,,,,,,11.38685819,13.8060913294,,,1.9375084262,-48.8808405504,,,,,,0.338240977,-55.6784210336,3.6035684622,,,-40.8366132846,,,209.4416453676,,-86.9032576367,-95.5119260821,,,-67.1636085627,,,-67.4488109749,14.6246178122,,,,,-34.2622841523,,,-30.476500294,,,-128.3092862884,72.7157246442,,,,,,,72.7157246442,,-70.5481993142,,,14.9154429822,,,,-67.0522851347,,,75.4751451209,109.7733227144,,,995.0040803982,4.3650442596,,,45.7982968267,-54.649402376,148.2019685765,7.2422899148,7.2422899148,,19.1560158217,-18.0350425736,,,,,-100.2761158675,99.1271491826,-93.9632976577,86.9032576367,-26.5841586015,-26.5841586015,,,118.6325434749,1015.7724628799,271.3999886172,-59.0661081888,,,209.4416453676,,,,,45.7982968267,4.3650442596,,,,,995.0040803982,标准无保留意见,,,,13289198.82,-0.122543349
603893.SH,603893,瑞芯微,10543151,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-19 00:00:00,2024-10-23 00:00:00,CNY,1559227453.41,,,,,,,,,,,,129815870.38,51220604.73,,0,1740263928.52,908910188.92,,,,,,332263525.75,30821830.31,70618726.51,,0,1342614271.49,,0,397649657.03,,2658475.6,,,,783000000.0,,0.0,785658475.6,134696651.15,,,,,739000000.0,,0,873696651.15,,0,-88038175.55,25154614.0,,,,,,0.0,25154614.0,,104482000.0,,,13529499.13,,,0.0,118011499.13,,0.0,-92856885.13,7808247.79,,0,224562844.14,681351061.44,,0,905913905.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.4074019114,,,,,,,,,,,,5.7797012682,-21.3454234027,,,-10.6567878501,-52.6814851163,,,,,,-1.2305444768,-62.1252845823,22.4803101949,,,-43.9707262864,,,188.6756529557,,-91.0257247946,,,,-65.552133744,,,-65.8798519542,32.8452163827,,,,,-42.4999126995,,,-37.441576187,,,-109.7170859191,178.7573448507,,,,,,,178.7573448507,,-70.5481993142,,,14.4992595381,,,,-67.8067454683,,,74.0295542605,241.5094441762,,,137.591296832,4.3650442596,,,21.2135517383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-15 00:00:00,2024-08-27 00:00:00,CNY,923507075.22,,,,,,,,,,,,89182370.68,43896376.87,,0,1056585822.77,560750507.27,,,,,,231370248.38,15856315.35,50977501.36,,0,858954572.36,,0,197631250.41,,1969063.42,,,,598000000.0,,0.0,599969063.42,77294524.8,,,,,598000000.0,,0,675294524.8,,0,-75325461.38,22464778.0,,,,,,0.0,22464778.0,,,,,9240035.63,,,0.0,9240035.63,,0.0,13224742.37,9804478.68,,0,145335010.08,681351061.44,,0,826686071.52,24799813.66,3518151.37,16449405.1,16449405.1,,44140346.5,16708410.89,,,,,,-1594020.07,-2734552.62,-1969063.42,-37732196.29,-37732196.29,,,-43694973.31,72713910.52,81855748.17,21007206.48,,0.0,197631250.41,,,,,826686071.52,681351061.44,,,,,145335010.08,-25.8229530475,,,,,,,,,,,,29.1045133646,101.9479895653,,,-20.9034573935,-51.0574209616,,,,,,-5.1281528086,-61.5627532469,37.9089156078,,,-41.4811372031,,,249.7125164482,,-90.8479988089,,,,-59.3076032178,,,-59.7627072341,6.8188894596,,,,,-40.6156901688,,,-38.0099961104,,,-118.750888366,260.622752607,,,,,,,260.622752607,,,,,41.6285751262,,,,41.6285751262,,,4587.644204221,420.6953486331,,,-46.4297250724,4.3650442596,,,-10.5464840381,-90.8920105581,,16.7114608682,16.7114608682,,4.7030920485,-38.694528868,,,,,,96.703450914,-168.2054404212,90.8479988089,-1043.3927846812,-1043.3927846812,,,87.6679234656,173.5630005593,1185.2094102518,-36.9832453652,,,249.7125164482,,,,,-10.5464840381,4.3650442596,,,,,-46.4297250724,,,,,6596229.81,-0.3350119736
