SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
603893.SH,603893,瑞芯微,10543151,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-28 00:00:00,2025-10-28 00:00:00,CNY,3141381494.7,45.4608213765,3141381494.7,45.4608213765,,,,,,,,,,,2399385046.47,28.5716837478,1829158917.87,33.4152076265,,,,,450465554.79,10.9705991662,,,,,,,,,,,,,26207478.62,230.3034428965,54353993.17,29.550363559,77950731.99,14.2952581005,,,-38751629.97,-34.2446877031,2060889.01,114.9861321783,44188807.37,37.5950350403,,,,,,,-157286.26,-106.9244017975,8965771.08,156.7737006451,,,,,,,,,,,-800572.98,47.4150867687,92358219.88,61.3341579279,,,0,,842362579.95,137.3462131188,2554322.23,499.4164124338,,,1766710.29,422.4239234757,,,,,0,,843150191.89,137.5092692626,63573303.56,1833.652125316,,,,,,,779576888.33,121.653936679,,,779576888.33,121.653936679,,,779576888.33,121.653936679,,,755983586.15,120.1056788402,,,,,1.86,121.4285714286,1.84,119.0476190476,-65266.18,-190.5182763027,-65266.18,-190.5182763027,,,,,,,,,,,,,,,,,,,,,-65266.18,-190.5182763027,,,,,,,,,,,,,,,-65266.18,-190.5182763027,,,,,,,,,779511622.15,121.6495376851,779511622.15,121.6495376851,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-19 00:00:00,2025-08-19 00:00:00,CNY,2045843090.62,63.8506663965,2045843090.62,63.8506663965,,,,,,,,,,,1535136503.21,38.6447633472,1180610604.64,47.536527126,,,,,279065738.42,7.2436453493,,,,,,,,,,,,,21681107.67,405.7016043816,33342321.87,26.0091602719,47546131.87,7.8612210164,,,-27109401.26,3.2370169604,1354857.21,92.3829111948,28507440.08,35.5979266704,,,,,,,1536582.57,-39.3353612434,4474811.65,233.6864058102,,,,,,,,,,,-275246.08,57.6392006464,65734782.8,77.4803950413,,,0,,582177518.35,220.548313444,93460.61,-77.6285921482,,,2654421.93,802.5341640224,,,,,0,,579616557.03,218.9210959028,48470474.12,4809.805012676,,,,,,,531146082.91,190.6057101203,,,531146082.91,190.6057101203,,,531146082.91,190.6057101203,,,515751689.47,191.6263488548,,,,,1.27,188.6363636364,1.26,186.3636363636,-70495.63,-513.7640541765,-70495.63,-513.7640541765,,,,,,,,,,,,,,,,,,,,,-70495.63,-513.7640541765,,,,,,,,,,,,,,,-70495.63,-513.7640541765,,,,,,,,,531075587.28,190.5400563274,531075587.28,190.5400563274,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-23 00:00:00,2025-04-23 00:00:00,CNY,884962635.69,62.9532060418,884962635.69,62.9532060418,,,,,,,,,,,679722127.45,36.5850426943,522602812.96,47.3104378371,,,,,119860954.03,0.4524046044,,,,,,,,,,,,,16654733.54,906.6534261769,13501591.7,11.5716514026,21495077.91,0.6795076797,,,-14393042.69,-24.7779346653,613847.85,72.0178891385,13826912.98,39.4928105329,,,,,,,-1126516.09,-190.4136516773,3479359.38,2477.3032444444,,,,,,,,,,,-344890.04,-2279.8124799894,17933630.78,-11.0145886706,,,0,,225182092.27,236.3819149272,3774.31,-98.8913187074,,,1181827.35,945.8044769625,,,,,0,,224004039.23,233.4891387288,14524592.25,3126.6522182076,,,,,,,209479446.98,209.6531556638,,,209479446.98,209.6531556638,,,209479446.98,209.6531556638,,,207948152.69,215.0022729225,,,,,0.5,212.5,0.5,212.5,-16375.89,-957.3988847876,-16375.89,-957.3988847876,,,,,,,,,,,,,,,,,,,,,-16375.89,-957.3988847876,,,,,,,,,,,,,,,-16375.89,-957.3988847876,,,,,,,,,209463071.09,209.6202072849,209463071.09,209.6202072849,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-23 00:00:00,2025-04-23 00:00:00,CNY,3136370678.42,46.9354947921,3136370678.42,46.9354947921,,,,,,,,,,,2638403450.68,27.568948626,1957483705.81,39.4693114823,,,,,564299744.08,5.2913215779,,,,,,,,,,,,,11722939.36,100.4699743,63992126.33,42.0005082513,101644729.58,2.3014542978,,,-60739794.48,-182.2856182809,1336884.63,-31.8599842308,47016450.42,104.2315026662,,,,,,,39625984.17,6337.1769502773,4721326.65,-5.746011744,,,,,,,,,-24810044.66,6.6038969139,1082099.66,-48.7590485104,92625955.78,162.3114273192,,,0,,611212549.34,638.2847576188,1466398.6,161.754173041,,,824246.52,-27.3044160824,,,,,0,,611854701.42,644.2168583489,16992491.15,132.2618921458,,,,,,,594862210.27,341.0142079665,,,594862210.27,341.0142079665,,,594862210.27,341.0142079665,,,538394517.62,326.217285529,,,,,1.42,343.75,1.42,343.75,106632.37,40.2980705267,106632.37,40.2980705267,,,,,,,,,,,,,,,,,,,,,106632.37,40.2980705267,,,,,,,,,,,,,,,106632.37,40.2980705267,,,,,,,,,594968842.64,340.8448577898,594968842.64,340.8448577898,,,,,,,,,,,,,标准无保留意见
603893.SH,603893,瑞芯微,10543151,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-23 00:00:00,2025-10-28 00:00:00,CNY,2159606597.14,48.4738861633,2159606597.14,48.4738861633,,,,,,,,,,,1866184665.65,29.1494672556,1371027299.22,44.6012151257,,,,,405932344.4,1.2559442978,,,,,,,,,,,,,7934364.35,94.5358308959,41955878.53,31.7520873961,68201195.12,-7.9270602561,,,-28866415.97,-105.3579091982,958614.86,-35.1129272411,32115117.64,134.2939208097,,,,,,,2271477.95,4.568234856,3491701.47,31.3422425242,,,,,,,,,-417.4,99.9929359929,-1522438.53,-162.2647131599,57246537.91,113.7467801497,,,0,,354908792.89,841.2730620555,426134.85,-15.1984724794,,,338175.61,51.3451648557,,,,,0,,354996752.13,834.5893053163,3287732.2,108.3588872742,,,,,,,351709019.93,354.8955950303,,,351709019.93,354.8955950303,,,351709019.93,354.8955950303,,,343463917.03,417.1366434202,,,,,0.84,342.1052631579,0.84,342.1052631579,-22465.43,-116.3137214179,-22465.43,-116.3137214179,,,,,,,,,,,,,,,,,,,,,-22465.43,-116.3137214179,,,,,,,,,,,,,,,-22465.43,-116.3137214179,,,,,,,,,351686554.5,354.0578131742,351686554.5,354.0578131742,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-27 00:00:00,2025-08-19 00:00:00,CNY,1248602239.84,46.4389649113,1248602239.84,46.4389649113,,,,,,,,,,,1107244490.27,25.0269585133,800215802.58,42.028790259,,,,,260216572.75,-0.0133389619,,,,,,,,,,,,,4287332.19,92.6249642883,26460236.54,28.3515493995,44080839.64,-11.1718514893,,,-28016293.43,-166.0427016797,704250.29,-31.5672282787,21023507.35,156.4805597521,,,,,,,2532913.08,58.9009528594,1341023.06,-31.8953850659,,,,,,,,,-417.4,99.9881358146,-649766.02,-126.7045453752,37037771.29,116.1204763338,,,0,,181619273.58,1460.9036224289,417768.12,-16.8634653434,,,294107.64,228.9799782684,,,,,0,,181742934.06,1505.332174741,-1029139.72,97.2725157261,,,,,,,182772073.78,636.9897059944,,,182772073.78,636.9897059944,,,182772073.78,636.9897059944,,,176853597.59,1079.1512457968,,,,,0.44,633.3333333333,0.44,633.3333333333,17037.64,-89.7258081177,17037.64,-89.7258081177,,,,,,,,,,,,,,,,,,,,,17037.64,-89.7258081177,,,,,,,,,,,,,,,17037.64,-89.7258081177,,,,,,,,,182789111.42,632.1626377568,182789111.42,632.1626377568,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-23 00:00:00,CNY,543077768.88,64.8858061589,543077768.88,64.8858061589,,,,,,,,,,,497654877.9,32.1246165128,354762921.51,61.8188225912,,,,,119321139.7,-1.8038949271,,,,,,,,,,,,,1654465.49,185.5422449881,12101274.41,18.4679986522,21350003.0,-20.9222157904,,,-11534926.21,-511.9249357516,356851.17,-17.0778805664,9912276.43,185.917832939,,,,,,,1245957.96,2.465312245,135000.0,-78.7316206543,,,,,,,,,-417.4,99.9901933636,-14492.32,-100.8202225003,20153450.45,200.5311564049,,,0,,66942389.67,262.3930446909,340432.37,819.4719373004,,,113006.53,125.6969037772,,,,,0,,67169815.51,262.8931993116,-479889.7,97.900453802,,,,,,,67649705.21,468.0882576978,,,67649705.21,468.0882576978,,,67649705.21,468.0882576978,,,66014810.23,371.6716935691,,,,,0.16,500.0,0.16,500.0,1909.95,101.7713449172,1909.95,101.7713449172,,,,,,,,,,,,,,,,,,,,,1909.95,101.7713449172,,,,,,,,,,,,,,,1909.95,101.7713449172,,,,,,,,,67651615.16,465.9516667068,67651615.16,465.9516667068,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-15 00:00:00,2025-04-23 00:00:00,CNY,2134522147.19,5.1657065487,2134522147.19,5.1657065487,,,,,,,,,,,2068217602.4,6.38832129,1403522886.15,10.9666307371,,,,,535941363.09,0.1686428021,,,,,,,,,,,,,5847728.27,-55.9055340328,45064716.4,11.0591261534,99358049.48,5.9713090892,,,-21517140.99,-528.0831480079,1961967.01,-16.8802005876,23021154.82,-7.6104486732,,,,,,,615580.16,-99.1271491826,5009153.18,-86.9032576367,,,,,,,,,-26564325.32,-148.2019685765,2111786.82,155.6208829774,35311445.15,-54.2863774939,,,0,,82788184.78,-67.8070338251,560219.76,-23.8822126261,,,1133833.0,-45.4918151574,,,,,0,,82214571.54,-67.8621118753,-52670472.87,-26.5841586015,,,,,,,134885044.41,-54.649402376,,,134885044.41,-54.649402376,,,134885044.41,-54.649402376,,,126319259.19,-26.7806170674,,,,,0.32,-55.5555555556,0.32,-55.5555555556,76004.16,-82.6093848718,76004.16,-82.6093848718,,,,,,,,,,,,,,,,,,,,,76004.16,-82.6093848718,,,,,,,,,,,,,,,76004.16,-82.6093848718,,,,,,,,,134961048.57,-54.6904266443,134961048.57,-54.6904266443,,,,,,,,,,,,,标准无保留意见
603893.SH,603893,瑞芯微,10543151,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-19 00:00:00,2024-10-23 00:00:00,CNY,1454536318.1,-7.3713327322,1454536318.1,-7.3713327322,,,,,,,,,,,1444980537.13,-1.1382471826,948143691.62,-1.8687807212,,,,,400897297.65,3.7780335756,,,,,,,,,,,,,4078613.34,-64.2287353124,31844564.56,8.7172786829,74073007.02,12.1799996867,,,-14056637.06,-687.8333061594,1477358.77,-19.7681746027,13707192.03,-27.9087242061,,,,,,,2172244.71,-96.1475908701,2658475.6,-91.0257247946,,,,,,,,,-5908827.61,,2445106.47,464.431560408,26782409.48,-54.5847641361,,,0,,37705189.62,-85.0946248029,502508.46,13.2582699458,,,223446.59,-64.8209908204,,,,,0,,37984251.49,-84.9729327685,-39332175.35,-69.414642079,,,,,,,77316426.84,-71.9856584642,,,77316426.84,-71.9856584642,,,77316426.84,-71.9856584642,,,66416472.59,-61.5594646541,,,,,0.19,-71.2121212121,0.19,-71.2121212121,137708.8,-75.8332189419,137708.8,-75.8332189419,,,,,,,,,,,,,,,,,,,,,137708.8,-75.8332189419,,,,,,,,,,,,,,,137708.8,-75.8332189419,,,,,,,,,77454135.64,-71.9935860552,77454135.64,-71.9935860552,,,,,,,,,,,,,
603893.SH,603893,瑞芯微,10543151,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-15 00:00:00,2024-08-27 00:00:00,CNY,852643448.14,-31.3406898109,852643448.14,-31.3406898109,,,,,,,,,,,885604595.55,-17.5146905126,563418023.29,-25.8093974737,,,,,260251287.57,3.6594735607,,,,,,,,,,,,,2225740.68,-76.7377270253,20615439.91,15.2718835828,49624854.71,13.6024496934,,,-10530750.61,-32.1768410067,1029112.62,-19.4608839826,8196920.41,-32.0542206881,,,,,,,1594020.07,-96.703450914,1969063.42,-90.8479988089,,,,,,,,,-3518151.37,,2433166.38,216.0445628916,17137557.68,-50.6904309242,,,0,,-13345491.23,-104.9298942297,502508.46,270.690589737,,,89399.86,-74.7504256424,,,,,0,,-12932382.63,-104.7811489432,-37732196.29,-1996.8787794971,,,,,,,24799813.66,-90.8920105581,,,24799813.66,-90.8920105581,,,24799813.66,-90.8920105581,,,14998381.1,-92.3449610154,,,,,0.06,-90.7692307692,0.06,-90.7692307692,165829.49,-25.99428499,165829.49,-25.99428499,,,,,,,,,,,,,,,,,,,,,165829.49,-25.99428499,,,,,,,,,,,,,,,165829.49,-25.99428499,,,,,,,,,24965643.15,-90.8386472395,24965643.15,-90.8386472395,,,,,,,,,,,,,
