日期,603893.SH_close,603893.SH_volume,603893.SH_turnover
2024-05-13,57.57,235208955.0,0.96
2024-05-14,56.73,157009417.0,0.64
2024-05-15,53.69,317009337.0,1.37
2024-05-16,52.7,304189890.0,1.34
2024-05-17,53.85,187094604.0,0.83
2024-05-20,54.65,158088040.0,0.68
2024-05-21,55.22,143272785.0,0.61
2024-05-22,55.33,94206830.0,0.4
2024-05-23,53.62,122537734.0,0.53
2024-05-24,52.32,111996758.0,0.5
2024-05-27,53.42,154216765.0,0.69
2024-05-28,54.64,210469834.0,0.9
2024-05-29,53.83,123809693.0,0.54
2024-05-30,55.2,205270140.0,0.88
2024-05-31,56.1,219640758.0,0.92
2024-06-03,55.92,232932464.0,0.97
2024-06-04,55.76,183889575.0,0.77
2024-06-05,56.06,182430262.0,0.76
2024-06-06,55.06,208811167.0,0.88
2024-06-07,54.71,181836082.0,0.77
2024-06-11,58.7,435108094.0,1.78
2024-06-12,57.87,309194619.0,1.25
2024-06-13,58.01,263269110.0,1.06
2024-06-14,58.55,276428208.0,1.12
2024-06-17,59.37,292617507.0,1.16
2024-06-18,58.8,224382302.0,0.9
2024-06-19,58.13,175781104.0,0.71
2024-06-20,59.0,371157282.0,1.47
2024-06-21,58.81,281042089.0,1.14
2024-06-24,57.7,323385331.0,1.29
2024-06-25,55.6,277792054.0,1.16
2024-06-26,56.88,205580053.0,0.86
2024-06-27,57.6,466560027.0,1.86
2024-06-28,58.07,322544624.0,1.3
2024-07-01,56.47,236444897.0,0.98
2024-07-02,55.61,165521808.0,0.69
2024-07-03,57.41,249890179.0,1.03
2024-07-04,56.1,173151680.0,0.72
2024-07-05,56.08,165152199.0,0.7
2024-07-08,56.04,193736949.0,0.8
2024-07-09,60.61,453666245.0,1.81
2024-07-10,61.6,363369141.0,1.39
2024-07-11,65.43,718029924.0,2.59
2024-07-12,66.53,606298178.0,2.17
2024-07-15,66.66,476193035.0,1.67
2024-07-16,67.26,489643027.0,1.71
2024-07-17,65.72,373408964.0,1.32
2024-07-18,65.64,405340756.0,1.47
2024-07-19,66.9,476792833.0,1.67
2024-07-22,66.46,352465583.0,1.24
2024-07-23,64.03,276935184.0,1.0
2024-07-24,63.17,282955516.0,1.04
2024-07-25,60.88,282159555.0,1.08
2024-07-26,60.2,237786331.0,0.93
2024-07-29,58.84,234134878.0,0.93
2024-07-30,59.46,349500579.0,1.41
2024-07-31,60.81,495543368.0,1.93
2024-08-01,61.09,403615781.0,1.55
2024-08-02,59.52,280513401.0,1.1
2024-08-05,55.9,326792499.0,1.34
2024-08-06,56.37,177311250.0,0.74
2024-08-07,55.59,139054479.0,0.58
2024-08-08,55.83,194836767.0,0.83
2024-08-09,55.45,158564586.0,0.67
2024-08-12,54.84,120494538.0,0.52
2024-08-13,55.49,118879963.0,0.51
2024-08-14,54.5,107782774.0,0.46
2024-08-15,55.12,174017956.0,0.74
2024-08-16,54.31,143815114.0,0.62
2024-08-19,54.04,100924474.0,0.44
2024-08-20,53.34,129620049.0,0.57
2024-08-21,52.76,127855263.0,0.57
2024-08-22,52.2,114299314.0,0.51
2024-08-23,52.21,99367087.0,0.45
2024-08-26,51.93,102922642.0,0.46
2024-08-27,50.83,133987134.0,0.61
2024-08-28,50.7,122397690.0,0.57
2024-08-29,50.95,182105433.0,0.84
2024-08-30,52.64,296593335.0,1.34
2024-09-02,50.11,239891374.0,1.1
2024-09-03,50.54,170177789.0,0.79
2024-09-04,50.73,111734770.0,0.52
2024-09-05,50.36,135406211.0,0.63
2024-09-06,49.17,127592260.0,0.6
2024-09-09,49.3,131290438.0,0.63
2024-09-10,49.59,145186512.0,0.7
2024-09-11,49.67,82511550.0,0.39
2024-09-12,49.23,102821447.0,0.49
2024-09-13,48.48,79648970.0,0.38
2024-09-18,49.0,96738722.0,0.47
2024-09-19,49.71,146370045.0,0.69
2024-09-20,48.61,111641503.0,0.54
2024-09-23,48.77,82665021.0,0.4
2024-09-24,51.05,243283841.0,1.14
2024-09-25,51.09,277902080.0,1.26
2024-09-26,54.31,322892304.0,1.44
2024-09-27,58.17,269389859.0,1.13
2024-09-30,64.08,602305114.0,2.26
2024-10-08,70.58,727984217.0,2.45
2024-10-09,74.1,1476161133.0,4.66
2024-10-10,70.71,990542007.0,3.25
2024-10-11,67.1,551762889.0,1.92
